,all_done,seed,configs,num_running,num_done,coarse_job_obj,coarse_output_folder,coarse_submitted,coarse_crash_recorded,any_fatal_crash
0,crashed,410bd69e,['desert'],0,1,"LocalJob(job_id=98513957883, process=None, finalized=True)",/root/ig7_official/410bd69e/coarse,1.0,True,True
1,notdone,77a0aa49,['plain'],1,0,"LocalJob(job_id=42175762500, process=<Process name='ig7_official_77a0aa49_coarse' pid=1201226 parent=1200147 started>, finalized=False)",/root/ig7_official/77a0aa49/coarse,1.0,,
2,crashed,235616f0,['canyon'],0,1,"LocalJob(job_id=23580268632, process=None, finalized=True)",/root/ig7_official/235616f0/coarse,1.0,True,True
3,crashed,106d0739,['river'],0,1,"LocalJob(job_id=84447865798, process=None, finalized=True)",/root/ig7_official/106d0739/coarse,1.0,True,True
4,crashed,4b0ae6ba,['coast'],0,1,"LocalJob(job_id=35566388136, process=None, finalized=True)",/root/ig7_official/4b0ae6ba/coarse,1.0,True,True
5,crashed,340ad1da,['river'],0,1,"LocalJob(job_id=32248268289, process=None, finalized=True)",/root/ig7_official/340ad1da/coarse,1.0,True,True
6,crashed,582dc328,['river'],0,1,"LocalJob(job_id=14029122397, process=None, finalized=True)",/root/ig7_official/582dc328/coarse,1.0,True,True
7,crashed,3a40a8e8,['desert'],0,1,"LocalJob(job_id=35583163401, process=None, finalized=True)",/root/ig7_official/3a40a8e8/coarse,1.0,True,True
8,crashed,60b4e00d,['forest'],0,1,"LocalJob(job_id=94289988295, process=None, finalized=True)",/root/ig7_official/60b4e00d/coarse,1.0,True,True
9,crashed,1490b9e6,['mountain'],0,1,"LocalJob(job_id=18450812104, process=None, finalized=True)",/root/ig7_official/1490b9e6/coarse,1.0,True,True
10,crashed,5ffd3ce2,['coast'],0,1,"LocalJob(job_id=11333675221, process=None, finalized=True)",/root/ig7_official/5ffd3ce2/coarse,1.0,True,True
11,crashed,7f4d3d04,['forest'],0,1,"LocalJob(job_id=97492628625, process=None, finalized=True)",/root/ig7_official/7f4d3d04/coarse,1.0,True,True
12,notdone,1920157,['plain'],1,0,"LocalJob(job_id=77497926571, process=<Process name='ig7_official_1920157_coarse' pid=1215346 parent=1200147 started>, finalized=False)",/root/ig7_official/1920157/coarse,1.0,,
13,crashed,58c52492,['canyon'],0,1,"LocalJob(job_id=61420714632, process=None, finalized=True)",/root/ig7_official/58c52492/coarse,1.0,True,True
14,crashed,2f65a94d,['forest'],0,1,"LocalJob(job_id=17757170062, process=None, finalized=True)",/root/ig7_official/2f65a94d/coarse,1.0,True,True
15,notdone,28bbc20f,['desert'],1,0,"LocalJob(job_id=31026925917, process=<Process name='ig7_official_28bbc20f_coarse' pid=1220015 parent=1200147 started>, finalized=False)",/root/ig7_official/28bbc20f/coarse,1.0,,
16,notdone,591b64a4,['river'],1,0,"LocalJob(job_id=69095627353, process=<Process name='ig7_official_591b64a4_coarse' pid=1220649 parent=1200147 started>, finalized=False)",/root/ig7_official/591b64a4/coarse,1.0,,
17,notdone,1f352961,['coast'],0,0,,,,,
18,notdone,3f7185c,['coast'],0,0,,,,,
19,notdone,1311bad4,['canyon'],0,0,,,,,
20,notdone,5a9853fe,['forest'],0,0,,,,,
21,notdone,4100f636,['canyon'],0,0,,,,,
22,notdone,1ca0d93f,['forest'],0,0,,,,,
23,notdone,657400a3,['plain'],0,0,,,,,
24,notdone,12d05761,['river'],0,0,,,,,
25,notdone,fc607a2,['forest'],0,0,,,,,
26,notdone,5985bd48,['coast'],0,0,,,,,
27,notdone,89fdbe7,['coast'],0,0,,,,,
28,notdone,2df31865,['coast'],0,0,,,,,
29,notdone,509fa3e6,['river'],0,0,,,,,
30,notdone,4edede60,['coast'],0,0,,,,,
31,notdone,3657be54,['coast'],0,0,,,,,
32,notdone,65919d51,['desert'],0,0,,,,,
33,notdone,721d8771,['forest'],0,0,,,,,
34,notdone,3b40858e,['plain'],0,0,,,,,
35,notdone,6ed7f273,['desert'],0,0,,,,,
36,notdone,77388a5c,['river'],0,0,,,,,
37,notdone,26aa9da,['desert'],0,0,,,,,
38,notdone,457e1aac,['plain'],0,0,,,,,
39,notdone,72d7ba26,['plain'],0,0,,,,,
40,notdone,58637522,['coast'],0,0,,,,,
41,notdone,53f536c8,['desert'],0,0,,,,,
42,notdone,f9bc26d,['plain'],0,0,,,,,
43,notdone,4ed2193a,['coast'],0,0,,,,,
44,notdone,47e36d4d,['desert'],0,0,,,,,
45,notdone,79df8dda,['mountain'],0,0,,,,,
46,notdone,7f17ed1a,['canyon'],0,0,,,,,
47,notdone,41c43b04,['canyon'],0,0,,,,,
48,notdone,62370c8c,['desert'],0,0,,,,,
49,notdone,508595a5,['coast'],0,0,,,,,
50,notdone,65be434f,['desert'],0,0,,,,,
51,notdone,32148c2b,['coast'],0,0,,,,,
52,notdone,6f6bf092,['canyon'],0,0,,,,,
53,notdone,1d8654e7,['forest'],0,0,,,,,
54,notdone,49951720,['forest'],0,0,,,,,
55,notdone,6c38937c,['mountain'],0,0,,,,,
56,notdone,3d2e74e3,['mountain'],0,0,,,,,
57,notdone,326d5c1,['mountain'],0,0,,,,,
58,notdone,6c482eb5,['desert'],0,0,,,,,
59,notdone,3d4aa94c,['plain'],0,0,,,,,
60,notdone,1e99a5,['coast'],0,0,,,,,
61,notdone,2abd2349,['river'],0,0,,,,,
62,notdone,74702f16,['plain'],0,0,,,,,
63,notdone,7c86b06a,['desert'],0,0,,,,,
64,notdone,b93657a,['coast'],0,0,,,,,
65,notdone,7f4fab44,['river'],0,0,,,,,
66,notdone,4b3f45f6,['coast'],0,0,,,,,
67,notdone,f6ada37,['coast'],0,0,,,,,
68,notdone,a2d7f89,['coast'],0,0,,,,,
69,notdone,529522ef,['coast'],0,0,,,,,
70,notdone,697920f5,['desert'],0,0,,,,,
71,notdone,10334f4c,['river'],0,0,,,,,
72,notdone,1fc28aad,['canyon'],0,0,,,,,
73,notdone,6f136138,['river'],0,0,,,,,
74,notdone,6f7e29ac,['canyon'],0,0,,,,,
75,notdone,3c7836af,['coast'],0,0,,,,,
76,notdone,6e1130fc,['mountain'],0,0,,,,,
77,notdone,302e3c44,['plain'],0,0,,,,,
78,notdone,2efb4df,['coast'],0,0,,,,,
79,notdone,75133acf,['river'],0,0,,,,,
80,notdone,48e7f41b,['forest'],0,0,,,,,
81,notdone,1f48bcbf,['mountain'],0,0,,,,,
82,notdone,7bf6bb81,['desert'],0,0,,,,,
83,notdone,6a64f4c9,['canyon'],0,0,,,,,
84,notdone,2dd78a81,['coast'],0,0,,,,,
85,notdone,33899ce0,['canyon'],0,0,,,,,
86,notdone,d0c8651,['coast'],0,0,,,,,
87,notdone,7692986d,['coast'],0,0,,,,,
88,notdone,2bd67cb9,['coast'],0,0,,,,,
89,notdone,6a2e996d,['forest'],0,0,,,,,
90,notdone,394777d5,['coast'],0,0,,,,,
91,notdone,268d5749,['forest'],0,0,,,,,
92,notdone,2259e986,['river'],0,0,,,,,
93,notdone,5ab25b5b,['desert'],0,0,,,,,
94,notdone,262317d5,['coast'],0,0,,,,,
95,notdone,416c3467,['coast'],0,0,,,,,
96,notdone,8f467ce,['river'],0,0,,,,,
97,notdone,5a12eb2,['forest'],0,0,,,,,
98,notdone,348e2a30,['forest'],0,0,,,,,
99,notdone,121cb479,['mountain'],0,0,,,,,
100,notdone,1e2a710,['coast'],0,0,,,,,
101,notdone,16f8d0a4,['coast'],0,0,,,,,
102,notdone,595abbb8,['plain'],0,0,,,,,
103,notdone,4a178a76,['river'],0,0,,,,,
104,notdone,40a03a42,['desert'],0,0,,,,,
105,notdone,6d2f60c9,['forest'],0,0,,,,,
106,notdone,b4d07fb,['plain'],0,0,,,,,
107,notdone,3340f42c,['coast'],0,0,,,,,
108,notdone,59b4206f,['river'],0,0,,,,,
109,notdone,4464004c,['river'],0,0,,,,,
110,notdone,4b622fe8,['coast'],0,0,,,,,
111,notdone,1fbdef0a,['coast'],0,0,,,,,
112,notdone,6245488,['canyon'],0,0,,,,,
113,notdone,252d0bbb,['forest'],0,0,,,,,
114,notdone,66eb9705,['plain'],0,0,,,,,
115,notdone,62bf11c7,['river'],0,0,,,,,
116,notdone,6aa5c4c4,['plain'],0,0,,,,,
117,notdone,5a2821c5,['canyon'],0,0,,,,,
118,notdone,776b562d,['coast'],0,0,,,,,
119,notdone,696cbfc2,['forest'],0,0,,,,,
120,notdone,3127618d,['coast'],0,0,,,,,
121,notdone,1503d978,['river'],0,0,,,,,
122,notdone,267b1d1c,['river'],0,0,,,,,
123,notdone,7a738d5d,['plain'],0,0,,,,,
124,notdone,c719aea,['coast'],0,0,,,,,
125,notdone,22beb7fd,['desert'],0,0,,,,,
126,notdone,6fadd8ca,['desert'],0,0,,,,,
127,notdone,6eba297e,['coast'],0,0,,,,,
128,notdone,2cd516e8,['desert'],0,0,,,,,
129,notdone,3fde9082,['plain'],0,0,,,,,
130,notdone,32ee4676,['plain'],0,0,,,,,
