mesher exited
12:48:23 rss_kb=1120
12:48:28 rss_kb=1120
12:48:33 rss_kb=1120
12:48:38 rss_kb=1120
12:48:43 rss_kb=1120
12:48:48 rss_kb=1120
12:48:53 rss_kb=1120
12:48:59 rss_kb=1120
12:49:04 rss_kb=1120
12:49:09 rss_kb=2198960
12:49:15 rss_kb=2198960
12:49:21 rss_kb=2198960
12:49:27 rss_kb=2198960
12:49:33 rss_kb=2198960
12:49:39 rss_kb=2198960
12:49:45 rss_kb=2198976
12:49:52 rss_kb=2198976
12:49:58 rss_kb=2198976
12:50:04 rss_kb=2473840
12:50:10 rss_kb=
12:50:16 rss_kb=
12:50:22 rss_kb=
12:50:28 rss_kb=
12:50:34 rss_kb=
12:50:40 rss_kb=
12:50:46 rss_kb=
12:50:52 rss_kb=
12:50:58 rss_kb=
12:51:04 rss_kb=
12:51:10 rss_kb=
12:51:16 rss_kb=
12:51:22 rss_kb=
12:51:28 rss_kb=
12:51:34 rss_kb=
12:51:41 rss_kb=
12:51:47 rss_kb=
12:51:53 rss_kb=832
12:51:59 rss_kb=2187584
12:52:05 rss_kb=2516512
12:52:11 rss_kb=2841792
12:52:17 rss_kb=3138768
12:52:23 rss_kb=3417808
12:52:29 rss_kb=3672656
12:52:35 rss_kb=3911824
12:52:41 rss_kb=4140704
12:52:47 rss_kb=4358832
12:52:53 rss_kb=4565328
12:52:59 rss_kb=4410080
12:53:05 rss_kb=4410080
12:53:11 rss_kb=4410096
12:53:17 rss_kb=4410096
12:53:23 rss_kb=5282608
12:53:29 rss_kb=5828640
12:53:35 rss_kb=5891520
12:53:41 rss_kb=5975296
12:53:47 rss_kb=6192816
12:53:54 rss_kb=7001568
12:54:00 rss_kb=6558448
12:54:06 rss_kb=6438272
12:54:12 rss_kb=6493120
12:54:18 rss_kb=6397184
12:54:24 rss_kb=6055856
12:54:30 rss_kb=5784336
12:54:37 rss_kb=5806960
12:54:43 rss_kb=5608560
12:54:49 rss_kb=5533648
12:54:55 rss_kb=5376096
12:55:02 rss_kb=5410336
12:55:08 rss_kb=5243600
12:55:14 rss_kb=5067488
12:55:20 rss_kb=4953472
12:55:26 rss_kb=5202000
12:55:32 rss_kb=4805872
12:55:39 rss_kb=5664592
12:55:45 rss_kb=5122784
12:55:51 rss_kb=5430880
12:55:57 rss_kb=5275840
12:56:04 rss_kb=5540784
12:56:10 rss_kb=4992864
12:56:16 rss_kb=4808336
12:56:22 rss_kb=4684576
12:56:28 rss_kb=4744768
12:56:34 rss_kb=4544144
12:56:40 rss_kb=4680544
12:56:47 rss_kb=4527712
12:56:53 rss_kb=4852288
12:56:59 rss_kb=5123776
12:57:05 rss_kb=4656080
12:57:11 rss_kb=4701504
12:57:17 rss_kb=4664080
12:57:24 rss_kb=5121072
12:57:30 rss_kb=4581472
12:57:36 rss_kb=4452736
12:57:42 rss_kb=4410256
12:57:48 rss_kb=4318864
12:57:54 rss_kb=4329728
12:58:00 rss_kb=4345824
12:58:07 rss_kb=4115856
12:58:13 rss_kb=4113280
12:58:19 rss_kb=4408880
12:58:25 rss_kb=4399584
12:58:31 rss_kb=4222880
12:58:37 rss_kb=3942880
12:58:43 rss_kb=4447696
12:58:49 rss_kb=4395680
12:58:56 rss_kb=3875248
12:59:02 rss_kb=3963776
12:59:08 rss_kb=3878128
12:59:14 rss_kb=3560240
12:59:20 rss_kb=3512768
12:59:26 rss_kb=3750320
12:59:32 rss_kb=3483456
12:59:38 rss_kb=3530672
12:59:44 rss_kb=3821440
12:59:51 rss_kb=3486992
12:59:57 rss_kb=3552048
13:00:03 rss_kb=4369984
13:00:09 rss_kb=3607584
13:00:15 rss_kb=3717296
13:00:21 rss_kb=3608752
13:00:27 rss_kb=3560880
13:00:33 rss_kb=3411808
13:00:39 rss_kb=3534400
13:00:45 rss_kb=3528928
13:00:51 rss_kb=3509648
13:00:58 rss_kb=3943040
13:01:04 rss_kb=3618928
13:01:10 rss_kb=3625872
13:01:16 rss_kb=3868128
13:01:22 rss_kb=3984400
13:01:28 rss_kb=3583328
13:01:34 rss_kb=3428192
13:01:40 rss_kb=3623744
13:01:46 rss_kb=3534240
13:01:53 rss_kb=3593632
13:01:59 rss_kb=3541568
13:02:05 rss_kb=3402672
13:02:11 rss_kb=3526432
13:02:17 rss_kb=3398080
13:02:23 rss_kb=3659376
13:02:29 rss_kb=3500864
13:02:35 rss_kb=4137248
13:02:41 rss_kb=3612944
13:02:47 rss_kb=3628832
13:02:54 rss_kb=3502560
13:03:00 rss_kb=3372816
13:03:06 rss_kb=3507760
13:03:12 rss_kb=3614640
13:03:18 rss_kb=3490560
13:03:24 rss_kb=3463536
13:03:30 rss_kb=4225120
13:03:36 rss_kb=3775600
13:03:42 rss_kb=3543632
13:03:48 rss_kb=4236608
13:03:54 rss_kb=3596256
13:04:01 rss_kb=3791280
13:04:07 rss_kb=3674496
13:04:13 rss_kb=3897216
13:04:19 rss_kb=3787680
13:04:25 rss_kb=3871472
13:04:31 rss_kb=3916544
13:04:37 rss_kb=3653984
13:04:43 rss_kb=4092976
13:04:49 rss_kb=3718400
13:04:55 rss_kb=3747776
13:05:01 rss_kb=3847696
13:05:07 rss_kb=4258128
13:05:14 rss_kb=3844624
13:05:20 rss_kb=3713200
13:05:26 rss_kb=3682656
13:05:32 rss_kb=3768384
13:05:38 rss_kb=3758304
13:05:44 rss_kb=3757904
13:05:50 rss_kb=3707728
13:05:56 rss_kb=3661840
13:06:02 rss_kb=3770448
13:06:08 rss_kb=3732528
13:06:14 rss_kb=3567568
13:06:21 rss_kb=3996704
13:06:27 rss_kb=3730336
13:06:33 rss_kb=3600544
13:06:39 rss_kb=3760960
13:06:45 rss_kb=3684224
13:06:51 rss_kb=3766000
13:06:57 rss_kb=3482368
13:07:03 rss_kb=3652320
13:07:09 rss_kb=3681792
13:07:15 rss_kb=4121056
13:07:21 rss_kb=3815584
13:07:27 rss_kb=3732560
13:07:33 rss_kb=4054544
13:07:40 rss_kb=3949760
13:07:46 rss_kb=3805440
13:07:52 rss_kb=3721424
13:07:58 rss_kb=3792192
13:08:04 rss_kb=3748592
13:08:10 rss_kb=3668448
13:08:16 rss_kb=3648976
13:08:22 rss_kb=3796064
13:08:28 rss_kb=4094944
13:08:34 rss_kb=3535264
13:08:40 rss_kb=3656368
13:08:47 rss_kb=4243280
13:08:53 rss_kb=3734672
13:08:59 rss_kb=3565536
13:09:05 rss_kb=3547248
13:09:11 rss_kb=3755632
13:09:17 rss_kb=3714592
13:09:23 rss_kb=3699008
13:09:29 rss_kb=3613872
