run,frame,depth_median,depth_p10,depth_p90,depth_std,conf_mean,conf_median,conf_p10,conf_p90
K35,0,0.7421875,0.580078125,0.8212890625,0.0852835550904274,0.0006565085495822132,0.0,0.0,0.001953125
K35,1,0.79736328125,0.60791015625,0.865234375,0.08977019041776657,0.0015818070387467742,0.0,0.0,0.0048828125
K35,2,0.765625,0.607421875,0.84716796875,0.08425278216600418,0.00038404398947022855,0.0,0.0,0.0009765625
K35,3,0.80029296875,0.66064453125,0.875,0.08489990234375,0.0008614122634753585,0.0,0.0,0.0029296875
K35,4,0.84423828125,0.662109375,0.91259765625,0.09403995424509048,0.0007975052576512098,0.0,0.0,0.001953125
K35,5,0.8125,0.61669921875,0.8876953125,0.09958063811063766,0.00106036476790905,0.0,0.0,0.0029296875
K35,6,0.7958984375,0.6025390625,0.849609375,0.09267030656337738,0.0007766966009512544,0.0,0.0,0.001953125
K35,7,0.7998046875,0.5888671875,0.8447265625,0.09529072791337967,0.001252231071703136,0.0,0.0,0.0029296875
K35,8,0.8203125,0.60302734375,0.8720703125,0.09819341450929642,0.0008039478561840951,0.0,0.0,0.001953125
K35,9,0.833984375,0.6181640625,0.90673828125,0.10176660865545273,0.002481279894709587,0.0,0.0,0.0078125
K35,10,0.87548828125,0.6650390625,0.958984375,0.10497203469276428,0.0017661995952948928,0.0,0.0,0.005859375
K35,11,0.84765625,0.64697265625,0.9384765625,0.10167399793863297,0.0030424848664551973,0.0,0.0,0.0107421875
K35,12,0.85546875,0.68115234375,0.96875,0.10388386994600296,0.0013531812001019716,0.0,0.0,0.00390625
K35,13,0.86572265625,0.6982421875,0.9873046875,0.10697934031486511,0.0009807145688682795,0.0,0.0,0.0029296875
K35,14,0.87841796875,0.6865234375,0.9814453125,0.10474813729524612,0.0008586649782955647,0.0,0.0,0.001953125
K35,15,0.8681640625,0.6923828125,0.9814453125,0.10487128794193268,0.0008788924315012991,0.0,0.0,0.0029296875
K35,16,0.826171875,0.6484375,0.947265625,0.10896699130535126,0.002393588423728943,0.0009765625,0.0,0.0078125
K35,17,0.849609375,0.685546875,0.9599609375,0.10619363188743591,0.002293005120009184,0.0009765625,0.0,0.0078125
K35,18,0.8193359375,0.63427734375,0.93408203125,0.11258809268474579,0.0020498400554060936,0.0,0.0,0.005859375
K35,19,0.791015625,0.5927734375,0.92333984375,0.1278189718723297,0.11849965900182724,0.0849609375,0.015625,0.28125
K35,20,0.798828125,0.60400390625,0.919921875,0.12498493492603302,0.22532419860363007,0.208984375,0.0439453125,0.419921875
