transition_index,from_local_index,to_local_index,from_frame_id,to_frame_id,contains_suspect,center_distance,dx,dy,dz,rotation_angle_deg,forward_angle_deg,right_angle_deg,down_angle_deg
0,0,1,cap-1,cap-3,False,0.011169099759517255,0.007861731298115293,-0.004643157903672646,0.00643296627659784,2.379749178901727,2.297332850425189,2.0722210146557796,1.324577308191095
1,1,2,cap-3,cap-5,False,0.019234250481331105,-0.009279266351377435,-0.009473651221083956,-0.013932032877510547,1.633633309683637,1.4732524977811714,1.5955504228688442,0.7883497875198199
2,2,3,cap-5,cap-7,False,0.03316492280153324,0.00386785847031601,0.02305720841136122,-0.023522689377711847,2.700374400382242,2.6887385138446467,0.32162577525469893,2.6927801246379426
3,3,4,cap-7,cap-21,False,0.11813455313870996,-0.11624580768709092,0.0014975176013131142,0.020986716786870696,3.1141645561280233,3.0998196606511903,2.965028192861617,0.9975059482027698
4,4,5,cap-21,cap-23,False,0.04249022179919737,-0.028757445737946252,-0.017205691429240444,0.026122642393445306,3.8063560735679047,3.74330715282923,3.5604507850049103,1.511905983074592
5,5,6,cap-23,cap-29,False,0.025420921724358288,-0.0030068817992663366,0.007398209134319544,0.024133968276395468,2.9516607399854067,2.887775360903956,2.8222984926550043,1.0579667817680165
6,6,7,cap-29,cap-31,False,0.031863857110624644,0.0074182773820405945,-0.030587323155427892,0.004968924716156842,3.2524519819046107,2.513373488920695,2.2918113044898325,3.096042871770305
7,7,8,cap-31,cap-33,False,0.031046006526492666,0.017670517339746006,-0.023270195108451852,-0.010493110015783902,3.3837058214981153,1.9575314971456148,3.0470403091993243,3.1274390680654616
8,8,9,cap-33,cap-35,False,0.05710210334988799,0.017750120738931896,-0.05233989422715335,0.014356841331749415,7.051008289540544,2.533283076717027,6.618547656703721,7.014043529789158
9,9,10,cap-35,cap-37,False,0.06672301250666025,0.026491088988618294,-0.06085879629439983,-0.006810984933017572,8.16125158262008,7.91044962735069,6.658413590371529,5.1229042827448
10,10,11,cap-37,cap-39,False,0.0282638174221229,-0.00017279453801877231,-0.02544555634383361,-0.012301917723327449,3.1864310503833297,2.4494349242110163,3.071715146900075,2.206893067797778
11,11,12,cap-39,cap-42,False,0.04764412003646233,0.04669280723714253,-0.008658218597096479,-0.0038443695307259773,7.691464485335891,7.684657726651086,7.652798768383819,0.8341523150113324
12,12,13,cap-42,cap-44,False,0.024680632611955338,0.020300209330386454,-0.009099188813805559,0.010688306236234069,1.6010248879471953,0.49957920282455565,1.5763718507696394,1.5464378978486986
13,13,14,cap-44,cap-48,False,0.03367775561901883,0.004408670669875159,-0.03205521395525179,-0.00933906337605478,0.5065697273338869,0.33227403873562567,0.46138211977130494,0.4355470363201973
14,14,15,cap-48,cap-50,False,0.015203723016364499,0.0037165598804906885,0.010213354349905446,0.010631451882801624,1.6412303949361557,0.9297841609184281,1.6301678972983318,1.3657252059550142
15,15,16,cap-50,cap-52,False,0.035485171903744256,-0.0019113282225839967,-0.019191943073259776,0.029786130506270714,2.8744300768840936,1.9525563896231166,2.126664016865803,2.8616050229075762
16,16,17,cap-52,cap-54,False,0.023837961405839273,0.015493747392165469,0.01509598312488658,0.010015162965583135,2.1188667739699936,2.0369481980493567,2.038611647304574,0.8209615751261112
17,17,18,cap-54,cap-56,False,0.017528611166580523,0.008004404826516875,-0.010160805759704017,0.011829612804989453,5.610603998745652,4.383839859923295,5.541087610607001,3.60872822254196
18,18,19,cap-56,cap-74,True,0.557663796086092,0.09083680254590931,0.5500692316819039,-0.012705318778597059,27.767794262994972,26.423779625889203,11.920433624932215,26.39848894517936
