local_index,frame_id,suspect_black_shadow_frame,source_highres_relative_path,depth_image_relative_path,depth_min,depth_p01,depth_p05,depth_p10,depth_mean,depth_median,depth_p90,depth_p95,depth_p99,depth_max,depth_std,conf_min,conf_p01,conf_p05,conf_p10,conf_mean,conf_median,conf_p90,conf_p95,conf_p99,conf_max,conf_std,luma_mean,luma_p01,luma_p99,saturated_pixel_ratio,bright_reflective_pixel_ratio,dark_pixel_ratio,dark_depth_mean,dark_conf_mean,highlight_depth_mean,highlight_conf_mean,fx,fy,cx,cy,cam_x,cam_y,cam_z
0,cap-1,False,photos_highres/cell_85_slot_0.jpg,photos_depth/cap-1.png,0.6510128974914551,0.6918146485090255,0.7222920477390289,0.748673391342163,1.06450410172546,1.039496898651123,1.4105997562408448,1.4786924719810486,1.5435000777244567,1.5877307653427124,0.24352745830387715,1.0000001192092896,1.0000015497207642,1.0000125169754028,1.0000202655792236,1.0018633490103104,1.000195324420929,1.0030020713806151,1.0075118958950042,1.0319795501232147,1.203674077987671,0.008675912229911516,113.43539428710938,17.817598342895508,253.98628112792952,0.030633503401360545,0.06247874149659864,0.09993622448979592,0.8190340995788574,1.0000606775283813,1.2654298543930054,1.001069188117981,363.81854248046875,357.18304443359375,252.0,140.0,-0.11144424032440992,-0.30438214430087196,-0.07713134002863932
1,cap-3,False,photos_highres/cell_85_slot_1.jpg,photos_depth/cap-3.png,0.6627553105354309,0.692086198925972,0.7265078544616699,0.755344831943512,1.071759747095879,1.0458606481552124,1.4184969663619995,1.4845948934555053,1.5536921787261961,1.5963107347488403,0.24640363571268112,1.0000001192092896,1.0000008344650269,1.000008225440979,1.0000170469284058,1.0016507592913853,1.0001906156539917,1.0031254887580872,1.0068506360054017,1.0267824900150297,1.20131254196167,0.007121791015142409,114.9753646850586,18.03095899581909,254.9278106689453,0.03591269841269841,0.0690405328798186,0.09701672335600907,0.8297397494316101,1.0000933408737183,1.2614363431930542,1.0011658668518066,362.7398376464844,356.9991455078125,252.0,140.0,-0.10358250279004944,-0.3090253115236631,-0.07069837195494105
2,cap-5,False,photos_highres/cell_85_slot_2.jpg,photos_depth/cap-5.png,0.6757026314735413,0.7008118844032287,0.7360295534133912,0.7699522078037262,1.0832594792242425,1.0584547519683838,1.4251463651657106,1.4973052024841305,1.5665885853767394,1.6144773960113525,0.2444468091532341,1.0,1.0000004768371582,1.0000083446502686,1.0000154972076416,1.0015329946584306,1.0001659393310547,1.002514362335205,1.0059962451457978,1.0279876244068145,1.1776710748672485,0.007129094244024941,112.39983367919922,16.38719940185547,254.42640686035156,0.0325609410430839,0.06512896825396826,0.11364795918367347,0.8414812088012695,1.000058889389038,1.2771506309509277,1.0009534358978271,360.5348815917969,355.3835144042969,252.0,140.0,-0.11286177353618025,-0.31849895078785534,-0.08463040655187465
3,cap-7,False,photos_highres/cell_85_slot_3.jpg,photos_depth/cap-7.png,0.6381582617759705,0.7009837955236435,0.7299909830093384,0.7651179730892181,1.0972161730248777,1.0780476927757263,1.4462123036384582,1.5218179166316985,1.614633915424347,1.6846250295639038,0.25454749284969136,1.0,1.0000003576278687,1.0000046491622925,1.0000087022781372,1.000937933751853,1.0000993013381958,1.001766037940979,1.003739494085312,1.01493723154068,1.1543097496032715,0.004884954950832806,111.90667724609375,16.880599975585938,254.0,0.03204365079365079,0.06468962585034013,0.109375,0.8153851628303528,1.000030517578125,1.309905767440796,1.0004452466964722,361.09332275390625,355.2729187011719,252.0,140.0,-0.10899392231777504,-0.2954417683366989,-0.1081531003093798
4,cap-21,False,photos_highres/cell_100_slot_1.jpg,photos_depth/cap-21.png,0.6947473287582397,0.7713902300596237,0.8075055092573166,0.8338253378868103,1.1271957824657124,1.1040490865707397,1.4550608396530151,1.5308959066867829,1.5826907682418823,1.6094287633895874,0.226606892801496,1.0,1.000000238418579,1.0000033378601074,1.000010371208191,1.0012566862235062,1.0001426935195923,1.0020837664604187,1.0047731459140778,1.0178499627113342,1.2336853742599487,0.006619697214565345,118.5217514038086,20.324199676513672,254.0,0.025609410430839002,0.05748299319727891,0.06529195011337868,0.8796560168266296,1.0000306367874146,1.2951850891113281,1.0005978345870972,363.57476806640625,356.34783935546875,252.0,140.0,-0.22523972693107375,-0.2939442383736724,-0.08716638970814758
5,cap-23,False,photos_highres/cell_100_slot_2.jpg,photos_depth/cap-23.png,0.6848209500312805,0.765599958896637,0.7979860156774521,0.8282082676887512,1.1096336171440695,1.082457184791565,1.4387744545936585,1.5127408623695373,1.56563392162323,1.6013216972351074,0.2240194983579462,1.0,1.0,1.0000014305114746,1.0000076293945312,1.0015158259806112,1.0001717805862427,1.0025489330291748,1.0055215656757355,1.022448261976242,1.2054762840270996,0.007548552869624126,117.35874938964844,18.6864013671875,254.0,0.02427721088435374,0.0517077664399093,0.07091128117913832,0.8823686838150024,1.0000492334365845,1.3288168907165527,1.000807523727417,362.9091796875,357.3863830566406,252.0,140.0,-0.2539971685940533,-0.31114991831223776,-0.0610437416185726
6,cap-29,False,photos_highres/cell_100_slot_5.jpg,photos_depth/cap-29.png,0.6595550179481506,0.7344352209568024,0.7848383009433746,0.8132475137710571,1.079546115685533,1.05764901638031,1.39178227186203,1.4569807648658752,1.5141766250133515,1.5488791465759277,0.21400365825695514,1.0,1.0,1.0000007152557373,1.0000064373016357,1.001504991246628,1.0001516342163086,1.0027011036872864,1.005870771408081,1.019975620508194,1.1968506574630737,0.0074654963582977485,119.32672882080078,20.531243019104004,255.0,0.02869189342403628,0.05712159863945578,0.06388888888888888,0.8565769791603088,1.000038504600525,1.3018852472305298,1.0010279417037964,361.18231201171875,355.66815185546875,252.0,140.0,-0.25700404418111317,-0.3037517325117421,-0.0369097637517022
7,cap-31,False,photos_highres/cell_100_slot_6.jpg,photos_depth/cap-31.png,0.6640507578849792,0.7221688532829285,0.7738606333732605,0.8055537819862366,1.0651525420354269,1.038602590560913,1.3790073990821838,1.4486548542976379,1.5011693882942199,1.5317597389221191,0.21314756117884512,1.0,1.0,1.0000008344650269,1.000006914138794,1.0015902231728273,1.0001856088638306,1.0032882928848266,1.006422519683838,1.0208875799179078,1.1920466423034668,0.006820710244724381,122.12212371826172,20.484748001098634,255.0,0.031221655328798188,0.061926020408163265,0.05469812925170068,0.8792279958724976,1.000067949295044,1.264113426208496,1.0016504526138306,361.5994873046875,356.9482421875,252.0,140.0,-0.24958576530077844,-0.3343390543523231,-0.031940853172100894
8,cap-33,False,photos_highres/cell_100_slot_7.jpg,photos_depth/cap-33.png,0.666298508644104,0.7274596214294433,0.7556079059839249,0.786106264591217,1.0602222143666071,1.0312892198562622,1.3691776156425477,1.4346808969974518,1.5123164403438567,1.5550481081008911,0.21838949964056165,1.0,1.0000003576278687,1.0000028610229492,1.0000075101852417,1.0010998328594394,1.0001446604728699,1.0022768139839173,1.0043350815773011,1.015462942123413,1.1432230472564697,0.004736123096786773,122.64813995361328,19.836000442504883,255.0,0.033482142857142856,0.06670918367346938,0.05769557823129252,0.8907647132873535,1.0000197887420654,1.2496455907821655,1.0011767148971558,360.7643127441406,355.2958068847656,252.0,140.0,-0.23191524370113673,-0.3576092625972852,-0.04243395060180022
9,cap-35,False,photos_highres/cell_100_slot_8.jpg,photos_depth/cap-35.png,0.6855450868606567,0.7147063213586807,0.7371615171432495,0.763084614276886,1.028507316237117,0.9973187446594238,1.3431132197380067,1.4126283168792722,1.4962945199012756,1.5540794134140015,0.21637439784581758,1.0,1.000000238418579,1.0000046491622925,1.0000149011611938,1.002095916193156,1.0002301931381226,1.0043414115905762,1.00873544216156,1.0330982518196103,1.2039028406143188,0.0085792487991085,123.8944320678711,15.904199600219727,255.0,0.0453656462585034,0.08822987528344671,0.07368197278911565,0.9027937054634094,1.0000603199005127,1.1885979175567627,1.002190351486206,362.15985107421875,357.17388916015625,252.0,140.0,-0.21416512978180693,-0.40994915854911906,-0.02807711647179169
