timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 2.205010196561815182e-09, -1.287596422982039830e-09, -4.384340218524797955e-10, 5.337678090574875522e-01, -5.262407048685216644e-03, -4.020372689698979707e-03, 8.456051499899108759e-01, 7.255355507206247279e-02, 2.963789662414696366e-02, 2.020215301907340305e-02, -3.101877880837428016e-03, -1.168154138532182060e-03, 5.811813898063439461e-04, 1.114947478093400168e-01, -7.691326637648426834e-02, -3.893262163067508913e-02, 0
5073368957500, 1.213871079510109264e-03, 4.836449886825594123e-04, 3.529918004884125709e-04, 5.339517619487835765e-01, -5.443107177311750332e-03, -5.131104579414972645e-03, 8.454818509358086320e-01, 7.308777977641070511e-02, 2.815057579042980901e-02, 2.221123905878854068e-02, -3.101878316791068391e-03, -1.168154244691150395e-03, 5.811813908666722036e-04, 1.114964288382225832e-01, -7.691425536507225103e-02, -3.893321475510275881e-02, 0
5073385625750, 2.435997605563974475e-03, 9.193266555030039141e-04, 7.457703230932096134e-04, 5.348349881500811254e-01, -5.699653721631070709e-03, -6.435964808826415313e-03, 8.449127929880905219e-01, 7.348487034817478836e-02, 2.380295746646074462e-02, 2.500456576963542080e-02, -3.101794008055951471e-03, -1.168156419976868225e-03, 5.811961552767065014e-04, 1.114928101456329201e-01, -7.691739264206715054e-02, -3.893550478539830467e-02, 0
5073402293958, 2.587799582470347564e-03, 1.116922654184535112e-03, 7.056630496097625153e-04, 5.366014070467470809e-01, -6.256241278337086077e-03, -7.728407519767892427e-03, 8.437772579998390476e-01, 9.914767862605868357e-03, 1.362232986821870079e-02, -3.274920985138317885e-03, -3.101794008055951471e-03, -1.168156419976868225e-03, 5.811961552767065014e-04, 1.114928101456329201e-01, -7.691739264206715054e-02, -3.893550478539830467e-02, 3
5073418962083, 4.843876683192594075e-03, 1.537355078891163799e-03, 1.671905167251478298e-03, 5.386760366930160027e-01, -7.045945315436762287e-03, -8.560476899806535728e-03, 8.424400277661101555e-01, 6.956706862253345114e-02, 1.495973225421478453e-02, 2.987970852240574848e-02, -3.101325605509496104e-03, -1.168209659056251978e-03, 5.813063914699186227e-04, 1.114933000977083172e-01, -7.690076675844358112e-02, -3.894891611691097405e-02, 0
5073435630375, 4.921358501328810739e-03, 1.636876092867204811e-03, 1.686142059452880836e-03, 5.401531065254475683e-01, -7.951940843754470162e-03, -9.207034319731487171e-03, 8.414788284126708540e-01, 6.308123810876802885e-03, 4.655311312599655013e-03, 1.174349653665878465e-03, -3.101325605509496104e-03, -1.168209659056251978e-03, 5.813063914699186227e-04, 1.114933000977083172e-01, -7.690076675844358112e-02, -3.894891611691097405e-02, 5
5073452298625, 4.976769917678808622e-03, 1.780730981664445161e-03, 1.690035593769548391e-03, 5.406437483426040913e-01, -8.723844313519600602e-03, -1.007423920607891307e-02, 8.411460881576228177e-01, 6.394198275654500337e-03, 3.603389181837265108e-03, 1.420159260068512130e-03, -3.101325605509496104e-03, -1.168209659056251978e-03, 5.813063914699186227e-04, 1.114933000977083172e-01, -7.690076675844358112e-02, -3.894891611691097405e-02, 5
5073468966916, 5.058720017962845678e-03, 1.894789630841831485e-03, 1.700355787340304898e-03, 5.405986219842913165e-01, -9.610902727383742808e-03, -1.123801618479178081e-02, 8.411506805856370228e-01, 6.464907076569795415e-03, 1.679341395217658073e-03, 1.903739199870865080e-03, -3.101325605509496104e-03, -1.168209659056251978e-03, 5.813063914699186227e-04, 1.114933000977083172e-01, -7.690076675844358112e-02, -3.894891611691097405e-02, 5
5073485635166, 5.165637350738817163e-03, 2.044519408798206508e-03, 1.714899623351983293e-03, 5.407486705335475818e-01, -1.070215443886497059e-02, -1.241849723518713422e-02, 8.410244468105473326e-01, 6.648046343016526978e-03, 8.483665904426038011e-04, 2.147104563536876391e-03, -3.101325605509496104e-03, -1.168209659056251978e-03, 5.813063914699186227e-04, 1.114933000977083172e-01, -7.690076675844358112e-02, -3.894891611691097405e-02, 5
5073502303458, 5.695393866153827464e-03, 1.351494283878307973e-03, 2.458871191600974296e-03, 5.413982863710995463e-01, -1.184455187740701167e-02, -1.350487183851689123e-02, 8.405743396879813423e-01, 8.767647743942848237e-03, -6.739250993425332896e-03, 8.155358262848015627e-03, -3.101325605509496104e-03, -1.168209659056251978e-03, 5.813063914699186227e-04, 1.114933000977083172e-01, -7.690076675844358112e-02, -3.894891611691097405e-02, 5
