timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 3.949766105219122215e-05, 2.379778616373645292e-06, 7.834947108814299717e-06, 5.283633511841838715e-01, -1.233875067426924883e-02, -1.236731200400755914e-03, 8.489277913068667969e-01, 4.645238000932593730e-03, 5.076975721554884483e-04, 1.264743285952678884e-03, -7.812304648683146861e-04, 4.256375734257554673e-03, 4.393027124694209065e-05, -4.410882350929241005e-06, 6.766700881488216095e-07, -1.065722977254359589e-06, 
5073385625750, 3.265011514730082188e-04, 2.602315082909585674e-04, -7.602695905255421702e-05, 5.273643931031390952e-01, -1.404459310388389906e-02, -1.640999392107600052e-03, 8.495215438189306356e-01, 9.983657487462143515e-03, 7.011100355674921951e-03, -8.332793616781589141e-04, -8.564630621554843344e-04, 4.234920349436236547e-03, 6.449858323763402906e-05, 2.682609716564193694e-04, -2.630407858600223225e-04, 2.685023351918198824e-04, 
5073402293958, 5.174171894006406210e-04, 5.373158652039849688e-04, -1.601295333073423093e-04, 5.288697633368008022e-01, -1.579650319812914497e-02, -2.159506589756602767e-03, 8.485532278213764323e-01, 7.976340573341001577e-03, 7.979149664836907366e-03, -9.049690972895964520e-04, -8.636755086668217174e-04, 4.133991511699406859e-03, 6.835880804170793828e-05, 6.151964201678963894e-04, -1.515045067675605103e-04, 3.934787713977730807e-04, 
5073418962083, 5.952778174158256325e-04, 9.153583061786759595e-04, -2.824155767909190080e-04, 5.314435512668870265e-01, -1.843144370559325965e-02, -1.885325876909593962e-03, 8.468910669301602523e-01, 1.384276394906841425e-03, 1.132553430859349793e-02, -2.263673025192643445e-03, -8.517184418576504096e-04, 3.828748748988423239e-03, 7.263553409006014020e-05, 1.249678965409543483e-03, 1.156926943802323392e-04, 2.514106835726359753e-04, 
5073435630375, 5.926644990003869257e-04, 1.111806925862879325e-03, -2.998337626704458410e-04, 5.338093798593903649e-01, -1.789368163147150165e-02, -3.400083616001949461e-03, 8.454086595033249996e-01, -2.134816784604566531e-03, 1.548318028389404806e-02, -3.351421740845308105e-03, -1.019865047567791077e-03, 3.835886420370079614e-03, 9.866167720557146895e-05, 3.958651629306722823e-04, -2.029696195659865150e-03, -1.277833258183558220e-03, 
5073452298625, 6.012338532790247568e-04, 1.352644387322223625e-03, -3.052568490306727588e-04, 5.347062106069798704e-01, -1.665409762761753051e-02, -5.512256226834412465e-03, 8.448559193151360391e-01, -1.343719762380618001e-03, 2.305872180084255971e-02, -4.696330825064423328e-03, -1.411728151686490306e-03, 4.064911745359200620e-03, 4.443520726796034012e-05, -9.548837773170116595e-04, -7.504442119068070564e-03, -4.150028662363643150e-03, 
5073468966916, 7.167371645409927614e-04, 1.582748951669128191e-03, -2.873221499773079279e-04, 5.362241413242172516e-01, -1.606061537230781336e-02, -7.607118501330176544e-03, 8.438885344896417395e-01, 1.122256090428405944e-03, 2.696809047123478742e-02, -5.055153732609839710e-03, -2.728313016026472689e-03, 5.052639185345448453e-03, -1.886426859466705996e-04, -1.869970786294703705e-03, -1.934818371052141051e-02, -1.066465335557002271e-02, 
5073485635166, 8.518222543137129012e-04, 1.736611788514672494e-03, -2.186402315199121628e-04, 5.386966604578310447e-01, -1.651217637589282028e-02, -9.223061763760604520e-03, 8.422874753756068866e-01, 1.504554132260335457e-03, 2.358433280741025276e-02, -3.119871899449610034e-03, -4.149803779278182433e-03, 6.438767820335256076e-03, -4.011930559160399113e-04, -2.354314819889215260e-03, -3.498689770639497321e-02, -1.941861578460772966e-02, 
5073502303458, 8.831984525207766789e-04, 1.922636568550558332e-03, -2.167944058010984787e-04, 5.405189408115093075e-01, -1.733741970452508038e-02, -1.039900767986523186e-02, 8.410889067995532820e-01, 1.043573743223378462e-04, 1.766966622559556707e-02, -1.638924300491714347e-03, -4.692455712247116210e-03, 6.914435205465569063e-03, -5.011334126653353488e-04, -2.535984778658148184e-03, -3.911408678299795050e-02, -2.189931428041527739e-02, 
