timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, -1.701442918211889047e-02, -1.987615666748856515e-03, 1.070436472131869148e-02, -5.939673399478646587e-01, -4.610808425212524209e-01, -7.525429326106121419e-02, 6.549382009632114254e-01, -5.030197784883214496e+01, 1.282966545843770234e+02, -9.258713577340537881e+01, -3.695736149959390204e-02, -3.512828450105879963e+00, 1.446046566417210077e-01, 8.089551310754993096e+01, 2.864730190366244145e+01, 6.059220113047118161e+01, 0
5073368957500, -8.498566053982011814e-01, 2.113707835529765156e+00, -1.528779701891969989e+00, -6.655793512889687236e-01, -5.950581890654863537e-01, 1.118003613550299508e-01, 4.363605825057349508e-01, -4.802585920042997003e+01, 1.244024689727054351e+02, -9.175766138099457692e+01, -3.696750868763402226e-02, -3.512866228071235497e+00, 1.445528811395858371e-01, 8.101857806655236516e+01, 2.858017888410078555e+01, 6.079902438464003467e+01, 0
5073385625750, -1.629436387522288587e+00, 4.161095733226098936e+00, -3.056497749506582817e+00, -6.170528632074935294e-01, -6.515153323705558108e-01, 1.085293618669091048e-01, 4.277790472969429936e-01, -4.287797788420309786e+01, 1.200179820449098145e+02, -9.206421396032644111e+01, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 0
5073402293958, -1.629203017044869473e+00, 4.161188052213700139e+00, -3.056280949052221807e+00, -6.154964121336591321e-01, -6.522838798389720694e-01, 1.102664617804162001e-01, 4.284054319908169872e-01, 1.551931932910054386e-02, 5.100725222401136100e-03, 1.440661798276613934e-02, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 3
5073418962083, -1.628995503531640576e+00, 4.161324769652718913e+00, -3.056101194326737769e+00, -6.141143625925594707e-01, -6.527068201744085085e-01, 1.124840196188997554e-01, 4.291674520344266330e-01, 1.627324994333104874e-02, 6.496311744541748839e-03, 1.482432134477297547e-02, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 3
5073435630375, -1.628945497494409533e+00, 4.161489234489082811e+00, -3.056104192762358451e+00, -6.131631838140721991e-01, -6.530222522510894523e-01, 1.143038819877830875e-01, 4.295666079229482626e-01, 1.499811826274317743e-02, 7.513358108388681206e-03, 1.262345494239174026e-02, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 3
5073452298625, -1.628963182006513799e+00, 4.161548334192823440e+00, -3.056189086851772707e+00, -6.125644739620140777e-01, -6.536137346243998669e-01, 1.152462392689661830e-01, 4.292693274441418128e-01, 1.305907915588375157e-02, 6.724364929337232205e-03, 9.801798059419927767e-03, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 3
5073468966916, -1.628770291527406489e+00, 4.161585110067616888e+00, -3.056086767665782578e+00, -6.121114749120533105e-01, -6.544978181954821395e-01, 1.157988127901262848e-01, 4.284189342393048827e-01, 1.294870857255205066e-02, 6.664466567069401819e-03, 9.614698278874674736e-03, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 3
5073485635166, -1.628609818343136562e+00, 4.161742406861532295e+00, -3.056039918624876783e+00, -6.115924572501624246e-01, -6.553619427020027643e-01, 1.166532357654902902e-01, 4.276066099559339695e-01, 1.306155242797558437e-02, 6.860757726417715356e-03, 9.638280406337974490e-03, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 3
5073502303458, -1.628468570464195242e+00, 4.161855324877364204e+00, -3.055992202118644308e+00, -6.109124901090304816e-01, -6.559961969181401509e-01, 1.180313090358245665e-01, 4.272277251595572034e-01, 1.263907506178219356e-02, 6.995174541394685863e-03, 9.525485150167463735e-03, -3.695893338140715523e-02, -3.512960512799099266e+00, 1.443774819938021536e-01, 8.135742665473715363e+01, 2.847001124016685125e+01, 6.145659772976050306e+01, 3
