timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 3.565738790357603493e-05, 4.214616052634495071e-06, 9.451213379026385678e-06, 5.283743607918675034e-01, -1.215129618044198841e-02, -1.401892577438055123e-03, 8.489233861522027524e-01, 4.232917341829128474e-03, 7.212055347242446370e-04, 1.455828852533513776e-03, -1.156955613783294898e-03, 4.540319134964760847e-03, 1.107518660644367164e-04, -3.841762149129219136e-06, 1.526705877825094599e-07, -8.045907988901701812e-07, 
5073385625750, 2.041585908936468033e-04, 1.508247294979239326e-04, -2.541372680770283049e-05, 5.274859319611963082e-01, -1.254800526979299446e-02, -2.627624469078046216e-03, 8.494670298112970697e-01, 6.834701006214579516e-03, 3.731077042678644217e-03, 7.360139682679635179e-04, -1.258271265596514008e-03, 4.575396496496597978e-03, 1.232143098689429130e-04, 1.741624227089113078e-05, -2.598534261352476336e-04, 2.586422716866913275e-04, 
5073402293958, 3.887515168595929993e-04, 4.908589552248945670e-04, -1.619470627789950149e-04, 5.287871702171490496e-01, -1.509340438160444026e-02, -2.642030693909661141e-03, 8.486161307868979042e-01, 5.750823038021265349e-03, 7.127993268614886413e-03, -9.177791878158924731e-04, -1.222121053701773338e-03, 4.378343066842601584e-03, 1.031663028322806765e-04, 6.051545813919020694e-04, 3.962820886073582924e-05, 5.266155184805008547e-04, 
5073418962083, 4.665277867530349541e-04, 6.559227827750904868e-04, -1.932682908898368426e-04, 5.310787345435474816e-01, -1.626475398431176736e-02, -3.293591265923434108e-03, 8.471599540523779837e-01, 1.154227873083969562e-03, 7.743545022596061422e-03, -8.655929835640206911e-04, -1.206418749483201529e-03, 4.302324258892913783e-03, 1.059894628092407511e-04, 7.118749109079355961e-04, 9.027774575158566410e-05, 4.389302696651771517e-04, 
5073435630375, 7.130960397994053936e-04, 1.128882053368728813e-03, -3.621740964187048807e-04, 5.336182129469752011e-01, -1.611865307189019880e-02, -4.577542645823962433e-03, 8.455594821996561539e-01, 1.035224214496096836e-03, 1.588646995587823449e-02, -4.113775770564204529e-03, -1.344667384172373945e-03, 4.262495067746811458e-03, 1.607837207626043943e-04, 9.802324410470108595e-05, -7.349574970248914626e-04, -5.646559248893113581e-04, 
5073452298625, 9.875380369706130302e-04, 1.633991443797622352e-03, -5.053250187150487615e-04, 5.353145991529232317e-01, -1.473632278246540458e-02, -6.803791692734778400e-03, 8.444967904872094921e-01, 4.733120861472192575e-03, 2.515130884045257975e-02, -6.766863670459271132e-03, -1.977593015544750529e-03, 4.600794087276208026e-03, 2.301628452446673450e-04, -1.238979923659961312e-03, -5.304704705746480717e-03, -3.469879915584464514e-03, 
5073468966916, 1.284554646662599371e-03, 2.092548449405741851e-03, -5.570243554054538039e-04, 5.364239955828327133e-01, -1.502263592905955965e-02, -8.311223072290980021e-03, 8.437739868849564173e-01, 7.346552943131653621e-03, 3.105768693139093067e-02, -7.738553061800281484e-03, -2.803349999522197766e-03, 4.847794722609103518e-03, 2.987811936996120389e-04, -1.523459062652791603e-03, -1.336138745380232792e-02, -7.872672503657838355e-03, 
5073485635166, 1.432532510679226153e-03, 1.952234353637397101e-03, -2.987294282970718185e-04, 5.406128340341046501e-01, -1.543753064443786210e-02, -9.904682301743890013e-03, 8.410715448722049237e-01, 7.344478361570468648e-03, 2.222439052758112821e-02, -3.392880015204966654e-03, -4.899032618627052575e-03, 5.203249252184874614e-03, 1.795949968263598883e-04, -1.845836902229727565e-03, -3.873914187187778996e-02, -2.131613944069027725e-02, 
5073502303458, 1.298366257175157705e-03, 1.665072814832280071e-03, -1.034902018365355494e-04, 5.433189450830393508e-01, -1.594786791735796835e-02, -1.124086305732619959e-02, 8.392996082570695071e-01, 5.018955251844946230e-03, 1.107534503003972971e-02, -6.776534316806170997e-04, -5.924756417595234206e-03, 5.170688467868094634e-03, -1.686072199233295003e-04, -1.897287634571304463e-03, -4.144778339853601168e-02, -2.275956043567142414e-02, 
5073518971583, 1.351524315318753961e-03, 1.769910914398529090e-03, -9.931374168274725780e-05, 5.444757685282616277e-01, -1.683164183638177769e-02, -1.194166274433509575e-02, 8.385226472848249513e-01, 3.505936888860056600e-03, 5.664870780598070359e-03, -5.651609865656228053e-04, -5.961754982375542557e-03, 5.170702381162540877e-03, -1.983598491124277793e-04, -1.880476847664205170e-03, -4.108611261246046531e-02, -2.254447011435328427e-02, 
5073535639833, 1.546796600003672636e-03, 1.542461454682613788e-03, 1.015719658695069812e-04, 5.467111152291702636e-01, -1.694599286402345348e-02, -1.281228710766971549e-02, 8.370517517512283678e-01, 4.512927682960874397e-03, -1.444671825800784978e-03, 1.631926064659364791e-03, -6.386357708968661180e-03, 4.802440087996434626e-03, -2.535163423198695705e-04, -1.886566153589009243e-03, -5.787185082841501960e-02, -2.945534009267604392e-02, 
5073552308125, 1.672165519579445854e-03, 1.414933148911410275e-03, 1.940995989192610682e-04, 5.473552447637840546e-01, -1.726067243362777379e-02, -1.350594786004422586e-02, 8.366133483211458666e-01, 5.182560274470606083e-03, -2.645523727064658798e-03, 2.376868798527000462e-03, -6.488883014063573200e-03, 4.696940732463641098e-03, -2.209128790000378789e-04, -1.813174684681698352e-03, -6.267547332357262246e-02, -3.108327191816594171e-02, 
