timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 3.691758184087641541e-05, 4.000636125329626194e-06, 9.312667729295954943e-06, 5.283702517980582991e-01, -1.216706838339164792e-02, -1.373537091264688927e-03, 8.489257640439883401e-01, 4.372408875343533272e-03, 6.971112256706600433e-04, 1.439227779923731671e-03, -1.141367360522456626e-03, 4.706097982978687394e-03, 2.970352609344058077e-05, -4.038525092374665043e-06, 2.754982484051090143e-07, -8.577785058467876505e-07, 
5073385625750, 1.571383270835480976e-04, 8.079814994395277000e-05, 4.881316712136594884e-06, 5.285075900362757872e-01, -1.258912443515893161e-02, -2.604987615621298311e-03, 8.488312289610500105e-01, 5.478816318010769695e-03, 1.229610338993524345e-03, 1.648152007533147667e-03, -1.170880459798817955e-03, 4.722896997861243153e-03, 3.798095298077054877e-05, 1.987800115434722913e-05, -1.364168723692556261e-04, 9.746038750174152885e-05, 
5073402293958, 2.682894703074395373e-04, 2.294427257280023274e-04, -2.823285271873173582e-05, 5.296294682639406393e-01, -1.381941793316785599e-02, -3.449958150279553489e-03, 8.481095140506356156e-01, 4.173747400980201520e-03, 1.406184568604596560e-03, 1.779452054511387752e-03, -1.158301740155962163e-03, 4.671349450270746023e-03, 4.654111730571167392e-05, 2.201068194849285613e-04, -2.434299801355298428e-04, 2.567065099706895294e-04, 
5073418962083, 3.556809527139949715e-04, 4.280030571611870673e-04, -7.007084647488845863e-05, 5.318007478784304576e-01, -1.546803227778391875e-02, -3.802685010977297289e-03, 8.467196963104749452e-01, 1.565550553793831077e-04, 3.758614553818899560e-03, 1.009051541390450007e-03, -1.081454585246336558e-03, 4.543269971505997130e-03, 6.074437988140577794e-05, 5.139931333693716683e-04, -2.664549028669680993e-04, 1.726472957611018097e-04, 
5073435630375, 4.316578614427664081e-04, 6.168368633680848707e-04, -4.908196837556116915e-05, 5.338746098489782765e-01, -1.586184718060307600e-02, -4.739252738753046805e-03, 8.454015863754330562e-01, -2.053472917393435286e-03, 9.497063706369573977e-03, -2.977293291911207009e-04, -9.893839055225709181e-04, 4.512546887691395309e-03, 1.108593858409601650e-04, 1.896984841583592904e-04, -1.773617443342090589e-03, -9.114329176409520462e-04, 
5073452298625, 6.077312354205726026e-04, 8.715895246507810237e-04, 4.554214265145865772e-06, 5.351657782804890573e-01, -1.520356469324849261e-02, -6.493427917869208123e-03, 8.445852690947978081e-01, 4.182282283682237263e-04, 1.770828261269505668e-02, -1.647978342049010890e-03, -1.057664174702903012e-03, 4.556220152876593044e-03, 1.210085114446736985e-04, -7.500267328376156693e-04, -5.815230398713543310e-03, -3.376078856424479750e-03, 
5073468966916, 1.264607826510409433e-03, 1.329143866281110075e-03, 1.529694097608022801e-04, 5.351446933175043608e-01, -1.324699630900252369e-02, -9.386894714264515382e-03, 8.446043810628305337e-01, 9.617573968098119819e-03, 2.623252082470531668e-02, -1.487052218893858977e-03, -1.408463848956771191e-03, 4.321063434220343696e-03, 1.516222765272775229e-04, -2.195550727950765744e-03, -1.669890417761285550e-02, -8.496952488949178345e-03, 
5073485635166, 1.597288395093546948e-03, 1.577292338301901136e-03, 2.962352511431281567e-04, 5.385355442693990913e-01, -1.472048528684859019e-02, -1.028241600578002485e-02, 8.424114474486121829e-01, 9.686695293330374254e-03, 2.257429913985870007e-02, 3.223478911310766540e-04, -1.702904142667164633e-03, 4.198939038350582749e-03, 1.968776301831141667e-04, -1.632486351882315220e-03, -2.945899896014487346e-02, -1.617673952906598794e-02, 
5073502303458, 1.702137553072568697e-03, 1.791896807646654053e-03, 3.356247299462167765e-04, 5.402927020376210310e-01, -1.584528466425180748e-02, -1.122768850323341804e-02, 8.412530309542247675e-01, 7.910441946084497897e-03, 1.710803380603096585e-02, 1.354167750010031599e-03, -1.769623777982351183e-03, 4.329975718479159644e-03, 1.820459208685117438e-04, -1.559896835592228725e-03, -3.097260484140349976e-02, -1.730074327800901896e-02, 
5073518971583, 1.792180162234461313e-03, 1.972911190733790676e-03, 3.693288668961092441e-04, 5.416688340432989079e-01, -1.668352123574076001e-02, -1.196128753276298924e-02, 8.403412770689705491e-01, 6.451344794531627472e-03, 1.219324581644748266e-02, 1.431526435119026336e-03, -1.759913367919311439e-03, 4.455386118763013728e-03, 2.214371797955344188e-04, -1.586579464733907244e-03, -3.213799503670629332e-02, -1.792899502284595048e-02, 
5073535639833, 1.744475099427849740e-03, 1.520763337415861156e-03, 5.190065868258017349e-04, 5.449672863384207311e-01, -1.648036310852496814e-02, -1.314372114666424902e-02, 8.381922792815309498e-01, 6.682285078826556875e-03, 1.848019649203373792e-03, 2.904183478272039012e-03, -1.544835333317247763e-03, 5.555753732678447507e-03, 6.346166873824175434e-04, -1.903249733357412427e-03, -4.732636065477247717e-02, -2.525509708480562152e-02, 
