timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 4.734302977011359759e-09, 1.204468568436135516e-08, -4.216802197220345201e-10, 5.284015417399292591e-01, -9.688540406891451781e-03, -5.159459892417573787e-03, 8.489236260378598686e-01, 1.106266728416059192e-01, 7.171202998744196505e-03, 4.251759784145842797e-02, -3.095319652070255018e-03, -5.194294260092571303e-04, 1.477874016806332048e-03, 9.190328339743750186e-02, -2.204375419364826630e-02, -1.231525277936874468e-01, 0
5073368957500, 1.842410153269220070e-03, 1.126880122402451834e-04, 7.233264742540902563e-04, 5.285895656871314463e-01, -9.877056165143536376e-03, -6.277114929114197342e-03, 8.487968618205224969e-01, 1.104290409262688316e-01, 6.101747526123191268e-03, 4.432794274328595574e-02, -3.095319906429818812e-03, -5.194294503543988098e-04, 1.477874093050092052e-03, 9.190466499751658025e-02, -2.204404765266089472e-02, -1.231543693882079099e-01, 0
5073385625750, 3.680646567330417545e-03, 1.844176663638805581e-04, 1.483368421213756248e-03, 5.294810649932036872e-01, -1.014329270337347745e-02, -7.584881861502452624e-03, 8.482272012815574858e-01, 1.100671125620935747e-01, 2.176265832467320915e-03, 4.694900020421229753e-02, -3.095603006723927127e-03, -5.193746110011408139e-04, 1.477725067647534104e-03, 9.189462270247568398e-02, -2.206950812787884797e-02, -1.231476654851609426e-01, 0
5073402293958, 3.829885137363910931e-03, 3.410627331116470673e-04, 1.441820676751137459e-03, 5.312661156773015314e-01, -1.070635275506489487e-02, -8.861481244577367952e-03, 8.470910001257174748e-01, 9.421982227204396543e-03, 1.127620870996062785e-02, -3.433119383407390573e-03, -3.095603006723927127e-03, -5.193746110011408139e-04, 1.477725067647534104e-03, 9.189462270247568398e-02, -2.206950812787884797e-02, -1.231476654851609426e-01, 3
5073418962083, 3.946646037955708723e-03, 4.480341427097123607e-04, 1.427973878164985957e-03, 5.333385416125564493e-01, -1.157823268352354933e-02, -9.714243976474088230e-03, 8.457668579593807801e-01, 9.569757757841898527e-03, 1.121341764184180002e-02, -3.362503681223022629e-03, -3.095603006723927127e-03, -5.193746110011408139e-04, 1.477725067647534104e-03, 9.189462270247568398e-02, -2.206950812787884797e-02, -1.231476654851609426e-01, 3
5073435630375, 4.025213201618207948e-03, 5.326972213345756123e-04, 1.425940525674322104e-03, 5.348266870143777441e-01, -1.247236712110676160e-02, -1.033969162029868549e-02, 8.448064545757318911e-01, 9.877335435642281905e-03, 1.089988066119922452e-02, -3.135563164185312113e-03, -3.095603006723927127e-03, -5.193746110011408139e-04, 1.477725067647534104e-03, 9.189462270247568398e-02, -2.206950812787884797e-02, -1.231476654851609426e-01, 3
5073452298625, 4.115738293481038812e-03, 6.096857723299323227e-04, 1.435334716215047038e-03, 5.353411261211945549e-01, -1.325021262188993618e-02, -1.119719853046868135e-02, 8.444577747251992283e-01, 1.008311983196478676e-02, 1.030551324223667221e-02, -2.573569119456076484e-03, -3.095603006723927127e-03, -5.193746110011408139e-04, 1.477725067647534104e-03, 9.189462270247568398e-02, -2.206950812787884797e-02, -1.231476654851609426e-01, 3
5073468966916, 1.233959830234037519e-02, 1.528090536093974999e-04, 5.654043991291293932e-03, 5.352111124402103570e-01, -1.387005530942432216e-02, -1.227386607641278542e-02, 8.445152685995466202e-01, 9.984253390936045913e-02, 1.028176587951629313e-02, 4.874158230164264693e-02, -3.097212548582669971e-03, -5.190753250396211134e-04, 1.476685627658700338e-03, 9.184691359183703996e-02, -2.221195303236870103e-02, -1.231060714095223718e-01, 0
5073485635166, 1.246455889417817132e-02, 4.162847700491376828e-04, 5.607408319074923091e-03, 5.353398442843603222e-01, -1.494661727002865974e-02, -1.343211870309537863e-02, 8.443976716813744732e-01, 7.651134225980731930e-03, 1.516754178074406281e-02, -2.657910647833563143e-03, -3.097212548582669971e-03, -5.190753250396211134e-04, 1.476685627658700338e-03, 9.184691359183703996e-02, -2.221195303236870103e-02, -1.231060714095223718e-01, 8
5073502303458, 1.268480170153560814e-02, 5.686520216411478611e-04, 5.614517322632421072e-03, 5.360888192934827323e-01, -1.611716811932722981e-02, -1.437024607286836904e-02, 8.438853658810171465e-01, 1.090276414557582105e-02, 1.357758620854011139e-02, -1.710194049973852264e-03, -3.097212548582669971e-03, -5.190753250396211134e-04, 1.476685627658700338e-03, 9.184691359183703996e-02, -2.221195303236870103e-02, -1.231060714095223718e-01, 8
5073518971583, 1.329413138919186173e-02, 2.219951561977835533e-04, 5.901001838986659129e-03, 5.372555605311293281e-01, -1.702252458183756839e-02, -1.499803705993821117e-02, 8.431143191878498477e-01, 1.938945432747603281e-02, 7.093003083108892666e-03, 2.593597190628999134e-03, -3.097212548582669971e-03, -5.190753250396211134e-04, 1.476685627658700338e-03, 9.184691359183703996e-02, -2.221195303236870103e-02, -1.231060714095223718e-01, 8
5073535639833, 1.352363293879622376e-02, -1.222639466486899159e-04, 6.416831485710809690e-03, 5.382401368018626675e-01, -1.748037857738271236e-02, -1.563097758228401343e-02, 8.424652301668751342e-01, 1.802860283916781284e-02, 4.540841772314909396e-03, 8.028866387784310693e-03, -3.097212548582669971e-03, -5.190753250396211134e-04, 1.476685627658700338e-03, 9.184691359183703996e-02, -2.221195303236870103e-02, -1.231060714095223718e-01, 8
5073552308125, 1.342560906347989823e-02, -1.089232537571212733e-04, 6.353616006830911135e-03, 5.388774174034007824e-01, -1.795632371632049223e-02, -1.620848502712445363e-02, 8.420368070722094034e-01, 1.340678940919877958e-02, 6.483238215903080678e-03, 5.377530194612211052e-03, -3.097212548582669971e-03, -5.190753250396211134e-04, 1.476685627658700338e-03, 9.184691359183703996e-02, -2.221195303236870103e-02, -1.231060714095223718e-01, 8
5073568976333, 2.172401093179942080e-02, 8.448969288655389922e-04, 1.068134370612423140e-02, 5.389255925806895053e-01, -1.833596035375735858e-02, -1.667467961215762448e-02, 8.419886895198116505e-01, 8.878951373509100242e-02, 6.031362027646678531e-03, 5.119097322001532613e-02, -3.099014929860559840e-03, -5.187023160755461701e-04, 1.475335592088355919e-03, 9.180463227972737728e-02, -2.237935717656244425e-02, -1.230461537022765339e-01, 0
5073585644625, 1.424946790049753421e-02, -3.868609221274835761e-04, 6.550452082745049538e-03, 5.396969011188401666e-01, -1.893203209268836534e-02, -1.689243110381322480e-02, 8.414769627595073409e-01, 1.671217499156750844e-02, 8.281130188096770192e-03, 4.183127991468695364e-03, -3.097212548582669971e-03, -5.190753250396211134e-04, 1.476685627658700338e-03, 9.184691359183703996e-02, -2.221195303236870103e-02, -1.231060714095223718e-01, 8
5073602312875, 2.253751242041297440e-02, 4.071310772528902579e-04, 1.108147722535933986e-02, 5.397096769998358523e-01, -1.926572322042507598e-02, -1.748192000427744100e-02, 8.414491540993377372e-01, 2.369634498260192804e-02, -1.070157961693895231e-02, 1.108662842220837358e-02, -3.099014929860559840e-03, -5.187023160755461701e-04, 1.475335592088355919e-03, 9.180463227972737728e-02, -2.237935717656244425e-02, -1.230461537022765339e-01, 14
5073618981000, 2.609151027509408124e-02, 1.125232142542784532e-03, 1.325774532608282354e-02, 5.400972644124607536e-01, -1.944259739720316515e-02, -1.803453897933448083e-02, 8.411846918390928352e-01, 8.735872322912792420e-02, 3.169824386332939069e-03, 5.128982506326636853e-02, -3.099862999914754398e-03, -5.184960355033258828e-04, 1.474453429903730154e-03, 9.178703864715660743e-02, -2.246457631840164879e-02, -1.230136276226357350e-01, 0
5073635649291, 2.684236533575564895e-02, 9.021429113550282104e-04, 1.355753523686440906e-02, 5.408129862891893902e-01, -1.984404902096565532e-02, -1.865408400514552423e-02, 8.407018215332661137e-01, 4.387780877433350435e-02, -1.100021634841857540e-02, 1.762448061995032164e-02, -3.099862999914754398e-03, -5.184960355033258828e-04, 1.474453429903730154e-03, 9.178703864715660743e-02, -2.246457631840164879e-02, -1.230136276226357350e-01, 17
