timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 2.356253566159569605e-05, 3.624622771797778518e-06, 6.779547176242132926e-06, 5.283141083891760292e-01, -1.231214007050529524e-02, -1.183788022982984077e-03, 8.489588993171288678e-01, 2.731462663382465753e-03, 6.641291628682165910e-04, 1.137379053759721929e-03, -8.203964117190974377e-04, 2.907442972124666021e-03, -6.179747008835344811e-05, -2.961634687340762082e-06, 1.740978149184467231e-06, -1.686056565047898580e-06, 
5073385625750, 1.003430105057208572e-04, 4.926418410874750192e-05, 1.534004938278072072e-05, 5.283503623495134915e-01, -1.330390688565922207e-02, -2.045248745759519187e-03, 8.489197356783995119e-01, 3.094611611879640855e-03, 3.358372788400666676e-04, 1.888774483049837291e-03, -9.063246756616861240e-04, 3.065766071408930135e-03, -6.711394438042988793e-05, 1.381405805833010284e-04, -4.499350035635969893e-05, 1.604994977390782616e-04, 
5073402293958, 3.959630846005442791e-04, 4.219539972032950673e-04, -1.813305083766385837e-04, 5.278268802660702752e-01, -1.504699845149038914e-02, -2.518203670593111097e-03, 8.492149497956696935e-01, 5.694649493554255169e-03, 6.310600602045949095e-03, -1.347679214215615796e-03, -1.119348822210177157e-03, 3.094081998586046579e-03, -1.015516143407398504e-04, 4.917609121226878665e-04, 8.072066282422427162e-05, 9.355596809023540095e-04, 
5073418962083, 4.884044631877297159e-04, 5.926071247721302225e-04, -2.293755621705127019e-04, 5.301665298794527859e-01, -1.631637326874992022e-02, -3.095785514114068795e-03, 8.477308786820171305e-01, 1.250113878370519294e-03, 7.507094043307935977e-03, -1.437876105421856832e-03, -1.182820529400428668e-03, 3.037994276643527121e-03, -9.859906217304978523e-05, 6.390951409164622073e-04, 2.483032253040620935e-06, 7.511305062461393284e-04, 
5073435630375, 5.827497681963345879e-04, 9.184536697440442510e-04, -3.321516266690189081e-04, 5.322171568293209143e-01, -1.682095925463899383e-02, -3.943778611179768467e-03, 8.464315683600972529e-01, -1.378553212147432677e-03, 1.474121852197742867e-02, -3.779798211698934870e-03, -1.493612355266144259e-03, 3.037806353446241558e-03, -5.598977665913175070e-05, 3.685146265294200491e-04, -1.332558604662136947e-03, -2.724577729801078022e-04, 
5073452298625, 6.229670310199271737e-04, 1.102644232562625688e-03, -2.985417615928933374e-04, 5.353465727042446831e-01, -1.477057763647232971e-02, -6.580843719013983184e-03, 8.444776904253006311e-01, 8.741154522710450122e-04, 1.979344014071447375e-02, -4.244578105074740294e-03, -2.710774337504016918e-03, 3.276440656914497446e-03, 2.016567477667810396e-05, -1.547415305375945136e-03, -1.349225745935611794e-02, -7.848584166817058894e-03, 
5073468966916, 6.664283847648820071e-04, 1.475677558192447668e-03, -3.701537714907525943e-04, 5.355414159427798193e-01, -1.543880217594647414e-02, -7.822016878289171637e-03, 8.443316002906265938e-01, 1.324923076996441544e-03, 2.697258171420524250e-02, -5.996746125485042343e-03, -2.952920027228478524e-03, 3.336030251770742087e-03, 2.942366552332576591e-05, -1.644600230050383876e-03, -1.606957399841233217e-02, -9.196766786154303430e-03, 
5073485635166, 7.498074796841481008e-04, 1.784902102442453278e-03, -4.162723796374343649e-04, 5.369236175422612556e-01, -1.619446508701523693e-02, -9.168046803413687149e-03, 8.434255836430902820e-01, 9.804592360957041161e-04, 2.672045559073798343e-02, -5.710638334700572465e-03, -3.647141297081470980e-03, 3.653079092392034176e-03, 9.836438208110081320e-06, -1.795308642162546462e-03, -2.092975038272147301e-02, -1.211415909272607269e-02, 
5073502303458, 8.939004313236308813e-04, 1.850216447945643482e-03, -3.847243026842441763e-04, 5.395637656840838181e-01, -1.656023128767030936e-02, -1.062983556545171911e-02, 8.417147427105939883e-01, 1.242840086390914868e-03, 1.889370835051290901e-02, -3.946190999213616823e-03, -4.856327288947462004e-03, 4.614493870766080662e-03, -1.915419143766240739e-04, -2.075591979832993282e-03, -2.513002275920300441e-02, -1.477806008715677050e-02, 
5073518971583, 1.164888583334751371e-03, 1.824012783589459450e-03, -3.309456712802344935e-04, 5.425423614293765073e-01, -1.675585703019857875e-02, -1.189173017579578211e-02, 8.397771216598161059e-01, 2.622744030087579767e-03, 9.759008780804514366e-03, -2.668078075679797441e-03, -6.000371454821358530e-03, 6.716151365969738954e-03, -6.247804915511261017e-04, -2.323366880763057425e-03, -3.309343522381905794e-02, -1.887157937441371128e-02, 
5073535639833, 1.454492657276443496e-03, 1.841662506099654142e-03, -2.995358203304933375e-04, 5.446539443962918892e-01, -1.717181154605285434e-02, -1.269534734993259945e-02, 8.383889538259986507e-01, 3.826866114504248913e-03, 4.536972412132174101e-03, -2.076935624713260962e-03, -6.578177300201476681e-03, 7.840783185758669338e-03, -8.844323724088045237e-04, -2.404131595856509422e-03, -4.198240011086326606e-02, -2.326802075842085774e-02, 
5073552308125, 2.141560502772909928e-03, 1.753182661465265205e-03, -2.204097240027784888e-04, 5.473484274014194240e-01, -1.735913853715183655e-02, -1.357070342152398926e-02, 8.366147233578227205e-01, 7.685295806799206410e-03, -1.017865806435189419e-03, 3.885311575437228699e-04, -7.967169404233960181e-03, 8.565651066012227449e-03, -1.430872129333018604e-03, -2.480978289793328226e-03, -6.266179632445692538e-02, -3.296467825469966140e-02, 
5073568976333, 4.060474933134174645e-03, 4.768313339550095224e-04, 5.985291381460085096e-04, 5.518714639266487643e-01, -1.624819784924182858e-02, -1.496082292253979318e-02, 8.336366457561652510e-01, 1.924806698384180781e-02, -1.741255232258375266e-02, 9.980110834651572185e-03, -1.110370215766273878e-02, 5.757327846187427871e-03, -1.798400157544119155e-03, -2.298802227690164429e-03, -1.088952287338899455e-01, -5.226780547957091821e-02, 
5073585644625, 4.100653098972934993e-03, -4.632523164023091269e-04, 2.025996627630613674e-03, 5.521600131777407716e-01, -1.616534361048595908e-02, -1.581719183888566707e-02, 8.334313516756159945e-01, 1.934559888869649691e-02, -2.274014622569487873e-02, 1.790909503802066635e-02, -9.743528491028741537e-03, 3.008621272773634794e-03, 1.788730333461635786e-03, 5.450994873572095542e-04, -1.204356188618834478e-01, -5.249797173921082194e-02, 
5073602312875, 3.265625698792832057e-03, -2.915121755180230317e-04, 1.635931083508086054e-03, 5.510045857231155031e-01, -1.675611449253362750e-02, -1.611361460642338553e-02, 8.341783565662242994e-01, 1.569945203997270486e-02, -1.996516740574554374e-02, 1.295168438841806657e-02, -9.771764375268322117e-03, 2.989397473332921010e-03, 1.253156796070717220e-03, 6.685666965114835754e-04, -9.800525336413797028e-02, -4.215490531250730422e-02, 
5073618981000, 2.716064380925461551e-03, 1.005659035245824327e-04, 9.121372618944357559e-04, 5.509232463349547082e-01, -1.699601746709494127e-02, -1.594210399233233696e-02, 8.342305205147501068e-01, 1.433847085291924811e-02, -1.965806601938049902e-02, 7.187160147565411876e-03, -1.412654098873022436e-02, -2.025475616303091240e-04, -2.225466116137985242e-03, 9.651751311921529268e-04, -8.036524230351105302e-02, -3.538565892856355283e-02, 
5073635649291, 4.772726795770967922e-03, -6.562019585810827029e-04, 1.689105140013930561e-03, 5.525704733709356775e-01, -1.712241782700274495e-02, -1.648206738061463311e-02, 8.331272629204008462e-01, 2.348292084298787136e-02, -2.935974086844318418e-02, 1.093349766074064137e-02, -1.424145063519444490e-02, -1.661686265562997700e-03, -2.360393093126263338e-03, 8.288056033064651737e-04, -9.000383397991355838e-02, -4.001455208511217609e-02, 
5073652317541, 7.033744994978461361e-03, -9.698053058912071284e-04, 2.267837998078896852e-03, 5.526265954928746282e-01, -1.747677399031340520e-02, -1.757581843060977006e-02, 8.330603213041302135e-01, 3.236306979028584496e-02, -3.141799403620468278e-02, 1.210088716617937175e-02, -1.428676334320725695e-02, -1.041737701557477304e-03, -2.701283157661814663e-03, 4.290799756899606448e-04, -9.033530577666824823e-02, -3.958808818228442411e-02, 
5073668985791, 1.261444962814522314e-02, -8.107046606505701207e-05, 3.247507451889910645e-03, 5.520640592341234942e-01, -1.984317570755449872e-02, -1.862353885366686487e-02, 8.333574783250865536e-01, 4.622803191999480532e-02, -2.670383471176873691e-02, 1.738384612136878102e-02, -1.565848105673446275e-02, 2.493848575653773679e-03, -4.370613694294387362e-03, -1.097574773113528090e-04, -1.053641301785849110e-01, -4.543537627649882338e-02, 
5073685654083, 1.416178340425664275e-02, 1.932727377868921018e-04, 3.623201269331726131e-03, 5.517961833896465329e-01, -2.272514841488123757e-02, -1.973147728128837181e-02, 8.334357854270711963e-01, 4.465925169390119048e-02, -2.419702427236467696e-02, 1.832559792941175839e-02, -1.590785870166048707e-02, 3.738908512464065095e-03, -4.331406613603793962e-03, -8.115836906395194357e-06, -1.118338091713112770e-01, -4.801093931512159796e-02, 
5073702322208, 1.101102410125533171e-02, 2.135891100693137860e-03, 3.045638632068816808e-03, 5.515759944238840529e-01, -2.784401968582135220e-02, -2.107641535481856454e-02, 8.333933151032771880e-01, 2.595682604419467104e-02, -1.694415870181933612e-02, 1.810620503099469314e-02, -1.673853568810803813e-02, 1.583268100559962963e-02, -3.780550489210370273e-03, -1.807631213818018277e-03, -1.351136665101138890e-01, -5.752395847405166601e-02, 
5073718990416, 8.930659515611031815e-03, 2.082714320812372594e-03, 2.590352812286163438e-03, 5.519535048144805778e-01, -2.850948796583888112e-02, -2.347615517287306164e-02, 8.330566653939190935e-01, 2.645120303419419908e-02, -1.693203184840220629e-02, 1.251637391421722006e-02, -1.740708107967549323e-02, 2.122372147399226305e-02, -1.950607597309448465e-03, -2.609142792382513395e-03, -1.307293415766152267e-01, -5.327618738322385111e-02, 
5073735658708, 5.636299862537067808e-03, 2.226307387788640027e-03, 1.723400639501819704e-03, 5.519068814879066753e-01, -2.884209630834113497e-02, -2.558582302884373702e-02, 8.330139814593575665e-01, 2.325620306216895014e-02, -1.289750941586647465e-02, 6.131329446969343080e-03, -1.729212290951298928e-02, 2.948737685125486438e-02, 2.870774743066269955e-03, -2.391963090665191922e-03, -1.240893286302574422e-01, -4.157197004854287781e-02, 
5073752327000, 5.459585204923469992e-03, 2.162572719639143173e-03, 1.581889938880950367e-03, 5.525633142754339255e-01, -2.849868839298345946e-02, -2.581949498547495350e-02, 8.325833064357721636e-01, 2.439151518124923687e-02, -1.496098734529156121e-02, 5.889808421604128194e-03, -1.742918968524834189e-02, 3.175945612963874953e-02, 3.258411983335978736e-03, -1.591449611432932051e-03, -1.239885517417115696e-01, -4.160132545724113534e-02, 
5073768995166, 5.915896436286290430e-03, 2.021905541184829645e-03, 1.712102983433606536e-03, 5.535390426615816040e-01, -2.834488171301951034e-02, -2.596015461656509329e-02, 8.319357945792804632e-01, 2.479750218133669817e-02, -2.025403214726869544e-02, 6.448487437419977118e-03, -1.746053613987154363e-02, 3.353073568185772207e-02, 3.137949900942729395e-03, -1.582636808315237989e-03, -1.224062905020540937e-01, -4.783804740249491400e-02, 
5073785663541, 7.063944406150555848e-03, 1.927412853455456139e-03, 2.230447548471901128e-03, 5.547489656356177079e-01, -2.926537346217729374e-02, -2.619783071817010506e-02, 8.310901255026397205e-01, 2.317702023128416500e-02, -2.790618940865013595e-02, 7.843622450915223310e-03, -1.715096209840107425e-02, 3.697158698296793694e-02, 2.436452767706178552e-03, -1.854564575152333481e-03, -1.202327567593873131e-01, -6.248897299952875517e-02, 
5073802331666, 8.588399878650183894e-03, 1.394233167199685451e-03, 3.010285455492835854e-03, 5.565791007511541322e-01, -2.991448478991736576e-02, -2.686324153060125688e-02, 8.298211822201571053e-01, 2.520501989152591424e-02, -3.597334041571675911e-02, 1.222589468958696322e-02, -1.725765674457882537e-02, 3.866982671222342349e-02, 2.077583319043395903e-03, -7.802560729478631414e-04, -1.277464804545694332e-01, -6.623514861350550398e-02, 
5073818999916, 9.882922733407691063e-03, 6.468919347423019231e-04, 3.664135020430551570e-03, 5.577471308240697923e-01, -3.037992707254613678e-02, -2.765974968425176372e-02, 8.289934477038943816e-01, 2.927123094185108201e-02, -3.878631825446916120e-02, 1.732742182778837861e-02, -1.754779462800828624e-02, 3.897265664856545964e-02, 2.063645674928644026e-03, 2.955232127986298011e-04, -1.352231284373032749e-01, -6.619971758250668692e-02, 
5073835668208, 1.014138271712488812e-02, -7.348472449901329506e-04, 4.078710975869128709e-03, 5.581382641608877426e-01, -2.963653889569647232e-02, -2.963975742097433100e-02, 8.286886257345281726e-01, 3.819080422354165227e-02, -3.484193118776815479e-02, 2.684889589469582893e-02, -2.034336835618352768e-02, 4.176939057767872082e-02, 1.456692808740696907e-03, 8.470889485771239749e-03, -1.603180610060566669e-01, -5.469984769507167666e-02, 
5073852336500, 6.003419138309011235e-03, 8.453743439988871834e-04, 2.316289884048899211e-03, 5.559681025025831058e-01, -3.065927051146028273e-02, -2.904890763136772427e-02, 8.301298929064094834e-01, 2.560496089041491841e-02, -1.763694192050796125e-02, 2.371530443565304791e-02, -1.917725360533379525e-02, 4.428917893134825395e-02, -2.840008244786352306e-04, 1.191597115705702280e-02, -1.385838187030878910e-01, -4.252150623207064106e-02, 
5073869004708, 6.658340415319471961e-03, 1.588210516619195612e-03, 2.284550064729115072e-03, 5.564845907387770962e-01, -3.101626640371002788e-02, -2.842650191181890496e-02, 8.297920374875427107e-01, 2.608895019792122766e-02, -2.429883079127915721e-02, 2.959311879384226782e-02, -2.108778577873760343e-02, 4.551359373578142686e-02, 9.908324132473407281e-04, -2.454615721796792743e-03, -1.324454321265369217e-01, -5.967702955979131696e-02, 
5073885673000, 9.686057015226753539e-03, 1.280530009840757325e-03, 3.452100160663579276e-03, 5.583779682405441980e-01, -3.012082005159593887e-02, -2.826178636291538579e-02, 8.285578146481741291e-01, 3.460041020603835810e-02, -4.093268644738097539e-02, 3.857971504194789708e-02, -2.229482528241975500e-02, 4.565806204434916249e-02, 2.041535570357284543e-03, -6.367197519021718620e-03, -1.373229535290573511e-01, -7.046724362847485434e-02, 
5073902341125, 1.132371901713155951e-02, -2.003233613193827788e-04, 4.836151343465077898e-03, 5.588488095363766117e-01, -2.902685271723760840e-02, -2.812953329765029500e-02, 8.282838760096461472e-01, 4.177188956745405551e-02, -5.042189241957181073e-02, 4.578680599900433745e-02, -2.229127820865417844e-02, 4.583087339194719806e-02, 2.032192385013784682e-03, -1.936625413999581340e-03, -1.338253285316254593e-01, -7.192066906517818881e-02, 
5073919009416, 1.132632838380462879e-02, -1.009970400584978391e-03, 5.239248738406136752e-03, 5.582798338980367037e-01, -2.873550550539059542e-02, -2.789176022550833578e-02, 8.286856747269456536e-01, 4.193100454326182530e-02, -5.052652678717642343e-02, 4.965538291067409654e-02, -2.217016423925148236e-02, 4.646289726335457032e-02, 8.614640049151589280e-04, 3.591011250449389815e-03, -1.265237320197271642e-01, -7.077344554513285979e-02, 
