timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 1.793984131505046760e-11, -1.905932446103111198e-11, 9.939042397930570003e-13, 5.294594344421027499e-01, -8.012684329742031375e-03, -2.584381431103539330e-03, 8.482934781917748079e-01, 3.569596992301421468e-02, 1.974866514792021285e-02, -5.004446744486888005e-03, -1.805701864596269196e-03, -2.294682780175498135e-03, -7.461717795452589195e-05, 3.902727285928900974e-02, -2.790426729247841298e-02, -1.057978984208629430e-01, 0
5073368957500, 6.010349349523406645e-04, 3.214075604417576258e-04, -6.903087179334032567e-05, 5.296318951901006766e-01, -8.184942671368978379e-03, -3.680755039239234222e-03, 8.481801190508710953e-01, 3.655792696350318449e-02, 1.854459763545197523e-02, -3.042686714722164874e-03, -1.805731953915317486e-03, -2.294684190549758657e-03, -7.462129907547968921e-05, 3.902734891251324889e-02, -2.790430250002289350e-02, -1.057980674742376864e-01, 0
5073385625750, 1.216661787515773254e-03, 5.994812145046646973e-04, -9.772979722841987544e-05, 5.305058753039818553e-01, -8.432787752195735134e-03, -4.968042570154844982e-03, 8.476247535977838865e-01, 3.747181728457086441e-02, 1.444902764491834933e-02, -4.082584581131984381e-05, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 0
5073402293958, 1.275222495649478392e-03, 6.973182603449501818e-04, -1.241308890673804995e-04, 5.322937484790457585e-01, -9.067145408004868151e-03, -6.291175076628493894e-03, 8.464877868702133101e-01, 4.024524974769822828e-03, 7.720959683325408739e-03, -2.520491462101412394e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073418962083, 1.342811569853844412e-03, 7.455019596027427295e-04, -1.308736258145691577e-04, 5.344495836477327622e-01, -1.013039945731119239e-02, -7.201832736975604700e-03, 8.451089581532247319e-01, 4.932691962835715135e-03, 8.903970270436101231e-03, -3.541494316157560267e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073435630375, 1.367645316978386479e-03, 7.806272320779361791e-04, -1.008348542906910755e-04, 5.360199844524756729e-01, -1.124093324505896774e-02, -7.868027975665173313e-03, 8.440937814147917440e-01, 5.213272943933613263e-03, 9.785244404344896341e-03, -3.448777299406399505e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073452298625, 1.376695357269775008e-03, 8.579434247840915908e-04, -7.140162251846871564e-05, 5.365890569457208992e-01, -1.221171596547035616e-02, -8.748640737798256753e-03, 8.437099734177151422e-01, 5.235321578210209992e-03, 1.034013595494674871e-02, -3.132485364151720887e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073468966916, 1.389266980630927050e-03, 1.020619820981786630e-03, -7.632493513818559274e-05, 5.365603915455507966e-01, -1.325551430748173921e-02, -9.925014980330824563e-03, 8.436994320506382428e-01, 5.163523524425056056e-03, 1.045318188448265614e-02, -3.031874098824838444e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073485635166, 1.592494411211952798e-03, 1.028988224402728165e-03, 1.726094580159662185e-05, 5.365926275768344578e-01, -1.444964650322568683e-02, -1.104003834160283137e-02, 8.436454689616582625e-01, 5.943751826160428853e-03, 1.044480691986915920e-02, -2.754192518598821797e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073502303458, 1.721689291155217112e-03, 1.074030611815441532e-03, 8.220369344398236974e-05, 5.372921964752742641e-01, -1.568784472093996685e-02, -1.199450493444761436e-02, 8.431649417440009175e-01, 6.342711589399340107e-03, 9.138104203063514980e-03, -2.544216873706406021e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073518971583, 1.601226273927384329e-03, 1.021553134146130533e-03, -6.057997152265150219e-06, 5.385323204943116560e-01, -1.603416057896562760e-02, -1.281494705419176233e-02, 8.423548080289792184e-01, 5.408020303649868632e-03, 5.181589388973573303e-03, -1.439738266229714791e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
5073535639833, 1.731577116341563973e-03, 1.097533291506919226e-03, 5.757437319137151074e-05, 5.395976877987206377e-01, -1.680043055375355504e-02, -1.347501563139782976e-02, 8.416474943877730874e-01, 6.585231623378763090e-03, 5.236695653874391676e-03, -1.399004030865703139e-03, -1.805706091425835023e-03, -2.294794691163424844e-03, -7.455957498784207711e-05, 3.902797426103919720e-02, -2.790260679662175114e-02, -1.058004727535306194e-01, 3
