timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 3.359139842919542836e-06, 2.556155896613812883e-06, 1.839478059347829691e-06, 5.283498902928093210e-01, -1.250718382886879462e-02, -1.030098637732029853e-03, 8.489339801639724792e-01, 2.393036628814507758e-04, 5.553248397068674593e-04, 5.590122176517867917e-04, -1.095907545653062876e-04, 4.506584112334686585e-04, 1.298973345345264131e-06, -3.807531537475613360e-07, -1.230631715471484892e-08, -1.149135606422818347e-08, 
5073385625750, 4.222488923914634188e-05, 5.158037745853329890e-05, 2.552380912953264129e-07, 5.270821251024097043e-01, -1.349373525745946843e-02, -1.883563949088195178e-03, 8.497051280845484555e-01, 6.872503224765084224e-04, 8.729744361496538218e-04, 1.301396266111974707e-03, -1.355046016038271076e-04, 4.729044165927867539e-04, -1.069503955330989198e-05, 6.783439813861319464e-06, 2.435900898273828474e-05, 3.500426569320771574e-05, 
5073402293958, 1.140335305927471721e-04, 1.927193844315580617e-04, -4.375174105571498333e-05, 5.275789132169749207e-01, -1.536439443841124304e-02, -2.323043550145066118e-03, 8.493638967963029751e-01, -4.409506887644087459e-04, 1.844663814011929552e-03, 1.327200853174658694e-03, -2.072308623172596778e-04, 5.915362501317745960e-04, -7.431079378941492111e-05, 2.825782437963179629e-05, 1.795619207470013860e-04, 1.331196412292966408e-04, 
5073418962083, 2.207119546298707126e-04, 4.298323993047258409e-04, -1.223909346585480389e-04, 5.313827453245577592e-01, -1.733648687552538301e-02, -2.535382573853013372e-03, 8.469506455687692004e-01, -3.692943200262551948e-03, 4.096794583456799324e-03, 1.383299072921628640e-04, -4.105505144753768829e-04, 1.248306736568756533e-03, -1.849023886051307398e-04, 1.526911210021516364e-05, -9.163913254362822131e-04, -4.551448708678306398e-04, 
5073435630375, 2.715425378513338338e-04, 5.724473887439414594e-04, -1.417489555381188705e-04, 5.350227531373510370e-01, -1.548435506202127353e-02, -4.956379780298456397e-03, 8.446811958799105291e-01, -3.770639831508246914e-03, 7.906429904818179991e-03, -1.041341919330800603e-03, -1.765134771872539860e-03, 3.180175269275989890e-03, -5.568725409860073245e-04, -2.272131590302191501e-04, -8.313973101863048054e-03, -4.103689319249993403e-03, 
5073452298625, 2.861684356141708761e-04, 7.295911949766856501e-04, -1.550569764695278088e-04, 5.371148861370207417e-01, -1.488263853715894244e-02, -6.753455446537325567e-03, 8.433507556169730357e-01, -2.347889228749339488e-03, 1.423594587293790931e-02, -2.001580841424615079e-03, -3.836070101447259031e-03, 5.412297284462744967e-03, -1.603296009541472578e-03, -5.235539259734677767e-04, -2.268166599766527347e-02, -1.092561669527665133e-02, 
5073468966916, 3.653050473649858618e-04, 9.782451703232429054e-04, -1.723525661009025567e-04, 5.387339033357433360e-01, -1.535476580319155605e-02, -8.237276419602394470e-03, 8.422957674362075986e-01, -6.717784775293670057e-04, 1.867764160880023769e-02, -2.083148551870400884e-03, -5.603281136213548140e-03, 6.818477981640888239e-03, -2.771070250738715858e-03, -8.728994384191379134e-04, -4.248802696958150354e-02, -2.024503403728734191e-02, 
5073485635166, 4.994016330034329937e-04, 1.138396046829733520e-03, -1.535943026748887673e-04, 5.416757793650580632e-01, -1.605000840033334389e-02, -9.772554582427796233e-03, 8.403774416632918687e-01, -2.240985021462974652e-05, 1.478835754073429785e-02, -7.380285964538383075e-04, -8.180953400708660186e-03, 9.055726303079589257e-03, -4.483545191010324116e-03, -1.129503425079708646e-03, -5.623704071613685324e-02, -2.672359915224680263e-02, 
5073502303458, 6.002955674981869365e-04, 1.210059390159466458e-03, -9.232521348399264451e-05, 5.439897943506951661e-01, -1.696322102975825544e-02, -1.095900143815495449e-02, 8.388487665020808448e-01, -5.393150024991670609e-04, 7.134213571625531991e-03, 6.069615706555342655e-04, -8.727401122881719639e-03, 1.000035199492874463e-02, -5.573436205182444141e-03, -1.152715107608182250e-03, -5.523472092758557189e-02, -2.626803907244259009e-02, 
