timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, -2.234242741700604767e-11, -3.861901436158253143e-11, 1.784013997812972261e-11, 5.291779103559136610e-01, -7.497281439998135753e-03, -2.892497574043443806e-03, 8.484728418872005129e-01, 1.908155315904874749e-02, 8.460202252475321899e-03, -8.878685008874814388e-04, -2.446324440692360363e-03, -2.079297941774681593e-03, -1.851963584620148118e-04, 4.527072102271362253e-02, -2.862529303787396048e-02, -1.043796290126763754e-01, 0
5073368957500, 3.248765671026849458e-04, 1.343709250473933158e-04, -4.400063879864191575e-07, 5.293598997976417531e-01, -7.677719122069139035e-03, -3.989674472328857795e-03, 8.483532469513618279e-01, 1.995083464147819063e-02, 7.350889186155053386e-03, 9.402079473867380483e-04, -2.446347041807095737e-03, -2.079307475708756531e-03, -1.851967199613343315e-04, 4.527080108933817515e-02, -2.862533933696578131e-02, -1.043797971458969992e-01, 0
5073385625750, 6.638849848077578051e-04, 2.267060054586936312e-04, 3.638937944317824640e-05, 5.302440626750860586e-01, -7.934131893817523984e-03, -5.278643430097081611e-03, 8.477914952819761707e-01, 2.075119372397473891e-02, 3.293920152234997272e-03, 3.638656036803467487e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 0
5073402293958, 7.333547753109880170e-04, 3.150158061341527902e-04, 1.368122169337798697e-05, 5.320373000441426248e-01, -8.572566368054160280e-03, -6.599150513233681056e-03, 8.466518019115698568e-01, 4.687846522803924137e-03, 7.269367624732904834e-03, -2.301945689604923198e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
5073418962083, 7.995928821753698745e-04, 3.502047506566215076e-04, 1.518031669163029398e-05, 5.341913840874312758e-01, -9.620534576006308652e-03, -7.495643650398294000e-03, 8.452755916312103546e-01, 5.210344923683386288e-03, 8.157015180512811395e-03, -2.992904757290965403e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
5073435630375, 8.362341793769778337e-04, 3.732405477422777473e-04, 4.622680700515766674e-05, 5.357746399999785414e-01, -1.071765827637597215e-02, -8.147088292680595284e-03, 8.442536892938731219e-01, 5.658524422792233360e-03, 8.943938183367956471e-03, -2.925716955159675826e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
5073452298625, 8.788429761833611549e-04, 4.258070655012263480e-04, 8.830335214305669647e-05, 5.363441321794242267e-01, -1.167388818851129544e-02, -8.987776170279909368e-03, 8.438707911112788285e-01, 6.054769302785176915e-03, 9.906861950596075259e-03, -2.466234277572860404e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
5073468966916, 9.896550083509727831e-04, 4.996927276813378609e-04, 1.313443645904738407e-04, 5.362944849464434949e-01, -1.262227403725203236e-02, -1.007668379960668936e-02, 8.438763914565688973e-01, 6.644595657904872610e-03, 1.024597811318542738e-02, -1.997411411958385091e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
5073485635166, 1.330757291436779777e-03, 5.406078975661720177e-04, 2.653345380654281412e-04, 5.362940366873589770e-01, -1.337478355507561688e-02, -1.109357420676656582e-02, 8.438523294924009654e-01, 8.886606557124997197e-03, 1.002718775882880352e-02, -1.456437976588053577e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
5073502303458, 1.535545642331837164e-03, 4.998527607094931840e-04, 4.030218008691079448e-04, 5.367609085309796857e-01, -1.408106356755455500e-02, -1.191593080091068665e-02, 8.435327268784251764e-01, 9.798565466911664246e-03, 6.917495034817850059e-03, -1.261353739255686827e-03, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
5073518971583, 1.190509470180721365e-03, 5.704739692953158300e-04, 2.693687611308561228e-04, 5.377639371440574578e-01, -1.508020405570304097e-02, -1.263885007366016486e-02, 8.428658225493403933e-01, 6.816921328255344872e-03, 5.240036476297049543e-03, -8.537861534907335110e-04, -2.446311564154987107e-03, -2.079485700804350589e-03, -1.851106518288332540e-04, 4.527133339789327082e-02, -2.862368959921584785e-02, -1.043823245418463719e-01, 3
