timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 3.087682847683084879e-06, 2.502760182350561285e-06, 1.833196136473955846e-06, 5.283934245797408114e-01, -1.248213377691654441e-02, -1.044724474319132278e-03, 8.489072350663774413e-01, 2.131687662910489417e-04, 5.402565567841436647e-04, 5.581317438760892121e-04, -1.032307456603481771e-04, 4.201867159961282907e-04, 6.737341310397149176e-06, -3.522025750778039607e-07, -1.212841374366792233e-08, -1.060198335977674054e-08, 
5073385625750, 4.508018860526567107e-05, 3.592266486780061184e-05, 6.365830202655618932e-06, 5.273948505045356061e-01, -1.236585594408586702e-02, -2.597362912973117874e-03, 8.495263450735162092e-01, 1.206990244041613106e-03, 2.778788051373713361e-04, 1.484573911966317883e-03, -1.231352497458372032e-04, 4.423449729133152380e-04, 2.005627299970829714e-06, -3.148391337874473026e-06, 3.186918366040543589e-05, 3.551624429957762777e-05, 
5073402293958, 1.016333422122983149e-04, 1.125712160270896664e-04, -1.122727495759403581e-05, 5.278323358530214726e-01, -1.394574760109740241e-02, -3.228123557221056032e-03, 8.492279555985476902e-01, 1.330043814767744475e-04, 9.136751943563661479e-05, 1.986409011442109157e-03, -1.797117018719898230e-04, 5.480670687810887442e-04, -1.749448583454312010e-05, 1.322848431785566784e-05, 1.468596897620295548e-04, 1.138185048811364103e-04, 
5073418962083, 1.903197469090569475e-04, 2.936110304386913266e-04, -6.754669175941778057e-05, 5.305105429860330624e-01, -1.597714577192620514e-02, -3.383772262427904229e-03, 8.475209995504082716e-01, -3.116497085593149946e-03, 2.727023242961431650e-03, 9.621121542115806729e-04, -2.571783326665657318e-04, 1.007924734509153906e-03, -5.952298989337607380e-05, 2.260729195231447536e-05, -2.706902071660045373e-04, -1.119156050211594217e-04, 
5073435630375, 2.497861105158147039e-04, 5.001354336773149471e-04, -1.135051861258891339e-04, 5.329225063064967349e-01, -1.567193166926180228e-02, -4.827832667314496846e-03, 8.460051328812919769e-01, -4.209506529394937621e-03, 9.067521029663119445e-03, -9.640631139322968944e-04, -1.043933046346479099e-03, 2.192360446380376207e-03, -3.028720502754931156e-04, -9.044240338396841196e-05, -3.860830083108543042e-03, -1.905585494250450250e-03, 
5073452298625, 3.446365699878807857e-04, 6.888397573082017267e-04, -1.146976937203970345e-04, 5.369330931772717808e-01, -1.416582186856445852e-02, -7.142511960543012142e-03, 8.434756472268590821e-01, -1.010118896559044624e-03, 1.399888938258288251e-02, -1.257195551709874848e-03, -3.818388942508721060e-03, 5.085884993616737217e-03, -2.399838889679377970e-03, -5.766087974516894733e-04, -2.845234892248570818e-02, -1.372498497396757063e-02, 
5073468966916, 4.080857861548666627e-04, 9.650244319163039193e-04, -1.345304881118860891e-04, 5.379572552176257183e-01, -1.489193707332430762e-02, -8.439299513812939177e-03, 8.427983151339583090e-01, 2.499366288204626333e-04, 1.954797240347982620e-02, -1.998702282273414049e-03, -4.726997186565851453e-03, 5.583874138067629334e-03, -2.852009433876849780e-03, -7.594897745694907058e-04, -3.984873989869507777e-02, -1.911244799628919813e-02, 
5073485635166, 4.808852850858525091e-04, 1.244348316560090579e-03, -1.442768187701620611e-04, 5.394139497430495700e-01, -1.590338578020700569e-02, -9.679788356664581483e-03, 8.418348857351417580e-01, -9.638029616745695527e-05, 1.903957737692500360e-02, -1.459905409371496827e-03, -5.540693986829124673e-03, 6.108426666419291412e-03, -3.356613626858999215e-03, -8.684001613496384773e-04, -4.604781408951597044e-02, -2.206052779750421883e-02, 
5073502303458, 6.993158885580910873e-04, 1.161460232875850991e-03, -3.750803984962884646e-05, 5.439152092410391992e-01, -1.650638463486461815e-02, -1.092374495485556006e-02, 8.389067029287128330e-01, 5.597209437581600420e-04, 6.820156379509181854e-03, 5.963870362904456724e-04, -6.913921951213347628e-03, 6.145346636212420735e-03, -4.879907937323863659e-03, -1.061215581321839092e-03, -5.123942920705985837e-02, -2.444274362085361446e-02, 
5073518971583, 8.226706228537949712e-04, 7.022771482433059348e-04, 1.509783745820456827e-04, 5.466185911384634499e-01, -1.544378585212367178e-02, -1.221712394500622419e-02, 8.371501341950960962e-01, 3.389710433888547692e-03, -5.159776166862731564e-03, 5.217792868702401205e-04, -3.488034622492358974e-03, 9.135818380235161476e-04, -4.359841443643766405e-03, -1.324208197170057303e-03, -4.211665374949301321e-02, -1.769670270123111996e-02, 
5073535639833, 1.254223247977910832e-03, 5.931796659794860704e-04, 3.992703429314836835e-04, 5.470515521366734468e-01, -1.544658865533316168e-02, -1.316197097849644213e-02, 8.368528931202489085e-01, 6.300893906814850759e-03, -6.982678653337710296e-03, 3.824186035253422395e-03, -2.690270464966367740e-03, 4.995949114051593653e-04, -3.462742848389861825e-03, -3.915156745464520556e-04, -6.095201637330100591e-02, -2.452593341152991060e-02, 
5073552308125, 1.331921813766246895e-03, 5.042109408763729593e-04, 4.793264615242739555e-04, 5.474353172496370101e-01, -1.570841349789682539e-02, -1.397520423144364178e-02, 8.365838349142649122e-01, 7.196539954713668426e-03, -7.028430214669388609e-03, 4.526259630792396106e-03, -2.840501094356509635e-03, 1.467213618235691571e-03, -3.150809601163381303e-03, -4.079983236979499201e-04, -6.634812968846902359e-02, -2.723664537262637797e-02, 
5073568976333, 1.006207245688633782e-03, 6.300922011226372729e-04, 3.314448331213293232e-04, 5.464706410439237327e-01, -1.678710921327257119e-02, -1.440882513519751648e-02, 8.371860111107496394e-01, 3.816167750722186322e-03, -1.580706601998280733e-03, 5.407385617291322888e-03, -9.650974732876743331e-03, 2.271469245598284250e-03, 6.600076962718123396e-04, 7.409355896232462440e-04, -7.202591537096468544e-02, -2.840684813261759936e-02, 
5073585644625, 9.598762228504929654e-04, 8.726219499926651194e-04, 3.021709998838680738e-04, 5.456229309516577031e-01, -1.752329906831062364e-02, -1.470283263624370083e-02, 8.377185553167340037e-01, 2.744774355322174633e-03, 1.480087744219096661e-03, 3.086220150275541339e-03, -8.795611066046923193e-03, 3.148110780628764725e-03, -7.101959425854574397e-04, 5.247585614365383793e-04, -5.520916483369269628e-02, -2.281154339222539115e-02, 
5073602312875, 8.850270902466585978e-04, 1.012456702732315817e-03, 2.559204902449843948e-04, 5.451860824408676365e-01, -1.788479588823214603e-02, -1.514145538237805094e-02, 8.379874736043011474e-01, 3.333399848568102414e-03, 2.611831807164412787e-03, 7.767133655105997077e-04, -8.095137500276993955e-03, 3.643397190372974805e-03, -7.479295568994314509e-04, 6.269859722779814754e-04, -4.443132949588197295e-02, -1.835446280090404989e-02, 
5073618981000, 9.104781055258360546e-04, 1.317868171183811518e-03, 1.423030219532871795e-04, 5.449582530572198991e-01, -1.812307883344362741e-02, -1.548880393835684946e-02, 8.381241873320320890e-01, 5.032493132068348307e-03, 3.250372959476720801e-03, -1.577835746231320748e-03, -7.185810576835137756e-03, 3.087238150521518822e-03, -1.082717548299635046e-03, 7.844308173697530674e-04, -3.637988561524162223e-02, -1.490419084438687411e-02, 
5073635649291, 1.056648307676842213e-03, 1.509990047355502015e-03, 5.360548002554147784e-05, 5.452197001560986633e-01, -1.856399314516887084e-02, -1.600051606087074529e-02, 8.379348663267246478e-01, 7.016453441731683102e-03, 2.371187196432833835e-03, -3.055485296776588693e-03, -6.870785094997455128e-03, 2.533306158461478674e-03, -1.214039135113614614e-03, 9.014590101818001355e-04, -3.307286186349331358e-02, -1.355856223728355361e-02, 
5073652317541, 1.620783777940180579e-03, 2.106828422095351119e-03, -8.858171371055843790e-05, 5.447294914579277059e-01, -1.946927219472186985e-02, -1.647785768296924219e-02, 8.382238416928829983e-01, 8.129263249296542898e-03, 6.428242371243856647e-03, -5.250680173150628141e-03, -7.377423514854696343e-03, 5.106978486969155403e-04, -6.875546556890071558e-04, 1.265748379051797245e-03, -2.803192276577388259e-02, -1.133359632748765812e-02, 
5073668985791, 1.569723175776043976e-03, 2.063138058959017307e-03, -2.881365097233520487e-04, 5.454669962457466825e-01, -2.164829815842354843e-02, -1.691092946446043008e-02, 8.376819967375058740e-01, 3.145717732074989302e-03, 6.111209306519598157e-03, -3.442123601173003797e-03, -1.549025277215422720e-02, -2.388727793950417774e-04, -5.084011559769875243e-04, 2.422581713745345419e-03, -3.992324082811613689e-02, -1.545672498989580750e-02, 
5073685654083, 1.709253200970217018e-03, 2.044908773041887243e-03, -3.452296672431349415e-04, 5.455061072206897066e-01, -2.368205546119880878e-02, -1.851585952470114274e-02, 8.375675555918602466e-01, 1.751018552100694174e-03, 7.857575479850100950e-03, -3.998948094649825737e-03, -1.886428023467844398e-02, -2.875973953361851253e-04, 2.738335603232458938e-03, 1.186082263546081421e-03, -4.597788483164261253e-02, -1.716443986094493002e-02, 
5073702322208, 1.930927940278551452e-03, 2.254494691260387589e-03, -4.405213759639934777e-04, 5.459166909461012906e-01, -2.567615038185633997e-02, -2.005990870775957446e-02, 8.372056509070299191e-01, 2.581184220790679398e-03, 8.551171849087062585e-03, -6.675309159549510686e-03, -1.975431993826480548e-02, -1.540473331485353538e-04, 3.574599449872052290e-03, 8.320929791140567466e-04, -4.947085618052783629e-02, -1.799941673151468982e-02, 
5073718990416, 1.990343586749871232e-03, 2.414468685302766700e-03, -5.751131846295510488e-04, 5.464286465998772213e-01, -2.677071533283612720e-02, -2.121701455167206499e-02, 8.368087602726856922e-01, 6.240563906142089501e-03, 9.573319953946184471e-03, -1.037379091172811220e-02, -2.004980416954311659e-02, 2.218511283236421997e-04, 3.826879124061959968e-03, 7.252721006944944137e-04, -5.127594451123843045e-02, -1.813714059839597117e-02, 
