timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, -2.304053949334901551e-11, 1.330309604956721881e-11, 1.066995725126560889e-11, 5.315586262693700048e-01, -1.164757828099905780e-02, -3.617811401132471605e-04, 8.469413379173406087e-01, 2.707703630219198895e-02, 2.245915493663066392e-02, -6.896977120610413466e-03, -9.345029498246933217e-04, -2.698744497395910800e-03, 3.288449649982736291e-04, -5.359861682175498521e-02, -6.052775949930332827e-02, -6.161258545057343022e-02, 0
5073368957500, 4.585423895846861141e-04, 3.670760275865057052e-04, -9.901321822665783623e-05, 5.317480279629335227e-01, -1.181114872488751508e-02, -1.462626329487367802e-03, 8.468189843452674781e-01, 2.802400516960558419e-02, 2.115845597989116783e-02, -5.055467477317175488e-03, -9.345057221185884208e-04, -2.698760568750259263e-03, 3.288457484468116612e-04, -5.363366386006560710e-02, -6.056950480277584203e-02, -6.165289478746102669e-02, 0
5073385625750, 9.326679088009632830e-04, 6.880919242086151787e-04, -1.617326287578272324e-04, 5.326328437355219991e-01, -1.204668599919388530e-02, -2.751968895730557037e-03, 8.462562010395227041e-01, 2.894207491603293519e-02, 1.679033476639770969e-02, -2.484947900912809569e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 0
5073402293958, 1.013177740671336634e-03, 8.411705399952937312e-04, -1.918935903069867506e-04, 5.343821851042978022e-01, -1.286793617534304386e-02, -4.168282405420358459e-03, 8.451347359347691768e-01, 5.370951109308332028e-03, 1.052476369190988997e-02, -2.744622083938694918e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073418962083, 1.075097526205785010e-03, 9.441973159092535359e-04, -1.927376228014824049e-04, 5.364867706253685364e-01, -1.407809914440082653e-02, -5.188347940304618294e-03, 8.437753451684246730e-01, 5.982363240935218048e-03, 1.059642949089349001e-02, -2.947138357030170373e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073435630375, 1.110006789123821813e-03, 1.005274023989447376e-03, -1.649766241845595084e-04, 5.381297890646662418e-01, -1.533408591008363075e-02, -5.899936630505126130e-03, 8.427018373530912321e-01, 6.805125859505986759e-03, 1.087218321398241740e-02, -2.950624167382244131e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073452298625, 1.120430173356319484e-03, 1.108262155089368263e-03, -1.386386520825899475e-04, 5.387667594993460485e-01, -1.641057264678279573e-02, -6.806348957633706100e-03, 8.422676211144801695e-01, 7.214936108715748996e-03, 1.110412797540657852e-02, -2.756740016789920294e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073468966916, 1.163134885377802887e-03, 1.148523932733436746e-03, -9.580712434313378410e-05, 5.387353578695908141e-01, -1.754436245713912601e-02, -7.986387376762873677e-03, 8.422544907234182920e-01, 7.260693533808149948e-03, 1.126228785937109962e-02, -2.392956606225923096e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073485635166, 1.271243750808678493e-03, 1.191513912809743538e-03, -3.108338702234559551e-05, 5.387790438179329566e-01, -1.878655156008417204e-02, -9.130230052196441209e-03, 8.421881300055873432e-01, 7.551517459030914620e-03, 1.059836518835587452e-02, -2.063085178061784160e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073502303458, 1.082401166353521866e-03, 1.072787053040602902e-03, -1.610777589804709769e-04, 5.397010038656904207e-01, -2.031292139298055896e-02, -1.017628467373436242e-02, 8.415501499501307769e-01, 4.402320240535067056e-03, 5.612149178027801139e-03, -8.994189407980292435e-04, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073518971583, 1.231813398981810269e-03, 1.022072685481272610e-03, -3.701146558700979788e-05, 5.408691688705793421e-01, -2.177835256896904631e-02, -1.103479435298068689e-02, 8.407523290709445485e-01, 5.247174522824650175e-03, 3.547250779716377891e-03, -5.239076123879286666e-04, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
5073535639833, 1.060808194777356677e-03, 1.178622595902198943e-03, -2.294111785763125130e-04, 5.421900702745905409e-01, -2.272113634678970054e-02, -1.160968025773327292e-02, 8.398683783683359438e-01, 4.235116526845369989e-03, 5.119625720683497298e-03, -1.010420389874450370e-03, -9.346347608468824012e-04, -2.698969732384389961e-03, 3.285953449679704700e-04, -5.363632605603395331e-02, -6.060754181255480905e-02, -6.168358868307257520e-02, 3
