timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 5.014493864626745716e-06, 3.047612331984449428e-06, 1.709002294637399202e-06, 5.283077476620982038e-01, -1.305033906656125238e-02, -7.643151506705633770e-04, 8.489523121075758239e-01, 2.884265782616297078e-04, 5.069033553887110355e-04, 5.349069205414151533e-04, -1.495880873058591347e-04, 4.816594404404853568e-04, -7.027938720760659661e-07, -1.720064692994433288e-06, 7.643207996388612507e-07, -7.788619325056196365e-07, 
5073385625750, 3.999484003939404692e-05, 9.489593850325948703e-05, -1.722523744550958269e-05, 5.223459333032984819e-01, -1.522504433238728271e-02, -9.347782793029536363e-04, 8.525972379594902728e-01, 1.443277640801317145e-05, 3.997007098078163984e-03, 7.915073887661200954e-04, -2.305032550332046363e-04, 6.581994187891276622e-04, -2.804781069580847573e-05, 1.250739555644819252e-06, 1.508717662566244622e-05, 2.480921501803162784e-05, 
5073402293958, 8.884450926091214573e-05, 3.107536742750555874e-04, -8.817843837725278754e-05, 5.229311302609137568e-01, -1.720455092915091147e-02, -1.504251644260503088e-03, 8.521999610762490684e-01, -1.795675729209554334e-03, 6.905829914323572197e-03, 4.177307965779471048e-04, -3.681210664708534064e-04, 9.623378600951238782e-04, -9.002860516408988658e-05, 6.783727607420927768e-06, 1.693846942329526629e-04, 1.101249408006331086e-04, 
5073418962083, 1.118210799018639462e-04, 5.772628043943622530e-04, -1.804680056787001934e-04, 5.261802323726153530e-01, -1.873658884491911578e-02, -2.240195232221916556e-03, 8.501636811956145845e-01, -5.941024461293903727e-03, 1.033772549898683869e-02, -8.053719138727859694e-04, -6.316978143713959139e-04, 1.457052815379435325e-03, -1.413897375718191427e-04, -4.964670748879670251e-06, -1.520880486735158587e-04, -5.948326407065485523e-05, 
5073435630375, 1.820696183722904740e-04, 8.617721197551363784e-04, -2.689294379392203694e-04, 5.327568270463466371e-01, -1.797380407486808343e-02, -4.397818150893302580e-03, 8.460660522666648697e-01, -6.287268295318280617e-03, 1.365489367300091149e-02, -2.538477084302775619e-03, -1.781389696290824453e-03, 4.433801036973761961e-03, -3.927388730495633682e-04, -2.021356601436488263e-04, -6.398616457469682994e-03, -3.201902480190115929e-03, 
5073452298625, 1.097997022907939567e-04, 1.104322268185416395e-03, -3.037902044468571388e-04, 5.347544759700995076e-01, -1.816759057069875297e-02, -5.938300044599861653e-03, 8.447912911929077451e-01, -6.452606432054170706e-03, 2.090917271725566129e-02, -3.959721772006735696e-03, -2.482930965525772127e-03, 5.799342142836379742e-03, -7.280867730771920735e-04, -3.369367486413401376e-04, -1.111042423063881950e-02, -5.486318519817340658e-03, 
5073468966916, 8.923140675612965995e-05, 1.430377658654283278e-03, -3.544313071823049243e-04, 5.368638715677177542e-01, -1.878051688891604898e-02, -7.654414917639024672e-03, 8.434250918267578445e-01, -5.376868143335899498e-03, 2.542033085389875866e-02, -4.296640092951717511e-03, -3.994381876406659024e-03, 8.550148607869775819e-03, -1.686663606544786323e-03, -6.507442919583870207e-04, -2.350412291211601001e-02, -1.138469983242012228e-02, 
5073485635166, 1.402200709316439500e-04, 1.678953548936991304e-03, -3.689135031017001755e-04, 5.398485509949643157e-01, -1.982290908234211890e-02, -9.281790050591737229e-03, 8.414775354325315648e-01, -5.604116333613561388e-03, 2.189650275554332753e-02, -3.361352927448733874e-03, -6.145333779551950121e-03, 1.348828845906508735e-02, -3.893023220054667860e-03, -9.265264322536836917e-04, -3.448911067730162094e-02, -1.650482505124323956e-02, 
5073502303458, 1.156605565025402987e-04, 1.866987010212479373e-03, -3.880876936227528888e-04, 5.422299675940858155e-01, -2.087349150812604567e-02, -1.075263145868438075e-02, 8.399019826812473832e-01, -6.881752412218501182e-03, 1.474158515629164605e-02, -2.440285136327901162e-03, -7.486658758700919999e-03, 1.733890907581851076e-02, -5.360711467933860705e-03, -9.818296824589166708e-04, -3.569136246928690526e-02, -1.693291200562127910e-02, 
5073518971583, 1.218055178457366051e-04, 1.653878945526195869e-03, -3.513952064186128942e-04, 5.451803268152783932e-01, -2.095288598570226035e-02, -1.257508457236253090e-02, 8.379625618549163546e-01, -5.635799138545467997e-03, 4.048782921790125035e-03, -1.644838144488281828e-03, -9.714657146510010527e-03, 2.433593169930390807e-02, -7.887623319500429442e-03, -1.084974239479822525e-03, -3.893404968937680399e-02, -1.787512842720764827e-02, 
