timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, -1.243491554520930426e-11, 9.985586815706713312e-12, -6.393500155455854973e-12, 5.309914062889278252e-01, -8.884767914749513995e-03, -2.069647430108948003e-03, 8.473280969647606353e-01, 1.916534340719035223e-02, 2.535034325696388161e-02, -1.298026482772643951e-02, -8.502471760724307709e-04, -2.504307940909630912e-03, 1.030732194064614120e-03, -2.172329039512181995e-02, -4.701952951701440092e-02, -8.386744050423622365e-02, 0
5073368957500, 3.311454676796466660e-04, 4.135865065220635170e-04, -2.008476560462154909e-04, 5.311690534744377690e-01, -9.063063307526403323e-03, -3.179090292558241822e-03, 8.472114204255426495e-01, 2.060881079532089766e-02, 2.395733640219189359e-02, -1.097040907729968789e-02, -8.502516462520899295e-04, -2.504326264793022439e-03, 1.030739234674920473e-03, -2.173737997018360471e-02, -4.705046194298954931e-02, -8.392260418293391588e-02, 0
5073385625750, 6.860251172806546352e-04, 7.803200798890777036e-04, -3.611625802511190132e-04, 5.320395480680512046e-01, -9.304045836149748769e-03, -4.469579215893283719e-03, 8.466565873388428587e-01, 2.218945582106351261e-02, 1.959016980187998358e-02, -7.904900045288640320e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 0
5073402293958, 7.471475428604927582e-04, 9.078009339967221423e-04, -3.856129851431126690e-04, 5.337929289814117295e-01, -1.015631090314486444e-02, -5.907607057570237255e-03, 8.455335939494879050e-01, 4.379152338736012201e-03, 8.967448306450766932e-03, -2.361233655678052559e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
5073418962083, 7.878942762700189353e-04, 1.002923469157955723e-03, -3.828814741563448931e-04, 5.359332644338142826e-01, -1.142974060859111227e-02, -6.948020423268683188e-03, 8.441543828679286543e-01, 4.928072973228018495e-03, 9.802497505670016570e-03, -2.780949474627183050e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
5073435630375, 8.065482094598195283e-04, 1.072201709242101737e-03, -3.547532572534723458e-04, 5.375539999391838464e-01, -1.280351018293431065e-02, -7.620955709835519794e-03, 8.430976742409198588e-01, 5.587984445245277113e-03, 1.203404975591265171e-02, -3.310280093887374517e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
5073452298625, 8.102899002974692320e-04, 1.129321935494058925e-03, -2.971352999495737715e-04, 5.381427988623126435e-01, -1.396105464918818290e-02, -8.465399594663830518e-03, 8.426955286433064352e-01, 5.734973467029743852e-03, 1.285945872954184950e-02, -2.875121934428984290e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
5073468966916, 8.394992817842313179e-04, 1.180781676075091198e-03, -2.520579353849412450e-04, 5.380077925016714113e-01, -1.513250501497307061e-02, -9.640526003332476612e-03, 8.427488847562061292e-01, 5.757739040475964160e-03, 1.191492152114571011e-02, -2.199396092193470903e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
5073485635166, 9.031798725338315839e-04, 1.276153169380890096e-03, -2.307770702934859466e-04, 5.380585481223030264e-01, -1.651925825267266598e-02, -1.085064074186155303e-02, 8.426757244010248948e-01, 6.076591329246483486e-03, 1.123375878650422800e-02, -2.189993172717198937e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
5073502303458, 9.923997789755864378e-04, 1.312292332715954022e-03, -2.065319268687591033e-04, 5.387116214720241159e-01, -1.791914249418796387e-02, -1.183528849726291597e-02, 8.422164918650325571e-01, 6.421701927096448367e-03, 9.979352265305467193e-03, -2.178499531870230124e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
5073518971583, 1.039664196999371282e-03, 1.321728118501460693e-03, -1.626336355411480013e-04, 5.398444985468996427e-01, -1.922254962458610356e-02, -1.258603617013522892e-02, 8.414511291026359752e-01, 6.683969124035359782e-03, 9.209184198735868507e-03, -2.229911824947764399e-03, -8.506419269716154231e-04, -2.504184321866302285e-03, 1.030831272416561162e-03, -2.175166596096522048e-02, -4.708261556152124744e-02, -8.396642189115963162e-02, 3
