timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 1.057484969984394544e-05, 1.974196056141544893e-06, 5.779890083597765603e-07, 5.282122443348996610e-01, -1.323682721678641483e-02, -6.524731757148541107e-04, 8.490089431912224427e-01, 7.479672060590062191e-04, 5.200716674915236305e-04, 4.941431981633174087e-04, -4.210134680884693821e-04, 9.366796701137422142e-04, -2.576486334490451813e-05, -2.934937729627755191e-06, 1.340402134949471441e-06, -9.668781026709944969e-07, 
5073385625750, 4.689157889300407813e-05, 6.735796779012531406e-05, -1.095511526230486074e-05, 5.233397266283803528e-01, -1.429558629169861046e-02, -1.553412145619566210e-03, 8.520027896995495675e-01, 6.569854439735506443e-04, 2.802752504719196493e-03, 9.845449326727644980e-04, -4.896539827373545426e-04, 1.155122476857681343e-03, -6.049356521677671448e-05, 9.332000289474091184e-08, 1.164892165561430423e-04, 7.102036153588841996e-05, 
5073402293958, 9.581919564991758450e-05, 2.360167813056086687e-04, -6.651482252919778176e-05, 5.226850360981236676e-01, -1.636026817736555353e-02, -2.078474994570164800e-03, 8.523663382642259201e-01, -1.090939104750046932e-03, 5.564672320922095863e-03, 7.992830451209711118e-04, -6.328479721962860073e-04, 1.667173956607752956e-03, -1.633112432970216577e-04, 5.984042313613117467e-06, 2.760533101225204995e-04, 1.623883301199817973e-04, 
5073418962083, 1.599755178835389762e-04, 5.348451389977608309e-04, -1.827597240176613114e-04, 5.260960929475283487e-01, -1.775413793425805950e-02, -2.911969855273428831e-03, 8.502347981605544724e-01, -4.358327735837611711e-03, 9.762479752425064217e-03, -7.968333987362059920e-04, -1.012996370113511835e-03, 3.101263540753501375e-03, -3.814394256922396149e-04, -3.558198250687898628e-05, -1.118311037318338828e-03, -5.623009499805934914e-04, 
5073435630375, 8.812668207285405105e-05, 7.617365426050186957e-04, -2.153632775685965163e-04, 5.285984877629877898e-01, -1.857723467869192707e-02, -3.956936836034878786e-03, 8.486594533364081316e-01, -7.964264034707742301e-03, 1.644983658637325791e-02, -2.362117980474195706e-03, -1.223250337358586974e-03, 3.568552433630997438e-03, -4.847111633145378116e-04, -7.343613922503269983e-05, -2.157429916555005274e-03, -1.091246305800511792e-03, 
5073452298625, 3.686655590397651313e-05, 1.055621903634415635e-03, -2.609610253524081991e-04, 5.321991803327845716e-01, -1.817658167114004353e-02, -5.950873376707047253e-03, 8.464031140289590693e-01, -7.090183646420662560e-03, 2.338608570603457198e-02, -3.760933394627649293e-03, -2.478461945996021480e-03, 6.116894235682312532e-03, -1.169751379189749819e-03, -2.768081024737056514e-04, -9.186556569301937425e-03, -4.578747774457197356e-03, 
5073468966916, -2.047497339540550919e-05, 1.465001840359679477e-03, -3.286326357969794436e-04, 5.336486651308356421e-01, -1.888837673011495993e-02, -7.545570991299255931e-03, 8.454616465499742439e-01, -6.507130506503864750e-03, 3.000974212065419047e-02, -5.076260678122728083e-03, -3.346250594774066202e-03, 7.644782852038528413e-03, -1.717759932495569603e-03, -4.373704829790575946e-04, -1.532496503225557090e-02, -7.561740961483758017e-03, 
5073485635166, 2.677549570655834464e-05, 1.740476692726452071e-03, -3.617701395066274151e-04, 5.375556882601640885e-01, -1.939300826194836208e-02, -9.540809610350454995e-03, 8.429512240940589818e-01, -5.805413930421003850e-03, 2.590382226735492288e-02, -3.830299766471916435e-03, -5.826934032178480993e-03, 1.322087525417829298e-02, -4.104242290257520409e-03, -8.017741620523656651e-04, -3.001952056097914948e-02, -1.456764363594360324e-02, 
5073502303458, 1.101176356871259204e-04, 1.793798093835453390e-03, -3.374165505723502939e-04, 5.428022002879206998e-01, -1.983070631298012795e-02, -1.165461789924502299e-02, 8.395455224890089330e-01, -4.705800922933215530e-03, 1.300547089623582155e-02, -1.977232532889319685e-03, -8.599411985237373837e-03, 2.384636111955618087e-02, -8.163591262900142184e-03, -1.047163354834618545e-03, -3.848694839332136852e-02, -1.818933875736127720e-02, 
