timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 5.389634579069076319e-10, -4.490722029511830494e-10, -1.457649308296357219e-10, 5.299437995033270399e-01, -4.393073135659276290e-03, -4.752326925291261439e-03, 8.480080693396717662e-01, 9.496421698747408574e-03, 2.268656764063570360e-04, 1.815184317433596404e-03, -1.757383524120260162e-03, -1.784215386498533501e-03, -7.719543136646063756e-04, 8.458135415156566028e-02, -4.081003627137264750e-02, -8.172053738194753891e-02, 0
5073368957500, 1.696348870676556272e-04, -1.762908864178512045e-06, 4.462312971289395257e-05, 5.301220722467688828e-01, -4.577955039755298751e-03, -5.848346462731171015e-03, 8.478888062052106767e-01, 1.089155272075219803e-02, -8.488089116043316760e-04, 3.470105113147743583e-03, -1.757388821328738446e-03, -1.784223982987963742e-03, -7.719604345697826404e-04, 8.458149848986218355e-02, -4.081011749630151370e-02, -8.172066675208487785e-02, 0
5073385625750, 3.620709078493606638e-04, -4.558753800487466863e-05, 1.225038349496017159e-04, 5.309966898112676859e-01, -4.838540198117525538e-03, -7.138118820239800280e-03, 8.473300131577635730e-01, 1.223476612179548624e-02, -4.932176793472488156e-03, 5.884290675593057546e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 0
5073402293958, 4.806772783651986139e-04, 8.734642396585400135e-05, 6.468523693664514395e-05, 5.328056337751924110e-01, -5.451595751023571509e-03, -8.462289416707836215e-03, 8.461777746898172525e-01, 7.382065139342658226e-03, 1.030265557422131717e-02, -4.508861616610069720e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073418962083, 5.786635392040416449e-04, 1.438372177243708795e-04, 4.833106001865259999e-05, 5.349393380347534643e-01, -6.394713014574495043e-03, -9.369140594680294351e-03, 8.448143177485323285e-01, 7.682974562267391033e-03, 1.017876690291018640e-02, -4.444337780977299784e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073435630375, 6.379656013928287602e-04, 1.819583884639493980e-04, 5.289657475451587515e-05, 5.365163324930398714e-01, -7.368933722600273274e-03, -1.003126503474391362e-02, 8.437981378895147433e-01, 8.030171096290859845e-03, 1.012026883768198798e-02, -4.339333249053915417e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073452298625, 6.801710634979094353e-04, 2.447101254820734963e-04, 7.138606900364199027e-05, 5.371256175882450634e-01, -8.207563430279561298e-03, -1.090630233480869606e-02, 8.433918184345671198e-01, 8.065109558398000575e-03, 1.019556695906324514e-02, -3.829028991830363011e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073468966916, 7.436034448185680629e-04, 2.364908604982852102e-04, 1.185104676154095986e-04, 5.372356507748258236e-01, -9.128343710372703937e-03, -1.206779051966622336e-02, 8.432964468735939523e-01, 7.601611833575071253e-03, 1.002602320913104431e-02, -3.074986656491716930e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073485635166, 9.529286293204432181e-04, 1.148977641037657148e-04, 2.985224530812330261e-04, 5.373433155600494393e-01, -9.878263461156286743e-03, -1.310813884855324685e-02, 8.432038649281987652e-01, 7.912679619358920641e-03, 7.160352755894464245e-03, -1.640884433853655048e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073502303458, 1.003572178617791015e-03, 1.978183930077763290e-04, 3.231905929099442324e-04, 5.380942251593333614e-01, -1.110735476754997134e-02, -1.412670356002684001e-02, 8.426931041409866374e-01, 6.865031464441694042e-03, 6.894882939845096460e-03, -1.919770348106334670e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073518971583, 1.088014102845449600e-03, 1.962834736771061151e-04, 3.785718112477774689e-04, 5.392571489440460830e-01, -1.211253322047139806e-02, -1.486303322346257602e-02, 8.419228611310658472e-01, 6.852015146766760566e-03, 6.454318779448754359e-03, -1.960594781668067478e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073535639833, 9.473815052945212464e-04, 2.933276255302130959e-04, 3.525999560096159703e-04, 5.402297543353332676e-01, -1.271052013261799590e-02, -1.553908010827385888e-02, 8.412780706746922910e-01, 6.710538639125175793e-03, 5.298638010067761341e-03, -1.159089950813351312e-03, -1.757511302262612088e-03, -1.784256044851152646e-03, -7.718686408672343789e-04, 8.458170013187742142e-02, -4.080978803684292416e-02, -8.172026363696485718e-02, 3
5073552308125, 1.944440104342692009e-03, -7.376205032504480705e-04, 1.628765017925921932e-03, 5.400132683828672286e-01, -1.251923573049566925e-02, -1.556196769842766933e-02, 8.414194933970395862e-01, 8.121425622316626874e-03, -3.475089089808713633e-03, 1.050690426174759676e-02, -1.757293440191823363e-03, -1.785352974281192648e-03, -7.699517851356211780e-04, 8.458118171246067907e-02, -4.078482530480604523e-02, -8.174379610491776249e-02, 0
5073568976333, 1.990111249604062816e-03, -6.890406547096205323e-04, 1.652744917685593142e-03, 5.403495388804919752e-01, -1.308653498183865761e-02, -1.612116859240492889e-02, 8.411844187554974317e-01, 2.691361283167933299e-03, 2.214159142312743453e-03, 1.314367946850350608e-03, -1.757293440191823363e-03, -1.785352974281192648e-03, -7.699517851356211780e-04, 8.458118171246067907e-02, -4.078482530480604523e-02, -8.174379610491776249e-02, 13
5073585644625, 2.006410534310216869e-03, -5.654619156076629970e-04, 1.604889259867178092e-03, 5.405928615421154992e-01, -1.353543516295714448e-02, -1.651650976960672423e-02, 8.410132905903967560e-01, 2.012802837449862228e-03, 3.705690353222190845e-03, -6.644623294628429619e-04, -1.757293440191823363e-03, -1.785352974281192648e-03, -7.699517851356211780e-04, 8.458118171246067907e-02, -4.078482530480604523e-02, -8.174379610491776249e-02, 13
5073602312875, 2.361794378356541803e-03, -8.306934891323226140e-04, 2.209846141811819785e-03, 5.408802941946528886e-01, -1.391967332581886541e-02, -1.690662977125185693e-02, 8.408144360774179038e-01, 9.677026201705112712e-03, -2.388172015607662336e-03, 1.253515906421388826e-02, -1.757137906562932124e-03, -1.786135515823469768e-03, -7.702031905775578698e-04, 8.457732640633197629e-02, -4.077832483073205727e-02, -8.174691635549498347e-02, 0
5073618981000, 2.439934954313759900e-03, -6.683547694234983488e-04, 2.233604301699053038e-03, 5.415118548619347605e-01, -1.405608832092453825e-02, -1.737573852497815638e-02, 8.403959906709533856e-01, 4.011712994315779629e-03, 1.087946397622576583e-02, 1.464033949131836494e-03, -1.757137906562932124e-03, -1.786135515823469768e-03, -7.702031905775578698e-04, 8.457732640633197629e-02, -4.077832483073205727e-02, -8.174691635549498347e-02, 16
5073635649291, 2.553988459224344407e-03, -5.560657738554576970e-04, 2.280316697138586556e-03, 5.422418331114552403e-01, -1.434436699109306601e-02, -1.801253171807227008e-02, 8.399068890422669575e-01, 4.236146060398063816e-03, 1.066995681340774521e-02, 1.933412053918262020e-03, -1.757137906562932124e-03, -1.786135515823469768e-03, -7.702031905775578698e-04, 8.457732640633197629e-02, -4.077832483073205727e-02, -8.174691635549498347e-02, 16
5073652317541, 2.681282954001975617e-03, -4.771177496267127471e-04, 2.329015238814503147e-03, 5.428568590719571318e-01, -1.501869512819053835e-02, -1.879722441263369931e-02, 8.394805141928887160e-01, 4.220273777530701362e-03, 1.069166457526891933e-02, 2.230122247143714528e-03, -1.757137906562932124e-03, -1.786135515823469768e-03, -7.702031905775578698e-04, 8.457732640633197629e-02, -4.077832483073205727e-02, -8.174691635549498347e-02, 16
5073668985791, 2.807993407113655668e-03, -3.825627783965175176e-04, 2.362217349063745146e-03, 5.431402990781137863e-01, -1.634504191210285964e-02, -1.984040732342156124e-02, 8.392483621428578067e-01, 3.804493369025879670e-03, 1.093423448210390642e-02, 2.444754588843333840e-03, -1.757137906562932124e-03, -1.786135515823469768e-03, -7.702031905775578698e-04, 8.457732640633197629e-02, -4.077832483073205727e-02, -8.174691635549498347e-02, 16
5073685654083, 3.522727174122666609e-03, -1.449274670261362866e-03, 3.249997813377539495e-03, 5.428389970469431614e-01, -1.857580182033198579e-02, -2.111043669860654393e-02, 8.393658989583713259e-01, 1.437450805224732564e-02, -9.223378461180944954e-03, 1.185002522192883483e-02, -1.757173674332366533e-03, -1.787594610990543304e-03, -7.707184936329232634e-04, 8.457292500913968225e-02, -4.076588697816065782e-02, -8.174921526010270334e-02, 0
5073702322208, 3.674128043930809974e-03, -1.422741211800481603e-03, 3.285258525430680403e-03, 5.429861067019599030e-01, -2.044675151519561446e-02, -2.248146029764315143e-02, 8.391916361737700170e-01, 9.034194627817307421e-03, 1.369504898513768717e-03, 3.366246567329029930e-03, -1.757173674332366533e-03, -1.787594610990543304e-03, -7.707184936329232634e-04, 8.457292500913968225e-02, -4.076588697816065782e-02, -8.174921526010270334e-02, 21
5073718990416, 4.045000346742729999e-03, -1.723809369643784957e-03, 3.547546023929319843e-03, 5.431800994869575572e-01, -2.160570658776816630e-02, -2.341104486871686124e-02, 8.390116184787532738e-01, 1.902656482780884853e-02, -7.287366545508525487e-03, 5.684199391768843083e-03, -1.757233454571189473e-03, -1.788102363563851297e-03, -7.708788262811203627e-04, 8.457152332686800056e-02, -4.076041560934576258e-02, -8.174959805504077026e-02, 0
5073735658708, 4.402381767875673119e-03, -1.834701836350412967e-03, 3.618147163401327134e-03, 5.436545471143335861e-01, -2.145998477954498551e-02, -2.368509387695022159e-02, 8.387003152397229933e-01, 2.396298278661637346e-02, -6.358473577013729235e-03, 3.106078912404443629e-03, -1.757274608469532214e-03, -1.788125716625428704e-03, -7.709156674455347686e-04, 8.456987693534843975e-02, -4.075740524418221961e-02, -8.175005102583682293e-02, 0
5073752327000, 4.829759226491312125e-03, -1.959362669361583171e-03, 3.719680833850823841e-03, 5.444182768132191930e-01, -2.049813739090232401e-02, -2.355783996664215230e-02, 8.382324226676839407e-01, 2.377063687993747829e-02, -6.314624660803748978e-03, 5.885622956718131876e-03, -1.757274608469532214e-03, -1.788125716625428704e-03, -7.709156674455347686e-04, 8.456987693534843975e-02, -4.075740524418221961e-02, -8.175005102583682293e-02, 24
5073768995166, 5.289440679752527123e-03, -2.169310460812679496e-03, 3.877059545249049877e-03, 5.454584392979087148e-01, -1.967757741197104573e-02, -2.359213087522862504e-02, 8.375746505874277492e-01, 2.340858207314905001e-02, -6.965619702476985586e-03, 6.851185535507109230e-03, -1.757274608469532214e-03, -1.788125716625428704e-03, -7.709156674455347686e-04, 8.456987693534843975e-02, -4.075740524418221961e-02, -8.175005102583682293e-02, 24
5073785663541, 5.326530253564644435e-03, -2.206339638788531055e-03, 3.936881427905338481e-03, 5.466165022147705388e-01, -1.925445026894954600e-02, -2.382334440439860812e-02, 8.368226298999804635e-01, 1.501499026989758755e-02, -2.867057500085073291e-03, 4.438173665010428787e-03, -1.757274608469532214e-03, -1.788125716625428704e-03, -7.709156674455347686e-04, 8.456987693534843975e-02, -4.075740524418221961e-02, -8.175005102583682293e-02, 24
5073802331666, 6.047174136221718579e-03, -2.598603037611956195e-03, 4.204005942038346010e-03, 5.476515532572565625e-01, -1.938634993022083849e-02, -2.435366653683755309e-02, 8.361272896978725333e-01, 1.978646139971556792e-02, -4.604759302569479823e-03, 6.569762918548343981e-03, -1.757274608469532214e-03, -1.788125716625428704e-03, -7.709156674455347686e-04, 8.456987693534843975e-02, -4.075740524418221961e-02, -8.175005102583682293e-02, 24
5073818999916, 7.355157076844484956e-03, -3.192159399881188461e-03, 4.641950529817263568e-03, 5.481202981580396427e-01, -1.971312180631852595e-02, -2.492534801335665601e-02, 8.357955842203309560e-01, 2.821380830476238541e-02, -7.358535777141237029e-03, 1.027530742097229263e-02, -1.757274608469532214e-03, -1.788125716625428704e-03, -7.709156674455347686e-04, 8.456987693534843975e-02, -4.075740524418221961e-02, -8.175005102583682293e-02, 24
