timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
5073352289208, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.279937133391832127e-01, -1.214251147933652353e-02, 0.000000000000000000e+00, 8.491614676192477118e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
5073368957500, 7.790004624545314517e-06, 2.312527206550353832e-06, 2.149634287313614901e-06, 5.284281065911998754e-01, -1.262126588479610921e-02, -9.612501184350127469e-04, 8.488836880339465374e-01, 7.475375620373343657e-04, 5.295850972105684311e-04, 6.083867457810305038e-04, -4.940571754777508227e-04, 1.188694693609848065e-03, -2.914613483419804167e-05, -8.011147330300823965e-07, -5.859421343950997787e-08, -3.318703111322436109e-08, 
5073385625750, 4.655866025144119087e-05, 5.037161244727020158e-05, 5.991434544004047847e-06, 5.266352859090834837e-01, -1.342052652370076017e-02, -1.926041917207188319e-03, 8.499832089316927686e-01, 9.817349264094196119e-04, 1.007910081945240840e-03, 1.486107120088830773e-03, -5.033181746579765527e-04, 1.248746310549725706e-03, -4.810456639940709754e-05, 4.614498762818381201e-06, 1.787145305586375547e-05, 3.745723369221726066e-05, 
5073402293958, 1.883632410791394925e-04, 3.083304277181477351e-04, -1.009391865478485699e-04, 5.265921359983030126e-01, -1.627355855943967908e-02, -1.752264903698078947e-03, 8.499604832957026179e-01, 6.041814613307970984e-04, 4.733857249932280770e-03, 1.801364271194011652e-04, -6.123367657791483178e-04, 1.418640168701221704e-03, -1.188479958473763183e-04, 4.067163461253712575e-05, 2.478154994358448110e-04, 1.806753017872902132e-04, 
5073418962083, 3.201068076983283194e-04, 5.718415435421754772e-04, -1.976146895668378300e-04, 5.303657656580778035e-01, -1.779130224492362841e-02, -2.224147201585816285e-03, 8.475793044615804739e-01, -2.506452473693902838e-03, 7.019398400490790314e-03, -1.001507700219272327e-03, -8.306115334762882978e-04, 1.536026637860267441e-03, -1.870799892930664009e-04, 2.516039520702352612e-05, -5.842670020714734944e-04, -2.767139239172716736e-04, 
5073435630375, 3.554910364838388876e-04, 7.103837248299211052e-04, -2.135309549291822208e-04, 5.340160928922573769e-01, -1.690908033933320037e-02, -4.026914929719294101e-03, 8.452956166278841055e-01, -4.121947043646024232e-03, 1.052007330795534656e-02, -2.186308306412378631e-03, -1.394152209317086298e-03, 2.023368557553771596e-03, -2.933551947474064871e-04, -1.089689379189334007e-04, -3.876427019827777872e-03, -1.947049867830372843e-03, 
5073452298625, 3.649508275267162672e-04, 7.621792153523974630e-04, -1.712844204315698842e-04, 5.372586993988713866e-01, -1.469696925138858599e-02, -6.824706788067944063e-03, 8.432618290853167720e-01, -1.445028277976513446e-03, 1.434459199582934982e-02, -2.383954384214757860e-03, -3.507788407891554265e-03, 3.939571862755519155e-03, -1.205440915151102148e-03, -5.096478956819461541e-04, -1.996851291662419398e-02, -9.690360886356176248e-03, 
5073468966916, 3.856958685206753816e-04, 1.018565849487416963e-03, -2.036427870873873446e-04, 5.380341501033852891e-01, -1.537193163468861083e-02, -8.136694281681474891e-03, 8.427435857047579360e-01, -6.551851328129001863e-04, 1.991815716102619468e-02, -3.459102332224195560e-03, -4.221251004374726792e-03, 4.550035764365143245e-03, -1.519606003843151660e-03, -6.483483409409050453e-04, -2.788893773698494782e-02, -1.343821530141137491e-02, 
5073485635166, 3.969587977506345297e-04, 1.323471650198662598e-03, -2.493683655132839481e-04, 5.387892681946948592e-01, -1.640505176004475318e-02, -9.363257829748001040e-03, 8.422287861132444764e-01, -1.528228371511017661e-03, 2.064999332958134329e-02, -3.408797580909605877e-03, -4.760239138774688232e-03, 5.027481250931838987e-03, -1.718089135472734494e-03, -7.090650931138792797e-04, -3.131733431088118413e-02, -1.506963951374476300e-02, 
5073502303458, 4.763829808316019936e-04, 1.350126352556260765e-03, -2.105831354455120106e-04, 5.420411797733005743e-01, -1.719092908210721055e-02, -1.069323756915211907e-02, 8.401080204697204401e-01, -1.962108505151280782e-03, 1.153669224584489769e-02, -1.554768689572934770e-03, -6.767323372252728210e-03, 7.070803315832376382e-03, -2.602613078057812099e-03, -8.593798123557610689e-04, -3.820825692014415131e-02, -1.833128294744617096e-02, 
