timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715273312143104, -9.861921149891504746e-12, -1.763978292342778114e-12, 1.044013720278664060e-11, 7.102322080465124469e-03, -8.310989100908343641e-01, 5.483041689097407738e-03, 5.560522411794852626e-01, -1.674612651770621130e-02, -1.977488147055036019e-02, -3.928472116528555595e-03, -2.386061985185191324e-03, 2.114557704604911118e-02, 7.494905377861203755e-02, -5.867166139232757316e-03, 1.169882789007441332e-01, 7.464206678305762566e-02, 0
1403715273362142976, -8.025925669810524696e-04, -9.669695250545003434e-04, -1.770297114231956517e-04, 7.033561491805883151e-03, -8.311468111988156160e-01, 5.454569139347496473e-03, 5.559817936967768048e-01, -1.496336172195733387e-02, -1.908765682203038619e-02, -3.175942956793834007e-03, -2.386131804913688755e-03, 2.114596223902666730e-02, 7.495053656053392299e-02, -5.780709763878608999e-03, 1.170403238285534636e-01, 7.477104660769347266e-02, 0
1403715273412143104, -1.527361604187590016e-03, -1.896178779050756514e-03, -3.236640725848545052e-04, 6.997871435951152908e-03, -8.312104197447651721e-01, 5.463045715538712190e-03, 5.558870596034839462e-01, -1.398418062012895570e-02, -1.833502837718520989e-02, -2.533805705786943297e-03, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 0
1403715273462142976, -1.521547860909542920e-03, -1.907997680170379039e-03, -2.970283093819023833e-04, 6.749407486085484166e-03, -8.313377111362202365e-01, 5.638485337327863930e-03, 5.556979962393945316e-01, -2.433565842472299606e-04, 2.707104475082529088e-04, 4.900905768568164294e-04, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 3
1403715273512143104, -1.488904948645008780e-03, -1.961414969261214992e-03, -2.314334291080474533e-04, 6.505004721145012624e-03, -8.314181169817260741e-01, 5.758265773319064425e-03, 5.555793751062244601e-01, -3.899963285353922888e-04, 1.403265969034515502e-04, 1.209479403845906218e-03, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 3
1403715273562142976, -3.323432310175935146e-03, -4.533685587458050059e-03, -5.569266672964178974e-04, 6.665087009737751499e-03, -8.313033587530201940e-01, 5.528409524806414226e-03, 5.557515083463345773e-01, -1.013497499113113869e-02, -1.668441199028169314e-02, -7.155989789623550977e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 0
1403715273612143104, -3.272805373656034657e-03, -4.580405072706345351e-03, -4.785634905651438373e-04, 6.429482963901820593e-03, -8.313852506264216569e-01, 5.513437500197599858e-03, 5.556319184465471350e-01, 1.802737965957154544e-03, -1.588798215304977396e-03, 1.629207265537239036e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715273662142976, -3.243418105195439681e-03, -4.607471563037660901e-03, -3.877026347976597186e-04, 6.441553922570822724e-03, -8.314998046174612023e-01, 5.437527865690165545e-03, 5.554610828806069156e-01, 2.287002906356876055e-03, -1.471706430095714394e-03, 1.892619014095840713e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715273712143104, -3.247299783919348204e-03, -4.770090773168277065e-03, -3.685597014672042752e-04, 6.269034343958192375e-03, -8.315607223433533202e-01, 5.344742718483878711e-03, 5.553727558941543574e-01, 2.168528263161295135e-03, -2.746090923531836151e-03, 1.639638286989438193e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715273762142976, -3.222468247878436127e-03, -4.755474109915448257e-03, -4.008548672652198388e-04, 6.355463602582196378e-03, -8.315031893367018645e-01, 5.327430891322679045e-03, 5.554580746423508630e-01, 2.636069520600895291e-03, -1.360402776587224570e-03, 1.201932928042894226e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715273812143104, -3.323941580519268035e-03, -4.705965183930832692e-03, -2.946293816173638225e-04, 6.411305589478219664e-03, -8.314606145689553696e-01, 5.575351270313781867e-03, 5.555187278926482231e-01, 2.529379438966862861e-03, -1.049465761606970492e-03, 1.536134679727994791e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715273862142976, -3.446424990025388074e-03, -4.689400520806196598e-03, -2.155330272456042217e-04, 6.638138731521453680e-03, -8.314000667483727458e-01, 5.638141225151262377e-03, 5.556060434233122125e-01, 2.450314402064014772e-03, -6.490774446399839772e-04, 2.021613092798937601e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715273912143104, -3.609142657580311896e-03, -4.710754844091163442e-03, -4.021282635941276140e-04, 6.490043555960905812e-03, -8.313939099496662211e-01, 5.635315412486874634e-03, 5.556170345241854269e-01, 2.050214260214591050e-03, 2.931779065983652704e-04, 2.257333745185383274e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715273962142976, -3.578631843184321062e-03, -4.570155524448658337e-03, -1.388749552430664901e-04, 6.497648885073162295e-03, -8.314609724547201708e-01, 5.590906656276330676e-03, 5.555170326879080855e-01, 1.870714780926722044e-03, -4.924561374921171408e-04, 2.420140380901155980e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274012143104, -3.376255595843512865e-03, -4.346742908796691340e-03, -2.537113515263942536e-04, 5.998450865827727012e-03, -8.314509590397353156e-01, 4.876607587543415646e-03, 5.555443636628418780e-01, 1.911682719539364991e-03, -8.410478799439648472e-04, 1.336401626371343330e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274062142976, -3.390704428613396972e-03, -4.353841799764351754e-03, -4.148284980814362366e-04, 6.295568968104739253e-03, -8.315213774478751318e-01, 5.753583383891491126e-03, 5.554272778112369080e-01, 1.365387153141117650e-03, -5.039875054751379946e-04, 3.692177349216515018e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274112143104, -1.687172671862134307e-03, -1.614176368085209166e-03, -1.901231519375899464e-04, 6.476969101188174982e-03, -8.313189613655898036e-01, 5.845181383421067974e-03, 5.557271517569517538e-01, -9.286848864724140708e-04, 2.057109403503327375e-04, -5.362828659900625503e-05, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 3
1403715274162142976, -3.514717420659051097e-03, -4.201579409942332241e-03, -5.755475186913070655e-04, 6.620656662455868743e-03, -8.313155962089392448e-01, 6.152358449783971485e-03, 5.557271766709266370e-01, 7.398605967615145065e-04, -4.136572668067345295e-04, 2.222130641464997117e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274212143104, -3.689782515074417103e-03, -3.940530705816188729e-03, -3.412113911111868498e-04, 6.866476645116183393e-03, -8.314552345155222790e-01, 6.796635259341817642e-03, 5.555077409400984711e-01, 8.997541974874651884e-04, -7.842655657037350767e-04, 3.587277271717728656e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274262142976, -3.538910508512928960e-03, -4.059828040006810933e-03, -4.048220550702430649e-04, 7.037327762029266416e-03, -8.315768273613806105e-01, 6.622839633915648429e-03, 5.553256650009378292e-01, 6.256739136752067663e-04, -9.990620264746445222e-04, 5.395773186323197081e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274312143104, -1.764027333392561431e-03, -1.610349802740708826e-03, -2.113329591155210557e-04, 7.099786143497714870e-03, -8.317184360232311446e-01, 6.566955372299044212e-03, 5.551134220255581342e-01, -8.656624675709559185e-04, -1.374219105041034325e-05, 1.064355773944823170e-04, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 3
1403715274362142976, -3.550355829331873839e-03, -4.025219662773663228e-03, -4.558103879061687356e-04, 6.948806308489628020e-03, -8.315336801193415894e-01, 6.498675538965293166e-03, 5.553928520734766616e-01, 7.920277276713549733e-04, -8.221663786025027983e-04, 4.992576356466952399e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274412143104, -3.435275470514006016e-03, -4.194809951767818068e-03, -6.063190661531266167e-04, 6.929764216810088695e-03, -8.315256776391802829e-01, 6.464109207966670795e-03, 5.554054744839564961e-01, 8.511814675514811548e-04, -3.059439349500404372e-04, 2.098601452120316081e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274462142976, -3.359826584230360055e-03, -3.796709325221614070e-03, -5.381224688927888902e-04, 6.798292511021576667e-03, -8.314445948673351294e-01, 6.342977071973114611e-03, 5.555298691579887427e-01, 7.171628475595646620e-04, -9.209261837084849189e-04, 5.311123263377019038e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274512143104, -3.411487705231122138e-03, -4.083661012317572891e-03, -4.880029450173860349e-04, 7.176507800402397511e-03, -8.314477447986616809e-01, 6.239679467764645306e-03, 5.555215673627353912e-01, 9.891384810896885690e-04, -5.906180577690973424e-04, 4.348387962654575952e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274562142976, -3.387051587738764205e-03, -4.022478707774658664e-03, -4.793767244229325559e-04, 7.112957907460492647e-03, -8.314979180957622340e-01, 6.370683185163574826e-03, 5.554457961205343519e-01, 1.115225277516087654e-03, -6.825633441497264749e-04, 4.404008237976215069e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274612143104, -3.437515781401779148e-03, -4.063905079060043703e-03, -4.291180245078829534e-04, 7.279525453292034348e-03, -8.314540276037244437e-01, 6.323362702794114477e-03, 5.555098771172742866e-01, 1.299636455009352959e-03, -6.074247052346714052e-04, 3.896875889025947100e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274662142976, -1.595957445575207651e-03, -1.663570297769070751e-03, -2.619710886156604397e-04, 7.317113222916104935e-03, -8.313363933114525928e-01, 5.816184155617104556e-03, 5.556909509897178800e-01, -6.050878382517250065e-04, 3.008186669354236142e-04, 2.027974461420537237e-04, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 3
1403715274712143104, -3.322302491200119709e-03, -4.424717068698611790e-03, -5.385855500771723507e-04, 6.989668208487100944e-03, -8.312448704329280513e-01, 5.749478481241502952e-03, 5.558327566943799258e-01, 1.217563077506490224e-03, -6.309381710733110576e-04, 3.285370058712224015e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274762142976, -3.354576248957797692e-03, -4.473772170739929999e-03, -6.001132486830405149e-04, 6.904906785813176399e-03, -8.312182996791830369e-01, 5.528130090302710645e-03, 5.558757957659533622e-01, 1.370691029907090096e-03, -6.991461687537779777e-04, 5.162973458156447631e-04, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274812143104, -1.526420959950951749e-03, -1.921583464457164280e-03, -2.989212893785374151e-04, 6.890428285522979049e-03, -8.312529201637430809e-01, 5.508885102868094942e-03, 5.558243939431010139e-01, -3.270550273645877874e-04, 5.098366693165475548e-04, 4.615984441814027263e-04, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 3
1403715274862142976, -3.418240816778464648e-03, -4.493127441576157989e-03, -6.711828766865414898e-04, 6.843861540969099072e-03, -8.311945957199845525e-01, 5.550587018200500190e-03, 5.559117705075626859e-01, 1.890169442733126339e-03, -9.342693290858439118e-04, 1.045029123670362199e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274912143104, -3.479408719835434555e-03, -4.536195314187815332e-03, -7.430723965242790182e-04, 6.864522584680243962e-03, -8.311863936016921084e-01, 5.415644100902055648e-03, 5.559251102622275731e-01, 2.152007688244812755e-03, -1.018883228287243651e-03, 1.640374190482027286e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715274962142976, -3.447908199868627687e-03, -4.491343495980297702e-03, -7.560368835600136429e-04, 6.818722944573992091e-03, -8.312258727505930089e-01, 5.471008809141245620e-03, 5.558661003785267951e-01, 2.136782514786172722e-03, -1.043048150750414951e-03, 1.784491711733484677e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715275012143104, -3.430675909840120996e-03, -4.514399073316986699e-03, -6.767808441053404026e-04, 6.833201590443102082e-03, -8.312520456235319433e-01, 5.491512443006728132e-03, 5.558265802332652550e-01, 2.396042701992884966e-03, -9.852305385861658167e-04, 1.891358795423931033e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715275062142976, -3.342720500152855743e-03, -4.538912519045692692e-03, -6.633791450576546553e-04, 6.857168753324569682e-03, -8.312071991064579057e-01, 5.470953680920193248e-03, 5.558935510114386691e-01, 2.261473551954455621e-03, -9.373345384286553474e-04, 2.037785331044979914e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715275112143104, -3.336924573441931753e-03, -4.509237126882235762e-03, -7.880208391222079780e-04, 6.926862029120308371e-03, -8.311750687737724519e-01, 5.477308411340187783e-03, 5.559406647511148103e-01, 2.045061275842112534e-03, -8.645582135715068053e-04, 2.461285606126405699e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715275162142976, -3.396088806748636876e-03, -4.505041621459434688e-03, -8.300104207937256595e-04, 6.896217509654920322e-03, -8.312121603982779439e-01, 5.451210660178676219e-03, 5.558858433999066539e-01, 2.120184372774404878e-03, -7.564327739474645176e-04, 2.588403019557573848e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715275212143104, -3.418610595147181415e-03, -4.490237550997465757e-03, -7.249111437273893233e-04, 6.919453415656673032e-03, -8.311691439730213293e-01, 5.486772286511349371e-03, 5.559495216307498433e-01, 2.605584806796556411e-03, -1.125426354454935138e-03, 1.419245879133660803e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
1403715275262142976, -1.472969643526525008e-03, -1.807128264655562299e-03, -2.545458002937353169e-04, 6.987588584673973605e-03, -8.312264142603021932e-01, 5.590115325101382981e-03, 5.558620084628773661e-01, -8.427596145416902133e-04, 4.582247204780043738e-04, 6.422008787593578129e-04, -2.386228651261360599e-03, 2.114626631867445178e-02, 7.495199061574188415e-02, -5.697672519222696935e-03, 1.170889260268153792e-01, 7.489962355734824939e-02, 3
1403715275312143104, -3.376076049385144402e-03, -4.501916423281877334e-03, -6.797090243668209731e-04, 6.792807577963901229e-03, -8.312109563250362765e-01, 5.533546777420067855e-03, 5.558881035878441290e-01, 2.036061551357625822e-03, -8.144691984771220642e-04, 1.992025957167823866e-03, -2.386554210957656658e-03, 2.114685855953699761e-02, 7.495631687976346547e-02, -5.464159391243292654e-03, 1.172121804020392483e-01, 7.528566792226563942e-02, 6
