timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715273312143104, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.075793314570719361e-02, -8.295063832668813086e-01, 0.000000000000000000e+00, 5.583936129594699871e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403715273362142976, 8.431601684125799272e-06, -8.829776279488750471e-06, -1.133274192861562988e-05, 7.357657196916045188e-03, -8.277666392152629449e-01, 3.596612471878946841e-03, 5.610127630112961006e-01, 2.649635820363468574e-03, -5.188119773137754706e-04, 5.148487864972424834e-04, -1.313166150131710066e-04, 1.094440436833078517e-03, 1.464706486824307510e-03, -4.998504378408415855e-02, 8.999791362829022423e-02, 9.999993150300215405e-03, 
1403715273412143104, 1.137929069831984495e-04, 1.355212837243388829e-04, -1.139012005893048972e-04, 6.923708724383434952e-03, -8.286500293432873532e-01, 3.417025587107008159e-03, 5.597137795900741786e-01, 3.216960490004167061e-03, 9.705863116115913012e-04, -2.010398008560811557e-04, -1.115017432007996048e-03, 1.190399064089704521e-02, 1.473554004178158350e-02, -4.375366822174994730e-02, 9.000828224071462380e-02, 7.514233389494002525e-03, 
1403715273462142976, 2.688401730274246984e-04, 1.197759036406179106e-04, 1.953974528099004961e-05, 6.454643284907515474e-03, -8.287722665432680769e-01, 3.790462032564302034e-03, 5.595359686261275334e-01, 4.901641923898892271e-03, 2.055615679710820509e-04, 1.204860716556362295e-03, -1.354865440912400576e-03, 1.509911152672335256e-02, 2.070869453660683854e-02, -4.169780369299981582e-02, 9.003584600041378283e-02, 6.675021558954480523e-03, 
1403715273512143104, 1.446171025990040959e-04, 1.131494682834991193e-04, 6.882324972847479868e-06, 6.358244617082557670e-03, -8.296216453483795661e-01, 4.126285198443870213e-03, 5.582745490037122060e-01, 1.666432262652543621e-03, 1.625954376717944801e-03, 2.586066502532191461e-04, -1.601836196883911446e-03, 2.103959027472036142e-02, 3.531987824654938407e-02, -3.145218931859906919e-02, 9.000165882137280138e-02, 2.501350939369730714e-03, 
1403715273562142976, 1.785858873921096219e-04, 1.134867518547577506e-04, 3.018309086413431720e-05, 6.225288857067042166e-03, -8.297722775440616871e-01, 4.214612039216156757e-03, 5.580514763382907750e-01, 2.137619429851251272e-03, 7.572121298466650500e-04, -8.191438185119752531e-04, -1.839008810433111511e-03, 2.256895891648881547e-02, 4.097381961402588729e-02, -2.732511910066802094e-02, 9.005897235273981061e-02, 8.731166708767089564e-04, 
1403715273612143104, 3.188466249039446064e-05, 3.065617950911567397e-05, -2.239531889745137703e-06, 7.093135386604328824e-03, -8.299218811285706821e-01, 3.853738348586418627e-03, 5.578212145079665119e-01, -2.061327663815937499e-03, -8.211958507409185953e-03, 7.196788374650864989e-04, -3.029200364905616696e-03, 2.537178255109035635e-02, 5.757120070366626013e-02, -2.436923005710313686e-02, 9.014556362025986924e-02, -3.260450623740031653e-04, 
1403715273662142976, 1.318785646469941461e-05, -2.550460651367047904e-05, 2.238186901731675359e-04, 7.009892735175530035e-03, -8.298767434849589897e-01, 3.680220667181725337e-03, 5.578905878418113362e-01, -1.531146157125922889e-03, 3.011297165180849486e-03, -5.405635230849237726e-04, -2.407720111313268845e-03, 2.509288129304563381e-02, 5.941916257932873535e-02, -2.365369650584249819e-02, 9.010261982513276258e-02, -5.835555701961247241e-04, 
1403715273712143104, 2.944190067104235728e-05, -1.772817359214186382e-04, 4.400322842671823076e-04, 6.915574689535296769e-03, -8.299379327804147222e-01, 3.497618448105133809e-03, 5.578019085876964045e-01, -5.194292811325398451e-04, 1.172872861872106993e-02, -9.935615206180825089e-04, -2.033752226027920121e-03, 2.528025976288865093e-02, 6.162680338242788880e-02, -2.175453610595273410e-02, 9.029973953379352714e-02, -1.377893481698240366e-03, 
1403715273762142976, -1.621664766120220442e-05, -2.369707713038180451e-04, 5.454112021058843147e-04, 6.903102654260631285e-03, -8.299027403902609068e-01, 3.546809234542856216e-03, 5.578541106873138311e-01, -1.668516769116719573e-04, 1.821318102041382878e-02, -1.257900606251209554e-03, -1.897868136137440551e-03, 2.515393950545117760e-02, 6.238298649311255911e-02, -2.133559891492141022e-02, 9.015032431727260098e-02, -1.484737164781085774e-03, 
