timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715273312143104, -2.571754104885196362e-14, -3.086211027714076343e-14, -3.231112947863382722e-14, 8.152348812371035258e-03, -8.310803104482015202e-01, 3.900974293785386838e-03, 5.560789864701972673e-01, -2.362893745183055044e-03, -1.269513650351527948e-03, -6.761874720040148348e-04, -2.396120054544915740e-03, 2.004784169132676347e-02, 7.487126175153906160e-02, -9.200193791172062499e-03, 9.924478432997722865e-02, 7.916233012638825006e-02, 0
1403715273362142976, -7.754726301877185013e-05, -6.402031510669521294e-05, -8.682674957306585694e-06, 8.118146386388977800e-03, -8.310720350106090004e-01, 3.898331390666397774e-03, 5.560918731063625442e-01, -3.805226662017847103e-04, -1.419144930059917540e-03, 2.950898886886995135e-04, -2.396167968540228316e-03, 2.004824505266684584e-02, 7.487273364572391565e-02, -9.120903628385062384e-03, 9.926670384706980099e-02, 7.930153069685738632e-02, 0
1403715273412143104, -6.631771586277794605e-05, -1.297709563697645228e-04, 2.422842579698489599e-05, 8.073824238689252669e-03, -8.310851490117748819e-01, 3.905574741867819544e-03, 5.560728683726391397e-01, 8.304747152524426593e-04, -1.480745462417975764e-03, 1.196188857224891053e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 0
1403715273462142976, -1.165765635907395104e-05, -1.018610114028230279e-04, 3.159438160510003409e-05, 8.044019414619544769e-03, -8.310661878509743028e-01, 3.957805032612371141e-03, 5.561012686029677132e-01, 1.178405292749125279e-03, 1.185595175223234585e-03, -6.153883828870555274e-04, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273512143104, -3.827018109095027754e-05, -8.259320182497689711e-05, 9.026094730586754474e-05, 8.032448833191039791e-03, -8.310831835409406843e-01, 3.979740314044758788e-03, 5.560758792361254477e-01, 2.211222950128410890e-04, 9.565074010261640945e-04, -5.875392745954160535e-05, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273562142976, 6.182302417985586552e-05, -1.845493283246095223e-04, -3.280450776957715092e-06, 7.950656830830050981e-03, -8.310947362000217220e-01, 3.910280250466860279e-03, 5.560602811071275742e-01, -8.017409924241118615e-05, 7.317949641107979446e-04, -1.996098997801005581e-04, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273612143104, 1.836916733259432734e-04, -3.170314017087803426e-04, -1.731475815653781176e-04, 7.863743594601133383e-03, -8.310804537140114023e-01, 3.814190032465863186e-03, 5.560835305469741252e-01, 6.349420871760398178e-04, 4.838781693320983964e-04, -1.023841959037233469e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273662142976, 1.706875609458111641e-04, -3.464038255978682925e-04, -4.064893986869801894e-04, 7.990429047454807726e-03, -8.310807222170230046e-01, 3.763142190421628255e-03, 5.560816711272938972e-01, 1.809793670321979317e-04, 1.082715506996579421e-03, -2.481935567743712504e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273712143104, 2.134421830905472743e-04, -4.342055480506654044e-04, -5.655786624954512506e-04, 7.779757506419926819e-03, -8.310965584777552095e-01, 3.613362833697366088e-03, 5.560619834772061454e-01, 8.252224966128013589e-04, 6.597853383450230863e-04, -3.697675540395090749e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273762142976, 1.571789645921050618e-04, -6.106715223827435292e-04, -5.385415632284939200e-04, 7.875007716794214102e-03, -8.310497635520862625e-01, 3.605473789778085476e-03, 5.561306279213844572e-01, -2.195589308900000537e-04, 6.367428373660631363e-04, -5.062704599377008431e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273812143104, 1.419046936532050403e-04, -4.355111341224154019e-04, -2.268269887194522441e-04, 7.892881704307821294e-03, -8.310555857999020191e-01, 3.821589936132462149e-03, 5.561202308669804806e-01, -4.374123569548777984e-04, 1.701956461883852040e-03, -3.663404033021028065e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273862142976, -1.576277461142527788e-05, -4.405078794306255740e-04, 8.469644164185697287e-05, 8.121215886124907163e-03, -8.310605311970784559e-01, 3.876947887959775099e-03, 5.561091696906597104e-01, 2.027471735254506296e-04, 2.934099915209968049e-03, -2.427123120818408010e-04, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273912143104, 3.017879693925846259e-04, -2.949811223574613350e-04, 9.219994851502600600e-05, 7.978994099199152035e-03, -8.310771837508142967e-01, 3.945842318690918026e-03, 5.560858572472208161e-01, -5.955156627647339562e-04, 2.993713432533013589e-03, 1.137094865354914251e-04, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715273962142976, 4.980576490184992003e-04, 5.634627313277353836e-06, -3.283255185212767221e-04, 7.939796967048768153e-03, -8.310286370303167081e-01, 3.831557470148370080e-03, 5.561597641208946285e-01, 2.560128808007980350e-04, 2.034747839971859373e-03, -1.817348801316771715e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274012143104, 5.478733460771345511e-04, 1.192326864077421819e-04, -5.296943342805142537e-05, 7.413844548414243868e-03, -8.310639053075509208e-01, 3.027922816998755273e-03, 5.561192784712541970e-01, 4.185100603346324211e-05, 1.495737932528767768e-03, -2.069876525233535491e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274062142976, 6.082369104640145737e-04, -2.660618617317180457e-05, -1.977659252924941834e-04, 7.602980637870289209e-03, -8.309946194330913860e-01, 3.743885383263070334e-03, 5.562158937686956239e-01, 3.129618736714894845e-04, 1.400712437157105141e-03, -3.258468800511621008e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274112143104, 5.013480184480141513e-04, -1.436499298109935869e-04, -1.212755665619356791e-04, 7.621753699372521909e-03, -8.308863453554443668e-01, 3.849609893234615544e-03, 5.563766444380006115e-01, -3.693181699712704468e-04, 1.989248803681170977e-03, -2.617979232735970999e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274162142976, 7.485686176854533698e-04, -1.227355733585849037e-03, -2.044506977828300343e-05, 7.629797783120675740e-03, -8.309496271919764032e-01, 3.922597313505109783e-03, 5.562815083081766865e-01, 7.715990247029461601e-04, 2.999071174755584858e-03, -1.333766769933352869e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274212143104, 9.265442603002865991e-04, -1.524056418405060360e-03, -4.481635553073566960e-04, 7.855702317761047507e-03, -8.309036161456869740e-01, 4.362731606205501496e-03, 5.563438102379210104e-01, 2.546937514718450573e-03, 2.285650576610403486e-04, -7.749267061575343570e-04, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274262142976, 6.907304757953573997e-04, -1.148444399985467908e-03, -4.149371061105438965e-04, 7.896391955592413359e-03, -8.310526783136474860e-01, 4.130111654488686883e-03, 5.561223202133845911e-01, 1.157085111336839675e-03, 7.487889633639016867e-04, -1.363835400533110025e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274312143104, 3.966817991328118096e-04, -9.995081032076848834e-04, -5.647847544146806066e-04, 7.909505841189243963e-03, -8.311666375043152977e-01, 4.135192649209342743e-03, 5.559517610358587492e-01, 7.475354948447642499e-04, 5.816037855617654665e-04, -1.775860688809662935e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274362142976, 2.578951834668308761e-04, -9.468147977083483024e-04, -6.970812388747865988e-04, 7.850658030055829295e-03, -8.310949466147098397e-01, 4.041928898787128244e-03, 5.560604460764722035e-01, -5.805334807215454222e-05, -5.183666178146688125e-04, -1.681096094154754719e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274412143104, 9.717724312156036763e-05, -1.202926244453418874e-03, -5.596006716575357368e-04, 7.810834534611377743e-03, -8.311996216920248814e-01, 3.925693824358120892e-03, 5.559053594730897219e-01, -7.249334097527140516e-04, 2.546891107505322265e-04, -1.023536985631355199e-03, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274462142976, 4.221795847266486220e-05, -8.456769278565337512e-04, -3.289828102179458104e-04, 7.687058880374616175e-03, -8.311910242133261351e-01, 3.901793087539115901e-03, 5.559201079324922468e-01, -3.789432422194643959e-04, 1.235620580311318412e-04, -7.267087984157993581e-04, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
1403715274512143104, 7.530175555659605088e-05, -7.770194204052496703e-04, -5.066251002212087415e-04, 7.993663705333262093e-03, -8.311441122099199053e-01, 3.787812066233292932e-03, 5.559867071784190262e-01, -6.310767368396649670e-04, 1.840170450977335955e-04, -9.694962479212074647e-04, -2.396228356272347374e-03, 2.004863507042170187e-02, 7.487417106759740315e-02, -9.042986947500421258e-03, 9.928928515457177695e-02, 7.944262090556712674e-02, 3
