timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403715273312143104, -3.648712471377695727e-10, -8.058026369990231719e-09, 1.511878502502734094e-08, 1.160037193321637738e-02, -8.286157474065570794e-01, -1.259517778040415660e-03, 5.596961569779184131e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403715273362142976, 4.369897807045615586e-05, 5.446617101428705149e-05, -9.854668494404420582e-05, 9.576707120754550731e-03, -8.258347318883476618e-01, 8.604572328694275359e-04, 5.638302420950604965e-01, 4.480564378441278563e-03, -4.331139238350386320e-04, -1.270456337133664838e-03, -8.328920904833185448e-04, 3.081171685054268691e-03, 1.172021723259336276e-02, -4.999290499024786061e-02, 8.990896838752027165e-02, 9.931069700196231559e-03, 
1403715273412143104, 3.685417985795378455e-04, 1.200482823108785181e-04, -1.513578193955238929e-04, 7.616320416349629460e-03, -8.277244193155206542e-01, 3.852288422441106554e-03, 5.610699040280188177e-01, 7.046963499128249854e-03, 1.705482018737104885e-03, -1.537392740375480922e-04, -1.449700887390324580e-03, 8.112387637026013953e-03, 3.071223733982870671e-02, -4.792080952633851615e-02, 8.995236956354596414e-02, 9.128396943830047530e-03, 
1403715273462142976, 6.840327240526391335e-04, 1.862554007029636736e-04, -1.023664592154209269e-04, 7.781670258298870220e-03, -8.289001491766114782e-01, 3.690305266768469355e-03, 5.593302869950995682e-01, 6.569979833606620460e-03, 7.115335242757173280e-04, 1.860275614215186083e-03, -1.765240299802546238e-03, 1.029818155968035415e-02, 4.034179609665849986e-02, -5.148497427718043418e-02, 8.996186331923759771e-02, 1.054267111954383142e-02, 
1403715273512143104, 5.407447841310986060e-04, 2.394120323385061854e-04, -1.623911290638698998e-04, 7.856125266300618970e-03, -8.301210846558395584e-01, 3.794429985369516221e-03, 5.575149042014023726e-01, 1.055864137280627512e-03, 1.577258825658697230e-03, 2.515371771665165981e-03, -2.132211437562845074e-03, 1.291007149667545637e-02, 5.077948299019825057e-02, -5.321748480962850553e-02, 8.995372789332858887e-02, 1.125311524632562586e-02, 
1403715273562142976, 3.650954221964435096e-04, 2.578242610514390140e-04, -7.652389984592997303e-05, 8.034967366413299505e-03, -8.300339598514682171e-01, 3.488354785787185688e-03, 5.576440586732728244e-01, 5.834261202317779374e-04, -1.221880612365132727e-04, 2.493631500835166367e-03, -2.436203100696698442e-03, 1.505222324132034044e-02, 5.735439070278825630e-02, -4.792510607741682499e-02, 8.998516053011394733e-02, 9.176608095507255911e-03, 
1403715273612143104, 3.581234442180889757e-04, 2.752749079965639443e-04, -4.042469675890852216e-05, 7.913652211741230638e-03, -8.298393421819487692e-01, 3.687910762765237663e-03, 5.579340817604783176e-01, -1.374000621730143068e-03, -7.261515857519774443e-03, 2.758151590190943778e-03, -2.938169173578315807e-03, 1.658274129062922708e-02, 6.236752394682578554e-02, -3.951617851520348307e-02, 8.996774766440031323e-02, 5.814585860934725139e-03, 
1403715273662142976, 1.979996712431548089e-04, 2.013638763703801853e-04, -5.591199239967332366e-05, 8.290251466963665869e-03, -8.296841217550927627e-01, 3.529549928771801535e-03, 5.581604358205581873e-01, -1.174803387657407999e-03, 1.772011658824458298e-03, 9.329834007003280291e-05, -3.204906907282162581e-03, 1.807708393425528845e-02, 6.738139448257156328e-02, -3.353621321385930748e-02, 9.024087628244595316e-02, 3.403098864451122030e-03, 
1403715273712143104, 1.063210969170765919e-04, 1.599779834080075432e-05, -2.352517839409523973e-04, 8.201027571057893303e-03, -8.294495654131883722e-01, 3.172105550231674610e-03, 5.585123985454845119e-01, 1.207861737679876346e-03, 1.133378377891191939e-02, -1.615406730034088956e-03, -2.916474788220020133e-03, 1.863960744696136970e-02, 7.032576247113829504e-02, -2.625685928932099122e-02, 9.024076062395783304e-02, 5.622873106639735691e-04, 
1403715273762142976, 1.254457639282279024e-04, -1.467749071887653129e-04, -6.199034156810047987e-04, 8.217547525782607082e-03, -8.295031498118358160e-01, 3.278245678080559961e-03, 5.584319559894282969e-01, 2.082862612784262536e-05, 1.637210584683221337e-02, -3.140610838696400366e-03, -2.316184749204629970e-03, 1.822277021238359607e-02, 7.127234598913012587e-02, -2.520720162804470504e-02, 9.011866895827212731e-02, 2.737078778314769290e-05, 
1403715273812143104, 8.326157668358467575e-05, -7.374567493454578580e-05, -9.036454815763883715e-04, 8.237042356511866878e-03, -8.293766215799747155e-01, 3.387181570947625942e-03, 5.586189199363102986e-01, 4.203660122217567352e-04, 1.349449554336503050e-02, -2.553648728667805290e-03, -2.337114525366266495e-03, 1.811931634903814203e-02, 7.162158487566991361e-02, -3.257373848403103539e-02, 8.994655511401805636e-02, 2.938793019809991629e-03, 
1403715273862142976, 1.308700019518273400e-05, 1.249178718971406444e-05, -7.661376183346426706e-04, 8.339140520314492974e-03, -8.294885167549844729e-01, 3.675245544674375642e-03, 5.584494174741205796e-01, -1.572776122547482483e-03, 8.067552202853017773e-03, 5.382491482856996672e-04, -2.488346246205377487e-03, 1.824606246361638179e-02, 7.225801005506464481e-02, -4.220165083573540477e-02, 9.000991323417692480e-02, 6.951952343637224536e-03, 
1403715273912143104, 1.068357555076620359e-04, 2.482155874318637667e-04, -4.059277595006411895e-04, 8.117904367527916526e-03, -8.293671714628250147e-01, 3.833295281002737157e-03, 5.586318111025556643e-01, 4.916250735246513568e-05, 1.779345016004075337e-03, 5.750950628865102686e-03, -2.560650005307086186e-03, 1.862452899783824042e-02, 7.295020133181621957e-02, -4.975931324574336262e-02, 9.025727077158324230e-02, 1.017005490828916218e-02, 
1403715273962142976, 2.277172668251090202e-04, 3.411475289933442782e-04, -1.932932542845232414e-04, 8.368717369970640405e-03, -8.293357610035225758e-01, 3.377221168457901403e-03, 5.586776838817431035e-01, -3.973505610640068681e-04, -6.095947453325613156e-03, 3.353069350580637625e-03, -2.544588455327166567e-03, 1.887163202183354468e-02, 7.315705202183372946e-02, -4.148213770410034973e-02, 9.021837834579693460e-02, 6.816161196768791633e-03, 
1403715274012143104, 3.765962784373201133e-04, 6.560515797944060055e-04, -3.690819536350514588e-04, 7.891998171027470727e-03, -8.292428689509231399e-01, 2.507159868265921958e-03, 5.588270705757778511e-01, 1.798624936837198499e-03, 1.812185736781635279e-03, -2.684378083831696210e-03, -2.598445129907445920e-03, 1.874113699662986396e-02, 7.368009955390746046e-02, -2.880334628202744357e-02, 8.902720202586052178e-02, 1.158438108865899501e-03, 
1403715274062142976, 1.032469437538590046e-03, 5.500729555683669210e-04, -5.664660093190256474e-04, 8.137981188087745760e-03, -8.289739359595537094e-01, 3.178860042884628073e-03, 5.592189925339947631e-01, 8.045280281838779884e-03, 3.986973493645277859e-03, -2.716611448236744882e-03, -2.522823825795279806e-03, 1.862135194700405630e-02, 7.384084228699525077e-02, -2.459703695423733072e-02, 8.911532305344786742e-02, -5.157734172773431819e-04, 
1403715274112143104, 9.043849484193685869e-04, 5.618403469058903810e-04, -9.240682400475173485e-04, 8.150625735127805735e-03, -8.290984107819784343e-01, 3.396712707572951701e-03, 5.590329640385311993e-01, 4.040308581271414082e-03, 4.462188529668204874e-03, -2.870100392796251683e-03, -2.394535722233820645e-03, 1.866657286450930028e-02, 7.419452174136802192e-02, -2.951734024494233333e-02, 8.862593272556837376e-02, 1.895689695978477855e-03, 
1403715274162142976, 5.548929008185860380e-04, 7.545309593225425749e-05, -2.270429487639662072e-04, 8.198036661763228108e-03, -8.293512764743933285e-01, 3.554868622733343281e-03, 5.586560796359977266e-01, -1.006904199559439158e-03, 1.290827565575884553e-03, 5.600443141193825166e-04, -1.831295894772016174e-03, 1.921871567653915883e-02, 7.441962734735821372e-02, -3.347923437794576157e-02, 8.834099663568964478e-02, 4.656643174484865165e-03, 
1403715274212143104, 7.381796321797359089e-04, -2.386719139192374677e-04, -4.641201822610312947e-04, 8.401537389366307146e-03, -8.293130780524542445e-01, 3.991392236817437912e-03, 5.587068117793722033e-01, 1.470946733300399888e-03, -1.820338425401345781e-03, -7.260533822180186784e-04, -1.613384994971148048e-03, 1.923315132509155825e-02, 7.435189242946663168e-02, -3.248705954543733287e-02, 8.870006757437826073e-02, 5.280083537046508478e-03, 
1403715274262142976, 8.130011391662677472e-04, -5.419743860603228958e-04, -6.649922488963506788e-04, 8.456872974656214070e-03, -8.293139308989484482e-01, 3.517023601374191961e-03, 5.587078985135365272e-01, 1.870620549799022203e-03, -5.216783129726945342e-03, -3.103077178072322171e-03, -1.387177150996162043e-03, 1.897608816597126311e-02, 7.458561046807839212e-02, -3.188974490974066239e-02, 8.745395885286130766e-02, 3.368816058636618302e-03, 
1403715274312143104, 8.863302320784640373e-04, -1.061298728188985688e-03, -7.355872660548922045e-04, 8.285729062088740757e-03, -8.295465270281566772e-01, 3.586108593276644135e-03, 5.583646174450800359e-01, 4.265772395119199326e-04, -2.181044170303466680e-03, -1.403382788054280145e-03, -1.497634736849849223e-03, 1.909477719268506610e-02, 7.438761579050408301e-02, -2.934924584427681116e-02, 8.869436964480985341e-02, 2.448865356613405628e-03, 
1403715274362142976, 8.179219037223248298e-04, -8.453461529781521391e-04, -6.314770681211136476e-04, 7.971570521983245561e-03, -8.297116382171220161e-01, 3.926043147594584712e-03, 5.581215258845297900e-01, -2.074698723948612683e-03, 3.612491247153223461e-03, -4.143582511784590331e-04, -1.735579658969909570e-03, 1.924217615020807487e-02, 7.431008752986265065e-02, -2.885738641128030718e-02, 8.984324446428422484e-02, 3.305448847838665920e-03, 
1403715274412143104, 4.567100687038888607e-04, -5.449511786303742802e-04, -9.301616962403223268e-04, 8.088816738929284489e-03, -8.297206902326450528e-01, 3.792794840126143506e-03, 5.581073032589056737e-01, -2.497641383787737798e-03, 1.265992634336425733e-02, -9.408224921118825065e-04, -1.816533588594855314e-03, 1.931358730912650923e-02, 7.435253667103818020e-02, -2.726890138141970302e-02, 8.865314502948726250e-02, 3.519210583780943338e-03, 
