#t_ns(== cam0/data.csv),fx,fy,cx,cy
5073244279750,1347.7943115234375,1347.7943115234375,957.4692993164062,718.9641723632812
5073260948041,1286.1873779296875,1286.1873779296875,957.7037963867188,719.0327758789062
5073277616333,1280.877685546875,1280.877685546875,957.7169189453125,719.0333251953125
5073294284583,1280.6156005859375,1280.6156005859375,957.714111328125,719.0453491210938
5073310952833,1280.4935302734375,1280.4935302734375,957.7252197265625,719.0432739257812
5073327620958,1280.4368896484375,1280.4368896484375,957.7213745117188,719.0471801757812
5073344289208,1280.371337890625,1280.371337890625,957.7206420898438,719.0623779296875
5073360957500,1280.5440673828125,1280.5440673828125,957.7720336914062,719.0442504882812
5073377625750,1292.8040771484375,1292.8040771484375,957.93017578125,719.0536499023438
5073394293958,1305.3768310546875,1305.3768310546875,958.0103149414062,719.05859375
5073410962083,1305.2845458984375,1305.2845458984375,958.1063232421875,719.1211547851562
5073427630375,1305.3114013671875,1305.3114013671875,958.1958618164062,719.12939453125
5073444298625,1305.391845703125,1305.391845703125,958.3204345703125,719.1448974609375
5073460966916,1305.400634765625,1305.400634765625,958.4893188476562,719.1514282226562
5073477635166,1305.3470458984375,1305.3470458984375,958.6151123046875,719.2256469726562
5073494303458,1305.3023681640625,1305.3023681640625,958.7803955078125,719.2350463867188
5073510971583,1305.2965087890625,1305.2965087890625,958.943359375,719.247314453125
5073527639833,1305.314208984375,1305.314208984375,959.1317749023438,719.3025512695312
5073544308125,1305.332275390625,1305.332275390625,959.3492431640625,719.3004760742188
5073560976333,1305.326171875,1305.326171875,959.522216796875,719.3471069335938
5073577644625,1305.3590087890625,1305.3590087890625,959.718505859375,719.39306640625
5073594312875,1349.119384765625,1349.119384765625,959.9660034179688,719.4459838867188
5073610981000,1364.3958740234375,1364.3958740234375,960.1591796875,719.45263671875
5073627649291,1364.086181640625,1364.086181640625,960.3872680664062,719.5004272460938
5073644317541,1363.928466796875,1363.928466796875,960.6123046875,719.5276489257812
5073660985791,1363.9046630859375,1363.9046630859375,960.8184204101562,719.601318359375
