frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2406,0.2416,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
1,5073.268948041,0.2329,0.2334,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
2,5073.285616333,0.2234,0.2239,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
3,5073.302284583,0.2236,0.2243,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
4,5073.318952833,100.7981,96.2654,nan,-1,-1,-1,-1,-1,-1,nan,0.0034,0.0000,0
5,5073.335620958,18.0885,17.9755,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
6,5073.352289208,17.9034,17.8322,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
7,5073.368957500,18.3251,18.3098,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
8,5073.385625750,17.7885,17.7904,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
9,5073.402293958,18.1521,18.0268,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
10,5073.418962083,17.5871,17.5885,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
11,5073.435630375,17.5939,17.5767,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
12,5073.452298625,18.3505,18.2536,nan,-1,-1,-1,-1,-1,-1,nan,0.0009,0.0000,0
13,5073.468966916,19.5207,19.4848,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
14,5073.485635166,18.9908,18.9928,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
15,5073.502303458,18.4362,18.4375,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
16,5073.518971583,18.8806,18.7953,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
17,5073.535639833,17.9683,17.9698,nan,-1,-1,-1,-1,-1,-1,nan,0.0009,0.0000,0
18,5073.552308125,18.3020,18.2775,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
19,5073.568976333,18.1707,17.3600,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
20,5073.585644625,18.1950,18.1639,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
21,5073.602312875,17.7544,17.6691,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
22,5073.618981000,18.7571,18.6382,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
23,5073.635649291,17.3834,17.3697,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
24,5073.652317541,17.3435,17.3058,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
25,5073.668985791,17.4939,17.3369,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
26,5073.685654083,17.0642,17.0424,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
27,5073.702322208,17.4178,17.3864,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
28,5073.718990416,17.7751,17.5062,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
29,5073.735658708,17.6106,17.5269,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
30,5073.752327000,17.1782,17.1578,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
31,5073.768995166,17.6222,17.6035,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
32,5073.785663541,17.3762,17.3228,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
33,5073.802331666,17.3961,17.3836,nan,-1,-1,-1,-1,-1,-1,nan,0.0009,0.0000,0
34,5073.818999916,17.1133,17.1145,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
35,5073.835668208,18.3839,18.3033,nan,-1,-1,-1,-1,-1,-1,nan,0.3024,0.0000,0
36,5073.852336500,17.9086,17.7148,nan,-1,-1,-1,-1,-1,-1,nan,0.3889,0.0000,0
37,5073.869004708,17.8024,17.7327,nan,-1,-1,-1,-1,-1,-1,nan,0.3717,0.0000,0
38,5073.885673000,25.4802,24.6865,nan,-1,-1,-1,-1,-1,-1,nan,0.3830,0.0000,0
39,5073.902341125,18.4558,18.3927,nan,-1,-1,-1,-1,-1,-1,nan,0.3766,0.0000,0
40,5073.919009416,17.8670,17.8683,nan,-1,-1,-1,-1,-1,-1,nan,0.4169,0.0000,0
41,5073.935677708,18.1324,18.0896,nan,-1,-1,-1,-1,-1,-1,nan,0.3986,0.0000,0
42,5073.952345958,17.4320,17.4358,nan,-1,-1,-1,-1,-1,-1,nan,0.4034,0.0000,0
43,5073.969014208,17.7929,17.7503,nan,-1,-1,-1,-1,-1,-1,nan,0.4145,0.0000,0
44,5073.985682333,18.0098,17.9638,nan,-1,-1,-1,-1,-1,-1,nan,0.4205,0.0000,0
45,5074.002350625,17.6225,17.4550,nan,-1,-1,-1,-1,-1,-1,nan,0.4335,0.0000,0
46,5074.019018833,17.7759,17.7341,nan,-1,-1,-1,-1,-1,-1,nan,0.4186,0.0000,0
47,5074.035687166,20.1830,19.4724,nan,-1,-1,-1,-1,-1,-1,nan,0.5322,0.0000,0
48,5074.052355416,19.9054,19.3845,nan,-1,-1,-1,-1,-1,-1,nan,0.4577,0.0000,0
49,5074.069023708,20.1277,19.4890,nan,-1,-1,-1,-1,-1,-1,nan,0.4761,0.0000,0
50,5074.085691791,19.8006,18.9302,nan,-1,-1,-1,-1,-1,-1,nan,0.4887,0.0000,0
51,5074.102360083,18.8976,17.7921,nan,-1,-1,-1,-1,-1,-1,nan,0.4264,0.0000,0
52,5074.119028375,19.2409,19.0897,nan,-1,-1,-1,-1,-1,-1,nan,0.4277,0.0000,0
53,5074.135696625,19.8725,19.8017,nan,-1,-1,-1,-1,-1,-1,nan,0.4372,0.0000,0
54,5074.152364916,19.4058,19.0897,nan,-1,-1,-1,-1,-1,-1,nan,0.4619,0.0000,0
55,5074.169033166,18.5626,18.4535,nan,-1,-1,-1,-1,-1,-1,nan,0.4560,0.0000,0
56,5074.185701333,67.8961,64.7372,nan,-1,-1,-1,-1,-1,-1,nan,49.4149,0.0000,0
57,5074.202369541,19.0483,19.0506,nan,-1,-1,-1,-1,-1,-1,nan,0.8748,0.8100,1
58,5074.219037875,20.0016,19.9320,nan,-1,-1,-1,-1,-1,-1,nan,1.7302,1.6609,1
59,5074.235706125,19.7655,19.6573,nan,-1,-1,-1,-1,-1,-1,nan,2.3335,2.2660,1
