frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2268,0.2274,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.2305,0.2312,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.2295,0.2301,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2263,0.2270,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,104.1035,100.9592,0.0000,0,0,0,0,0,0,0.0000,0.0027,0.0000,0
5,5073.335620958,18.6741,18.5354,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
6,5073.352289208,18.4437,18.4039,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
7,5073.368957500,19.9260,19.4168,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
8,5073.385625750,18.5741,18.5756,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
9,5073.402293958,18.5568,18.5340,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
10,5073.418962083,18.8210,18.7513,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
11,5073.435630375,18.3762,18.3402,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
12,5073.452298625,18.4688,18.4495,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
13,5073.468966916,19.0132,18.5930,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
14,5073.485635166,18.8167,18.8089,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
15,5073.502303458,18.6606,18.6264,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
16,5073.518971583,19.1279,19.0420,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
17,5073.535639833,18.2400,18.2415,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
18,5073.552308125,18.5306,18.4723,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
19,5073.568976333,18.5105,18.4278,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
20,5073.585644625,18.3854,18.3871,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
21,5073.602312875,18.8070,18.7185,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
22,5073.618981000,18.3853,18.2880,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
23,5073.635649291,19.1710,18.9987,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
24,5073.652317541,18.8955,18.5775,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
25,5073.668985791,19.5383,18.9368,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
26,5073.685654083,19.2602,19.1980,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
27,5073.702322208,19.2867,17.9009,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
28,5073.718990416,18.0029,17.8453,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
29,5073.735658708,18.6284,18.3607,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
30,5073.752327000,17.9235,17.9248,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
31,5073.768995166,18.1192,18.0306,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
32,5073.785663541,18.1066,18.0810,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
33,5073.802331666,19.2914,18.7728,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
34,5073.818999916,18.7878,18.4654,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
35,5073.835668208,18.5719,18.2052,0.0000,0,0,0,0,0,0,0.0000,0.3393,0.0000,0
36,5073.852336500,18.7040,18.5660,0.0000,0,0,0,0,0,0,0.0000,0.4009,0.0000,0
37,5073.869004708,19.0430,18.7487,0.0000,0,0,0,0,0,0,0.0000,0.3793,0.0000,0
38,5073.885673000,18.6324,18.5782,0.0000,0,0,0,0,0,0,0.0000,0.3868,0.0000,0
39,5073.902341125,18.0953,18.0965,0.0000,0,0,0,0,0,0,0.0000,0.4030,0.0000,0
40,5073.919009416,18.6774,18.1553,0.0000,0,0,0,0,0,0,0.0000,0.4443,0.0000,0
41,5073.935677708,19.1512,18.5733,0.0000,0,0,0,0,0,0,0.0000,0.4311,0.0000,0
42,5073.952345958,18.6220,18.5966,0.0000,0,0,0,0,0,0,0.0000,0.4082,0.0000,0
43,5073.969014208,18.7970,18.7184,0.0000,0,0,0,0,0,0,0.0000,0.4193,0.0000,0
44,5073.985682333,18.6875,18.5647,0.0000,0,0,0,0,0,0,0.0000,0.4293,0.0000,0
45,5074.002350625,18.4893,18.4438,0.0000,0,0,0,0,0,0,0.0000,0.4359,0.0000,0
46,5074.019018833,18.7642,18.5036,0.0000,0,0,0,0,0,0,0.0000,0.4285,0.0000,0
47,5074.035687166,18.5771,18.5289,0.0000,0,0,0,0,0,0,0.0000,0.4478,0.0000,0
48,5074.052355416,19.5145,19.3685,0.0000,0,0,0,0,0,0,0.0000,0.4424,0.0000,0
49,5074.069023708,19.0850,18.8579,0.0000,0,0,0,0,0,0,0.0000,0.4550,0.0000,0
50,5074.085691791,19.2607,19.0255,0.0000,0,0,0,0,0,0,0.0000,0.4682,0.0000,0
51,5074.102360083,18.7030,18.5211,0.0000,0,0,0,0,0,0,0.0000,0.4286,0.0000,0
52,5074.119028375,18.9195,18.8720,0.0000,0,0,0,0,0,0,0.0000,0.4144,0.0000,0
53,5074.135696625,18.6609,18.6424,0.0000,0,0,0,0,0,0,0.0000,0.4335,0.0000,0
54,5074.152364916,19.1245,18.7298,0.0000,0,0,0,0,0,0,0.0000,0.4549,0.0000,0
55,5074.169033166,18.4118,18.3488,0.0000,0,0,0,0,0,0,0.0000,0.4435,0.0000,0
56,5074.185701333,63.8775,63.7202,0.0000,0,0,0,0,0,0,34.3218,45.5923,0.0000,0
57,5074.202369541,20.6168,20.2287,0.6483,2,4,0,0,0,2,0.0000,0.9453,0.8670,1
58,5074.219037875,21.0402,20.3441,1.4510,2,7,0,0,0,2,0.0000,1.8263,1.7590,1
59,5074.235706125,21.4704,21.1766,2.0387,2,7,0,0,0,2,0.0000,2.5298,2.4526,1
60,5074.252374375,32.6842,31.7474,9.8240,2,7,1,0,0,1,0.0000,10.8265,10.7389,1
61,5074.269042541,20.5290,20.2026,0.5908,2,4,0,0,0,2,0.0000,0.8648,0.7884,1
62,5074.285710791,21.0512,20.7430,1.1978,2,6,0,0,0,2,0.0000,1.5736,1.4927,1
63,5074.302379083,22.4124,21.6380,1.9059,2,7,0,0,0,2,0.0000,2.3679,2.2934,1
64,5074.319047333,40.1419,35.3482,15.2111,2,6,1,0,0,1,0.0000,16.3714,16.2626,1
65,5074.335715625,21.2342,20.8697,0.6008,2,4,0,0,0,2,0.0000,0.8790,0.8016,1
66,5074.352383875,21.3933,20.3400,1.1890,2,6,0,0,0,2,0.0000,1.5586,1.4829,1
67,5074.369052000,22.1660,21.8956,1.9011,2,7,0,0,0,2,0.0000,2.3523,2.2732,1
68,5074.385720291,37.8340,37.7458,15.6739,2,7,1,0,0,1,0.0000,18.7177,18.6385,1
69,5074.402388541,20.1489,19.7986,0.5670,2,4,0,0,0,2,0.0000,0.8408,0.7627,1
70,5074.419056833,20.4550,20.3994,1.0591,2,5,0,0,0,2,0.0000,1.4181,1.3402,1
71,5074.435725083,21.1935,20.3218,1.4470,2,5,0,0,0,2,0.0000,1.9000,1.8168,1
72,5074.469061500,38.5219,37.4966,15.2330,2,7,1,0,0,1,0.0000,19.0533,18.9670,1
73,5074.485729791,20.0029,19.2632,0.6509,2,5,0,0,0,2,0.0000,0.9324,0.8462,1
74,5074.502398000,21.6914,21.0726,1.1230,2,6,0,0,0,2,0.0000,1.4901,1.4015,1
75,5074.519066291,21.3203,20.8453,1.8051,2,7,0,0,0,2,0.0000,2.2582,2.1709,1
76,5074.535734583,38.6810,38.3183,15.3670,2,7,1,0,0,1,0.0000,19.3308,19.2453,1
