frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.1988,0.1994,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.1932,0.1936,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.1990,0.1995,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2011,0.2017,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,96.0080,93.2400,0.0000,0,0,0,0,0,0,0.0000,0.0034,0.0000,0
5,5073.335620958,17.4246,17.3692,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
6,5073.352289208,17.0429,16.9846,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
7,5073.368957500,17.8445,17.6795,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
8,5073.385625750,17.5553,17.5036,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
9,5073.402293958,17.5072,17.4638,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
10,5073.418962083,17.3755,17.3769,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
11,5073.435630375,17.3145,17.3025,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
12,5073.452298625,17.9396,17.8820,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
13,5073.468966916,19.0580,18.8942,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
14,5073.485635166,17.9182,17.9195,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
15,5073.502303458,17.8442,17.7842,0.0000,0,0,0,0,0,0,0.0000,0.0011,0.0000,0
16,5073.518971583,18.2903,18.2745,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
17,5073.535639833,17.9174,17.8310,0.0000,0,0,0,0,0,0,0.0000,0.0001,0.0000,0
18,5073.552308125,17.9642,17.9136,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
19,5073.568976333,17.6015,17.5358,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
20,5073.585644625,17.6605,17.6618,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
21,5073.602312875,17.3032,17.3042,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
22,5073.618981000,16.6497,16.6510,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
23,5073.635649291,17.1730,17.0153,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
24,5073.652317541,17.1355,17.1270,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
25,5073.668985791,16.9916,16.9451,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
26,5073.685654083,17.2248,17.1827,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
27,5073.702322208,17.1883,17.0170,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
28,5073.718990416,16.7766,16.7500,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
29,5073.735658708,16.9095,16.8839,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
30,5073.752327000,16.6719,16.6732,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
31,5073.768995166,17.4961,17.0112,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
32,5073.785663541,17.3513,17.2817,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
33,5073.802331666,18.0525,17.8917,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
34,5073.818999916,17.5665,17.5111,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
35,5073.835668208,18.0532,17.9522,0.0000,0,0,0,0,0,0,0.0000,0.2930,0.0000,0
36,5073.852336500,18.0985,17.9539,0.0000,0,0,0,0,0,0,0.0000,0.3705,0.0000,0
37,5073.869004708,17.5716,17.5138,0.0000,0,0,0,0,0,0,0.0000,0.3683,0.0000,0
38,5073.885673000,17.5649,17.5498,0.0000,0,0,0,0,0,0,0.0000,0.3711,0.0000,0
39,5073.902341125,17.1923,17.1934,0.0000,0,0,0,0,0,0,0.0000,0.3898,0.0000,0
40,5073.919009416,17.5039,17.5050,0.0000,0,0,0,0,0,0,0.0000,0.4037,0.0000,0
41,5073.935677708,17.5194,17.4043,0.0000,0,0,0,0,0,0,0.0000,0.4057,0.0000,0
42,5073.952345958,17.6880,17.4281,0.0000,0,0,0,0,0,0,0.0000,0.4103,0.0000,0
43,5073.969014208,17.4781,17.4662,0.0000,0,0,0,0,0,0,0.0000,0.4698,0.0000,0
44,5073.985682333,18.0018,17.8607,0.0000,0,0,0,0,0,0,0.0000,0.4321,0.0000,0
45,5074.002350625,18.4854,18.3615,0.0000,0,0,0,0,0,0,0.0000,0.4491,0.0000,0
46,5074.019018833,17.4422,17.4436,0.0000,0,0,0,0,0,0,0.0000,0.4826,0.0000,0
47,5074.035687166,17.4228,17.4028,0.0000,0,0,0,0,0,0,0.0000,0.4333,0.0000,0
48,5074.052355416,17.2805,17.2816,0.0000,0,0,0,0,0,0,0.0000,0.5112,0.0000,0
49,5074.069023708,17.4424,17.4367,0.0000,0,0,0,0,0,0,0.0000,0.4435,0.0000,0
50,5074.085691791,17.4885,17.4030,0.0000,0,0,0,0,0,0,0.0000,0.4537,0.0000,0
51,5074.102360083,17.2846,17.2751,0.0000,0,0,0,0,0,0,0.0000,0.4198,0.0000,0
52,5074.119028375,17.4336,17.4090,0.0000,0,0,0,0,0,0,0.0000,0.4132,0.0000,0
53,5074.135696625,17.2588,17.2600,0.0000,0,0,0,0,0,0,0.0000,0.4172,0.0000,0
54,5074.152364916,17.6319,17.5410,0.0000,0,0,0,0,0,0,0.0000,0.4663,0.0000,0
55,5074.169033166,17.2251,17.1868,0.0000,0,0,0,0,0,0,0.0000,0.4739,0.0000,0
56,5074.185701333,60.8189,60.8201,0.0000,0,0,0,0,0,0,33.0069,43.9358,0.0000,0
57,5074.202369541,17.9935,17.9948,0.5891,2,4,0,0,0,2,0.0000,0.8564,0.7890,1
58,5074.219037875,18.3095,18.2825,1.2600,2,7,1,0,0,1,0.0000,1.6286,1.5486,1
59,5074.235706125,19.2982,19.1998,1.7550,2,7,1,0,0,1,0.0000,2.1947,2.1326,1
60,5074.252374375,27.4376,27.2336,9.1002,2,7,1,0,0,1,0.0000,10.0076,9.9366,1
61,5074.269042541,17.8629,17.8375,0.5801,2,4,0,0,0,2,0.0000,0.8344,0.7662,1
62,5074.285710791,18.6182,18.5373,1.1001,2,6,0,0,0,2,0.0000,1.4397,1.3684,1
63,5074.302379083,19.2364,19.0809,1.6210,2,7,1,0,0,1,0.0000,2.0421,1.9736,1
64,5074.319047333,30.9197,30.8931,13.3541,2,6,1,0,0,1,0.0000,14.3248,14.2506,1
65,5074.335715625,17.6918,17.5624,0.5281,2,4,0,0,0,2,0.0000,0.7768,0.7108,1
66,5074.352383875,18.4267,18.3768,1.1010,2,6,0,0,0,2,0.0000,1.4628,1.3781,1
67,5074.369052000,18.7714,18.7724,1.6069,2,7,1,0,0,1,0.0000,2.0333,1.9604,1
68,5074.385720291,35.4850,35.4457,15.3341,2,7,1,0,0,1,0.0000,18.3178,18.2378,1
69,5074.402388541,17.9551,17.9069,0.5681,2,4,0,0,0,2,0.0000,0.8391,0.7600,1
70,5074.419056833,18.3850,18.3443,1.0228,2,5,0,0,0,2,0.0000,1.3691,1.2910,1
71,5074.435725083,19.6095,19.5539,1.4138,2,5,0,0,0,2,0.0000,1.8480,1.7725,1
72,5074.469061500,35.3393,35.2121,14.6019,2,7,1,0,0,1,0.0000,18.2373,18.1635,1
73,5074.485729791,18.1053,18.0623,0.6161,2,5,0,0,0,2,0.0000,0.8741,0.7959,1
74,5074.502398000,18.0561,18.0574,1.0681,2,6,0,0,0,2,0.0000,1.4093,1.3310,1
75,5074.519066291,19.1210,18.9671,1.5452,2,7,1,0,0,1,0.0000,1.9786,1.8990,1
76,5074.535734583,35.1127,35.0825,14.5440,2,7,1,0,0,1,0.0000,18.1801,18.1066,1
77,5074.552402708,17.6463,17.6450,0.6680,2,5,0,0,0,2,0.0000,0.9512,0.8628,1
78,5074.569071000,18.2431,18.2421,1.1151,2,6,0,0,0,2,0.0000,1.4736,1.3921,1
79,5074.585739250,18.6399,18.6105,1.3890,2,5,0,0,0,2,0.0000,1.8244,1.7424,1
80,5074.602407500,35.5046,35.4662,14.8299,2,7,1,0,0,1,0.0000,18.5223,18.4445,1
81,5074.619075750,18.2514,18.2203,0.6461,2,5,0,0,0,2,0.0000,0.9149,0.8338,1
82,5074.635744041,18.2617,17.6450,0.9851,2,5,0,0,0,2,0.0000,1.3355,1.2582,1
83,5074.652412208,19.4524,19.4318,1.5800,2,7,1,0,0,1,0.0000,2.0210,1.9405,1
84,5074.669080458,35.9200,35.6176,14.7381,2,6,1,0,0,1,0.0000,18.4705,18.3815,1
85,5074.685748750,17.7233,17.7247,0.6280,2,5,0,0,0,2,0.0000,0.8926,0.8143,1
86,5074.702416958,18.5780,18.4736,1.1187,2,6,0,0,0,2,0.0000,1.4865,1.4050,1
87,5074.719085208,19.0740,18.9382,1.5481,2,7,1,0,0,1,0.0000,1.9674,1.8860,1
88,5074.735753500,34.8720,34.8733,14.5102,2,7,1,0,0,1,0.0000,18.1988,18.1263,1
89,5074.752421625,17.6536,17.6553,0.5732,2,5,0,0,0,2,0.0000,0.8272,0.7459,1
90,5074.769089916,18.4436,18.4331,1.0090,2,6,0,0,0,2,0.0000,1.3357,1.2573,1
91,5074.785758166,18.5843,18.5880,1.4198,2,7,1,0,0,1,0.0000,1.8219,1.7412,1
92,5074.802426416,35.6539,35.6524,14.7359,2,7,1,0,0,1,0.0000,18.6106,18.5372,1
93,5074.819094708,17.9213,17.9223,0.5469,2,5,0,0,0,2,0.0000,0.7989,0.7156,1
94,5074.835762833,18.8415,18.7149,0.9510,2,6,0,0,0,2,0.0000,1.2667,1.1892,1
95,5074.852431041,18.8988,18.8222,1.3862,2,7,1,0,0,1,0.0000,1.7843,1.7033,1
96,5074.869099291,35.5800,35.5624,14.5042,2,7,1,0,0,1,0.0000,18.3109,18.2269,1
97,5074.885767583,17.8548,17.8563,0.5403,2,5,0,0,0,2,0.0000,0.7866,0.7033,1
98,5074.902435833,18.1532,18.1570,0.9403,2,6,0,0,0,2,0.0000,1.2557,1.1713,1
99,5074.919104125,18.5219,18.5120,1.2510,2,6,0,0,0,2,0.0000,1.6680,1.5808,1
100,5074.935772208,35.4177,35.3875,14.5509,2,7,1,0,0,1,0.0000,18.4923,18.4140,1
101,5074.952440500,18.8493,18.8128,0.5620,2,5,0,0,0,2,0.0000,0.8226,0.7335,1
102,5074.969108708,18.7266,18.5902,0.9563,2,6,0,0,0,2,0.0000,1.2852,1.1953,1
103,5074.985777041,18.9670,18.9637,1.1368,2,5,0,0,0,2,0.0000,1.5140,1.4334,1
104,5075.002445291,36.9431,36.8759,14.4219,2,6,1,0,0,1,0.0000,18.4213,18.3339,1
105,5075.019113500,18.6352,18.5910,0.5171,2,5,0,0,0,2,0.0000,0.7513,0.6700,1
106,5075.035781625,19.2222,19.2040,0.8829,2,6,0,0,0,2,0.0000,1.1895,1.1048,1
107,5075.052449916,19.9000,19.7654,1.2801,2,7,1,0,0,1,0.0000,1.6536,1.5679,1
108,5075.069118166,35.8806,35.7022,14.0519,2,7,1,0,0,1,0.0000,17.9395,17.8556,1
109,5075.085786416,18.7467,18.6971,0.5729,2,5,0,0,0,2,0.0000,0.8234,0.7377,1
110,5075.102454625,19.5175,18.9905,0.9220,2,6,0,0,0,2,0.0000,1.2478,1.1547,1
111,5075.119122791,58.4623,42.8608,2.4970,2,6,0,0,0,2,0.0000,3.4340,3.1550,1
112,5075.135791083,59.2187,51.5751,17.9591,2,7,1,0,0,1,0.0000,21.9055,21.8034,1
113,5075.152459250,18.0977,18.0991,0.5598,2,5,0,0,0,2,0.0000,0.8180,0.7276,1
114,5075.169127541,18.5041,18.3119,0.9162,2,6,0,0,0,2,0.0000,1.2460,1.1542,1
115,5075.185795791,18.6560,18.6495,1.3392,2,7,1,0,0,1,0.0000,1.7380,1.6515,1
116,5075.202464083,34.4374,34.4386,13.6039,2,7,1,0,0,1,0.0000,17.3330,17.2464,1
117,5075.219132208,18.0327,18.0345,0.5341,2,5,0,0,0,2,0.0000,0.7913,0.6952,1
118,5075.235800333,18.3508,18.3376,0.9100,2,6,0,0,0,2,0.0000,1.2367,1.1407,1
119,5075.252468666,18.5976,18.5488,1.1761,2,6,0,0,0,2,0.0000,1.5588,1.4715,1
120,5075.269136916,33.7858,33.7836,13.2501,2,7,1,0,0,1,0.0000,16.9559,16.8591,1
121,5075.285805166,18.3852,18.2390,0.5240,2,5,0,0,0,2,0.0000,0.7696,0.6820,1
122,5075.302473416,18.5270,18.5118,0.8779,2,6,0,0,0,2,0.0000,1.1979,1.1033,1
