frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2388,0.2394,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.2423,0.2433,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.2125,0.2133,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2691,0.2702,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,102.2500,98.7345,0.0000,0,0,0,0,0,0,0.0000,0.0033,0.0000,0
5,5073.335620958,17.1752,17.1352,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
6,5073.352289208,17.3383,17.2738,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
7,5073.368957500,17.7532,17.6683,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
8,5073.385625750,28.8932,18.1781,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
9,5073.402293958,18.7074,18.5995,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
10,5073.418962083,17.8127,17.7313,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
11,5073.435630375,16.9663,16.9457,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
12,5073.452298625,17.3495,17.2977,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
13,5073.468966916,18.3601,18.0047,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
14,5073.485635166,18.8841,18.8343,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
15,5073.502303458,18.9363,18.6034,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
16,5073.518971583,19.2026,19.0406,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
17,5073.535639833,18.6442,18.2371,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
18,5073.552308125,19.2183,18.9583,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
19,5073.568976333,18.6667,18.6239,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
20,5073.585644625,18.0098,18.0115,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
21,5073.602312875,17.7920,17.7024,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
22,5073.618981000,17.3489,17.3148,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
23,5073.635649291,17.0545,17.0062,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
24,5073.652317541,17.8048,17.6921,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
25,5073.668985791,17.7174,17.6240,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
26,5073.685654083,17.9410,17.7950,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
27,5073.702322208,18.4114,18.1847,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
28,5073.718990416,18.1862,18.0016,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
29,5073.735658708,17.5425,17.2286,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
