frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2310,0.2316,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.2147,0.2157,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.2279,0.2285,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2467,0.2473,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,121.8346,115.7144,0.0000,0,0,0,0,0,0,0.0000,0.0034,0.0000,0
5,5073.335620958,22.7561,22.2841,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
6,5073.352289208,24.2908,23.9807,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
7,5073.368957500,26.9625,25.8280,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
8,5073.385625750,25.6146,24.1155,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
9,5073.402293958,25.4868,23.8781,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
10,5073.418962083,22.7297,22.2322,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
11,5073.435630375,21.1249,20.8928,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
12,5073.452298625,20.1709,19.9323,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
13,5073.468966916,20.8540,20.4509,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
14,5073.485635166,22.0911,21.4714,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
15,5073.502303458,20.5095,20.4811,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
16,5073.518971583,21.6375,21.4595,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
17,5073.535639833,20.8992,20.7053,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
18,5073.552308125,20.9225,20.5443,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
19,5073.568976333,20.9698,20.8451,0.0000,0,0,0,0,0,0,0.0000,0.0011,0.0000,0
20,5073.585644625,20.5537,20.0960,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
21,5073.602312875,20.8145,20.0585,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
22,5073.618981000,19.7141,19.5178,0.0000,0,0,0,0,0,0,0.0000,0.0051,0.0000,0
23,5073.635649291,21.1042,20.6654,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
24,5073.652317541,20.7321,20.3805,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
25,5073.668985791,20.0711,19.6170,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
26,5073.685654083,21.2891,20.5643,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
27,5073.702322208,20.1195,20.0100,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
28,5073.718990416,18.6548,18.6400,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
29,5073.735658708,19.9276,19.6121,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
30,5073.752327000,19.0125,18.9147,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
31,5073.768995166,18.6704,18.5628,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
32,5073.785663541,19.7733,19.3430,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
33,5073.802331666,18.6880,18.5381,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
34,5073.818999916,18.1573,18.0115,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
35,5073.835668208,19.3622,19.0426,0.0000,0,0,0,0,0,0,0.0000,0.3097,0.0000,0
36,5073.852336500,19.5579,18.9876,0.0000,0,0,0,0,0,0,0.0000,0.3859,0.0000,0
37,5073.869004708,18.9062,18.8734,0.0000,0,0,0,0,0,0,0.0000,0.3740,0.0000,0
38,5073.885673000,19.2516,18.8695,0.0000,0,0,0,0,0,0,0.0000,0.3958,0.0000,0
39,5073.902341125,19.2927,19.0775,0.0000,0,0,0,0,0,0,0.0000,0.4115,0.0000,0
40,5073.919009416,19.5470,19.3646,0.0000,0,0,0,0,0,0,0.0000,0.4177,0.0000,0
41,5073.935677708,19.4943,19.3482,0.0000,0,0,0,0,0,0,0.0000,0.4248,0.0000,0
42,5073.952345958,19.7987,19.5151,0.0000,0,0,0,0,0,0,0.0000,0.4076,0.0000,0
43,5073.969014208,18.5155,18.3653,0.0000,0,0,0,0,0,0,0.0000,0.4220,0.0000,0
44,5073.985682333,19.7190,19.6012,0.0000,0,0,0,0,0,0,0.0000,0.4423,0.0000,0
45,5074.002350625,19.2385,19.2044,0.0000,0,0,0,0,0,0,0.0000,0.4472,0.0000,0
46,5074.019018833,20.3452,20.2275,0.0000,0,0,0,0,0,0,0.0000,0.4354,0.0000,0
47,5074.035687166,19.9581,19.4412,0.0000,0,0,0,0,0,0,0.0000,0.4545,0.0000,0
48,5074.052355416,18.8768,18.8505,0.0000,0,0,0,0,0,0,0.0000,0.4594,0.0000,0
49,5074.069023708,19.2231,19.1140,0.0000,0,0,0,0,0,0,0.0000,0.4537,0.0000,0
50,5074.085691791,18.9372,18.6944,0.0000,0,0,0,0,0,0,0.0000,0.4601,0.0000,0
51,5074.102360083,19.7542,19.5305,0.0000,0,0,0,0,0,0,0.0000,0.4350,0.0000,0
52,5074.119028375,19.3175,19.0109,0.0000,0,0,0,0,0,0,0.0000,0.4236,0.0000,0
53,5074.135696625,19.1200,19.0012,0.0000,0,0,0,0,0,0,0.0000,0.4398,0.0000,0
54,5074.152364916,19.0005,18.8838,0.0000,0,0,0,0,0,0,0.0000,0.4455,0.0000,0
55,5074.169033166,18.7475,18.6113,0.0000,0,0,0,0,0,0,0.0000,0.4490,0.0000,0
56,5074.185701333,70.6703,65.3127,0.0000,0,0,0,0,0,0,36.1016,52.0760,0.0000,0
57,5074.202369541,20.2882,20.2391,0.6142,2,4,0,0,0,2,0.0000,0.9115,0.8321,1
58,5074.219037875,20.4338,20.2668,1.4400,2,7,0,0,0,2,0.0000,1.7984,1.7347,1
59,5074.235706125,20.6225,20.5244,1.9531,2,7,0,0,0,2,0.0000,2.4134,2.3436,1
60,5074.252374375,30.5822,30.3453,10.7710,2,14,0,0,1,1,0.0000,11.7447,11.6712,1
61,5074.269042541,19.1599,19.1608,0.5898,2,4,0,0,0,2,0.0000,0.8701,0.7841,1
62,5074.285710791,20.0764,20.0440,1.1651,2,6,0,0,0,2,0.0000,1.5364,1.4505,1
63,5074.302379083,21.1810,20.8078,1.8632,2,7,0,0,0,2,0.0000,2.3088,2.2325,1
64,5074.319047333,36.7142,36.3400,17.3459,2,13,0,0,1,1,0.0000,18.3251,18.2487,1
65,5074.335715625,19.4051,19.2400,0.5450,2,4,0,0,0,2,0.0000,0.8123,0.7356,1
66,5074.352383875,20.3126,20.2328,1.1408,2,6,0,0,0,2,0.0000,1.4916,1.4180,1
67,5074.369052000,22.1490,22.0250,1.8101,2,7,0,0,0,2,0.0000,2.2503,2.1696,1
68,5074.385720291,41.4607,41.0603,19.4631,2,14,0,0,1,1,0.0000,22.7490,22.6679,1
69,5074.402388541,19.5923,19.5051,0.5581,2,4,0,0,0,2,0.0000,0.8309,0.7465,1
70,5074.419056833,21.0537,20.5079,1.0519,2,5,0,0,0,2,0.0000,1.4261,1.3312,1
71,5074.435725083,21.3206,21.0795,1.4217,2,5,0,0,0,2,0.0000,1.8678,1.7885,1
72,5074.469061500,40.9732,40.4414,17.1809,2,14,0,0,1,1,0.0000,21.6402,21.5540,1
73,5074.485729791,21.9037,20.9092,0.6490,2,5,0,0,0,2,0.0000,0.9231,0.8380,1
74,5074.502398000,21.6213,21.1894,1.1039,2,6,0,0,0,2,0.0000,1.4618,1.3757,1
75,5074.519066291,23.0453,22.3274,1.8041,2,7,0,0,0,2,0.0000,2.2500,2.1658,1
76,5074.535734583,51.8668,50.1438,21.1000,2,14,0,0,1,1,0.0000,27.7110,27.6118,1
77,5074.552402708,21.6763,20.6454,0.9222,2,5,0,0,0,2,0.0000,1.2885,1.1975,1
78,5074.569071000,25.1177,23.8700,1.6401,2,6,0,0,0,2,0.0000,2.2800,2.1797,1
79,5074.585739250,26.3046,24.9885,1.4622,2,5,0,0,0,2,0.0000,1.9290,1.8392,1
80,5074.602407500,47.3851,44.8692,18.5211,2,14,0,0,1,1,0.0000,23.3695,23.2750,1
81,5074.619075750,27.4203,24.6075,0.6981,2,5,0,0,0,2,0.0000,0.9903,0.9026,1
82,5074.635744041,27.1079,25.3703,1.0772,2,5,0,0,0,2,0.0000,1.4615,1.3738,1
83,5074.652412208,25.4936,23.3771,1.8830,2,7,0,0,0,2,0.0000,2.3592,2.2684,1
84,5074.669080458,48.1215,47.2287,19.7370,2,13,0,0,1,1,0.0000,23.9381,23.8428,1
85,5074.685748750,24.8667,23.2310,0.7067,2,5,0,0,0,2,0.0000,1.0117,0.9227,1
86,5074.702416958,24.1329,23.9002,1.1630,2,6,0,0,0,2,0.0000,1.5390,1.4505,1
87,5074.719085208,23.3833,23.3005,1.7800,2,7,0,0,0,2,0.0000,2.2277,2.1430,1
88,5074.735753500,42.5710,42.2613,17.4623,2,14,0,0,1,1,0.0000,21.4335,21.3438,1
89,5074.752421625,24.2423,23.2416,0.6328,2,5,0,0,0,2,0.0000,0.9028,0.8190,1
90,5074.769089916,23.2701,22.7378,1.1003,2,6,0,0,0,2,0.0000,1.4680,1.3717,1
91,5074.785758166,23.3969,23.2430,1.7128,2,7,0,0,0,2,0.0000,2.1610,2.0635,1
92,5074.802426416,47.8398,44.9371,18.7039,2,14,0,0,1,1,0.0000,22.7384,22.6495,1
93,5074.819094708,21.5742,21.5239,0.6080,2,5,0,0,0,2,0.0000,0.8711,0.7909,1
94,5074.835762833,24.3145,23.9730,1.3750,2,6,0,0,0,2,0.0000,1.8256,1.6714,1
95,5074.852431041,24.8765,23.6133,2.2061,2,7,0,0,0,2,0.0000,2.6466,2.5461,1
96,5074.869099291,43.0080,42.7268,17.3490,2,14,0,0,1,1,0.0000,21.3726,21.2814,1
97,5074.885767583,22.1607,20.7306,0.5991,2,5,0,0,0,2,0.0000,0.8607,0.7737,1
98,5074.902435833,23.7032,22.6871,1.0059,2,6,0,0,0,2,0.0000,1.3528,1.2570,1
99,5074.919104125,24.6610,24.1897,1.3409,2,6,0,0,0,2,0.0000,1.7575,1.6658,1
100,5074.935772208,40.9360,40.4983,16.5122,2,14,0,0,1,1,0.0000,20.5115,20.4210,1
101,5074.952440500,20.1025,20.0556,0.5941,2,5,0,0,0,2,0.0000,0.8524,0.7660,1
102,5074.969108708,20.9359,20.7913,0.9830,2,6,0,0,0,2,0.0000,1.3385,1.2336,1
103,5074.985777041,22.0703,21.8225,1.2028,2,5,0,0,0,2,0.0000,1.6039,1.5200,1
104,5075.002445291,40.3010,40.2133,16.3400,2,13,0,0,1,1,0.0000,20.3061,20.2130,1
105,5075.019113500,20.8755,20.6580,0.5472,2,5,0,0,0,2,0.0000,0.7978,0.7090,1
106,5075.035781625,21.6013,21.4618,0.9351,2,6,0,0,0,2,0.0000,1.2661,1.1784,1
107,5075.052449916,22.7590,22.2872,1.7431,2,7,0,0,0,2,0.0000,2.1473,2.0537,1
108,5075.069118166,39.5485,38.9708,16.1760,2,14,0,0,1,1,0.0000,20.2585,20.1688,1
109,5075.085786416,20.4694,19.9531,0.5629,2,5,0,0,0,2,0.0000,0.8249,0.7315,1
110,5075.102454625,20.7730,20.6352,0.9379,2,6,0,0,0,2,0.0000,1.2681,1.1751,1
111,5075.119122791,21.2709,21.1253,1.2600,2,6,0,0,0,2,0.0000,1.6775,1.5704,1
112,5075.135791083,40.4532,40.2479,15.6238,2,14,0,0,1,1,0.0000,19.6782,19.5807,1
113,5075.152459250,20.7236,20.6051,0.5987,2,5,0,0,0,2,0.0000,0.8756,0.7793,1
114,5075.169127541,20.2487,20.1738,0.9863,2,6,0,0,0,2,0.0000,1.3430,1.2423,1
115,5075.185795791,21.4885,21.0196,1.5891,2,7,0,0,0,2,0.0000,2.0597,1.9622,1
116,5075.202464083,38.0005,37.8702,15.6021,2,14,0,0,1,1,0.0000,19.5427,19.4495,1
117,5075.219132208,21.0385,20.6387,0.5612,2,5,0,0,0,2,0.0000,0.8272,0.7353,1
118,5075.235800333,20.1088,20.1105,0.9580,2,6,0,0,0,2,0.0000,1.2983,1.2016,1
119,5075.252468666,21.2899,21.0645,1.2510,2,6,0,0,0,2,0.0000,1.6458,1.5540,1
120,5075.269136916,38.4304,38.2995,15.2099,2,14,0,0,1,1,0.0000,19.1474,19.0462,1
121,5075.285805166,19.5784,19.4773,0.5958,2,5,0,0,0,2,0.0000,0.8625,0.7647,1
122,5075.302473416,21.2156,21.0266,0.9100,2,6,0,0,0,2,0.0000,1.2377,1.1439,1
123,5075.319141541,20.4705,19.9802,1.4651,2,7,0,0,0,2,0.0000,1.8656,1.7731,1
124,5075.335809750,36.8374,36.7431,14.7610,2,14,0,0,1,1,0.0000,18.6583,18.5658,1
125,5075.352478000,19.3157,19.0698,0.4461,2,4,0,0,0,2,0.0000,0.7047,0.6044,1
126,5075.369146250,19.3818,19.3016,0.6511,2,4,0,0,0,2,0.0000,0.9745,0.8748,1
127,5075.385814500,20.6336,20.3521,1.1148,2,5,0,0,0,2,0.0000,1.4947,1.4022,1
128,5075.402482625,36.3605,36.1646,14.2782,2,13,0,0,1,1,0.0000,18.1060,18.0032,1
129,5075.419150791,20.5511,20.0667,0.4878,2,5,0,0,0,2,0.0000,0.7359,0.6345,1
130,5075.435819083,20.2581,20.0616,0.8252,2,6,0,0,0,2,0.0000,1.1388,1.0323,1
131,5075.452487333,20.5513,19.7294,1.1342,2,6,0,0,0,2,0.0000,1.5145,1.4145,1
132,5075.469155541,36.8864,36.2832,14.0088,2,14,0,0,1,1,0.0000,17.8003,17.6930,1
133,5075.485823791,20.0980,20.0448,0.5221,2,5,0,0,0,2,0.0000,0.7816,0.6817,1
134,5075.502491958,20.7575,20.5544,0.9010,2,6,0,0,0,2,0.0000,1.2285,1.1298,1
135,5075.519160125,21.2528,21.0443,1.4441,2,7,0,0,0,2,0.0000,1.8460,1.7425,1
136,5075.535828416,37.2744,37.1898,14.3371,2,14,0,0,1,1,0.0000,18.1217,18.0164,1
137,5075.552496625,20.4956,20.3018,0.5741,2,5,0,0,0,2,0.0000,0.8825,0.7477,1
138,5075.569164875,20.5183,19.8283,0.9701,2,6,0,0,0,2,0.0000,1.3253,1.2135,1
139,5075.585833041,21.2492,21.0169,1.2970,2,6,0,0,0,2,0.0000,1.7278,1.6105,1
140,5075.602501208,37.1262,37.0831,14.4911,2,14,0,0,1,1,0.0000,18.3354,18.2279,1
141,5075.619169416,19.5973,19.4643,0.5729,2,5,0,0,0,2,0.0000,0.8591,0.7468,1
142,5075.635837625,20.8943,20.7914,0.9792,2,6,0,0,0,2,0.0000,1.3396,1.2290,1
143,5075.652505875,20.4249,20.4263,1.5638,2,7,0,0,0,2,0.0000,2.0019,1.8966,1
144,5075.669174083,39.8972,39.6535,15.2819,2,14,0,0,1,1,0.0000,19.3075,19.1995,1
145,5075.685842208,20.3268,20.2427,0.6104,2,5,0,0,0,2,0.0000,0.9054,0.7950,1
146,5075.702510458,21.1170,20.9138,0.9332,2,5,0,0,0,2,0.0000,1.3137,1.1964,1
147,5075.719178666,20.9535,20.8753,1.3692,2,6,0,0,0,2,0.0000,1.8516,1.7146,1
148,5075.735846833,37.7116,37.6343,15.4440,2,14,0,0,1,1,0.0000,19.4207,19.2991,1
149,5075.752515166,19.6735,19.6752,0.6080,2,5,0,0,0,2,0.0000,0.9015,0.7935,1
150,5075.769183375,20.4725,20.3816,0.9997,2,6,0,0,0,2,0.0000,1.3678,1.2617,1
151,5075.785851458,21.5175,21.4158,1.3630,2,6,0,0,0,2,0.0000,1.8195,1.7049,1
152,5075.802519708,48.5585,48.4377,25.0480,2,14,0,0,1,1,0.0000,29.0093,28.8973,1
153,5075.819187958,20.3795,20.1991,0.7160,2,6,0,0,0,2,0.0000,1.0304,0.9121,1
154,5075.835856208,20.2662,20.2488,1.0369,2,6,0,0,0,2,0.0000,1.4223,1.3075,1
155,5075.852524416,21.4395,21.3913,1.6479,2,7,0,0,0,2,0.0000,2.1049,1.9968,1
156,5075.869192583,50.0242,49.7723,26.8471,2,14,0,0,1,1,0.0000,30.9278,30.8181,1
157,5075.885860583,21.7747,21.5082,0.6411,2,5,0,0,0,2,0.0000,0.9427,0.8338,1
158,5075.902528916,21.3085,20.9628,1.1120,2,6,0,0,0,2,0.0000,1.5094,1.3960,1
159,5075.919197208,22.2640,21.5660,1.7192,2,7,0,0,0,2,0.0000,2.2255,2.1118,1
160,5075.935865333,44.2131,41.3387,18.8551,2,14,0,0,1,1,0.0000,23.5482,23.4350,1
161,5075.952533666,21.2690,20.7486,0.6471,2,5,0,0,0,2,0.0000,0.9590,0.8493,1
162,5075.969201708,22.1489,21.5461,1.2939,2,7,0,0,0,2,0.0000,1.7684,1.5863,1
163,5075.985869916,22.6862,22.0777,1.7269,2,7,0,0,0,2,0.0000,2.1946,2.0820,1
164,5076.002538166,62.3855,61.4237,37.0290,2,14,0,0,1,1,0.0000,41.1883,41.0631,1
165,5076.019206208,20.5727,20.0547,0.6270,2,5,0,0,0,2,0.0000,0.9418,0.8271,1
166,5076.035874625,21.7445,21.3428,1.0149,2,5,0,0,0,2,0.0000,1.4325,1.3044,1
167,5076.052542791,21.3803,20.8082,1.0660,2,4,0,0,0,2,0.0000,1.5493,1.4275,1
168,5076.069210708,85.7235,85.0307,60.3070,2,13,0,0,1,1,0.0000,64.5134,64.4016,1
169,5076.085879166,21.6476,20.5819,0.5491,2,4,0,0,0,2,0.0000,0.8587,0.7468,1
170,5076.102547291,20.9203,20.6374,1.0891,2,6,0,0,0,2,0.0000,1.4927,1.3744,1
171,5076.119215541,21.8824,20.4250,1.3680,2,5,0,0,0,2,0.0000,1.8435,1.7327,1
172,5076.135883791,51.6044,51.0037,26.9790,2,14,0,0,1,1,0.0000,31.3128,31.1945,1
173,5076.152552000,21.6893,21.3116,0.6490,2,5,0,0,0,2,0.0000,0.9532,0.8475,1
174,5076.169220125,21.5974,21.5765,1.1230,2,6,0,0,0,2,0.0000,1.5281,1.4119,1
175,5076.185888291,23.1819,22.3990,2.0568,2,7,0,0,0,2,0.0000,2.5852,2.4411,1
176,5076.202556500,51.5613,51.4756,27.1389,2,14,0,0,1,1,0.0000,31.3603,31.2385,1
177,5076.219224708,21.3144,21.2017,0.6628,2,5,0,0,0,2,0.0000,0.9802,0.8678,1
178,5076.235893000,23.0035,22.0292,1.2970,2,7,0,0,0,2,0.0000,1.7047,1.5925,1
179,5076.252561208,22.5884,22.1194,1.7948,2,7,0,0,0,2,0.0000,2.2853,2.1702,1
180,5076.269229250,52.9286,51.6595,27.6182,2,14,0,0,1,1,0.0000,32.1080,31.9848,1
181,5076.285897458,22.2366,22.0742,0.5701,2,4,0,0,0,2,0.0000,0.9012,0.7788,1
182,5076.302565708,22.3675,21.2808,1.1330,2,6,0,0,0,2,0.0000,1.5469,1.4267,1
183,5076.319233916,23.7853,23.4228,2.0490,2,8,0,0,0,2,0.0000,2.5520,2.4310,1
184,5076.335902166,53.0834,52.6757,27.8270,2,14,0,0,1,1,0.0000,32.1163,31.9929,1
185,5076.352570250,23.0587,21.8534,0.6647,2,5,0,0,0,2,0.0000,0.9813,0.8649,1
186,5076.369238458,24.1621,22.4123,1.1089,2,6,0,0,0,2,0.0000,1.5417,1.3985,1
187,5076.385906708,22.4385,21.4017,1.7700,2,7,0,0,0,2,0.0000,2.2666,2.1423,1
188,5076.402574916,41.2005,40.6965,16.8941,2,14,0,0,1,1,0.0000,21.1600,21.0360,1
189,5076.419243083,22.2309,21.7428,0.7741,2,6,0,0,0,2,0.0000,1.1098,0.9851,1
190,5076.435911333,21.8970,21.4476,1.1070,2,6,0,0,0,2,0.0000,1.5130,1.3997,1
191,5076.452579375,22.0340,21.5828,1.7812,2,7,0,0,0,2,0.0000,2.2802,2.1626,1
192,5076.469247625,86.9770,86.0464,62.4640,2,14,0,0,1,1,0.0000,66.8083,66.6918,1
193,5076.485915791,22.8502,22.7587,0.7162,2,5,0,0,0,2,0.0000,1.1031,0.9384,1
194,5076.502584041,23.9385,23.6535,1.1213,2,6,0,0,0,2,0.0000,1.5358,1.4148,1
195,5076.519252208,24.0603,23.9480,1.7939,2,7,0,0,0,2,0.0000,2.5266,2.1893,1
