frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2649,0.2658,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.2419,0.2428,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.2439,0.2446,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2944,0.2953,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,115.8185,105.0066,0.0000,0,0,0,0,0,0,0.0000,0.0035,0.0000,0
5,5073.335620958,17.4629,17.3453,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
6,5073.352289208,18.1781,17.9348,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
7,5073.368957500,18.5012,18.2114,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
8,5073.385625750,18.7696,18.4555,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
9,5073.402293958,18.8163,18.4128,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
10,5073.418962083,18.7435,18.5633,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
11,5073.435630375,18.3077,18.2105,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
12,5073.452298625,18.3319,18.0539,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
13,5073.468966916,17.7950,17.3931,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
14,5073.485635166,19.3302,19.2391,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
15,5073.502303458,18.8779,18.6884,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
16,5073.518971583,18.2723,18.0440,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
17,5073.535639833,18.2118,18.1697,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
18,5073.552308125,18.7913,18.3772,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
19,5073.568976333,18.6863,18.5225,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
20,5073.585644625,18.1998,18.0747,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
21,5073.602312875,18.2152,17.6055,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
22,5073.618981000,17.8951,17.6995,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
23,5073.635649291,18.0180,17.5322,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
24,5073.652317541,18.0559,18.0208,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
25,5073.668985791,16.6854,16.5300,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
26,5073.685654083,18.0081,17.8386,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
27,5073.702322208,18.3901,18.2030,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
28,5073.718990416,17.8721,17.5655,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
29,5073.735658708,17.9982,17.7276,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
30,5073.752327000,18.2998,17.9252,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
31,5073.768995166,18.2728,18.1021,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
32,5073.785663541,17.8096,17.6776,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
33,5073.802331666,18.0250,17.5591,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
34,5073.818999916,17.8038,17.6967,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
35,5073.835668208,18.1038,18.0229,0.0000,0,0,0,0,0,0,0.0000,0.3076,0.0000,0
36,5073.852336500,18.4876,18.3432,0.0000,0,0,0,0,0,0,0.0000,0.4130,0.0000,0
37,5073.869004708,18.5697,18.3655,0.0000,0,0,0,0,0,0,0.0000,0.3866,0.0000,0
38,5073.885673000,18.1922,18.1157,0.0000,0,0,0,0,0,0,0.0000,0.3965,0.0000,0
39,5073.902341125,18.6215,18.5004,0.0000,0,0,0,0,0,0,0.0000,0.3965,0.0000,0
40,5073.919009416,19.1146,18.8890,0.0000,0,0,0,0,0,0,0.0000,0.4096,0.0000,0
41,5073.935677708,18.3963,18.3451,0.0000,0,0,0,0,0,0,0.0000,0.4085,0.0000,0
42,5073.952345958,18.2689,18.1908,0.0000,0,0,0,0,0,0,0.0000,0.4180,0.0000,0
43,5073.969014208,19.1767,18.8491,0.0000,0,0,0,0,0,0,0.0000,0.4135,0.0000,0
44,5073.985682333,18.8464,18.6693,0.0000,0,0,0,0,0,0,0.0000,0.4416,0.0000,0
45,5074.002350625,18.3162,18.2830,0.0000,0,0,0,0,0,0,0.0000,0.4396,0.0000,0
46,5074.019018833,18.9484,18.6329,0.0000,0,0,0,0,0,0,0.0000,0.4477,0.0000,0
47,5074.035687166,18.7495,18.4446,0.0000,0,0,0,0,0,0,0.0000,0.5198,0.0000,0
48,5074.052355416,18.3663,18.3414,0.0000,0,0,0,0,0,0,0.0000,0.4492,0.0000,0
49,5074.069023708,18.3119,18.1510,0.0000,0,0,0,0,0,0,0.0000,0.4477,0.0000,0
50,5074.085691791,18.0156,17.9505,0.0000,0,0,0,0,0,0,0.0000,0.4695,0.0000,0
51,5074.102360083,17.9167,17.7037,0.0000,0,0,0,0,0,0,0.0000,0.4226,0.0000,0
52,5074.119028375,18.5043,17.9974,0.0000,0,0,0,0,0,0,0.0000,0.4195,0.0000,0
53,5074.135696625,17.2744,16.8435,0.0000,0,0,0,0,0,0,0.0000,0.4374,0.0000,0
54,5074.152364916,18.3544,18.2817,0.0000,0,0,0,0,0,0,0.0000,0.4288,0.0000,0
55,5074.169033166,18.5576,18.4727,0.0000,0,0,0,0,0,0,0.0000,0.4360,0.0000,0
