frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715273.262143135,3.8969,3.6413,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
1,1403715273.312143087,4.1481,4.1137,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
2,1403715273.362143040,3.4172,3.4091,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
3,1403715273.412143230,3.6212,3.5555,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
4,1403715273.462142944,3.5556,3.5262,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
5,1403715273.512143135,3.5529,3.4914,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
6,1403715273.562143087,3.3474,3.3415,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
7,1403715273.612143278,3.5253,3.4860,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
8,1403715273.662142992,3.6732,3.5662,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
9,1403715273.712143183,3.9605,3.8886,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
10,1403715273.762143135,3.6204,3.5406,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
11,1403715273.812143087,3.7201,3.6627,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
12,1403715273.862143040,3.9672,3.9014,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
13,1403715273.912143230,3.5062,3.3849,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
14,1403715273.962142944,3.5472,3.5189,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
15,1403715274.012143135,3.6331,3.5641,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
16,1403715274.062143087,3.7091,3.4409,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
17,1403715274.112143278,3.5599,3.4900,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
18,1403715274.162142992,3.6822,3.6453,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
19,1403715274.212143183,3.6489,3.5450,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
20,1403715274.262143135,3.9965,3.7980,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
21,1403715274.312143087,3.8303,3.7178,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
22,1403715274.362143040,3.5595,3.4917,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
23,1403715274.412143230,3.8304,3.6976,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
24,1403715274.462142944,3.7721,3.6115,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
25,1403715274.512143135,3.6822,3.5953,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
26,1403715274.562143087,4.2799,3.7755,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
27,1403715274.612143278,3.5757,3.5161,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
28,1403715274.662142992,3.5905,3.4235,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
29,1403715274.712143183,3.6359,3.5492,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
30,1403715274.762143135,3.9350,3.8702,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
31,1403715274.812143087,3.4090,3.3780,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
32,1403715274.862143040,3.8568,3.7466,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
33,1403715274.912143230,3.8032,3.5497,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
34,1403715274.962142944,3.7706,3.6480,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
35,1403715275.012143135,4.2736,4.2113,0.0000,0,0,0,0,0,0,0.0000,0.3413,0.0000,0
36,1403715275.062143087,4.0005,3.9766,0.0000,0,0,0,0,0,0,0.0000,0.3968,0.0000,0
37,1403715275.112143278,4.3568,4.3200,0.0000,0,0,0,0,0,0,0.0000,0.3940,0.0000,0
