frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715523.912143230,4.7227,4.7223,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
1,1403715523.962142944,4.9241,4.8888,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
2,1403715524.012143135,4.7876,4.5624,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
3,1403715524.062143087,4.3256,4.2999,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
4,1403715524.112143278,4.9049,4.8729,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
5,1403715524.162142992,4.4938,4.4287,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
6,1403715524.212143183,4.2782,4.2817,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
7,1403715524.262143135,4.7042,4.4178,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
8,1403715524.312143087,4.3415,4.3094,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
9,1403715524.362143040,5.0398,4.8512,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
10,1403715524.412143230,4.1932,4.1966,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
11,1403715524.462142944,4.2488,4.2527,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
12,1403715524.512143135,4.2504,4.2497,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
13,1403715524.562143087,4.2211,4.2113,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
14,1403715524.612143278,4.6594,4.6629,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
15,1403715524.662142992,4.2779,4.1789,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
16,1403715524.712143183,5.3007,5.0185,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
17,1403715524.762143135,4.8683,4.8543,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
18,1403715524.812143087,4.5132,4.5167,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
19,1403715524.862143040,4.5917,4.5398,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
20,1403715524.912143230,4.5817,4.5852,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
21,1403715524.962142944,5.4672,5.1010,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
22,1403715525.012143135,4.6535,4.6572,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
23,1403715525.062143087,4.3361,4.3400,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
24,1403715525.112143278,4.5593,4.5337,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
25,1403715525.162142992,4.7000,4.7050,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
26,1403715525.212143183,4.3933,4.3668,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
27,1403715525.262143135,4.9472,4.7863,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
28,1403715525.312143087,5.0587,4.8758,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
29,1403715525.362143040,4.5727,4.5534,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
30,1403715525.412143230,4.9939,4.9607,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
31,1403715525.462142944,4.6977,4.6950,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
32,1403715525.512143135,4.5440,4.5033,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
33,1403715525.562143087,4.9176,4.8430,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
34,1403715525.612143278,4.6027,4.5665,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
35,1403715525.662142992,5.6446,5.2899,0.0000,0,0,0,0,0,0,0.0000,0.3245,0.0000,0
36,1403715525.712143183,4.9608,4.9156,0.0000,0,0,0,0,0,0,0.0000,0.3735,0.0000,0
37,1403715525.762143135,5.5897,5.5932,0.0000,0,0,0,0,0,0,0.0000,0.3686,0.0000,0
38,1403715525.812143087,4.8205,4.8146,0.0000,0,0,0,0,0,0,0.0000,0.3779,0.0000,0
39,1403715525.862143040,5.3106,5.2833,0.0000,0,0,0,0,0,0,0.0000,0.3733,0.0000,0
40,1403715525.912143230,5.2499,5.2328,0.0000,0,0,0,0,0,0,0.0000,0.3803,0.0000,0
41,1403715525.962142944,5.5657,5.2298,0.0000,0,0,0,0,0,0,0.0000,0.3943,0.0000,0
42,1403715526.012143135,5.5495,5.4825,0.0000,0,0,0,0,0,0,0.0000,0.3933,0.0000,0
43,1403715526.062143087,4.8529,4.8566,0.0000,0,0,0,0,0,0,0.0000,0.3801,0.0000,0
44,1403715526.112143278,5.0130,5.0168,0.0000,0,0,0,0,0,0,0.0000,0.3837,0.0000,0
45,1403715526.162142992,4.9904,4.9109,0.0000,0,0,0,0,0,0,0.0000,0.3940,0.0000,0
46,1403715526.212143183,5.1283,5.0736,0.0000,0,0,0,0,0,0,0.0000,0.4483,0.0000,0
47,1403715526.262143135,4.8815,4.8570,0.0000,0,0,0,0,0,0,0.0000,0.3927,0.0000,0
48,1403715526.312143087,5.4982,5.3264,0.0000,0,0,0,0,0,0,0.0000,0.4103,0.0000,0
49,1403715526.362143040,5.7678,5.6769,0.0000,0,0,0,0,0,0,0.0000,0.7476,0.0000,0
50,1403715526.412143230,5.0605,5.0240,0.0000,0,0,0,0,0,0,0.0000,0.4168,0.0000,0
51,1403715526.462142944,5.0262,4.9837,0.0000,0,0,0,0,0,0,0.0000,0.4100,0.0000,0
52,1403715526.512143135,5.4780,5.2740,0.0000,0,0,0,0,0,0,0.0000,0.4117,0.0000,0
53,1403715526.562143087,5.2172,5.0705,0.0000,0,0,0,0,0,0,0.0000,0.4126,0.0000,0
54,1403715526.612143278,5.0973,5.0550,0.0000,0,0,0,0,0,0,0.0000,0.4265,0.0000,0
55,1403715526.662142992,5.2262,5.0004,0.0000,0,0,0,0,0,0,0.0000,0.4141,0.0000,0
56,1403715526.712143183,5.2903,5.1811,0.0000,0,0,0,0,0,0,0.0000,0.4310,0.0000,0
57,1403715526.762143135,5.3342,5.2532,0.0000,0,0,0,0,0,0,0.0000,0.4351,0.0000,0
58,1403715526.812143087,5.5939,4.8880,0.0000,0,0,0,0,0,0,0.0000,0.4194,0.0000,0
59,1403715526.862143040,5.2407,5.2164,0.0000,0,0,0,0,0,0,0.0000,0.4236,0.0000,0
60,1403715526.912143230,5.2743,5.0365,0.0000,0,0,0,0,0,0,0.0000,0.4233,0.0000,0
61,1403715526.962142944,5.4590,5.3411,0.0000,0,0,0,0,0,0,0.0000,0.4248,0.0000,0
62,1403715527.012143135,4.9265,4.8897,0.0000,0,0,0,0,0,0,0.0000,0.4264,0.0000,0
63,1403715527.062143087,5.5257,5.5172,0.0000,0,0,0,0,0,0,0.0000,0.4205,0.0000,0
64,1403715527.112143278,5.7543,5.6420,0.0000,0,0,0,0,0,0,0.0000,0.4306,0.0000,0
65,1403715527.162142992,6.2022,5.7245,0.0000,0,0,0,0,0,0,0.0000,0.4342,0.0000,0
66,1403715527.212143183,6.2369,6.1560,0.0000,0,0,0,0,0,0,0.0000,0.4315,0.0000,0
67,1403715527.262143135,5.5027,5.3900,0.0000,0,0,0,0,0,0,0.0000,0.4317,0.0000,0
68,1403715527.312143087,5.7712,5.5155,0.0000,0,0,0,0,0,0,0.0000,0.4335,0.0000,0
69,1403715527.362143040,6.3150,6.3029,0.0000,0,0,0,0,0,0,0.0000,0.4359,0.0000,0
70,1403715527.412143230,5.0021,4.9912,0.0000,0,0,0,0,0,0,0.0000,0.4347,0.0000,0
71,1403715527.462142944,5.5527,5.3188,0.0000,0,0,0,0,0,0,0.0000,0.4538,0.0000,0
72,1403715527.512143135,4.9832,4.9687,0.0000,0,0,0,0,0,0,0.0000,0.4530,0.0000,0
73,1403715527.562143087,5.6027,5.3723,0.0000,0,0,0,0,0,0,0.0000,0.8422,0.0000,0
74,1403715527.612143278,5.4166,5.3687,0.0000,0,0,0,0,0,0,0.0000,0.4450,0.0000,0
75,1403715527.662142992,5.4066,5.1261,0.0000,0,0,0,0,0,0,0.0000,0.4714,0.0000,0
76,1403715527.712143183,4.7240,4.7146,0.0000,0,0,0,0,0,0,0.0000,0.4345,0.0000,0
77,1403715527.762143135,5.6574,5.5847,0.0000,0,0,0,0,0,0,0.0000,0.4386,0.0000,0
78,1403715527.812143087,4.9359,4.9234,0.0000,0,0,0,0,0,0,0.0000,0.4489,0.0000,0
79,1403715527.862143040,5.1325,5.0998,0.0000,0,0,0,0,0,0,0.0000,0.4375,0.0000,0
80,1403715527.912143230,4.9815,4.9611,0.0000,0,0,0,0,0,0,0.0000,0.4507,0.0000,0
81,1403715527.962142944,5.3757,5.1499,0.0000,0,0,0,0,0,0,0.0000,0.4286,0.0000,0
82,1403715528.012143135,5.4653,5.2967,0.0000,0,0,0,0,0,0,0.0000,0.4418,0.0000,0
83,1403715528.062143087,5.0930,5.0014,0.0000,0,0,0,0,0,0,0.0000,0.4412,0.0000,0
84,1403715528.112143278,4.9591,4.8938,0.0000,0,0,0,0,0,0,0.0000,0.4881,0.0000,0
85,1403715528.162142992,5.1076,4.9938,0.0000,0,0,0,0,0,0,0.0000,0.4362,0.0000,0
86,1403715528.212143183,5.4550,5.1656,0.0000,0,0,0,0,0,0,0.0000,0.4467,0.0000,0
87,1403715528.262143135,5.3011,5.2633,0.0000,0,0,0,0,0,0,0.0000,0.4413,0.0000,0
88,1403715528.312143087,5.6558,5.3547,0.0000,0,0,0,0,0,0,0.0000,0.4368,0.0000,0
89,1403715528.362143040,5.8822,5.6822,0.0000,0,0,0,0,0,0,0.0000,0.4445,0.0000,0
90,1403715528.412143230,5.6660,5.5346,0.0000,0,0,0,0,0,0,0.0000,0.4439,0.0000,0
91,1403715528.462142944,4.9357,4.9397,0.0000,0,0,0,0,0,0,0.0000,0.4525,0.0000,0
92,1403715528.512143135,17.0388,16.9892,0.0000,0,0,0,0,0,0,9.2211,12.4494,0.0000,0
93,1403715528.562143087,22.2894,22.2708,0.0000,0,0,0,0,0,0,13.7546,17.6877,0.0000,0
94,1403715528.612143278,6.7048,6.6522,0.3529,2,4,0,0,0,2,0.0000,0.5606,0.4738,1
95,1403715528.662142992,5.7858,5.7228,0.6320,2,5,0,0,0,2,0.0000,0.8546,0.7870,1
96,1403715528.712143183,5.5609,5.4621,0.7603,2,5,0,0,0,2,0.0000,1.0158,0.9558,1
97,1403715528.762143135,12.6574,12.6412,6.8920,2,6,1,0,0,1,0.0000,7.8896,7.8303,1
98,1403715528.812143087,5.0064,4.9825,0.3219,2,4,0,0,0,2,0.0000,0.4995,0.4310,1
99,1403715528.862143040,4.9692,4.9382,0.4661,2,4,0,0,0,2,0.0000,0.6654,0.6063,1
100,1403715528.912143230,5.2972,5.3009,0.6900,2,5,0,0,0,2,0.0000,0.9166,0.8547,1
101,1403715528.962142944,15.7641,15.6542,10.2110,2,6,1,0,0,1,0.0000,11.2288,11.1607,1
102,1403715529.012143135,4.8655,4.7936,0.3300,2,5,0,0,0,2,0.0000,0.4839,0.4222,1
103,1403715529.062143087,4.5182,4.5193,0.4311,2,5,0,0,0,2,0.0000,0.5963,0.5401,1
104,1403715529.112143278,4.7223,4.6683,0.5770,2,5,0,0,0,2,0.0000,0.7605,0.7050,1
105,1403715529.162142992,14.9055,14.7546,7.6308,2,6,1,0,0,1,0.0000,10.8288,10.7739,1
106,1403715529.212143183,5.3902,5.3116,0.2220,2,4,0,0,0,2,0.0000,0.3586,0.2973,1
107,1403715529.262143135,5.2864,5.1997,0.3479,2,4,0,0,0,2,0.0000,0.4950,0.4375,1
108,1403715529.312143087,4.5604,4.5181,0.4132,2,6,1,0,0,1,0.0000,0.5701,0.5134,1
109,1403715529.362143040,17.8993,17.8532,10.7930,2,6,1,0,0,1,0.0000,14.1874,14.1331,1
110,1403715529.412143230,4.4077,4.3373,0.3490,2,4,0,0,0,2,0.0000,0.6180,0.5577,1
111,1403715529.462142944,4.7887,4.6934,0.3281,2,4,0,0,0,2,0.0000,0.4835,0.4231,1
112,1403715529.512143135,4.5036,4.4789,0.4253,2,6,1,0,0,1,0.0000,0.5971,0.5366,1
113,1403715529.562143087,18.0816,17.5574,10.7081,2,6,1,0,0,1,0.0000,13.9504,13.8930,1
114,1403715529.612143278,4.2781,4.1407,0.3290,2,5,0,0,0,2,0.0000,0.4770,0.4183,1
115,1403715529.662142992,4.1872,4.1507,0.3760,2,4,0,0,0,2,0.0000,0.5520,0.4862,1
116,1403715529.712143183,4.2248,4.1945,0.4473,2,6,1,0,0,1,0.0000,0.6333,0.5698,1
117,1403715529.762143135,16.3631,16.3380,9.7001,2,6,1,0,0,1,0.0000,12.8645,12.8029,1
118,1403715529.812143087,4.0393,4.0435,0.2918,2,4,0,0,0,2,0.0000,0.4491,0.3882,1
119,1403715529.862143040,5.1901,5.0731,0.3769,2,4,0,0,0,2,0.0000,0.5541,0.4898,1
120,1403715529.912143230,4.3628,4.3667,0.5000,2,6,1,0,0,1,0.0000,0.7018,0.6364,1
121,1403715529.962142944,15.8063,15.8016,9.3210,2,6,1,0,0,1,0.0000,12.3655,12.3013,1
122,1403715530.012143135,3.8148,3.8187,0.3080,2,4,0,0,0,2,0.0000,0.4767,0.4119,1
123,1403715530.062143087,4.5075,4.1784,0.3841,2,4,0,0,0,2,0.0000,0.5678,0.5055,1
124,1403715530.112143278,4.0448,4.0330,0.4869,2,4,0,0,0,2,0.0000,0.6958,0.6320,1
