frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715523.912143230,9.3535,4.7152,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
1,1403715523.962142944,11.6187,4.6766,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
2,1403715524.012143135,4.1982,4.1762,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
3,1403715524.062143087,4.2958,4.2862,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
4,1403715524.112143278,4.7342,4.6585,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
5,1403715524.162142992,4.8475,4.7542,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
6,1403715524.212143183,4.3486,4.3523,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
7,1403715524.262143135,4.6217,4.6253,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
8,1403715524.312143087,5.3294,5.2498,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
9,1403715524.362143040,4.6327,4.5513,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
10,1403715524.412143230,4.2685,4.2582,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
11,1403715524.462142944,4.1922,4.1957,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
12,1403715524.512143135,4.2918,4.2872,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
13,1403715524.562143087,4.2607,4.2180,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
14,1403715524.612143278,4.2535,4.2393,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
15,1403715524.662142992,4.2517,4.2402,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
16,1403715524.712143183,4.0640,4.0679,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
17,1403715524.762143135,4.0882,4.0920,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
18,1403715524.812143087,4.2384,4.2423,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
19,1403715524.862143040,4.7240,4.6777,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
20,1403715524.912143230,4.1586,4.1622,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
21,1403715524.962142944,4.0437,4.0473,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
22,1403715525.012143135,4.2367,4.2190,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
23,1403715525.062143087,4.0531,4.0480,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
24,1403715525.112143278,3.9195,3.9229,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
25,1403715525.162142992,4.0522,4.0480,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
26,1403715525.212143183,4.0473,4.0509,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
27,1403715525.262143135,4.1060,4.1059,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
28,1403715525.312143087,4.2340,4.2224,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
29,1403715525.362143040,4.1515,4.1442,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
30,1403715525.412143230,4.3243,4.2358,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
31,1403715525.462142944,4.3125,4.2275,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
32,1403715525.512143135,4.3489,4.3401,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
33,1403715525.562143087,4.1770,4.1356,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
34,1403715525.612143278,4.0321,4.0355,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
35,1403715525.662142992,4.4182,4.4219,0.0000,0,0,0,0,0,0,0.0000,0.3112,0.0000,0
36,1403715525.712143183,4.7242,4.7009,0.0000,0,0,0,0,0,0,0.0000,0.3810,0.0000,0
37,1403715525.762143135,4.4180,4.4192,0.0000,0,0,0,0,0,0,0.0000,0.3444,0.0000,0
38,1403715525.812143087,4.6137,4.5968,0.0000,0,0,0,0,0,0,0.0000,0.3535,0.0000,0
39,1403715525.862143040,4.6652,4.5966,0.0000,0,0,0,0,0,0,0.0000,0.3487,0.0000,0
40,1403715525.912143230,4.5922,4.5656,0.0000,0,0,0,0,0,0,0.0000,0.3929,0.0000,0
41,1403715525.962142944,4.6043,4.5520,0.0000,0,0,0,0,0,0,0.0000,0.3921,0.0000,0
42,1403715526.012143135,4.6487,4.6142,0.0000,0,0,0,0,0,0,0.0000,0.3708,0.0000,0
43,1403715526.062143087,4.4392,4.4426,0.0000,0,0,0,0,0,0,0.0000,0.3610,0.0000,0
44,1403715526.112143278,4.4840,4.4793,0.0000,0,0,0,0,0,0,0.0000,0.3665,0.0000,0
45,1403715526.162142992,4.6205,4.6061,0.0000,0,0,0,0,0,0,0.0000,0.3599,0.0000,0
46,1403715526.212143183,4.4971,4.4823,0.0000,0,0,0,0,0,0,0.0000,0.3675,0.0000,0
47,1403715526.262143135,4.5280,4.5221,0.0000,0,0,0,0,0,0,0.0000,0.3781,0.0000,0
48,1403715526.312143087,4.8322,4.8177,0.0000,0,0,0,0,0,0,0.0000,0.3776,0.0000,0
49,1403715526.362143040,4.4805,4.4760,0.0000,0,0,0,0,0,0,0.0000,0.3795,0.0000,0
50,1403715526.412143230,4.8627,4.8069,0.0000,0,0,0,0,0,0,0.0000,0.4029,0.0000,0
51,1403715526.462142944,4.7103,4.6940,0.0000,0,0,0,0,0,0,0.0000,0.4012,0.0000,0
52,1403715526.512143135,4.4899,4.4935,0.0000,0,0,0,0,0,0,0.0000,0.4140,0.0000,0
53,1403715526.562143087,4.9713,4.9355,0.0000,0,0,0,0,0,0,0.0000,0.4052,0.0000,0
54,1403715526.612143278,4.5920,4.5548,0.0000,0,0,0,0,0,0,0.0000,0.3900,0.0000,0
55,1403715526.662142992,4.4608,4.4610,0.0000,0,0,0,0,0,0,0.0000,0.3984,0.0000,0
56,1403715526.712143183,4.4425,4.4428,0.0000,0,0,0,0,0,0,0.0000,0.3902,0.0000,0
57,1403715526.762143135,4.3950,4.3985,0.0000,0,0,0,0,0,0,0.0000,0.4066,0.0000,0
58,1403715526.812143087,4.4887,4.4842,0.0000,0,0,0,0,0,0,0.0000,0.3898,0.0000,0
59,1403715526.862143040,4.3953,4.3988,0.0000,0,0,0,0,0,0,0.0000,0.3931,0.0000,0
60,1403715526.912143230,4.6636,4.6228,0.0000,0,0,0,0,0,0,0.0000,0.3916,0.0000,0
61,1403715526.962142944,4.4821,4.4801,0.0000,0,0,0,0,0,0,0.0000,0.3941,0.0000,0
62,1403715527.012143135,4.4551,4.4589,0.0000,0,0,0,0,0,0,0.0000,0.3945,0.0000,0
63,1403715527.062143087,4.5381,4.5340,0.0000,0,0,0,0,0,0,0.0000,0.4007,0.0000,0
64,1403715527.112143278,4.5217,4.5157,0.0000,0,0,0,0,0,0,0.0000,0.3946,0.0000,0
65,1403715527.162142992,4.4941,4.4952,0.0000,0,0,0,0,0,0,0.0000,0.4007,0.0000,0
66,1403715527.212143183,4.5181,4.5190,0.0000,0,0,0,0,0,0,0.0000,0.4160,0.0000,0
67,1403715527.262143135,4.6478,4.6332,0.0000,0,0,0,0,0,0,0.0000,0.4164,0.0000,0
68,1403715527.312143087,4.4948,4.4924,0.0000,0,0,0,0,0,0,0.0000,0.4062,0.0000,0
69,1403715527.362143040,4.7070,4.6699,0.0000,0,0,0,0,0,0,0.0000,0.4161,0.0000,0
70,1403715527.412143230,4.5217,4.5252,0.0000,0,0,0,0,0,0,0.0000,0.4079,0.0000,0
71,1403715527.462142944,4.5370,4.5359,0.0000,0,0,0,0,0,0,0.0000,0.4068,0.0000,0
72,1403715527.512143135,4.4099,4.4135,0.0000,0,0,0,0,0,0,0.0000,0.4089,0.0000,0
73,1403715527.562143087,4.6486,4.6358,0.0000,0,0,0,0,0,0,0.0000,0.4091,0.0000,0
74,1403715527.612143278,4.5430,4.5294,0.0000,0,0,0,0,0,0,0.0000,0.4150,0.0000,0
75,1403715527.662142992,4.6638,4.6542,0.0000,0,0,0,0,0,0,0.0000,0.4058,0.0000,0
76,1403715527.712143183,4.4458,4.4480,0.0000,0,0,0,0,0,0,0.0000,0.4144,0.0000,0
77,1403715527.762143135,4.4507,4.4465,0.0000,0,0,0,0,0,0,0.0000,0.4062,0.0000,0
78,1403715527.812143087,4.7461,4.7340,0.0000,0,0,0,0,0,0,0.0000,0.4126,0.0000,0
79,1403715527.862143040,4.5354,4.5352,0.0000,0,0,0,0,0,0,0.0000,0.4317,0.0000,0
80,1403715527.912143230,4.4850,4.4833,0.0000,0,0,0,0,0,0,0.0000,0.4164,0.0000,0
81,1403715527.962142944,4.6648,4.6564,0.0000,0,0,0,0,0,0,0.0000,0.4109,0.0000,0
82,1403715528.012143135,4.4909,4.4945,0.0000,0,0,0,0,0,0,0.0000,0.4163,0.0000,0
83,1403715528.062143087,4.5588,4.5628,0.0000,0,0,0,0,0,0,0.0000,0.4264,0.0000,0
84,1403715528.112143278,4.7367,4.7214,0.0000,0,0,0,0,0,0,0.0000,0.4266,0.0000,0
85,1403715528.162142992,4.5740,4.5709,0.0000,0,0,0,0,0,0,0.0000,0.4230,0.0000,0
86,1403715528.212143183,4.5020,4.5053,0.0000,0,0,0,0,0,0,0.0000,0.4138,0.0000,0
87,1403715528.262143135,4.4398,4.4432,0.0000,0,0,0,0,0,0,0.0000,0.4015,0.0000,0
88,1403715528.312143087,4.6183,4.6058,0.0000,0,0,0,0,0,0,0.0000,0.4183,0.0000,0
89,1403715528.362143040,4.5857,4.5834,0.0000,0,0,0,0,0,0,0.0000,0.4165,0.0000,0
90,1403715528.412143230,4.5678,4.5564,0.0000,0,0,0,0,0,0,0.0000,0.4068,0.0000,0
91,1403715528.462142944,4.5678,4.5669,0.0000,0,0,0,0,0,0,0.0000,0.4187,0.0000,0
92,1403715528.512143135,38.1820,16.8633,0.0000,0,0,0,0,0,0,20.7097,33.9331,0.0000,0
93,1403715528.562143087,24.8470,21.6953,0.0000,0,0,0,0,0,0,13.5641,20.5851,0.0000,0
94,1403715528.612143278,5.7122,5.7161,0.3569,2,4,0,0,0,2,0.0000,0.5557,0.4757,1
