frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715523.912143230,5.3638,4.8043,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
1,1403715523.962142944,4.2738,4.2457,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
2,1403715524.012143135,4.2097,4.1898,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
3,1403715524.062143087,4.0898,4.0871,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
4,1403715524.112143278,4.0003,3.9650,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
5,1403715524.162142992,3.8729,3.8765,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
6,1403715524.212143183,3.9104,3.9089,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
7,1403715524.262143135,3.8887,3.8920,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
8,1403715524.312143087,4.0255,4.0087,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
9,1403715524.362143040,3.9514,3.9548,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
10,1403715524.412143230,4.1588,4.1087,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
11,1403715524.462142944,4.0670,4.0645,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
12,1403715524.512143135,3.9790,3.9827,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
13,1403715524.562143087,4.0783,4.0366,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
14,1403715524.612143278,3.8937,3.8977,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
15,1403715524.662142992,4.1948,4.1707,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
16,1403715524.712143183,4.0855,4.0675,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
17,1403715524.762143135,3.9433,3.9426,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
18,1403715524.812143087,4.2695,4.1627,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
19,1403715524.862143040,4.1027,4.0879,0.0000,0,0,0,0,0,0,0.0000,0.0001,0.0000,0
20,1403715524.912143230,4.3002,4.2533,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
21,1403715524.962142944,4.5415,4.4812,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
22,1403715525.012143135,4.2661,4.2581,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
23,1403715525.062143087,4.0159,4.0192,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
24,1403715525.112143278,4.0628,4.0488,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
25,1403715525.162142992,3.9196,3.9230,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
26,1403715525.212143183,4.1770,4.1038,0.0000,0,0,0,0,0,0,0.0000,0.0001,0.0000,0
27,1403715525.262143135,4.4322,4.4278,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
28,1403715525.312143087,7.2541,6.5988,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
29,1403715525.362143040,4.1805,4.1747,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
30,1403715525.412143230,4.3280,4.1798,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
31,1403715525.462142944,4.5603,4.5153,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
32,1403715525.512143135,4.3391,4.2465,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
33,1403715525.562143087,4.1185,4.0837,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
34,1403715525.612143278,4.1105,4.0983,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
35,1403715525.662142992,4.8835,4.7821,0.0000,0,0,0,0,0,0,0.0000,0.3797,0.0000,0
36,1403715525.712143183,5.0027,4.8057,0.0000,0,0,0,0,0,0,0.0000,0.4778,0.0000,0
37,1403715525.762143135,4.7749,4.6468,0.0000,0,0,0,0,0,0,0.0000,0.3488,0.0000,0
38,1403715525.812143087,4.6520,4.6007,0.0000,0,0,0,0,0,0,0.0000,0.3696,0.0000,0
39,1403715525.862143040,4.5853,4.5588,0.0000,0,0,0,0,0,0,0.0000,0.3566,0.0000,0
40,1403715525.912143230,4.5091,4.4911,0.0000,0,0,0,0,0,0,0.0000,0.3492,0.0000,0
41,1403715525.962142944,4.3775,4.3753,0.0000,0,0,0,0,0,0,0.0000,0.3545,0.0000,0
42,1403715526.012143135,4.6573,4.6262,0.0000,0,0,0,0,0,0,0.0000,0.3624,0.0000,0
43,1403715526.062143087,4.3208,4.3180,0.0000,0,0,0,0,0,0,0.0000,0.3416,0.0000,0
44,1403715526.112143278,4.5385,4.4295,0.0000,0,0,0,0,0,0,0.0000,0.3575,0.0000,0
45,1403715526.162142992,4.4918,4.4750,0.0000,0,0,0,0,0,0,0.0000,0.3438,0.0000,0
46,1403715526.212143183,4.6586,4.5622,0.0000,0,0,0,0,0,0,0.0000,0.3535,0.0000,0
47,1403715526.262143135,4.2433,4.2468,0.0000,0,0,0,0,0,0,0.0000,0.3587,0.0000,0
48,1403715526.312143087,4.3356,4.3345,0.0000,0,0,0,0,0,0,0.0000,0.3517,0.0000,0
49,1403715526.362143040,4.5520,4.5555,0.0000,0,0,0,0,0,0,0.0000,0.3925,0.0000,0
50,1403715526.412143230,4.7932,4.7317,0.0000,0,0,0,0,0,0,0.0000,0.3932,0.0000,0
51,1403715526.462142944,4.4066,4.4103,0.0000,0,0,0,0,0,0,0.0000,0.3884,0.0000,0
52,1403715526.512143135,4.7243,4.6807,0.0000,0,0,0,0,0,0,0.0000,0.3922,0.0000,0
53,1403715526.562143087,4.6067,4.5931,0.0000,0,0,0,0,0,0,0.0000,0.3615,0.0000,0
54,1403715526.612143278,4.3948,4.3938,0.0000,0,0,0,0,0,0,0.0000,0.3773,0.0000,0
55,1403715526.662142992,4.7153,4.6565,0.0000,0,0,0,0,0,0,0.0000,0.3693,0.0000,0
56,1403715526.712143183,4.4001,4.3168,0.0000,0,0,0,0,0,0,0.0000,0.3598,0.0000,0
57,1403715526.762143135,4.4427,4.4370,0.0000,0,0,0,0,0,0,0.0000,0.3664,0.0000,0
58,1403715526.812143087,4.6570,4.6454,0.0000,0,0,0,0,0,0,0.0000,0.3840,0.0000,0
59,1403715526.862143040,4.5485,4.5320,0.0000,0,0,0,0,0,0,0.0000,0.3872,0.0000,0
60,1403715526.912143230,4.6947,4.6354,0.0000,0,0,0,0,0,0,0.0000,0.3927,0.0000,0
61,1403715526.962142944,4.8146,4.7618,0.0000,0,0,0,0,0,0,0.0000,0.3913,0.0000,0
62,1403715527.012143135,5.0120,4.9302,0.0000,0,0,0,0,0,0,0.0000,0.3769,0.0000,0
63,1403715527.062143087,4.8460,4.7116,0.0000,0,0,0,0,0,0,0.0000,0.3879,0.0000,0
64,1403715527.112143278,4.4990,4.4854,0.0000,0,0,0,0,0,0,0.0000,0.3845,0.0000,0
