frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715886.584058285,4.1639,3.8497,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
1,1403715886.634057999,5.0433,3.8760,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
2,1403715886.684058189,3.4126,3.3973,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
3,1403715886.734058142,3.4550,3.4501,nan,-1,-1,-1,-1,-1,-1,nan,0.0009,0.0000,0
4,1403715886.784058094,3.9497,3.8091,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
5,1403715886.834058046,3.4080,3.3972,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
6,1403715886.884058237,3.4778,3.4675,nan,-1,-1,-1,-1,-1,-1,nan,0.0010,0.0000,0
7,1403715886.934058189,3.3551,3.3522,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
8,1403715886.984058142,3.3106,3.3139,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
9,1403715887.034058094,3.3404,3.3437,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
10,1403715887.084058285,3.9697,3.8339,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
11,1403715887.134057999,3.5698,3.5513,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
12,1403715887.184058189,3.3283,3.3320,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
13,1403715887.234058142,3.9895,3.8817,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
14,1403715887.284058094,3.4056,3.3728,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
15,1403715887.334058046,3.4051,3.4047,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
16,1403715887.384058237,3.5626,3.5383,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
17,1403715887.434058189,3.7498,3.6820,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
18,1403715887.484058142,3.3767,3.3801,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
19,1403715887.534058094,3.4446,3.4283,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
20,1403715887.584058285,3.6284,3.5711,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
21,1403715887.634057999,3.3891,3.3923,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
22,1403715887.684058189,3.6746,3.6334,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
23,1403715887.734058142,3.6109,3.5910,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
24,1403715887.784058094,3.3912,3.3947,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
25,1403715887.834058046,3.4017,3.4054,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
26,1403715887.884058237,3.3027,3.3060,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
27,1403715887.934058189,3.4810,3.4845,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
28,1403715887.984058142,3.5320,3.5358,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
29,1403715888.034058094,3.2980,3.3015,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
30,1403715888.084058285,3.3705,3.3740,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
31,1403715888.134057999,3.4033,3.4066,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
32,1403715888.184058189,3.5840,3.5878,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
33,1403715888.234058142,3.5744,3.5781,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
34,1403715888.284058094,3.3761,3.3797,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
35,1403715888.334058046,3.7767,3.7800,nan,-1,-1,-1,-1,-1,-1,nan,0.3762,0.0000,0
36,1403715888.384058237,3.8565,3.8601,nan,-1,-1,-1,-1,-1,-1,nan,0.4584,0.0000,0
37,1403715888.434058189,4.1649,4.1522,nan,-1,-1,-1,-1,-1,-1,nan,0.4449,0.0000,0
38,1403715888.484058142,3.8681,3.8718,nan,-1,-1,-1,-1,-1,-1,nan,0.4512,0.0000,0
39,1403715888.534058094,3.9085,3.9122,nan,-1,-1,-1,-1,-1,-1,nan,0.4481,0.0000,0
40,1403715888.584058285,3.8190,3.8227,nan,-1,-1,-1,-1,-1,-1,nan,0.4462,0.0000,0
41,1403715888.634057999,3.8752,3.8787,nan,-1,-1,-1,-1,-1,-1,nan,0.4582,0.0000,0
42,1403715888.684058189,3.8689,3.8726,nan,-1,-1,-1,-1,-1,-1,nan,0.4592,0.0000,0
