frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2344,0.2351,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
1,5073.268948041,0.2198,0.2204,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
2,5073.285616333,0.2164,0.2169,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
3,5073.302284583,0.2235,0.2240,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
4,5073.318952833,109.4812,103.7758,nan,-1,-1,-1,-1,-1,-1,nan,0.0039,0.0000,0
5,5073.335620958,17.9767,17.9609,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
6,5073.352289208,18.1760,17.9336,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
7,5073.368957500,18.4813,18.4309,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
8,5073.385625750,17.9545,17.9403,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
9,5073.402293958,17.9106,17.9117,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
10,5073.418962083,18.6751,18.6670,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
11,5073.435630375,18.7633,18.4405,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
12,5073.452298625,17.7468,17.7395,nan,-1,-1,-1,-1,-1,-1,nan,0.0012,0.0000,0
13,5073.468966916,18.2362,18.0599,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
14,5073.485635166,18.9203,18.8572,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
15,5073.502303458,19.1051,18.8072,nan,-1,-1,-1,-1,-1,-1,nan,0.0009,0.0000,0
16,5073.518971583,18.4509,18.4145,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
17,5073.535639833,18.0645,18.0661,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
18,5073.552308125,18.5530,18.5251,nan,-1,-1,-1,-1,-1,-1,nan,0.0010,0.0000,0
19,5073.568976333,19.3898,19.1172,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
20,5073.585644625,18.5684,18.4472,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
21,5073.602312875,17.8645,17.6330,nan,-1,-1,-1,-1,-1,-1,nan,0.0013,0.0000,0
