frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2537,0.2547,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
1,5073.268948041,0.2207,0.2214,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
2,5073.285616333,0.2182,0.2187,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
3,5073.302284583,0.2060,0.2065,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0
4,5073.318952833,103.3174,95.6487,nan,-1,-1,-1,-1,-1,-1,nan,0.0032,0.0000,0
5,5073.335620958,18.1580,18.0310,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
6,5073.352289208,17.4263,17.3700,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
7,5073.368957500,17.7216,17.6825,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
8,5073.385625750,17.3445,17.2817,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
9,5073.402293958,17.9247,17.9258,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
10,5073.418962083,17.5024,17.4804,nan,-1,-1,-1,-1,-1,-1,nan,0.0012,0.0000,0
11,5073.435630375,17.2149,17.1993,nan,-1,-1,-1,-1,-1,-1,nan,0.0010,0.0000,0
12,5073.452298625,17.5840,17.4464,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
13,5073.468966916,17.8921,17.8317,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
14,5073.485635166,17.9892,17.9277,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
15,5073.502303458,17.9940,17.6708,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
16,5073.518971583,18.2770,18.1408,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
17,5073.535639833,17.8708,17.6685,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
18,5073.552308125,17.8502,17.8352,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
19,5073.568976333,17.7254,17.6527,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
20,5073.585644625,17.4927,17.4943,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
21,5073.602312875,17.0867,17.0878,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
