frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2574,0.2582,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.3112,0.3119,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.2313,0.2322,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2369,0.2375,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,106.5373,102.8324,0.0000,0,0,0,0,0,0,0.0000,0.0045,0.0000,0
5,5073.335620958,19.9194,19.8046,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
6,5073.352289208,21.8954,21.7357,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
7,5073.368957500,22.5660,21.7531,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
8,5073.385625750,21.7169,21.2988,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
9,5073.402293958,19.7621,19.1887,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
10,5073.418962083,19.9185,19.4410,0.0000,0,0,0,0,0,0,0.0000,0.0013,0.0000,0
11,5073.435630375,19.1157,19.0912,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
12,5073.452298625,19.0394,18.9956,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
13,5073.468966916,21.1537,20.4158,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
14,5073.485635166,19.9876,19.4345,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
15,5073.502303458,18.9793,18.9222,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
16,5073.518971583,18.8255,18.4910,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
17,5073.535639833,19.4826,19.2212,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
18,5073.552308125,19.6304,19.4447,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
19,5073.568976333,18.7283,18.7145,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
20,5073.585644625,18.5017,18.4753,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
21,5073.602312875,18.4962,18.3614,0.0000,0,0,0,0,0,0,0.0000,0.0011,0.0000,0
22,5073.618981000,18.3053,18.1319,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
23,5073.635649291,18.9672,18.7654,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
24,5073.652317541,18.7207,18.5285,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
25,5073.668985791,18.9383,18.5185,0.0000,0,0,0,0,0,0,0.0000,0.0013,0.0000,0
26,5073.685654083,18.9889,18.9578,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
27,5073.702322208,19.3014,19.0310,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
28,5073.718990416,19.3827,19.3464,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
29,5073.735658708,19.1531,19.0012,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
30,5073.752327000,18.4390,17.8403,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
31,5073.768995166,18.4108,18.3351,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
32,5073.785663541,18.4103,18.2543,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
33,5073.802331666,18.7616,18.4794,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
34,5073.818999916,18.6086,18.2401,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
35,5073.835668208,18.2151,18.1739,0.0000,0,0,0,0,0,0,0.0000,0.3206,0.0000,0
36,5073.852336500,19.1164,18.9634,0.0000,0,0,0,0,0,0,0.0000,0.4038,0.0000,0
