frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2823,0.2830,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.2397,0.2405,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.2179,0.2185,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2100,0.2105,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,105.6878,101.4326,0.0000,0,0,0,0,0,0,0.0000,0.0037,0.0000,0
5,5073.335620958,17.8405,17.8094,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
6,5073.352289208,18.1157,18.0170,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
7,5073.368957500,19.0419,18.7810,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
8,5073.385625750,18.1482,18.0563,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
9,5073.402293958,18.2368,18.0951,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
10,5073.418962083,17.8836,17.8419,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
11,5073.435630375,17.7402,17.6372,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
12,5073.452298625,18.2835,18.2381,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
13,5073.468966916,18.5780,18.3068,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
14,5073.485635166,18.2463,18.2477,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
15,5073.502303458,19.1074,18.9894,0.0000,0,0,0,0,0,0,0.0000,0.0015,0.0000,0
16,5073.518971583,18.6648,18.5751,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
17,5073.535639833,19.0487,18.9385,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
18,5073.552308125,18.5497,18.4808,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
19,5073.568976333,18.6625,18.5276,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
20,5073.585644625,18.7129,18.5480,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
21,5073.602312875,17.6077,17.6124,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
22,5073.618981000,17.5926,17.4684,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
23,5073.635649291,18.5916,18.5167,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
24,5073.652317541,18.1016,17.9567,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
25,5073.668985791,17.8196,17.7365,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
26,5073.685654083,17.9346,17.8172,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
27,5073.702322208,18.3761,18.2978,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
28,5073.718990416,17.4340,17.3362,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
29,5073.735658708,17.5638,17.5484,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
30,5073.752327000,18.1902,17.9234,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
31,5073.768995166,17.9937,17.9845,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
32,5073.785663541,17.7988,17.7759,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
33,5073.802331666,17.9685,17.9550,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
34,5073.818999916,18.6494,18.3852,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
