frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,5073.252279750,0.2167,0.2172,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,5073.268948041,0.2058,0.2063,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
2,5073.285616333,0.2220,0.2225,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,5073.302284583,0.2269,0.2274,0.0000,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
4,5073.318952833,100.7237,96.7677,0.0000,0,0,0,0,0,0,0.0000,0.0030,0.0000,0
5,5073.335620958,18.6966,18.0733,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
6,5073.352289208,18.4722,18.4348,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
7,5073.368957500,18.4763,18.4776,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
8,5073.385625750,18.1701,18.0209,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
9,5073.402293958,18.6990,18.6343,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
10,5073.418962083,17.5007,17.4839,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
11,5073.435630375,17.5022,17.4585,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
12,5073.452298625,17.6831,17.6168,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
13,5073.468966916,18.3080,18.2822,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
14,5073.485635166,17.9787,17.9528,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
15,5073.502303458,18.2946,17.6956,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
16,5073.518971583,17.6074,17.4870,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
17,5073.535639833,18.0216,18.0229,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
18,5073.552308125,17.7111,17.7033,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
19,5073.568976333,17.6338,17.6352,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
20,5073.585644625,17.6340,17.4308,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
21,5073.602312875,17.1680,17.1692,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
22,5073.618981000,16.7809,16.7526,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
23,5073.635649291,16.9845,16.9583,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
24,5073.652317541,17.4494,17.3366,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
25,5073.668985791,17.1182,16.9493,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
26,5073.685654083,16.9721,16.9699,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
27,5073.702322208,17.0450,17.0250,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
28,5073.718990416,16.9490,16.8842,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
29,5073.735658708,17.2070,17.1010,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
30,5073.752327000,16.7040,16.7054,0.0000,0,0,0,0,0,0,0.0000,0.0011,0.0000,0
31,5073.768995166,16.8209,16.7686,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
