frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715273.262143135,7.9042,4.2084,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
1,1403715273.312143087,4.6447,3.6232,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
2,1403715273.362143040,3.1738,3.1773,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
3,1403715273.412143230,3.2864,3.2458,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
4,1403715273.462142944,3.4781,3.3372,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
5,1403715273.512143135,3.3161,3.2663,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
6,1403715273.562143087,3.2223,3.2257,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
7,1403715273.612143278,3.0178,3.0214,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
8,1403715273.662142992,3.1125,3.1161,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
9,1403715273.712143183,3.2014,3.1915,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
10,1403715273.762143135,3.7204,3.5972,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
11,1403715273.812143087,3.2181,3.2213,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
12,1403715273.862143040,3.3936,3.3656,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
13,1403715273.912143230,3.1794,3.1829,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
14,1403715273.962142944,3.3517,3.3333,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
15,1403715274.012143135,3.2605,3.2641,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
16,1403715274.062143087,3.5725,3.5420,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
17,1403715274.112143278,3.4443,3.4481,nan,-1,-1,-1,-1,-1,-1,nan,0.0009,0.0000,0
18,1403715274.162142992,3.3303,3.2585,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
19,1403715274.212143183,3.2949,3.2987,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
20,1403715274.262143135,3.5590,3.5160,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
21,1403715274.312143087,3.3804,3.3845,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
22,1403715274.362143040,3.0216,3.0252,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
23,1403715274.412143230,3.0559,3.0593,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
24,1403715274.462142944,3.2433,3.2488,nan,-1,-1,-1,-1,-1,-1,nan,0.0008,0.0000,0
25,1403715274.512143135,3.3374,3.3197,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
26,1403715274.562143087,3.3853,3.3687,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
27,1403715274.612143278,3.1728,3.1763,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
28,1403715274.662142992,3.2819,3.2680,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
29,1403715274.712143183,3.1698,3.1734,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
30,1403715274.762143135,3.2195,3.2232,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
31,1403715274.812143087,3.2400,3.2434,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
