frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715273.262143135,4.3340,4.0064,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
1,1403715273.312143087,3.5738,3.5093,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
2,1403715273.362143040,3.3272,3.3307,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
3,1403715273.412143230,3.3193,3.3235,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
4,1403715273.462142944,3.5548,3.4580,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
5,1403715273.512143135,3.2233,3.2225,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
6,1403715273.562143087,3.1035,3.1053,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
7,1403715273.612143278,3.2117,3.2085,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
8,1403715273.662142992,3.7011,3.6143,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
9,1403715273.712143183,3.2443,3.1990,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
10,1403715273.762143135,3.0560,3.0597,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
11,1403715273.812143087,3.1250,3.1285,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
12,1403715273.862143040,3.7356,3.7166,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
13,1403715273.912143230,3.3195,3.3171,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
14,1403715273.962142944,3.2521,3.2361,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
15,1403715274.012143135,3.3091,3.3130,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
16,1403715274.062143087,3.7265,3.6099,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
17,1403715274.112143278,3.2289,3.2205,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
18,1403715274.162142992,3.3902,3.3700,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
19,1403715274.212143183,3.0878,3.0915,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
20,1403715274.262143135,3.2407,3.2392,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
21,1403715274.312143087,3.2622,3.2608,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
22,1403715274.362143040,3.3555,3.3521,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
23,1403715274.412143230,3.4675,3.4330,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
24,1403715274.462142944,3.4257,3.4115,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
25,1403715274.512143135,3.3486,3.3045,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
26,1403715274.562143087,3.2806,3.2820,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
27,1403715274.612143278,3.1553,3.1568,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
28,1403715274.662142992,3.1503,3.1518,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
29,1403715274.712143183,3.1890,3.1906,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
30,1403715274.762143135,3.3203,3.3107,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
31,1403715274.812143087,3.1327,3.1367,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
32,1403715274.862143040,3.2102,3.2052,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
33,1403715274.912143230,3.4656,3.4502,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
34,1403715274.962142944,3.4473,3.4080,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
35,1403715275.012143135,3.5451,3.5383,0.0000,0,0,0,0,0,0,0.0000,0.3207,0.0000,0
36,1403715275.062143087,3.4871,3.4836,0.0000,0,0,0,0,0,0,0.0000,0.3721,0.0000,0
37,1403715275.112143278,3.6857,3.6229,0.0000,0,0,0,0,0,0,0.0000,0.3863,0.0000,0
38,1403715275.162142992,3.5787,3.5821,0.0000,0,0,0,0,0,0,0.0000,0.3729,0.0000,0
39,1403715275.212143183,3.6575,3.6479,0.0000,0,0,0,0,0,0,0.0000,0.3816,0.0000,0
40,1403715275.262143135,3.6677,3.6587,0.0000,0,0,0,0,0,0,0.0000,0.3755,0.0000,0
