frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715273.262143135,4.1868,3.8281,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
1,1403715273.312143087,4.1291,4.0883,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
2,1403715273.362143040,3.6931,3.6528,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
3,1403715273.412143230,3.8472,3.8033,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
4,1403715273.462142944,3.5473,3.5126,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
5,1403715273.512143135,3.9082,3.8799,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
6,1403715273.562143087,3.6660,3.6357,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
7,1403715273.612143278,3.9790,3.8874,0.0000,0,0,0,0,0,0,0.0000,0.0011,0.0000,0
8,1403715273.662142992,3.2995,3.2780,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
9,1403715273.712143183,3.7304,3.5611,0.0000,0,0,0,0,0,0,0.0000,0.0011,0.0000,0
10,1403715273.762143135,3.3491,3.3274,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
11,1403715273.812143087,3.5133,3.4311,0.0000,0,0,0,0,0,0,0.0000,0.0012,0.0000,0
12,1403715273.862143040,3.2112,3.2122,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
13,1403715273.912143230,3.3532,3.3516,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
14,1403715273.962142944,3.6810,3.6210,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
15,1403715274.012143135,3.8041,3.6500,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
16,1403715274.062143087,3.3430,3.3385,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
17,1403715274.112143278,3.2378,3.2173,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
18,1403715274.162142992,3.8197,3.7967,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
