frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715523.912143230,5.3013,4.9278,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
1,1403715523.962142944,5.7211,4.8401,nan,-1,-1,-1,-1,-1,-1,nan,0.0010,0.0000,0
2,1403715524.012143135,4.4737,4.2581,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
3,1403715524.062143087,4.3363,4.3049,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
4,1403715524.112143278,4.0203,4.0216,nan,-1,-1,-1,-1,-1,-1,nan,0.0011,0.0000,0
5,1403715524.162142992,4.0300,4.0245,nan,-1,-1,-1,-1,-1,-1,nan,0.0009,0.0000,0
6,1403715524.212143183,3.9447,3.9482,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
7,1403715524.262143135,3.9745,3.9723,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
8,1403715524.312143087,3.9580,3.9614,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
9,1403715524.362143040,3.9526,3.9443,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
10,1403715524.412143230,4.0118,4.0070,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
11,1403715524.462142944,3.9658,3.9672,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
12,1403715524.512143135,3.9735,3.9721,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
13,1403715524.562143087,4.1350,4.1059,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
14,1403715524.612143278,3.9744,3.9717,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
15,1403715524.662142992,4.0072,4.0001,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
16,1403715524.712143183,3.9462,3.9447,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
17,1403715524.762143135,3.8143,3.8178,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
18,1403715524.812143087,4.0483,4.0448,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
19,1403715524.862143040,3.9843,3.9830,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
20,1403715524.912143230,3.9423,3.9456,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
21,1403715524.962142944,4.0188,4.0151,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
22,1403715525.012143135,3.9333,3.9350,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
23,1403715525.062143087,4.0352,4.0290,nan,-1,-1,-1,-1,-1,-1,nan,0.0010,0.0000,0
24,1403715525.112143278,4.1080,4.1093,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
25,1403715525.162142992,4.0582,4.0565,nan,-1,-1,-1,-1,-1,-1,nan,0.0004,0.0000,0
26,1403715525.212143183,4.3892,4.3546,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
27,1403715525.262143135,4.5215,4.3562,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
28,1403715525.312143087,4.3113,4.1784,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
29,1403715525.362143040,4.0979,4.0868,nan,-1,-1,-1,-1,-1,-1,nan,0.0002,0.0000,0
30,1403715525.412143230,4.4665,4.3338,nan,-1,-1,-1,-1,-1,-1,nan,0.0003,0.0000,0
31,1403715525.462142944,4.1039,4.0922,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
32,1403715525.512143135,3.9783,3.9776,nan,-1,-1,-1,-1,-1,-1,nan,0.0005,0.0000,0
33,1403715525.562143087,4.1363,4.1261,nan,-1,-1,-1,-1,-1,-1,nan,0.0007,0.0000,0
34,1403715525.612143278,3.9684,3.9700,nan,-1,-1,-1,-1,-1,-1,nan,0.0006,0.0000,0
35,1403715525.662142992,4.3661,4.3661,nan,-1,-1,-1,-1,-1,-1,nan,0.3168,0.0000,0
