frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n
0,1403715523.912143230,4.9751,4.6055,0.0000,0,0,0,0,0,0,0.0000,0.0009,0.0000,0
1,1403715523.962142944,5.5569,5.0439,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
2,1403715524.012143135,4.0852,4.0787,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
3,1403715524.062143087,4.3557,4.3470,0.0000,0,0,0,0,0,0,0.0000,0.0014,0.0000,0
4,1403715524.112143278,4.1614,4.1482,0.0000,0,0,0,0,0,0,0.0000,0.0003,0.0000,0
5,1403715524.162142992,4.1803,4.1809,0.0000,0,0,0,0,0,0,0.0000,0.0016,0.0000,0
6,1403715524.212143183,4.4815,4.4674,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
7,1403715524.262143135,4.8393,4.7654,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
8,1403715524.312143087,4.7921,4.7155,0.0000,0,0,0,0,0,0,0.0000,0.0012,0.0000,0
9,1403715524.362143040,4.8298,4.7117,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
10,1403715524.412143230,4.2380,4.1790,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
11,1403715524.462142944,4.2323,4.2227,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
12,1403715524.512143135,4.2134,4.2010,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
13,1403715524.562143087,4.0800,4.0723,0.0000,0,0,0,0,0,0,0.0000,0.0010,0.0000,0
14,1403715524.612143278,4.0190,4.0086,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
15,1403715524.662142992,4.0301,4.0277,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
16,1403715524.712143183,4.2714,4.2398,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
17,1403715524.762143135,4.0578,4.0559,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
18,1403715524.812143087,4.2039,4.1070,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
19,1403715524.862143040,4.3249,4.2450,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
20,1403715524.912143230,4.1015,4.0565,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
21,1403715524.962142944,4.1577,4.1234,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
22,1403715525.012143135,4.0841,4.0808,0.0000,0,0,0,0,0,0,0.0000,0.0008,0.0000,0
23,1403715525.062143087,4.0122,4.0157,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
24,1403715525.112143278,4.5361,4.4966,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
25,1403715525.162142992,4.1854,4.1646,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
26,1403715525.212143183,4.1991,4.1789,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
27,1403715525.262143135,4.2027,4.1428,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
28,1403715525.312143087,4.3441,4.3278,0.0000,0,0,0,0,0,0,0.0000,0.0007,0.0000,0
29,1403715525.362143040,4.0677,4.0680,0.0000,0,0,0,0,0,0,0.0000,0.0002,0.0000,0
30,1403715525.412143230,4.3698,4.3398,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
31,1403715525.462142944,4.0692,4.0685,0.0000,0,0,0,0,0,0,0.0000,0.0005,0.0000,0
32,1403715525.512143135,4.4132,4.3196,0.0000,0,0,0,0,0,0,0.0000,0.0012,0.0000,0
33,1403715525.562143087,4.1097,4.1113,0.0000,0,0,0,0,0,0,0.0000,0.0006,0.0000,0
34,1403715525.612143278,4.2630,4.2606,0.0000,0,0,0,0,0,0,0.0000,0.0004,0.0000,0
35,1403715525.662142992,4.4242,4.4223,0.0000,0,0,0,0,0,0,0.0000,0.3559,0.0000,0
36,1403715525.712143183,4.6275,4.6248,0.0000,0,0,0,0,0,0,0.0000,0.4493,0.0000,0
37,1403715525.762143135,4.6463,4.6414,0.0000,0,0,0,0,0,0,0.0000,0.3766,0.0000,0
38,1403715525.812143087,4.6793,4.6014,0.0000,0,0,0,0,0,0,0.0000,0.3776,0.0000,0
39,1403715525.862143040,4.3619,4.3656,0.0000,0,0,0,0,0,0,0.0000,0.3481,0.0000,0
40,1403715525.912143230,4.6405,4.6298,0.0000,0,0,0,0,0,0,0.0000,0.4130,0.0000,0
41,1403715525.962142944,4.4345,4.4354,0.0000,0,0,0,0,0,0,0.0000,0.3738,0.0000,0
42,1403715526.012143135,4.5670,4.5627,0.0000,0,0,0,0,0,0,0.0000,0.4111,0.0000,0
43,1403715526.062143087,4.3486,4.3520,0.0000,0,0,0,0,0,0,0.0000,0.3836,0.0000,0
44,1403715526.112143278,4.7740,4.7656,0.0000,0,0,0,0,0,0,0.0000,0.4230,0.0000,0
45,1403715526.162142992,4.4607,4.4513,0.0000,0,0,0,0,0,0,0.0000,0.3703,0.0000,0
46,1403715526.212143183,4.6850,4.5579,0.0000,0,0,0,0,0,0,0.0000,0.4187,0.0000,0
47,1403715526.262143135,4.4908,4.4905,0.0000,0,0,0,0,0,0,0.0000,0.3915,0.0000,0
48,1403715526.312143087,4.5472,4.5514,0.0000,0,0,0,0,0,0,0.0000,0.4395,0.0000,0
49,1403715526.362143040,4.4693,4.4733,0.0000,0,0,0,0,0,0,0.0000,0.4235,0.0000,0
50,1403715526.412143230,4.7333,4.7377,0.0000,0,0,0,0,0,0,0.0000,0.4582,0.0000,0
51,1403715526.462142944,4.3836,4.3870,0.0000,0,0,0,0,0,0,0.0000,0.3875,0.0000,0
52,1403715526.512143135,4.6220,4.6266,0.0000,0,0,0,0,0,0,0.0000,0.4680,0.0000,0
53,1403715526.562143087,4.5085,4.5121,0.0000,0,0,0,0,0,0,0.0000,0.3893,0.0000,0
54,1403715526.612143278,4.8585,4.8393,0.0000,0,0,0,0,0,0,0.0000,0.4143,0.0000,0
55,1403715526.662142992,4.5635,4.4972,0.0000,0,0,0,0,0,0,0.0000,0.3815,0.0000,0
56,1403715526.712143183,4.6281,4.6320,0.0000,0,0,0,0,0,0,0.0000,0.4346,0.0000,0
57,1403715526.762143135,4.5039,4.5081,0.0000,0,0,0,0,0,0,0.0000,0.4104,0.0000,0
58,1403715526.812143087,4.7220,4.7257,0.0000,0,0,0,0,0,0,0.0000,0.4293,0.0000,0
59,1403715526.862143040,4.7729,4.7219,0.0000,0,0,0,0,0,0,0.0000,0.4058,0.0000,0
60,1403715526.912143230,4.7134,4.7169,0.0000,0,0,0,0,0,0,0.0000,0.4169,0.0000,0
61,1403715526.962142944,4.4605,4.4642,0.0000,0,0,0,0,0,0,0.0000,0.3968,0.0000,0
62,1403715527.012143135,4.5207,4.5245,0.0000,0,0,0,0,0,0,0.0000,0.4068,0.0000,0
63,1403715527.062143087,4.3975,4.4008,0.0000,0,0,0,0,0,0,0.0000,0.3924,0.0000,0
64,1403715527.112143278,4.9177,4.9216,0.0000,0,0,0,0,0,0,0.0000,0.4856,0.0000,0
