verdict	src(scratchpad 相对路径)	size	sha256	dest	note
ARCHIVE	benchfull/sync_prebuild.log	1723	4957f33932afc685616a7d3ef4654e74a3e1ed713ba2d683c465e9c2ca2f6a3f	data/vio_session_archive_2026_09_24_25/benchfull/sync_prebuild.log	
ARCHIVE	benchfull/mirror_all_files.txt	125837	018b241a7d52b76fccc775a0521e4cbe9ac0fc2c6e52c4329d262b9ee656e75b	data/vio_session_archive_2026_09_24_25/benchfull/mirror_all_files.txt	
REGEN	benchfull/build_A2.log	2789388	a56083a1561e0b7cb8f6fe90cae845a49d31de6f4173e400977919bd81bf065e		含签名身份/邮箱的编译日志或补丁头(可重生成,不入库)
ARCHIVE	benchfull/bench_swift_decls.txt	2639	3e9a74d6ea03799f3eb8e5db1c2334f0bd32c25693c3652dbcf99be7099abe8d	data/vio_session_archive_2026_09_24_25/benchfull/bench_swift_decls.txt	
ARCHIVE	benchfull/edit_pbxproj_fullchain.py	8368	eae49daaad5e05f800e7e4cef6f128d8364add02ac52e1270873aed7e033c994	data/vio_session_archive_2026_09_24_25/benchfull/edit_pbxproj_fullchain.py	
ARCHIVE	benchfull/sync_fullchain_section.sh	5979	8f7728e0c2a987828d97e99bde2e68b9923203ba8303311c80bb6e215446db9b	data/vio_session_archive_2026_09_24_25/benchfull/sync_fullchain_section.sh	
REGEN	benchfull/build_A1.log	3694556	44c31cbb36f440294d064de9aa981416baf65bbcede3717439af9d1c81f7d15f		含签名身份/邮箱的编译日志或补丁头(可重生成,不入库)
ARCHIVE	benchfull/wt_mirror.txt	125837	018b241a7d52b76fccc775a0521e4cbe9ac0fc2c6e52c4329d262b9ee656e75b	data/vio_session_archive_2026_09_24_25/benchfull/wt_mirror.txt	
ARCHIVE	benchfull/prod_swift_decls.txt	2028	2c1f5f376e82a85fadf8ed8f64e54ec0dbe1bd7aefcf6359f7f9d1d959079f4b	data/vio_session_archive_2026_09_24_25/benchfull/prod_swift_decls.txt	
REGEN	benchfull/build_B_final.log	3665507	6239f7163b9572d08652ea91349b42e1789909b5d9ff7de1eb0f6ed316cd5845		含签名身份/邮箱的编译日志或补丁头(可重生成,不入库)
