recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
0,254667811665041,0.000000000,0.000000000,-0.000000001,0.720481612339,-0.642877565134,0.090814855707,0.243654149384,254667.811665041
1,254667845001625,0.001892947,-0.002951078,-0.000466587,0.722809722668,-0.639685509642,0.090439802325,0.245294100471,254667.845001625
2,254667878338208,0.005959168,-0.002827942,0.000166798,0.722321347671,-0.639500639639,0.089297758643,0.247622117146,254667.878338208
3,254667911674666,0.010686062,-0.002611250,0.001126322,0.720798950412,-0.640613002480,0.088031580730,0.249628313563,254667.911674666
4,254667945011208,0.015490301,-0.002620846,0.001125050,0.720027321369,-0.640909904098,0.086713291201,0.251547125684,254667.945011208
5,254667978347791,0.020473752,-0.002714962,0.001817387,0.718885047862,-0.641915187590,0.086287884063,0.252395683334,254667.978347791
6,254668011684458,0.025771327,-0.002993710,0.003157231,0.717847373938,-0.643497079362,0.086010013039,0.251413870421,254668.011684458
7,254668045020958,0.031278107,-0.003606733,0.004378479,0.716423089512,-0.645133669958,0.085099741467,0.251592008424,254668.045020958
8,254668078357500,0.033814333,-0.005229276,0.003390675,0.714444572708,-0.646764100798,0.084047660437,0.253379441199,254668.078357500
9,254668111694041,0.038928770,-0.006022029,0.004245846,0.713935134145,-0.647166136930,0.084525257677,0.253629841026,254668.111694041
10,254668145030541,0.044360396,-0.006855979,0.005396900,0.713849304064,-0.647272113840,0.085886128548,0.253143348036,254668.145030541
11,254668178367083,0.050223120,-0.006190877,0.003460485,0.713414426882,-0.646884080266,0.085419922507,0.255507884525,254668.178367083
12,254668211703541,0.055859827,-0.006960957,0.003674412,0.713074968613,-0.646548675862,0.086136823383,0.257059033174,254668.211703541
13,254668245040125,0.061435826,-0.007772014,0.003947573,0.712790093733,-0.645696486335,0.086616608350,0.259815113051,254668.245040125
14,254668278376708,0.069082268,-0.007112566,0.003083935,0.712184317626,-0.645474147532,0.086421639645,0.262083808726,254668.278376708
15,254668311713250,0.074853949,-0.007036407,0.003439662,0.711451168844,-0.646118941643,0.086210727347,0.262555247693,254668.311713250
16,254668345049666,0.081102252,-0.005760093,0.002909453,0.711352777795,-0.646156745122,0.084634790384,0.263240647532,254668.345049666
17,254668378386291,0.086636737,-0.004789174,0.002521280,0.711578821109,-0.645872753948,0.081706566252,0.264249889475,254668.378386291
18,254668411722791,0.091525629,-0.004184469,0.002327832,0.712116427204,-0.644941753524,0.080601722815,0.265412303685,254668.411722791
19,254668445059375,0.096118420,-0.003608893,0.002141627,0.713432182490,-0.643220660330,0.080138884192,0.266194407064,254668.445059375
20,254668478395833,0.097973965,-0.003969997,0.002604428,0.714596703713,-0.641221662261,0.080180327031,0.267875803399,254668.478395833
21,254668511732416,0.101952992,-0.003991157,0.002246656,0.715717621260,-0.639327055485,0.080160432813,0.269413265733,254668.511732416
22,254668545068916,0.103845686,-0.004986207,0.002137168,0.716409210167,-0.637791577710,0.080945872471,0.270975114576,254668.545068916
23,254668578405500,0.107095219,-0.005983371,0.001471434,0.716485223219,-0.636595155543,0.082949469510,0.272974208225,254668.578405500
