#t[s:double],filename[string]
1202152.284466150,1202152284466153.png
1202152.317798500,1202152317798496.png
1202152.351130790,1202152351130788.png
1202152.384463130,1202152384463132.png
1202152.417795420,1202152417795424.png
1202152.451127720,1202152451127715.png
1202152.484460010,1202152484460007.png
1202152.517792350,1202152517792351.png
1202152.551124640,1202152551124642.png
1202152.584456930,1202152584456934.png
1202152.617789280,1202152617789278.png
1202152.651121570,1202152651121569.png
1202152.684453860,1202152684453861.png
1202152.717786150,1202152717786153.png
1202152.751118500,1202152751118496.png
1202152.784450790,1202152784450788.png
1202152.817783130,1202152817783133.png
1202152.851115420,1202152851115423.png
1202152.884447720,1202152884447715.png
1202152.917780010,1202152917780007.png
1202152.951112350,1202152951112351.png
1202152.984444640,1202152984444642.png
1202153.017776930,1202153017776935.png
1202153.051109280,1202153051109278.png
1202153.084441570,1202153084441569.png
1202153.117773860,1202153117773861.png
1202153.151106150,1202153151106153.png
1202153.184438500,1202153184438496.png
1202153.217770790,1202153217770788.png
1202153.251103080,1202153251103080.png
1202153.284435420,1202153284435423.png
1202153.317767720,1202153317767715.png
1202153.351100010,1202153351100007.png
1202153.384432350,1202153384432351.png
1202153.417764640,1202153417764642.png
1202153.451096930,1202153451096934.png
1202153.484429280,1202153484429279.png
1202153.517761570,1202153517761569.png
1202153.551093860,1202153551093861.png
1202153.584426150,1202153584426153.png
1202153.617758500,1202153617758497.png
1202153.651090790,1202153651090789.png
1202153.684423080,1202153684423081.png
1202153.717755420,1202153717755423.png
1202153.751087720,1202153751087715.png
1202153.784420010,1202153784420007.png
1202153.817752350,1202153817752351.png
1202153.851084640,1202153851084642.png
1202153.884416930,1202153884416934.png
1202153.917749280,1202153917749278.png
1202153.951081570,1202153951081569.png
1202153.984413860,1202153984413861.png
1202154.017746150,1202154017746153.png
1202154.051078500,1202154051078496.png
1202154.084410790,1202154084410788.png
1202154.117743130,1202154117743132.png
1202154.151075420,1202154151075423.png
1202154.184407720,1202154184407715.png
1202154.217740010,1202154217740007.png
1202154.251072350,1202154251072351.png
1202154.284404640,1202154284404643.png
1202154.317736930,1202154317736934.png
1202154.351069280,1202154351069278.png
1202154.384401570,1202154384401569.png
1202154.417733860,1202154417733861.png
1202154.451066150,1202154451066153.png
1202154.484398500,1202154484398496.png
1202154.517730790,1202154517730788.png
1202154.551063080,1202154551063080.png
1202154.584395420,1202154584395423.png
1202154.617727720,1202154617727715.png
1202154.651060010,1202154651060007.png
1202154.684392350,1202154684392352.png
1202154.717724640,1202154717724642.png
1202154.751056930,1202154751056934.png
1202154.784389280,1202154784389278.png
1202154.817721570,1202154817721569.png
1202154.851053860,1202154851053862.png
1202154.884386150,1202154884386154.png
1202154.917718500,1202154917718496.png
1202154.951050790,1202154951050788.png
1202154.984383080,1202154984383080.png
1202155.017715420,1202155017715423.png
1202155.051047720,1202155051047715.png
1202155.084380010,1202155084380007.png
1202155.117712350,1202155117712351.png
1202155.151044640,1202155151044642.png
1202155.184376930,1202155184376934.png
1202155.217709280,1202155217709278.png
1202155.251041570,1202155251041569.png
1202155.284373860,1202155284373861.png
1202155.317706150,1202155317706153.png
1202155.351038500,1202155351038496.png
1202155.384370790,1202155384370788.png
1202155.417703080,1202155417703080.png
1202155.451035420,1202155451035423.png
1202155.484367720,1202155484367716.png
1202155.517700010,1202155517700008.png
1202155.551032350,1202155551032351.png
1202155.584364640,1202155584364642.png
1202155.617696930,1202155617696934.png
1202155.651029280,1202155651029278.png
1202155.684361570,1202155684361569.png
1202155.717693860,1202155717693861.png
1202155.751026150,1202155751026153.png
1202155.784358500,1202155784358496.png
1202155.817690790,1202155817690788.png
1202155.851023130,1202155851023132.png
1202155.884355420,1202155884355423.png
1202155.917687720,1202155917687715.png
1202155.951020010,1202155951020007.png
1202155.984352350,1202155984352351.png
1202156.017684640,1202156017684642.png
1202156.051016930,1202156051016934.png
1202156.084349280,1202156084349278.png
1202156.117681570,1202156117681570.png
1202156.151013860,1202156151013862.png
1202156.184346150,1202156184346153.png
1202156.217678500,1202156217678496.png
1202156.251010790,1202156251010788.png
1202156.284343130,1202156284343132.png
1202156.317675420,1202156317675423.png
1202156.351007720,1202156351007715.png
1202156.384340010,1202156384340007.png
1202156.417672350,1202156417672351.png
1202156.451004640,1202156451004642.png
1202156.484336930,1202156484336934.png
1202156.517669280,1202156517669279.png
1202156.551001570,1202156551001569.png
1202156.584333860,1202156584333861.png
1202156.617666150,1202156617666153.png
1202156.650998500,1202156650998496.png
1202156.684330790,1202156684330788.png
1202156.717663080,1202156717663081.png
1202156.750995420,1202156750995424.png
1202156.784327720,1202156784327715.png
1202156.817660010,1202156817660007.png
1202156.850992350,1202156850992351.png
1202156.884324640,1202156884324642.png
1202156.917656930,1202156917656934.png
1202156.950989280,1202156950989278.png
1202156.984321570,1202156984321569.png
1202157.017653860,1202157017653861.png
1202157.050986150,1202157050986153.png
1202157.084318500,1202157084318496.png
1202157.117650790,1202157117650788.png
1202157.150983080,1202157150983080.png
1202157.184315420,1202157184315423.png
1202157.217647720,1202157217647715.png
1202157.250980010,1202157250980007.png
1202157.284312350,1202157284312351.png
1202157.317644640,1202157317644643.png
1202157.350976930,1202157350976935.png
1202157.384309280,1202157384309278.png
1202157.417641570,1202157417641569.png
1202157.450973860,1202157450973861.png
1202157.484306150,1202157484306153.png
1202157.517638500,1202157517638496.png
1202157.550970790,1202157550970788.png
1202157.584303080,1202157584303080.png
1202157.617635420,1202157617635423.png
1202157.650967720,1202157650967715.png
1202157.684300010,1202157684300007.png
1202157.717632350,1202157717632351.png
1202157.750964640,1202157750964642.png
1202157.784296930,1202157784296934.png
1202157.817629280,1202157817629278.png
1202157.850961570,1202157850961569.png
1202157.884293860,1202157884293861.png
1202157.917626150,1202157917626153.png
1202157.950958500,1202157950958497.png
1202157.984290790,1202157984290789.png
1202158.017623130,1202158017623132.png
1202158.050955420,1202158050955423.png
1202158.084287720,1202158084287715.png
1202158.117620010,1202158117620007.png
1202158.150952350,1202158150952351.png
1202158.184284640,1202158184284642.png
1202158.217616930,1202158217616934.png
1202158.250949280,1202158250949278.png
1202158.284281570,1202158284281569.png
1202158.317613860,1202158317613861.png
1202158.350946150,1202158350946153.png
1202158.384278500,1202158384278496.png
1202158.417610790,1202158417610788.png
1202158.450943080,1202158450943080.png
1202158.484275420,1202158484275423.png
1202158.517607720,1202158517607715.png
1202158.550940010,1202158550940007.png
1202158.584272350,1202158584272351.png
1202158.617604640,1202158617604642.png
1202158.650936930,1202158650936934.png
1202158.684269280,1202158684269278.png
1202158.717601570,1202158717601569.png
1202158.750933860,1202158750933861.png
1202158.784266150,1202158784266153.png
1202158.817598500,1202158817598496.png
1202158.850930790,1202158850930788.png
1202158.884263080,1202158884263080.png
1202158.917595420,1202158917595423.png
1202158.950927720,1202158950927715.png
1202158.984260010,1202158984260007.png
1202159.017592350,1202159017592352.png
1202159.050924640,1202159050924642.png
1202159.084256930,1202159084256934.png
1202159.117589280,1202159117589278.png
1202159.150921570,1202159150921569.png
1202159.184253860,1202159184253862.png
1202159.217586150,1202159217586154.png
1202159.250918500,1202159250918496.png
1202159.284250790,1202159284250788.png
1202159.317583130,1202159317583132.png
1202159.350915420,1202159350915423.png
1202159.384247720,1202159384247715.png
1202159.417580010,1202159417580007.png
1202159.450912350,1202159450912351.png
1202159.484244640,1202159484244642.png
1202159.517576930,1202159517576934.png
1202159.550909280,1202159550909278.png
1202159.584241570,1202159584241569.png
1202159.617573860,1202159617573861.png
1202159.650906150,1202159650906153.png
1202159.684238500,1202159684238496.png
1202159.717570790,1202159717570788.png
1202159.750903130,1202159750903132.png
1202159.784235420,1202159784235424.png
1202159.817567720,1202159817567716.png
1202159.850900010,1202159850900008.png
1202159.884232350,1202159884232351.png
