#t[s:double],filename[string]
129876.844074916,129876844074916.png
129876.877400916,129876877400916.png
129876.910727000,129876910727000.png
129876.944053125,129876944053125.png
129876.977379125,129876977379125.png
129877.010705125,129877010705125.png
129877.044031166,129877044031166.png
129877.077357208,129877077357208.png
129877.110683250,129877110683250.png
129877.144009291,129877144009291.png
129877.177335375,129877177335375.png
129877.210661375,129877210661375.png
129877.243987458,129877243987458.png
129877.277313583,129877277313583.png
129877.310639500,129877310639500.png
129877.343965708,129877343965708.png
129877.377291458,129877377291458.png
129877.410617625,129877410617625.png
129877.443943750,129877443943750.png
129877.477269666,129877477269666.png
129877.510595875,129877510595875.png
129877.543921833,129877543921833.png
129877.577247833,129877577247833.png
129877.610573791,129877610573791.png
129877.643899958,129877643899958.png
129877.677226041,129877677226041.png
129877.710552041,129877710552041.png
129877.743878041,129877743878041.png
129877.777204041,129877777204041.png
129877.810530083,129877810530083.png
129877.843856250,129877843856250.png
129877.877182416,129877877182416.png
129877.910508416,129877910508416.png
129877.943834291,129877943834291.png
129877.977160458,129877977160458.png
129878.010486541,129878010486541.png
129878.043812458,129878043812458.png
129878.077138625,129878077138625.png
129878.110464625,129878110464625.png
129878.143790583,129878143790583.png
129878.177116625,129878177116625.png
129878.210442750,129878210442750.png
129878.243768916,129878243768916.png
129878.277094833,129878277094833.png
129878.310420875,129878310420875.png
129878.343746958,129878343746958.png
129878.377073041,129878377073041.png
129878.410399041,129878410399041.png
129878.443725208,129878443725208.png
129878.477051083,129878477051083.png
129878.510377083,129878510377083.png
129878.543703125,129878543703125.png
129878.577029208,129878577029208.png
129878.610355291,129878610355291.png
129878.643681500,129878643681500.png
129878.677007375,129878677007375.png
129878.710333458,129878710333458.png
129878.743659500,129878743659500.png
129878.776985541,129878776985541.png
129878.810311625,129878810311625.png
129878.843637458,129878843637458.png
129878.876963666,129878876963666.png
129878.910289750,129878910289750.png
129878.943616041,129878943616041.png
129878.976942083,129878976942083.png
129879.010268125,129879010268125.png
129879.043593875,129879043593875.png
129879.076920000,129879076920000.png
129879.110246000,129879110246000.png
129879.143572125,129879143572125.png
129879.176898041,129879176898041.png
129879.210224041,129879210224041.png
129879.243550083,129879243550083.png
129879.276876291,129879276876291.png
129879.310202208,129879310202208.png
129879.343528375,129879343528375.png
129879.376854375,129879376854375.png
129879.410180416,129879410180416.png
129879.443506416,129879443506416.png
129879.476832625,129879476832625.png
129879.510158708,129879510158708.png
129879.543484666,129879543484666.png
129879.576810625,129879576810625.png
129879.610136583,129879610136583.png
129879.643462791,129879643462791.png
129879.676788833,129879676788833.png
129879.710114916,129879710114916.png
129879.743441000,129879743441000.png
129879.776766833,129879776766833.png
129879.810092958,129879810092958.png
129879.843418958,129879843418958.png
129879.876745166,129879876745166.png
129879.910071125,129879910071125.png
129879.943397041,129879943397041.png
129879.976723250,129879976723250.png
129880.010049208,129880010049208.png
129880.043375375,129880043375375.png
129880.076701500,129880076701500.png
129880.110027541,129880110027541.png
129880.143353250,129880143353250.png
129880.176679416,129880176679416.png
129880.210005583,129880210005583.png
129880.243331583,129880243331583.png
129880.276657666,129880276657666.png
129880.309983666,129880309983666.png
129880.343309625,129880343309625.png
129880.376635708,129880376635708.png
129880.409961750,129880409961750.png
129880.443287875,129880443287875.png
129880.476614000,129880476614000.png
129880.509939833,129880509939833.png
129880.543266000,129880543266000.png
129880.576592125,129880576592125.png
129880.609918041,129880609918041.png
129880.643244250,129880643244250.png
129880.676570083,129880676570083.png
129880.709896208,129880709896208.png
129880.743222250,129880743222250.png
129880.776548250,129880776548250.png
129880.809874333,129880809874333.png
129880.843200416,129880843200416.png
129880.876526375,129880876526375.png
129880.909852500,129880909852500.png
129880.943178666,129880943178666.png
129880.976504583,129880976504583.png
129881.009830708,129881009830708.png
129881.043156666,129881043156666.png
129881.076482666,129881076482666.png
129881.109808708,129881109808708.png
129881.143134750,129881143134750.png
129881.176460916,129881176460916.png
129881.209787000,129881209787000.png
129881.243112833,129881243112833.png
129881.276438750,129881276438750.png
129881.309765166,129881309765166.png
129881.343091125,129881343091125.png
129881.376417041,129881376417041.png
129881.409743166,129881409743166.png
129881.443069208,129881443069208.png
129881.476395208,129881476395208.png
129881.509721375,129881509721375.png
129881.543047500,129881543047500.png
129881.576373500,129881576373500.png
129881.609699375,129881609699375.png
129881.643025541,129881643025541.png
129881.676351625,129881676351625.png
129881.709677625,129881709677625.png
129881.743003750,129881743003750.png
129881.776329708,129881776329708.png
129881.809655833,129881809655833.png
129881.842981875,129881842981875.png
129881.876308041,129881876308041.png
129881.909634041,129881909634041.png
129881.942960041,129881942960041.png
129881.976285916,129881976285916.png
129882.009612041,129882009612041.png
129882.042938083,129882042938083.png
129882.076264125,129882076264125.png
129882.109590291,129882109590291.png
129882.142916166,129882142916166.png
129882.176242375,129882176242375.png
129882.209568416,129882209568416.png
129882.242894458,129882242894458.png
129882.276220625,129882276220625.png
129882.309546666,129882309546666.png
129882.342872541,129882342872541.png
129882.376198583,129882376198583.png
129882.409524666,129882409524666.png
129882.442850750,129882442850750.png
129882.476176875,129882476176875.png
129882.509502750,129882509502750.png
129882.542828791,129882542828791.png
129882.576154875,129882576154875.png
129882.609481083,129882609481083.png
129882.642807083,129882642807083.png
129882.676133000,129882676133000.png
129882.709459000,129882709459000.png
129882.742785041,129882742785041.png
129882.776111166,129882776111166.png
129882.809437333,129882809437333.png
129882.842763333,129882842763333.png
129882.876089291,129882876089291.png
129882.909415333,129882909415333.png
129882.942741416,129882942741416.png
129882.976067500,129882976067500.png
129883.009393500,129883009393500.png
129883.042719625,129883042719625.png
129883.076045583,129883076045583.png
129883.109371541,129883109371541.png
129883.142697708,129883142697708.png
129883.176023791,129883176023791.png
129883.209349833,129883209349833.png
129883.242675875,129883242675875.png
129883.276001875,129883276001875.png
129883.309327875,129883309327875.png
129883.342654041,129883342654041.png
129883.375980041,129883375980041.png
129883.409306125,129883409306125.png
129883.442632125,129883442632125.png
129883.475958125,129883475958125.png
129883.509284250,129883509284250.png
129883.542610291,129883542610291.png
129883.575936333,129883575936333.png
129883.609262416,129883609262416.png
129883.642588375,129883642588375.png
129883.675914375,129883675914375.png
129883.709240500,129883709240500.png
129883.742566541,129883742566541.png
129883.775892708,129883775892708.png
129883.809218500,129883809218500.png
129883.842544666,129883842544666.png
129883.875870625,129883875870625.png
129883.909196791,129883909196791.png
129883.942522791,129883942522791.png
129883.975848833,129883975848833.png
129884.009174958,129884009174958.png
129884.042501000,129884042501000.png
129884.075827125,129884075827125.png
129884.109153291,129884109153291.png
129884.142479291,129884142479291.png
129884.175805041,129884175805041.png
129884.209131083,129884209131083.png
129884.242457375,129884242457375.png
129884.275783458,129884275783458.png
129884.309109416,129884309109416.png
129884.342435375,129884342435375.png
129884.375761416,129884375761416.png
129884.409087458,129884409087458.png
129884.442413583,129884442413583.png
129884.475739666,129884475739666.png
129884.509065750,129884509065750.png
129884.542391541,129884542391541.png
129884.575717708,129884575717708.png
129884.609043791,129884609043791.png
129884.642370083,129884642370083.png
129884.675696083,129884675696083.png
129884.709021833,129884709021833.png
129884.742347958,129884742347958.png
129884.775674041,129884775674041.png
129884.809000041,129884809000041.png
129884.842326208,129884842326208.png
129884.875652250,129884875652250.png
129884.908977958,129884908977958.png
129884.942304125,129884942304125.png
129884.975630250,129884975630250.png
129885.008956375,129885008956375.png
129885.042282500,129885042282500.png
129885.075608333,129885075608333.png
129885.108934416,129885108934416.png
129885.142260625,129885142260625.png
129885.175586541,129885175586541.png
129885.208912583,129885208912583.png
129885.242238875,129885242238875.png
129885.275564791,129885275564791.png
129885.308890791,129885308890791.png
129885.342216916,129885342216916.png
129885.375542875,129885375542875.png
129885.408868958,129885408868958.png
129885.442194875,129885442194875.png
129885.475521125,129885475521125.png
129885.508847125,129885508847125.png
129885.542173166,129885542173166.png
129885.575499291,129885575499291.png
129885.608825333,129885608825333.png
129885.642151291,129885642151291.png
129885.675477208,129885675477208.png
129885.708803333,129885708803333.png
129885.742129458,129885742129458.png
129885.775455458,129885775455458.png
129885.808781500,129885808781500.png
129885.842107500,129885842107500.png
129885.875433666,129885875433666.png
129885.908759625,129885908759625.png
129885.942085666,129885942085666.png
129885.975411750,129885975411750.png
129886.008737750,129886008737750.png
129886.042063833,129886042063833.png
129886.075389916,129886075389916.png
129886.108716000,129886108716000.png
129886.142041958,129886142041958.png
129886.175367916,129886175367916.png
129886.208694125,129886208694125.png
129886.242020083,129886242020083.png
129886.275346208,129886275346208.png
129886.308672208,129886308672208.png
129886.341998375,129886341998375.png
129886.375324208,129886375324208.png
129886.408650416,129886408650416.png
129886.441976333,129886441976333.png
129886.475302375,129886475302375.png
129886.508628625,129886508628625.png
129886.541954583,129886541954583.png
129886.575280583,129886575280583.png
129886.608606750,129886608606750.png
129886.641932708,129886641932708.png
129886.675258833,129886675258833.png
129886.708584958,129886708584958.png
129886.741910916,129886741910916.png
129886.775236791,129886775236791.png
129886.808562958,129886808562958.png
129886.841889041,129886841889041.png
129886.875215125,129886875215125.png
129886.908541125,129886908541125.png
129886.941867125,129886941867125.png
129886.975193250,129886975193250.png
129887.008519291,129887008519291.png
129887.041845458,129887041845458.png
129887.075171541,129887075171541.png
129887.108497333,129887108497333.png
129887.141823333,129887141823333.png
129887.175149500,129887175149500.png
129887.208475583,129887208475583.png
129887.241801708,129887241801708.png
129887.275127500,129887275127500.png
129887.308453625,129887308453625.png
129887.341779708,129887341779708.png
129887.375105708,129887375105708.png
129887.408431958,129887408431958.png
129887.441758041,129887441758041.png
129887.475083833,129887475083833.png
129887.508410000,129887508410000.png
129887.541736000,129887541736000.png
129887.575062166,129887575062166.png
129887.608388250,129887608388250.png
129887.641714041,129887641714041.png
129887.675040166,129887675040166.png
129887.708366208,129887708366208.png
129887.741692291,129887741692291.png
129887.775018375,129887775018375.png
129887.808344541,129887808344541.png
129887.841670375,129887841670375.png
129887.874996500,129887874996500.png
129887.908322541,129887908322541.png
129887.941648583,129887941648583.png
129887.974974666,129887974974666.png
129888.008300666,129888008300666.png
129888.041626666,129888041626666.png
129888.074952833,129888074952833.png
129888.108278750,129888108278750.png
129888.141604916,129888141604916.png
129888.174931041,129888174931041.png
129888.208256958,129888208256958.png
129888.241582958,129888241582958.png
129888.274909208,129888274909208.png
129888.308235250,129888308235250.png
129888.341561291,129888341561291.png
129888.374887250,129888374887250.png
129888.408213291,129888408213291.png
129888.441539333,129888441539333.png
129888.474865333,129888474865333.png
129888.508191458,129888508191458.png
129888.541517458,129888541517458.png
129888.574843458,129888574843458.png
129888.608169583,129888608169583.png
129888.641495666,129888641495666.png
129888.674821708,129888674821708.png
129888.708147833,129888708147833.png
129888.741473750,129888741473750.png
129888.774799875,129888774799875.png
129888.808125958,129888808125958.png
129888.841452083,129888841452083.png
129888.874778083,129888874778083.png
129888.908104083,129888908104083.png
129888.941430166,129888941430166.png
129888.974756166,129888974756166.png
129889.008082041,129889008082041.png
129889.041408250,129889041408250.png
129889.074734375,129889074734375.png
129889.108060333,129889108060333.png
129889.141386375,129889141386375.png
129889.174712333,129889174712333.png
129889.208038541,129889208038541.png
129889.241364458,129889241364458.png
129889.274690666,129889274690666.png
129889.308016625,129889308016625.png
129889.341342708,129889341342708.png
129889.374668625,129889374668625.png
129889.407994750,129889407994750.png
129889.441320791,129889441320791.png
129889.474646750,129889474646750.png
129889.507972958,129889507972958.png
129889.541298916,129889541298916.png
129889.574625041,129889574625041.png
129889.607951083,129889607951083.png
129889.641277166,129889641277166.png
129889.674603166,129889674603166.png
129889.707929166,129889707929166.png
129889.741255166,129889741255166.png
129889.774581208,129889774581208.png
129889.807907375,129889807907375.png
129889.841233291,129889841233291.png
129889.874559375,129889874559375.png
129889.907885541,129889907885541.png
129889.941211500,129889941211500.png
129889.974537625,129889974537625.png
129890.007863625,129890007863625.png
129890.041189583,129890041189583.png
129890.074515791,129890074515791.png
129890.107841875,129890107841875.png
129890.141167833,129890141167833.png
129890.174493875,129890174493875.png
129890.207819833,129890207819833.png
129890.241145916,129890241145916.png
129890.274472041,129890274472041.png
129890.307798125,129890307798125.png
129890.341124250,129890341124250.png
129890.374450291,129890374450291.png
129890.407776125,129890407776125.png
129890.441102375,129890441102375.png
129890.474428416,129890474428416.png
129890.507754500,129890507754500.png
129890.541080458,129890541080458.png
129890.574406500,129890574406500.png
129890.607732541,129890607732541.png
129890.641058541,129890641058541.png
129890.674384708,129890674384708.png
129890.707710750,129890707710750.png
129890.741036875,129890741036875.png
129890.774362625,129890774362625.png
129890.807688833,129890807688833.png
129890.841014958,129890841014958.png
129890.874340916,129890874340916.png
129890.907667125,129890907667125.png
129890.940992875,129890940992875.png
129890.974318958,129890974318958.png
129891.007645166,129891007645166.png
129891.040971208,129891040971208.png
129891.074297333,129891074297333.png
129891.107623416,129891107623416.png
129891.140949208,129891140949208.png
129891.174275208,129891174275208.png
129891.207601541,129891207601541.png
129891.240927416,129891240927416.png
129891.274253708,129891274253708.png
129891.307579541,129891307579541.png
129891.340905708,129891340905708.png
129891.374231750,129891374231750.png
129891.407557791,129891407557791.png
129891.440883958,129891440883958.png
129891.474209958,129891474209958.png
129891.507535916,129891507535916.png
129891.540861916,129891540861916.png
129891.574188041,129891574188041.png
129891.607514125,129891607514125.png
129891.640840333,129891640840333.png
129891.674166208,129891674166208.png
129891.707492125,129891707492125.png
129891.740818375,129891740818375.png
129891.774144375,129891774144375.png
129891.807470250,129891807470250.png
129891.840796458,129891840796458.png
129891.874122458,129891874122458.png
129891.907448375,129891907448375.png
129891.940774541,129891940774541.png
129891.974100625,129891974100625.png
129892.007426750,129892007426750.png
129892.040752708,129892040752708.png
129892.074078625,129892074078625.png
129892.107404708,129892107404708.png
129892.140730916,129892140730916.png
129892.174057041,129892174057041.png
129892.207382958,129892207382958.png
129892.240709000,129892240709000.png
129892.274035083,129892274035083.png
129892.307361125,129892307361125.png
129892.340687208,129892340687208.png
129892.374013250,129892374013250.png
129892.407339083,129892407339083.png
129892.440665250,129892440665250.png
129892.473991333,129892473991333.png
129892.507317333,129892507317333.png
129892.540643541,129892540643541.png
129892.573969541,129892573969541.png
129892.607295458,129892607295458.png
129892.640621625,129892640621625.png
129892.673947583,129892673947583.png
129892.707273666,129892707273666.png
129892.740599833,129892740599833.png
129892.773925833,129892773925833.png
129892.807251791,129892807251791.png
129892.840577916,129892840577916.png
129892.873903916,129892873903916.png
129892.907230000,129892907230000.png
129892.940556083,129892940556083.png
129892.973882083,129892973882083.png
