#t[s:double],q.x[double],q.y[double],q.z[double],q.w[double],p.x[m:double],p.y[m:double],p.z[m:double]
129876.843704042,0.042741403,0.285732414,0.956738620,-0.034368312,0.737570,0.900129,1.322622
129876.846204042,0.042700250,0.285749876,0.956728805,-0.034557296,0.737519,0.900147,1.322622
129876.848704042,0.042729474,0.285862615,0.956701436,-0.034333909,0.737566,0.900107,1.322632
129876.851204042,0.042709580,0.285892260,0.956693064,-0.034339679,0.737563,0.900095,1.322624
129876.853704042,0.042762761,0.285881853,0.956692472,-0.034371319,0.737568,0.900078,1.322613
129876.856204042,0.042743952,0.286010590,0.956654794,-0.034392803,0.737561,0.900064,1.322612
129876.858704042,0.042660605,0.285997501,0.956661836,-0.034405776,0.737554,0.900045,1.322612
129876.861204042,0.042607968,0.286120429,0.956625646,-0.034454235,0.737564,0.900026,1.322612
129876.863704042,0.042603522,0.286133167,0.956623382,-0.034408302,0.737565,0.899996,1.322613
129876.866204042,0.042530020,0.286168237,0.956614480,-0.034460218,0.737561,0.899977,1.322596
129876.868704042,0.042514970,0.286233998,0.956594957,-0.034475932,0.737563,0.899954,1.322601
129876.871204042,0.042475836,0.286313814,0.956571948,-0.034495282,0.737571,0.899927,1.322588
129876.873704042,0.042370674,0.286326804,0.956570120,-0.034569894,0.737574,0.899900,1.322579
129876.876204042,0.042326876,0.286342184,0.956566737,-0.034600466,0.737581,0.899861,1.322561
129876.878704042,0.042217012,0.286459919,0.956534077,-0.034658292,0.737568,0.899835,1.322551
129876.881204042,0.042056290,0.286536402,0.956516689,-0.034685096,0.737572,0.899803,1.322528
129876.883704042,0.041920422,0.286610851,0.956498713,-0.034740810,0.737572,0.899772,1.322505
129876.886204042,0.041783339,0.286671126,0.956482983,-0.034839646,0.737563,0.899746,1.322491
129876.888704042,0.041599837,0.286791397,0.956453730,-0.034871543,0.737561,0.899713,1.322472
129876.891204042,0.041419623,0.286826729,0.956448394,-0.034942894,0.737560,0.899675,1.322446
129876.893704042,0.041249537,0.286947765,0.956418423,-0.034969799,0.737571,0.899645,1.322417
129876.896204042,0.041037226,0.287079930,0.956383811,-0.035069701,0.737556,0.899611,1.322399
129876.898704042,0.040808683,0.287160368,0.956368621,-0.035120059,0.737546,0.899577,1.322367
129876.901204042,0.040666095,0.287297800,0.956332334,-0.035141955,0.737539,0.899541,1.322339
129876.903704042,0.040393265,0.287349024,0.956324982,-0.035236965,0.737546,0.899503,1.322316
129876.906204042,0.040162977,0.287466283,0.956299790,-0.035230816,0.737535,0.899471,1.322278
129876.908704042,0.039929749,0.287534652,0.956284816,-0.035346238,0.737541,0.899435,1.322245
129876.911204042,0.039738413,0.287649947,0.956256868,-0.035355526,0.737543,0.899394,1.322206
129876.913704042,0.039462514,0.287681368,0.956259682,-0.035356450,0.737532,0.899354,1.322171
129876.916204042,0.039229016,0.287729951,0.956254131,-0.035368588,0.737496,0.899305,1.322128
129876.918704042,0.039046401,0.287838181,0.956226410,-0.035440069,0.737523,0.899286,1.322088
129876.921204042,0.038873244,0.287794299,0.956247306,-0.035416502,0.737526,0.899243,1.322037
129876.923704042,0.038647104,0.287742409,0.956273126,-0.035399454,0.737515,0.899205,1.321986
129876.926204042,0.038427140,0.287753540,0.956278009,-0.035398053,0.737501,0.899170,1.321949
129876.928704042,0.038288080,0.287711195,0.956296288,-0.035422468,0.737505,0.899132,1.321887
