#t[s:double],w.x[rad/s:double],w.y[rad/s:double],w.z[rad/s:double],a.x[m/s^2:double],a.y[m/s^2:double],a.z[m/s^2:double]
129876.840011875,4.405033481e-02,9.496082821e-03,1.255000030e-03,1.075146183e+00,5.489006581e+00,8.055141848e+00
129876.850017875,3.707571364e-02,2.107943121e-02,7.335687791e-03,1.071854156e+00,5.540481917e+00,7.891139034e+00
129876.860023875,3.602566947e-02,4.464598865e-02,1.228355745e-02,1.070357780e+00,5.530306560e+00,7.729380785e+00
129876.870029875,5.280520894e-02,8.597070416e-02,1.156237940e-02,1.058686047e+00,5.463867464e+00,7.680000375e+00
129876.880035875,7.457144000e-02,1.320280753e-01,8.869924327e-03,1.059284597e+00,5.362862081e+00,7.712771011e+00
129876.890041875,9.416058771e-02,1.679794184e-01,1.200286703e-03,1.022473746e+00,5.273229156e+00,7.776067717e+00
129876.900048875,8.447333925e-02,1.743009639e-01,-1.056449373e-02,9.687538467e-01,5.246294388e+00,7.817816608e+00
129876.910054875,4.003103961e-02,1.693597348e-01,-2.117985383e-02,9.458592934e-01,5.258714309e+00,7.830984718e+00
129876.920060875,-1.068699914e-02,1.523767565e-01,-4.240018772e-02,9.802759422e-01,5.189282461e+00,7.849090868e+00
129876.930066875,-5.167943990e-02,1.247307476e-01,-5.396762791e-02,9.724947868e-01,5.134515098e+00,7.989899853e+00
129876.940072875,-5.882017373e-02,9.860886568e-02,-6.236484114e-02,8.824129494e-01,5.154865812e+00,8.160935634e+00
129876.950079875,-2.582547204e-02,8.605792010e-02,-5.591972499e-02,8.185176926e-01,5.179406379e+00,8.351723579e+00
129876.960085875,1.564553877e-02,7.362362097e-02,-4.734674312e-02,7.522282341e-01,5.196016153e+00,8.486995972e+00
129876.970091875,3.383626060e-02,6.525303935e-02,-3.344291170e-02,6.865373260e-01,5.266495464e+00,8.461557580e+00
129876.980097875,1.493314318e-02,5.636580447e-02,-3.018240358e-02,6.494272003e-01,5.362712444e+00,8.352172491e+00
129876.990103875,-3.026948895e-02,3.413639885e-02,-3.003619604e-02,6.326677887e-01,5.432144292e+00,8.268375433e+00
129877.000109875,-7.546333265e-02,8.638229312e-03,-3.414172517e-02,6.205471428e-01,5.441870736e+00,8.236652261e+00
129877.010116875,-8.889498561e-02,-2.189491259e-02,-4.251177416e-02,6.117185242e-01,5.423166035e+00,8.326883736e+00
129877.020122875,-7.170028603e-02,-4.224572437e-02,-4.028403991e-02,6.233902573e-01,5.365854833e+00,8.459761929e+00
129877.030128875,-3.237631569e-02,-5.472689514e-02,-3.597797475e-02,6.328174263e-01,5.337872601e+00,8.525003924e+00
129877.040134875,-5.030711299e-04,-6.733163658e-02,-3.806908883e-02,7.122749939e-01,5.372139613e+00,8.487444885e+00
129877.050140875,1.232324531e-02,-7.800025990e-02,-3.802274983e-02,7.926303871e-01,5.468506229e+00,8.367435527e+00
129877.060146875,2.878078190e-03,-8.134838603e-02,-3.373026679e-02,8.985738106e-01,5.580435157e+00,8.202684525e+00
129877.070153875,-1.934546847e-02,-7.399752878e-02,-2.308135085e-02,1.029357076e+00,5.656002147e+00,8.066514306e+00
129877.080159875,-4.175357220e-02,-5.257479466e-02,-1.357226786e-02,1.116895074e+00,5.660790550e+00,7.982118697e+00
129877.090165875,-5.993950034e-02,-3.110385732e-02,-5.133509317e-03,1.163881282e+00,5.631162305e+00,7.959972332e+00
129877.100171875,-6.238135274e-02,-1.868473821e-03,5.273058958e-05,1.185429097e+00,5.591508340e+00,7.974337542e+00
129877.110177875,-5.927504165e-02,7.952465331e-03,7.469900542e-03,1.195754092e+00,5.565172121e+00,8.124573696e+00
129877.120184875,-4.741758321e-02,-5.947637662e-03,1.393658830e-02,1.145326219e+00,5.549609811e+00,8.263138117e+00
129877.130190875,-3.342027484e-02,-2.307975295e-02,1.828419878e-02,1.186626198e+00,5.539883366e+00,8.388384792e+00
129877.140196875,-3.625334560e-02,-5.019073285e-02,1.842641158e-02,1.239747547e+00,5.494543172e+00,8.457218089e+00
129877.150202875,-4.120389575e-02,-7.842130567e-02,1.644155762e-02,1.296160924e+00,5.444264938e+00,8.406191666e+00
129877.160208875,-4.000334273e-02,-9.687195202e-02,4.797418388e-03,1.413776080e+00,5.361814618e+00,8.406341304e+00
129877.170214875,-4.503378772e-02,-1.251531249e-01,-7.858722061e-03,1.451933669e+00,5.294926609e+00,8.427739481e+00
129877.180221875,-4.299220843e-02,-1.295388186e-01,-2.491200778e-02,1.428739841e+00,5.218012881e+00,8.361150748e+00
129877.190227875,-4.196982088e-02,-1.382793133e-01,-4.407638131e-02,1.455973885e+00,5.178358916e+00,8.335263442e+00
129877.200233875,-4.105609031e-02,-1.383570776e-01,-6.328549593e-02,1.401655434e+00,5.150675959e+00,8.321047870e+00
129877.210239875,-2.664439407e-02,-1.176826917e-01,-8.154412837e-02,1.352723938e+00,5.110423444e+00,8.288127597e+00
129877.220245875,4.354268382e-04,-9.249691098e-02,-9.556620414e-02,1.271620357e+00,5.088725991e+00,8.292616725e+00
129877.230251875,3.703471707e-02,-6.282450275e-02,-1.021479405e-01,1.187374386e+00,5.057751007e+00,8.237999000e+00
129877.240258875,9.985202928e-02,-1.331287597e-02,-1.056489320e-01,1.142034192e+00,5.003881470e+00,8.279298978e+00
129877.250264875,1.735922967e-01,9.265936381e-03,-1.079509685e-01,1.045667575e+00,4.962880766e+00,8.355614156e+00
129877.260270875,2.453940492e-01,1.774118023e-02,-1.101787027e-01,8.951321457e-01,4.960636202e+00,8.394819209e+00
129877.270276875,2.908315721e-01,1.610759722e-02,-1.187389014e-01,8.405144203e-01,5.002684369e+00,8.362497486e+00
129877.280282875,2.679387731e-01,-1.778379081e-02,-1.249507247e-01,8.026561066e-01,5.102492651e+00,8.201188149e+00
