cap_id	date_utc	build_stamp	source	fed	reg	interval_s	gauge_frames	gauge_dt_s	gauge_base_mm	gauge_lever_mm	final_over_dev_robust	final_over_dev_all	pairwise_median	live_over_dev	live_stage	final_over_live	rms_mm	n_outlier	extent_m	dir
cap_1784792081923324	2026-07-23		device-backups/PocketWorld/com.kyle.PocketWorld_20260723T2148_ratio08_preupdate	25	25	2.00	0-1	1.87	70	70	1.1082	1.1082	1.0979				12.0	0	0.23	/Users/kaidongwang/Developer/device-backups/PocketWorld/com.kyle.PocketWorld_20260723T2148_ratio08_preupdate/Documents/captures_official/cap_1784792081923324
cap_1784802118882656	2026-07-23		device-backups/PocketWorld/com.kyle.PocketWorld_20260723T2148_ratio08_preupdate	28	28	2.20	0-1	2.33	81	76	0.9886	0.9886	0.9885				4.6	0	0.26	/Users/kaidongwang/Developer/device-backups/PocketWorld/com.kyle.PocketWorld_20260723T2148_ratio08_preupdate/Documents/captures_official/cap_1784802118882656
cap_1784809021393372	2026-07-23		device-backups/PocketWorld/com.kyle.PocketWorld_20260723T2148_ratio08_preupdate	38	38	3.00	0-1	1.40	77	77	0.9524	0.9524	0.9530				5.7	0	0.26	/Users/kaidongwang/Developer/device-backups/PocketWorld/com.kyle.PocketWorld_20260723T2148_ratio08_preupdate/Documents/captures_official/cap_1784809021393372
cap_1784814888131788	2026-07-23		device_backups/2026-07-24_0124_preupdate	41	41	2.90	0-1	2.07	73	69	0.9729	0.9729	0.9731				3.5	0	0.25	/Users/kaidongwang/Developer/pocketworld_artifacts/device_backups/2026-07-24_0124_preupdate/Documents/captures_official/cap_1784814888131788
cap_1784820775062947	2026-07-23		device_backups/2026-07-24_0124_preupdate	50	50	3.20	0-1	2.21	57	56	0.9484	0.9444	0.9493				6.7	1	0.27	/Users/kaidongwang/Developer/pocketworld_artifacts/device_backups/2026-07-24_0124_preupdate/Documents/captures_official/cap_1784820775062947
cap_1784830836808715	2026-07-23		device_backups/2026-07-24_0240_pre_badge_update	50	50	2.63	0-1	2.67	40	40	1.0784	1.0784	1.0785				4.6	0	0.21	/Users/kaidongwang/Developer/pocketworld_artifacts/device_backups/2026-07-24_0240_pre_badge_update/Documents/captures_official/cap_1784830836808715
cap_1786007894149778	2026-08-06	Aug  6 2026 16:54:17	_artifacts.nosync/batch5_install_20260808	170	170	2.07	0-1	2.00	91	68	1.0170	1.0170	1.0157				22.0	2	2.16	/Users/kaidongwang/Documents/progecttwo/_artifacts.nosync/batch5_install_20260808/backup_before/Documents/captures_official/cap_1786007894149778
cap_1786013666212373	2026-08-06	Aug  6 2026 16:54:17	_artifacts.nosync/batch5_install_20260808	154	154	1.80	0-1	2.40	141	87	0.9127	0.9011	0.9116				14.6	5	2.16	/Users/kaidongwang/Documents/progecttwo/_artifacts.nosync/batch5_install_20260808/backup_before/Documents/captures_official/cap_1786013666212373
cap_1786020085583950	2026-08-06	Aug  6 2026 20:20:31	_artifacts.nosync/batch5_install_20260808	141	141	1.75	0-1	2.60	251	245	0.9381	0.9381	0.9394				16.7	0	2.01	/Users/kaidongwang/Documents/progecttwo/_artifacts.nosync/batch5_install_20260808/backup_before/Documents/captures_official/cap_1786020085583950
cap_1786071183652291	2026-08-07	Aug  6 2026 23:13:53	_artifacts.nosync/batch5_install_20260808	200	200	2.10	0-1	6.93	155	127	0.9825	0.9825	0.9820				12.6	0	2.19	/Users/kaidongwang/Documents/progecttwo/_artifacts.nosync/batch5_install_20260808/backup_before/Documents/captures_official/cap_1786071183652291
