recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.002020677,-0.131557441,0.069594486,-0.158127839,0.842669330,0.077786692,0.508776248,254668.082357500
40,254668111694041,0.001747975,-0.136416880,0.068494468,-0.157593606,0.842952509,0.078512411,0.508361267,254668.115694041
41,254668145030541,0.001303193,-0.141256209,0.067439141,-0.156842398,0.843190485,0.078380104,0.508219323,254668.149030541
42,254668178367083,0.000791027,-0.147799653,0.065845841,-0.156889079,0.843730615,0.078062037,0.507356716,254668.182367083
43,254668211703541,0.000503898,-0.152718946,0.064555047,-0.156938921,0.844239966,0.078208650,0.506470646,254668.215703541
44,254668245040125,0.000444039,-0.157683784,0.063275627,-0.157562814,0.844936366,0.078539465,0.505062474,254668.249040125
45,254668278376708,-0.000652340,-0.164681421,0.063533279,-0.158353995,0.845636402,0.079328425,0.503517767,254668.282376708
46,254668311713250,-0.000914090,-0.169586222,0.062878243,-0.158334479,0.845730712,0.080234027,0.503221928,254668.315713250
47,254668345049666,-0.001302276,-0.175883140,0.062589437,-0.159603967,0.844747502,0.081940109,0.504196493,254668.349049666
48,254668378386291,-0.001506228,-0.180298783,0.062648567,-0.160977680,0.844014935,0.083221067,0.504776469,254668.382386291
49,254668411722791,-0.001672094,-0.184575246,0.062765140,-0.162628662,0.843530148,0.083628766,0.504990189,254668.415722791
50,254668445059375,-0.001842924,-0.189956263,0.062764034,-0.165199871,0.843180521,0.083184690,0.504812809,254668.449059375
51,254668478395833,-0.001866325,-0.193740280,0.062761232,-0.167142282,0.843367487,0.082794928,0.503924391,254668.482395833
52,254668511732416,-0.001898128,-0.197541369,0.062394598,-0.169181666,0.843400255,0.082063059,0.503308336,254668.515732416
53,254668545068916,-0.001939469,-0.202484747,0.061359395,-0.171048491,0.844123210,0.081611044,0.501535753,254668.549068916
54,254668578405500,-0.001731763,-0.206131049,0.060446131,-0.172111854,0.845105207,0.080816749,0.499643278,254668.582405500
55,254668611741875,-0.001381474,-0.209878343,0.058974694,-0.173193637,0.846286926,0.080712668,0.497280526,254668.615741875
56,254668645078458,-0.000989234,-0.214765121,0.056821155,-0.174815880,0.848621307,0.080125537,0.492809534,254668.649078458
57,254668678414916,-0.000730169,-0.218515352,0.055731319,-0.175118357,0.849961382,0.078333456,0.490676199,254668.682414916
58,254668711751458,-0.001030444,-0.222326047,0.054877008,-0.175600826,0.850379265,0.077565879,0.489901055,254668.715751458
