recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.001375561,-0.126225845,0.065737569,-0.157844065,0.842706099,0.077429785,0.508857901,254668.086357500
40,254668111694041,0.000954341,-0.132440643,0.064260914,-0.157006136,0.843142311,0.078005317,0.508306345,254668.119694041
41,254668145030541,0.000515026,-0.137084897,0.063160131,-0.156451082,0.843310184,0.077897675,0.508215504,254668.153030541
42,254668178367083,0.000150010,-0.141811447,0.061942263,-0.156535839,0.843761034,0.077671255,0.507475199,254668.186367083
43,254668211703541,-0.000158090,-0.148111813,0.060205217,-0.156770467,0.844513592,0.077901385,0.506113861,254668.219703541
44,254668245040125,-0.000164431,-0.152889604,0.058954695,-0.157553855,0.845167577,0.078470561,0.504688987,254668.253040125
45,254668278376708,-0.000127643,-0.159793876,0.061291145,-0.158153040,0.845735407,0.079083105,0.503453228,254668.286376708
46,254668311713250,-0.000403382,-0.166085513,0.060565539,-0.158219605,0.845639670,0.080340660,0.503394017,254668.319713250
47,254668345049666,-0.000618089,-0.170637662,0.060442284,-0.159315941,0.844865276,0.081706957,0.504128083,254668.353049666
48,254668378386291,-0.000733342,-0.174898420,0.060554187,-0.160725034,0.844100017,0.083001716,0.504750823,254668.386386291
49,254668411722791,-0.000833552,-0.180339173,0.060745438,-0.163037008,0.843508359,0.083241646,0.504958873,254668.419722791
50,254668445059375,-0.000850416,-0.184177663,0.060760379,-0.164948762,0.843274822,0.083016552,0.504765079,254668.453059375
51,254668478395833,-0.000775616,-0.187805956,0.060826866,-0.166907318,0.843430533,0.082570608,0.503933558,254668.486395833
52,254668511732416,-0.000675570,-0.192631856,0.060322193,-0.169604563,0.843537389,0.081729482,0.502990369,254668.519732416
53,254668545068916,-0.000601464,-0.196161146,0.059557325,-0.170828862,0.844202605,0.081395851,0.501511943,254668.553068916
54,254668578405500,-0.000230781,-0.199681858,0.058716131,-0.171881629,0.845168995,0.080657255,0.499640407,254668.586405500
55,254668611741875,0.000404113,-0.204445511,0.056784756,-0.173360700,0.846927054,0.080686516,0.496135437,254668.619741875
56,254668645078458,0.000813360,-0.207941559,0.055235404,-0.174544486,0.848694466,0.079958462,0.492806882,254668.653078458
57,254668678414916,0.001255041,-0.211584725,0.054229081,-0.174911648,0.850086943,0.078280389,0.490540864,254668.686414916
58,254668711751458,0.001027120,-0.216518931,0.053305597,-0.175563415,0.850367313,0.077543010,0.489938828,254668.719751458
59,254668745088000,0.000656182,-0.220380429,0.053093925,-0.176762434,0.849864541,0.077436598,0.490396707,254668.753088000
60,254668778424458,0.000719913,-0.224216208,0.053278535,-0.177942723,0.849425325,0.078186905,0.490611726,254668.786424458
