recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.004981297,-0.132169064,0.071848047,-0.158691113,0.843309464,0.078374820,0.507448244,254668.083357500
40,254668111694041,0.004912557,-0.137164334,0.070729902,-0.158156386,0.843628586,0.079087110,0.506974013,254668.116694041
41,254668145030541,0.004612788,-0.143789652,0.069251983,-0.157309220,0.843952658,0.078804876,0.506742109,254668.150030541
42,254668178367083,0.004666155,-0.148443930,0.068185809,-0.157590218,0.844602506,0.078365188,0.505639081,254668.183367083
43,254668211703541,0.004611415,-0.153386527,0.066861641,-0.157651303,0.845125583,0.078531335,0.504719426,254668.216703541
44,254668245040125,0.004919857,-0.159978096,0.065090054,-0.158631149,0.846036264,0.079191424,0.502779843,254668.250040125
45,254668278376708,0.002277715,-0.162932672,0.063990902,-0.158942913,0.846178826,0.079336856,0.502418413,254668.283376708
46,254668311713250,0.002390141,-0.167788158,0.063246158,-0.158937530,0.846264096,0.080267658,0.502128566,254668.316713250
47,254668345049666,0.002460501,-0.174077947,0.062898170,-0.160258196,0.845269655,0.082015480,0.503100423,254668.350049666
48,254668378386291,0.002181526,-0.178285599,0.063411944,-0.161588637,0.844377497,0.083413504,0.503942453,254668.383386291
49,254668411722791,0.002270673,-0.182491151,0.063706206,-0.163259740,0.843903417,0.083796207,0.504134436,254668.416722791
50,254668445059375,0.002447348,-0.187777439,0.063978618,-0.165838787,0.843581142,0.083366835,0.503903144,254668.450059375
51,254668478395833,0.002843996,-0.191283567,0.063652469,-0.168093525,0.843822029,0.082721891,0.502857924,254668.483395833
52,254668511732416,0.003081322,-0.194860060,0.063419869,-0.170141078,0.843856788,0.082007883,0.502227534,254668.516732416
53,254668545068916,0.003479101,-0.199490667,0.062533816,-0.171969124,0.844620705,0.081571273,0.500388515,254668.550068916
54,254668578405500,0.004103926,-0.203174889,0.061534382,-0.173093133,0.845657645,0.080791924,0.498371982,254668.583405500
55,254668611741875,0.004744337,-0.206697709,0.060117759,-0.174178230,0.846859510,0.080731892,0.495956983,254668.616741875
56,254668645078458,0.005775801,-0.211293729,0.057944682,-0.175805041,0.849210437,0.080098000,0.491445404,254668.650078458
57,254668678414916,0.006991326,-0.215083350,0.056717880,-0.175976695,0.850774793,0.078479956,0.488932925,254668.683414916
58,254668711751458,0.007395685,-0.218623646,0.055649239,-0.176475636,0.851168793,0.077769439,0.488180298,254668.716751458
59,254668745088000,0.007660464,-0.223538872,0.055003186,-0.178012127,0.850499320,0.077875841,0.488771926,254668.750088000
60,254668778424458,0.007869788,-0.227661566,0.056218426,-0.179015266,0.849780057,0.078635154,0.489534426,254668.783424458
61,254668811761083,0.007996989,-0.231464227,0.056306647,-0.179823956,0.849645521,0.078160364,0.489547590,254668.816761083
62,254668845097625,0.008076100,-0.236564836,0.056461183,-0.181554364,0.849015135,0.078031081,0.490022976,254668.850097625
63,254668878434083,0.012208583,-0.237566478,0.064894600,-0.183715911,0.849031952,0.079274686,0.488987510,254668.883434083
64,254668911770625,0.012275290,-0.241147339,0.065034973,-0.184574833,0.848641298,0.080436135,0.489152491,254668.916770625
65,254668945107041,0.012490403,-0.246131885,0.064861770,-0.185595355,0.847960025,0.081538249,0.489764972,254668.950107041
66,254668978443541,0.013048235,-0.250329851,0.063899088,-0.185639231,0.847951877,0.082875280,0.489537978,254668.983443541
67,254669011780041,0.013523817,-0.255431966,0.062722213,-0.185664845,0.848302513,0.084387534,0.488661650,254669.016780041
68,254669045116583,0.014188192,-0.259320071,0.061421701,-0.186185730,0.848141084,0.086647422,0.488348086,254669.050116583
69,254669078453041,0.021201963,-0.266828660,0.067685642,-0.187040201,0.848989279,0.089625109,0.486004692,254669.083453041
70,254669111789583,0.022496164,-0.271713389,0.065761884,-0.187549112,0.848463299,0.091560643,0.486366181,254669.116789583
71,254669145126208,0.023658246,-0.275360372,0.064094661,-0.188075040,0.847884479,0.094255410,0.486657642,254669.150126208
72,254669178462708,0.024943043,-0.279064680,0.062280501,-0.188861184,0.846966217,0.097321155,0.487348260,254669.183462708
73,254669211799166,0.027679325,-0.284404498,0.059203103,-0.191068950,0.846003340,0.101436831,0.487320867,254669.216799166
74,254669245135625,0.030208502,-0.288648472,0.056466303,-0.192126574,0.846096011,0.104321622,0.486133698,254669.250135625
75,254669278472083,0.039390745,-0.292761655,0.054286208,-0.193372199,0.847192729,0.107142079,0.483106925,254669.283472083
76,254669311808625,0.044820011,-0.299422260,0.049414239,-0.195703489,0.848346501,0.109678128,0.479561384,254669.316808625
77,254669345145041,0.049189907,-0.304467137,0.045432205,-0.197992225,0.849393531,0.111503489,0.476336786,254669.350145041
78,254669378481666,0.056675385,-0.307334939,0.041742225,-0.200634413,0.851267303,0.112695006,0.471582125,254669.383481666
79,254669411818083,0.063033150,-0.313377317,0.036050265,-0.203580514,0.852703430,0.114182898,0.467348001,254669.416818083
80,254669445154666,0.067740033,-0.317723376,0.031664183,-0.205465249,0.852827479,0.116912650,0.465618737,254669.450154666
81,254669478491041,0.072140785,-0.320397376,0.027968207,-0.207722577,0.852702463,0.119453760,0.464198980,254669.483491041
82,254669511827666,0.078079922,-0.326259801,0.022535622,-0.209986353,0.853066297,0.123117886,0.461547033,254669.516827666
83,254669545163958,0.082711987,-0.330651360,0.018226854,-0.211257892,0.853731040,0.125919863,0.458974570,254669.550163958
84,254669578500666,0.087257057,-0.335037112,0.013687788,-0.212284526,0.854797224,0.127688133,0.456018398,254669.583500666
85,254669611837125,0.093595300,-0.341314300,0.007711636,-0.213578833,0.856520748,0.129676600,0.451597524,254669.616837125
86,254669645173666,0.098137078,-0.346003876,0.003333006,-0.214353550,0.857705135,0.130222263,0.448816971,254669.650173666
87,254669678510000,0.101580583,-0.350781847,0.000086295,-0.215119641,0.858326146,0.130869134,0.447071684,254669.683510000
88,254669711846666,0.106472261,-0.356657230,-0.004899339,-0.215536790,0.857841863,0.133265060,0.447092503,254669.716846666
89,254669745183041,0.109899535,-0.360958084,-0.008308466,-0.216350095,0.857515502,0.135472193,0.446662219,254669.750183041
90,254669778519583,0.111629574,-0.364856232,-0.011611908,-0.217100311,0.856457367,0.137988697,0.447557155,254669.783519583
91,254669811855958,0.115918306,-0.369671839,-0.016131751,-0.218175520,0.855513386,0.142181290,0.447527455,254669.816855958
92,254669845192583,0.119072090,-0.373063677,-0.019312550,-0.220317477,0.854866035,0.144617519,0.446934110,254669.850192583
93,254669878529083,0.122074004,-0.376285719,-0.022446825,-0.222211609,0.854406522,0.146935868,0.446118146,254669.883529083
94,254669911865625,0.125998719,-0.380118733,-0.026090684,-0.224741747,0.853820030,0.148667998,0.445399127,254669.916865625
95,254669945201958,0.128735685,-0.382987520,-0.028479723,-0.227244448,0.853428695,0.149608440,0.444563597,254669.950201958
96,254669978538583,0.130990707,-0.385586703,-0.030501993,-0.229708876,0.852942454,0.150294172,0.443998557,254669.983538583
97,254670011874916,0.134037606,-0.389082549,-0.033096298,-0.232329071,0.852042040,0.151286313,0.444027105,254670.016874916
98,254670045211500,0.136374661,-0.391848481,-0.034760044,-0.234998208,0.850982253,0.151800580,0.444479117,254670.050211500
99,254670078548083,0.138852607,-0.391203557,-0.034258233,-0.238491767,0.849084243,0.151754995,0.446260126,254670.083548083
100,254670111884541,0.141877057,-0.393925323,-0.035532512,-0.241573812,0.847696165,0.151924934,0.447182483,254670.116884541
101,254670145220916,0.145325845,-0.396863586,-0.037114202,-0.245132004,0.845963996,0.152858700,0.448206972,254670.150220916
102,254670178557583,0.151342577,-0.401083410,-0.040584817,-0.250367218,0.844246960,0.154890562,0.447852982,254670.183557583
103,254670211893916,0.155724430,-0.404054764,-0.043267828,-0.254335831,0.843660677,0.154991956,0.446685005,254670.216893916
104,254670245230500,0.160459427,-0.406883107,-0.046273918,-0.257908424,0.843915792,0.155302355,0.444038976,254670.250230500
105,254670278567083,0.167182157,-0.406655479,-0.046955702,-0.262692891,0.844705516,0.155646985,0.439589701,254670.283567083
106,254670311903375,0.172334162,-0.408801507,-0.049691229,-0.266539759,0.843954375,0.157333764,0.438113809,254670.316903375
107,254670345240000,0.177410768,-0.410861932,-0.051909935,-0.270570219,0.843152361,0.157760004,0.437032821,254670.350240000
108,254670378576458,0.186039679,-0.413034978,-0.052524180,-0.274868424,0.842887645,0.157102694,0.435093742,254670.383576458
109,254670411913000,0.190979050,-0.415062556,-0.054265543,-0.278060361,0.842811511,0.156262934,0.433512561,254670.416913000
110,254670445249416,0.196086828,-0.417074128,-0.056121157,-0.281539757,0.843184659,0.154999092,0.430987622,254670.450249416
111,254670478585916,0.203717886,-0.419956652,-0.059960784,-0.286658077,0.843032443,0.155666258,0.427658177,254670.483585916
112,254670511922416,0.208992152,-0.421740050,-0.062128112,-0.290396193,0.842262707,0.156870543,0.426210359,254670.516922416
113,254670545258916,0.214136320,-0.423753994,-0.064251719,-0.294310047,0.840809504,0.159360401,0.425470669,254670.550258916
114,254670578595416,0.220355088,-0.426459098,-0.067701242,-0.299861376,0.837567902,0.164261887,0.426123516,254670.583595416
115,254670611931875,0.224906836,-0.428582523,-0.069916938,-0.303037703,0.835835696,0.166661377,0.426345961,254670.616931875
116,254670645268375,0.229437903,-0.430851033,-0.072242873,-0.306521945,0.833784647,0.169429934,0.426779815,254670.650268375
117,254670678604958,0.235579866,-0.433406935,-0.076109630,-0.312060325,0.830992563,0.172688321,0.426905739,254670.683604958
118,254670711941458,0.240022879,-0.435518313,-0.078639553,-0.316731184,0.829094757,0.174450096,0.426439279,254670.716941458
119,254670745277833,0.244469219,-0.437477280,-0.081147073,-0.321882854,0.826183044,0.176424315,0.427419606,254670.750277833
120,254670778614375,0.250514889,-0.439985456,-0.083948262,-0.332673016,0.821353430,0.178417188,0.427638361,254670.783614375
121,254670811950875,0.254650360,-0.441479407,-0.085946640,-0.339863947,0.818330728,0.179889426,0.427161754,254670.816950875
122,254670845287416,0.258878873,-0.442696810,-0.087810931,-0.346297866,0.815187566,0.181005637,0.427532495,254670.850287416
123,254670878623958,0.264881585,-0.444521078,-0.089077465,-0.354140308,0.810671867,0.182817380,0.428921468,254670.883623958
124,254670911960333,0.269049093,-0.446150602,-0.090731758,-0.358299420,0.808452073,0.182980529,0.429586953,254670.916960333
125,254670945296791,0.273320123,-0.447828183,-0.092838253,-0.360432564,0.807452257,0.184203832,0.429159901,254670.950296791
126,254670978633291,0.279303566,-0.449815387,-0.095766686,-0.361995459,0.808149015,0.184278762,0.426492494,254670.983633291
127,254671011969833,0.284416539,-0.451811780,-0.099156852,-0.363081783,0.809587559,0.183608401,0.423116545,254671.016969833
128,254671045306250,0.291753391,-0.454174071,-0.104159891,-0.365405123,0.809767959,0.184735459,0.420271118,254671.050306250
129,254671078642791,0.298331703,-0.454734797,-0.107284122,-0.365638150,0.810926166,0.186664017,0.416970136,254671.083642791
130,254671111979208,0.304553357,-0.456754820,-0.111117558,-0.366262924,0.812377912,0.188001033,0.412976106,254671.116979208
131,254671145315833,0.312845420,-0.459016258,-0.116330419,-0.366025334,0.815476157,0.186341576,0.407800150,254671.150315833
132,254671178652166,0.318942088,-0.459630720,-0.120362997,-0.365489106,0.817463748,0.187441112,0.403777930,254671.183652166
133,254671211988666,0.325088869,-0.460953209,-0.124388838,-0.365630578,0.818355205,0.188650852,0.401272909,254671.216988666
134,254671245325208,0.333445484,-0.462497938,-0.129432010,-0.366900496,0.819073496,0.189508729,0.398232506,254671.250325208
135,254671278661833,0.338134207,-0.462801063,-0.132823275,-0.368299262,0.818675401,0.191672375,0.396721560,254671.283661833
136,254671311998208,0.344692247,-0.463258673,-0.136472752,-0.370110761,0.818778073,0.192989452,0.394177138,254671.316998208
137,254671345334541,0.353864574,-0.463657721,-0.141148060,-0.374105582,0.817772844,0.194971949,0.391508087,254671.350334541
138,254671378671041,0.358101525,-0.464443599,-0.145313301,-0.377959086,0.816429985,0.195688864,0.390249832,254671.383671041
139,254671412007708,0.364951307,-0.464491833,-0.148558026,-0.381869837,0.815168363,0.197399217,0.388213304,254671.417007708
140,254671445344083,0.373826222,-0.464384092,-0.152715687,-0.386427177,0.812207497,0.200917972,0.388104419,254671.450344083
141,254671478680541,0.377680335,-0.464612991,-0.155793079,-0.389391456,0.810776519,0.204110804,0.386464182,254671.483680541
142,254671512017125,0.383790376,-0.464807035,-0.158458097,-0.392551142,0.809072267,0.207254803,0.385163819,254671.517017125
143,254671545353625,0.391922420,-0.464914836,-0.161756056,-0.396254985,0.806013205,0.211206372,0.385637942,254671.550353625
144,254671578690083,0.394808389,-0.463905178,-0.162228322,-0.398218258,0.804199701,0.213827540,0.385957117,254671.583690083
145,254671612026500,0.400324453,-0.464149384,-0.164167423,-0.400863178,0.801953769,0.217326707,0.385937847,254671.617026500
146,254671645363041,0.407629176,-0.464700794,-0.166881865,-0.403942208,0.800910823,0.217843234,0.384599694,254671.650363041
147,254671678699458,0.411235194,-0.465238274,-0.168426333,-0.404869094,0.800060301,0.220240345,0.384029653,254671.683699458
148,254671712036000,0.416077664,-0.465854800,-0.170841511,-0.405801780,0.798817277,0.222913132,0.384090694,254671.717036000
149,254671745372500,0.421720090,-0.466972143,-0.173771743,-0.406986076,0.797696688,0.225513204,0.383648505,254671.750372500
150,254671778709041,0.421995836,-0.466850231,-0.173661198,-0.406727610,0.797796463,0.227256448,0.382685268,254671.783709041
151,254671812045458,0.425310699,-0.467319307,-0.175813616,-0.407241089,0.798239080,0.227450071,0.381097867,254671.817045458
152,254671845382000,0.429605803,-0.467858323,-0.178879373,-0.408433380,0.799558555,0.226886033,0.377373915,254671.850382000
153,254671878718458,0.432874609,-0.467238878,-0.181223120,-0.410145737,0.800934066,0.225488943,0.373416506,254671.883718458
154,254671912054875,0.436122433,-0.467554117,-0.183981506,-0.412195336,0.803129106,0.222203526,0.368380632,254671.917054875
155,254671945391375,0.440696886,-0.468088698,-0.188147699,-0.415770699,0.806656659,0.215742991,0.360409177,254671.950391375
156,254671978727833,0.446284732,-0.467628157,-0.193019415,-0.420178498,0.805977580,0.213803345,0.357964180,254671.983727833
157,254672012064208,0.450231209,-0.467990753,-0.196055026,-0.425919237,0.801589147,0.215464119,0.360031817,254672.017064208
158,254672045400833,0.454980194,-0.469354429,-0.199087319,-0.432493576,0.793682831,0.219718786,0.367070265,254672.050400833
159,254672078737375,0.457590253,-0.471383244,-0.200931282,-0.437704548,0.789414447,0.219563980,0.370177351,254672.083737375
160,254672112073875,0.461935926,-0.473870185,-0.203808572,-0.442119388,0.788124722,0.217618874,0.368825091,254672.117073875
161,254672145410291,0.465309610,-0.475471557,-0.206008443,-0.445439121,0.786994671,0.216560361,0.367865520,254672.150410291
162,254672178746750,0.469813408,-0.476388599,-0.208227225,-0.448193929,0.785574876,0.216282183,0.367717808,254672.183746750
163,254672212083250,0.475027160,-0.479048154,-0.210302320,-0.452628261,0.781056018,0.219839072,0.369797228,254672.217083250
164,254672245419666,0.479093700,-0.481398751,-0.211629957,-0.456348178,0.778033962,0.221569255,0.370562563,254672.250419666
165,254672278756208,0.483624844,-0.484118345,-0.213519733,-0.459868137,0.775309809,0.221956000,0.371687482,254672.283756208
166,254672312092666,0.489439204,-0.487660390,-0.215590277,-0.465009131,0.773020531,0.220820913,0.370734330,254672.317092666
167,254672345429208,0.493879571,-0.490514633,-0.217132387,-0.468172731,0.770803389,0.222253291,0.370513100,254672.350429208
168,254672378765750,0.496305798,-0.493246098,-0.216902064,-0.470942016,0.768738354,0.222877586,0.370918584,254672.383765750
169,254672412102083,0.502088813,-0.497623407,-0.218016040,-0.475465579,0.764912288,0.223710646,0.372552379,254672.417102083
170,254672445438541,0.506436497,-0.501012958,-0.218553376,-0.477634492,0.762464124,0.224362706,0.374399761,254672.450438541
171,254672478775083,0.509617897,-0.504289940,-0.215808371,-0.480120712,0.760494372,0.224380227,0.375214578,254672.483775083
172,254672512111666,0.515330578,-0.508552824,-0.215921566,-0.483796106,0.759995271,0.221878606,0.372985861,254672.517111666
173,254672545448041,0.519796212,-0.511350611,-0.216060806,-0.486747536,0.761036090,0.217960419,0.369315873,254672.550448041
174,254672578784666,0.524347117,-0.513256805,-0.216572086,-0.489027798,0.762279736,0.215134575,0.365374581,254672.583784666
