recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.005243065,-0.134959420,0.074148134,-0.158810227,0.843301438,0.078429877,0.507415810,254668.081357500
40,254668111694041,0.005161071,-0.140051920,0.073057265,-0.158279572,0.843616394,0.079068993,0.506958681,254668.114694041
41,254668145030541,0.004935993,-0.145106685,0.071979141,-0.157528901,0.843855554,0.078948859,0.506813161,254668.148030541
42,254668178367083,0.004985522,-0.151501462,0.070577920,-0.157810645,0.844743276,0.078096415,0.505376693,254668.181367083
43,254668211703541,0.004944682,-0.156516785,0.069273543,-0.157841226,0.845269887,0.078257662,0.504460858,254668.214703541
44,254668245040125,0.005166525,-0.161524425,0.067950403,-0.158511301,0.845983479,0.078594951,0.503000007,254668.248040125
45,254668278376708,0.002860852,-0.164206277,0.065215716,-0.159290374,0.846359057,0.079257558,0.502017147,254668.281376708
46,254668311713250,0.003056750,-0.169096523,0.064483575,-0.159256336,0.846454570,0.080176195,0.501720950,254668.314713250
47,254668345049666,0.003170410,-0.173902650,0.064191556,-0.160018862,0.845854439,0.081370724,0.502297811,254668.348049666
48,254668378386291,0.003010757,-0.179701847,0.064686811,-0.161909861,0.844390882,0.083458768,0.503809410,254668.381386291
49,254668411722791,0.003175307,-0.183956354,0.065002666,-0.163548105,0.843942466,0.083803732,0.503974323,254668.414722791
50,254668445059375,0.003390842,-0.188010122,0.065241230,-0.165490320,0.843618729,0.083574114,0.503920446,254668.448059375
51,254668478395833,0.003954842,-0.192780554,0.064995997,-0.168702157,0.843895949,0.082534335,0.502560789,254668.481395833
52,254668511732416,0.004270321,-0.196371250,0.064787377,-0.170752522,0.843913691,0.081790951,0.501959712,254668.514732416
53,254668545068916,0.004685607,-0.199858512,0.064195014,-0.172359469,0.844358089,0.081514861,0.500706513,254668.548068916
54,254668578405500,0.005519232,-0.204687862,0.062954989,-0.173743246,0.845785839,0.080595302,0.497959887,254668.581405500
55,254668611741875,0.006253958,-0.208205804,0.061555785,-0.174856265,0.846966059,0.080564212,0.495563561,254668.614741875
56,254668645078458,0.007441495,-0.212795364,0.059406428,-0.176474506,0.849339361,0.079935678,0.491008899,254668.648078458
57,254668678414916,0.008897330,-0.216652020,0.058198185,-0.176500631,0.851113411,0.078414866,0.488164573,254668.681414916
58,254668711751458,0.009492784,-0.220185500,0.057128130,-0.177039485,0.851479948,0.077810451,0.487426411,254668.714751458
59,254668745088000,0.010027248,-0.225069778,0.056495826,-0.178598485,0.850838012,0.077928910,0.487959422,254668.748088000
60,254668778424458,0.010209861,-0.229195792,0.057758730,-0.179463374,0.849813804,0.078648986,0.489309499,254668.781424458
61,254668811761083,0.010489719,-0.232982963,0.057874544,-0.180234486,0.849690316,0.078129418,0.489323762,254668.814761083
62,254668845097625,0.010782333,-0.238057244,0.058058799,-0.182031471,0.849027221,0.078039881,0.489823592,254668.848097625
63,254668878434083,0.012979630,-0.241139168,0.065522269,-0.184240893,0.848876849,0.079020530,0.489100397,254668.881434083
64,254668911770625,0.013119656,-0.244785732,0.065640526,-0.185087857,0.848511488,0.080154791,0.489230010,254668.914770625
65,254668945107041,0.013424690,-0.249848286,0.065436632,-0.186133811,0.847808817,0.081231986,0.489873281,254668.948107041
66,254668978443541,0.014047603,-0.254178593,0.064405953,-0.186110317,0.847788691,0.082964622,0.489626602,254668.981443541
67,254669011780041,0.014424536,-0.258095321,0.063566084,-0.186114809,0.848012267,0.084008781,0.489059354,254669.014780041
68,254669045116583,0.015357984,-0.263394112,0.061863112,-0.186696401,0.847955259,0.086742405,0.488458946,254669.048116583
69,254669078453041,0.021918640,-0.270730165,0.068167669,-0.187381095,0.848893864,0.089825611,0.486003031,254669.081453041
70,254669111789583,0.022967024,-0.274542923,0.066743056,-0.187782309,0.848529224,0.091372729,0.486196501,254669.114789583
71,254669145126208,0.024592692,-0.279572151,0.064551491,-0.188425961,0.847789556,0.094473721,0.486644938,254669.148126208
72,254669178462708,0.025876794,-0.283376442,0.062736924,-0.189269040,0.846726194,0.097522014,0.487566911,254669.181462708
73,254669211799166,0.027918774,-0.287516543,0.060484660,-0.190838064,0.845907298,0.100653217,0.487740360,254669.214799166
74,254669245135625,0.031309669,-0.293305180,0.056898869,-0.192530689,0.845881681,0.104496054,0.486309309,254669.248135625
75,254669278472083,0.040120967,-0.297348752,0.054401212,-0.193986044,0.846932097,0.107602981,0.483215366,254669.281472083
76,254669311808625,0.044206399,-0.302547436,0.050768564,-0.195504296,0.847764981,0.109537752,0.480701718,254669.314808625
77,254669345145041,0.050063158,-0.309525733,0.045488193,-0.198657940,0.849113785,0.111993231,0.476443462,254669.348145041
78,254669378481666,0.058038496,-0.312515548,0.042127087,-0.201391150,0.851296991,0.112817589,0.471176488,254669.381481666
79,254669411818083,0.062979011,-0.317265346,0.037832792,-0.203780165,0.852479883,0.113928133,0.467730828,254669.414818083
80,254669445154666,0.069448593,-0.323377392,0.031981068,-0.206206866,0.852814672,0.117098263,0.465267572,254669.448154666
81,254669478491041,0.074552154,-0.325600284,0.028526186,-0.208352407,0.852742327,0.119389935,0.463859779,254669.481491041
82,254669511827666,0.079205544,-0.330133510,0.024465920,-0.210161049,0.852884388,0.122227860,0.462039995,254669.514827666
83,254669545163958,0.085658673,-0.336176373,0.018726016,-0.211844856,0.853794054,0.125854106,0.458604696,254669.548163958
84,254669578500666,0.089922982,-0.340692779,0.013963168,-0.212770855,0.854837390,0.127699292,0.455713226,254669.581500666
85,254669611837125,0.094932808,-0.345542024,0.009412230,-0.213775495,0.856117999,0.129402513,0.452346164,254669.614837125
86,254669645173666,0.101328240,-0.351999421,0.003494584,-0.214827792,0.857738086,0.130236381,0.448523058,254669.648173666
87,254669678510000,0.104677624,-0.356249765,-0.000034156,-0.215488545,0.858447491,0.130546894,0.446755140,254669.681510000
88,254669711846666,0.109901298,-0.362260655,-0.005118895,-0.215879279,0.857957504,0.132969785,0.446793182,254669.714846666
89,254669745183041,0.113608304,-0.366648760,-0.008616511,-0.216739201,0.857665397,0.135150691,0.446283016,254669.748183041
90,254669778519583,0.114779784,-0.369529135,-0.012521039,-0.217372391,0.856217502,0.137771595,0.447950749,254669.781519583
91,254669811855958,0.119287247,-0.374446337,-0.017202373,-0.218442862,0.855260376,0.142019912,0.447931695,254669.814855958
92,254669845192583,0.122608096,-0.377900727,-0.020512055,-0.220644239,0.854623557,0.144404086,0.447305498,254669.848192583
93,254669878529083,0.123395248,-0.380634473,-0.024897057,-0.222614317,0.854023285,0.146909118,0.446659667,254669.881529083
94,254669911865625,0.127334577,-0.384670635,-0.028800913,-0.225133112,0.853408141,0.148683590,0.445985280,254669.914865625
95,254669945201958,0.130099523,-0.387688585,-0.031398087,-0.227685809,0.853026959,0.149612217,0.445107197,254669.948201958
