recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.005341455,-0.136202330,0.075170214,-0.158869544,0.843292060,0.078441377,0.507411050,254668.080357500
40,254668111694041,0.005253076,-0.141337062,0.074092986,-0.158340943,0.843604678,0.079042716,0.506963110,254668.113694041
41,254668145030541,0.005024489,-0.146432760,0.073021038,-0.157579782,0.843841483,0.078932659,0.506823295,254668.147030541
42,254668178367083,0.005026323,-0.153063789,0.071566895,-0.157905561,0.844730721,0.078115869,0.505365024,254668.180367083
43,254668211703541,0.004975022,-0.158162347,0.070257401,-0.157921477,0.845259825,0.078274227,0.504450032,254668.213703541
44,254668245040125,0.005184124,-0.163245814,0.068929624,-0.158600408,0.845974014,0.078598300,0.502987314,254668.247040125
45,254668278376708,0.003554770,-0.167133115,0.066939354,-0.159492193,0.846500350,0.079519037,0.501673374,254668.280376708
46,254668311713250,0.003773284,-0.172137969,0.066147544,-0.159442215,0.846601894,0.080428151,0.501372895,254668.313713250
47,254668345049666,0.003914196,-0.177061132,0.065798537,-0.160236766,0.845996630,0.081627335,0.501947121,254668.347049666
48,254668378386291,0.003972091,-0.183147296,0.065985738,-0.162123659,0.844550116,0.083725223,0.503429400,254668.380386291
49,254668411722791,0.004202262,-0.187564157,0.066187824,-0.163741965,0.844118758,0.084047610,0.503575360,254668.413722791
50,254668445059375,0.004485118,-0.191784911,0.066313260,-0.165700724,0.843785888,0.083826541,0.503529352,254668.447059375
51,254668478395833,0.005062076,-0.196791203,0.066165410,-0.168925555,0.844063438,0.082823522,0.502156735,254668.480395833
52,254668511732416,0.005440185,-0.200555974,0.065903907,-0.170979045,0.844076287,0.082064760,0.501564369,254668.513732416
53,254668545068916,0.005934093,-0.204224457,0.065247174,-0.172587341,0.844526992,0.081805931,0.500295524,254668.547068916
54,254668578405500,0.006780012,-0.209017041,0.064048740,-0.173975678,0.845963549,0.080865506,0.497532874,254668.580405500
55,254668611741875,0.007589757,-0.212656501,0.062615904,-0.175115950,0.847130708,0.080848385,0.495143980,254668.613741875
56,254668645078458,0.008600868,-0.216223991,0.060950805,-0.176370132,0.848869813,0.080632958,0.491743832,254668.647078458
57,254668678414916,0.010243202,-0.221126164,0.059189021,-0.176749941,0.851275681,0.078664252,0.487751127,254668.680414916
58,254668711751458,0.010934911,-0.224742875,0.058063895,-0.177307929,0.851625359,0.078115404,0.487025855,254668.713751458
59,254668745088000,0.011398045,-0.228489123,0.057513321,-0.178270109,0.851312549,0.078014177,0.487237677,254668.747088000
60,254668778424458,0.012104666,-0.233581529,0.058079524,-0.179732430,0.850000919,0.078921398,0.488841649,254668.780424458
61,254668811761083,0.012507908,-0.237381355,0.058053046,-0.180484854,0.849887068,0.078384605,0.488848746,254668.813761083
62,254668845097625,0.012880609,-0.241226589,0.058054869,-0.181774302,0.849491356,0.078150925,0.489096132,254668.847097625
63,254668878434083,0.015100937,-0.243941441,0.066375100,-0.184315666,0.849133908,0.079177186,0.488600418,254668.880434083
64,254668911770625,0.015409169,-0.247587025,0.066449119,-0.185155293,0.848786129,0.080294894,0.488704827,254668.913770625
65,254668945107041,0.015940902,-0.252639642,0.066184661,-0.186213800,0.848078954,0.081356760,0.489354309,254668.947107041
66,254668978443541,0.016550445,-0.256780757,0.065354313,-0.186200280,0.848066101,0.083131042,0.489083457,254668.980443541
67,254669011780041,0.017067366,-0.260660057,0.064522622,-0.186205167,0.848294923,0.084167546,0.488507152,254669.013780041
68,254669045116583,0.018195321,-0.265903463,0.062824770,-0.186804734,0.848230785,0.086906086,0.487909737,254669.047116583
69,254669078453041,0.023340543,-0.273795810,0.070052163,-0.187416999,0.849083894,0.089999885,0.485624839,254669.080453041
70,254669111789583,0.024449238,-0.277635558,0.068688783,-0.187812148,0.848728379,0.091522920,0.485808959,254669.113789583
71,254669145126208,0.026163288,-0.282705291,0.066575517,-0.188464301,0.847989415,0.094648982,0.486247656,254669.147126208
72,254669178462708,0.027591742,-0.286544234,0.064734224,-0.189312778,0.846931820,0.097713907,0.487154195,254669.180462708
73,254669211799166,0.029699512,-0.290709390,0.062539001,-0.190892531,0.846116924,0.100815155,0.487321814,254669.213799166
74,254669245135625,0.033198832,-0.296548767,0.059026710,-0.192570672,0.846108272,0.104670359,0.485861603,254669.247135625
75,254669278472083,0.041063132,-0.301952992,0.056369097,-0.194017572,0.847067084,0.107813962,0.482918978,254669.280472083
76,254669311808625,0.045110164,-0.307210899,0.052798015,-0.195560536,0.847893578,0.109749041,0.480403746,254669.313808625
77,254669345145041,0.050925855,-0.314282874,0.047609576,-0.198716748,0.849243920,0.112217471,0.476134131,254669.347145041
78,254669378481666,0.058934829,-0.316474890,0.043573735,-0.201427374,0.851428513,0.113056324,0.470866033,254669.380481666
79,254669411818083,0.063912058,-0.321319251,0.039277144,-0.203816698,0.852605320,0.114172638,0.467426554,254669.413818083
80,254669445154666,0.070432302,-0.327563476,0.033420625,-0.206231113,0.852931307,0.117361205,0.464976682,254669.447154666
81,254669478491041,0.075902319,-0.328664239,0.029111722,-0.208437598,0.852873689,0.119637288,0.463516139,254669.480491041
82,254669511827666,0.080710476,-0.333233736,0.024933553,-0.210224745,0.853034383,0.122454490,0.461673963,254669.513827666
83,254669545163958,0.087376926,-0.339320542,0.019037241,-0.211906364,0.853940353,0.126098279,0.458236668,254669.547163958
84,254669578500666,0.091696358,-0.343766238,0.014285376,-0.212845384,0.854963010,0.127933914,0.455376835,254669.580500666
85,254669611837125,0.096836665,-0.348635007,0.009657440,-0.213855516,0.856247209,0.129648040,0.451993334,254669.613837125
86,254669645173666,0.103403369,-0.355115365,0.003638166,-0.214899710,0.857862920,0.130475144,0.448180338,254669.647173666
87,254669678510000,0.107002131,-0.359822840,-0.000153095,-0.215564836,0.858556240,0.130783535,0.446440033,254669.680510000
88,254669711846666,0.111180498,-0.364398786,-0.004147496,-0.215808126,0.858345740,0.132394443,0.446252404,254669.713846666
89,254669745183041,0.116428846,-0.370299689,-0.009055427,-0.216823425,0.857787685,0.135392387,0.445933677,254669.747183041
90,254669778519583,0.117628005,-0.373379826,-0.013019457,-0.217418129,0.856331519,0.137931184,0.447661398,254669.780519583
91,254669811855958,0.121236666,-0.377166371,-0.016681284,-0.218111597,0.855683838,0.140986156,0.447610832,254669.813855958
92,254669845192583,0.125989795,-0.381932907,-0.021320037,-0.220712206,0.854738357,0.144573793,0.446997691,254669.847192583
93,254669878529083,0.125478182,-0.383904371,-0.025220853,-0.222617434,0.854115912,0.147002871,0.446450105,254669.880529083
94,254669911865625,0.128596646,-0.386976348,-0.028270388,-0.224508102,0.853632981,0.148421552,0.445957332,254669.913865625
95,254669945201958,0.132440778,-0.391078195,-0.031891602,-0.227708146,0.853115428,0.149724341,0.444888460,254669.947201958
96,254669978538583,0.134900656,-0.393773685,-0.034235051,-0.230255572,0.852709542,0.150006683,0.444259899,254669.980538583
97,254670011874916,0.138133987,-0.397501049,-0.037236533,-0.232845854,0.851808186,0.151006167,0.444300363,254670.013874916
98,254670045211500,0.140616608,-0.400415262,-0.039204151,-0.235583675,0.850740003,0.151509623,0.444732129,254670.047211500
99,254670078548083,0.140352746,-0.396955617,-0.037144420,-0.238083774,0.849281822,0.151271248,0.446266250,254670.080548083
100,254670111884541,0.144267963,-0.400674100,-0.039128886,-0.242105979,0.847384046,0.151499255,0.447630430,254670.113884541
101,254670145220916,0.147656390,-0.403649616,-0.040905672,-0.245720530,0.845621461,0.152464156,0.448665244,254670.147220916
102,254670178557583,0.151841790,-0.406746569,-0.043430173,-0.249833960,0.844122867,0.153988146,0.448695089,254670.180557583
103,254670211893916,0.157431545,-0.410715364,-0.047105843,-0.255154914,0.843236144,0.154464437,0.447201929,254670.213893916
104,254670245230500,0.161988224,-0.413550315,-0.050261212,-0.258676445,0.843513811,0.154846268,0.444515054,254670.247230500
105,254670278567083,0.164864384,-0.408233644,-0.046541604,-0.262253494,0.844597502,0.154677286,0.440401129,254670.280567083
106,254670311903375,0.171452693,-0.411027059,-0.050101214,-0.267421409,0.843770169,0.156756639,0.438138222,254670.313903375
107,254670345240000,0.176328459,-0.412965171,-0.052262959,-0.271474059,0.842994318,0.157083854,0.437020744,254670.347240000
108,254670378576458,0.185677063,-0.413129587,-0.051635584,-0.274742762,0.842553363,0.157691965,0.435607097,254670.380576458
109,254670411913000,0.192408162,-0.415840831,-0.053973115,-0.278914856,0.842514847,0.156509126,0.433451475,254670.413913000
110,254670445249416,0.197626288,-0.417797067,-0.055834204,-0.282416033,0.842909208,0.155180505,0.430887823,254670.447249416
111,254670478585916,0.203586883,-0.420538817,-0.058870803,-0.286007759,0.843313215,0.154750983,0.427872141,254670.480585916
112,254670511922416,0.210747238,-0.422870087,-0.061676421,-0.291083057,0.842232388,0.156611672,0.425896814,254670.513922416
113,254670545258916,0.216009105,-0.424826323,-0.063735642,-0.295003647,0.840801730,0.159089852,0.425106777,254670.547258916
