recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.004877002,-0.129867051,0.069949150,-0.158496436,0.843451855,0.078781747,0.507209363,254668.081357500
40,254668111694041,0.004762118,-0.134716754,0.068894521,-0.158101510,0.843670066,0.079183721,0.506907018,254668.114694041
41,254668145030541,0.004562748,-0.139603971,0.067814905,-0.157233052,0.844088582,0.078510632,0.506585005,254668.148030541
42,254668178367083,0.004337412,-0.146135397,0.066185507,-0.157261874,0.844537820,0.078170754,0.505879393,254668.181367083
43,254668211703541,0.004384974,-0.151057723,0.064833150,-0.157665119,0.845142737,0.078509851,0.504689728,254668.214703541
44,254668245040125,0.004600974,-0.156025971,0.063484173,-0.158161222,0.845902688,0.078855723,0.503205226,254668.248040125
45,254668278376708,0.002988395,-0.165356610,0.065058329,-0.159193426,0.846425925,0.079620559,0.501877701,254668.281376708
46,254668311713250,0.003001149,-0.170354090,0.064316768,-0.158864532,0.846465320,0.080542862,0.501768296,254668.314713250
47,254668345049666,0.002991710,-0.175176726,0.063950675,-0.159377844,0.845790305,0.081675308,0.502560105,254668.348049666
48,254668378386291,0.003182800,-0.181229130,0.063929671,-0.161884350,0.844362904,0.083784365,0.503810458,254668.381386291
49,254668411722791,0.003374446,-0.185606352,0.063947727,-0.163556247,0.844053851,0.084230705,0.503713899,254668.414722791
50,254668445059375,0.003555600,-0.189707377,0.063954669,-0.165439999,0.843857016,0.083477653,0.503553847,254668.448059375
51,254668478395833,0.003928101,-0.194819404,0.063904118,-0.168108642,0.844014645,0.082900694,0.502500042,254668.481395833
52,254668511732416,0.004315029,-0.198613430,0.063490985,-0.170170026,0.844217757,0.082239514,0.501572784,254668.514732416
53,254668545068916,0.004649730,-0.202248445,0.062786299,-0.171930958,0.844482239,0.081848345,0.500590048,254668.548068916
54,254668578405500,0.005376973,-0.207011141,0.061499263,-0.172837150,0.846001686,0.081085689,0.497828917,254668.581405500
55,254668611741875,0.006188024,-0.210652238,0.060024373,-0.173922211,0.847286246,0.080710978,0.495320980,254668.614741875
56,254668645078458,0.007385041,-0.215407216,0.057666922,-0.175743927,0.849638943,0.080759866,0.490617607,254668.648078458
57,254668678414916,0.008208298,-0.218878673,0.056561689,-0.176118280,0.851220366,0.078548371,0.488094711,254668.681414916
58,254668711751458,0.008520458,-0.222545126,0.055661139,-0.176147960,0.851454296,0.077147892,0.487899308,254668.714751458
59,254668745088000,0.008868677,-0.227625813,0.054955215,-0.177732285,0.850457138,0.078095121,0.488912156,254668.748088000
60,254668778424458,0.009597600,-0.231328634,0.055012706,-0.179354445,0.849847760,0.078855330,0.489257252,254668.781424458
61,254668811761083,0.009836423,-0.235174568,0.054810622,-0.179855717,0.849983741,0.078501511,0.488893779,254668.814761083
62,254668845097625,0.009995767,-0.240170656,0.054708415,-0.181473769,0.849479071,0.077612829,0.489314706,254668.848097625
63,254668878434083,0.014523193,-0.240130572,0.065372123,-0.183901674,0.849231114,0.079512191,0.488533063,254668.881434083
64,254668911770625,0.014840606,-0.243765634,0.065305457,-0.184735402,0.848863542,0.081307539,0.488561823,254668.914770625
65,254668945107041,0.015306221,-0.248764942,0.064953094,-0.185481512,0.848370929,0.082020665,0.489015377,254668.948107041
66,254668978443541,0.015656147,-0.252460315,0.064437521,-0.185819032,0.848151296,0.082925426,0.489115624,254668.981443541
67,254669011780041,0.016176803,-0.256268565,0.063510115,-0.185536433,0.848624364,0.084154544,0.488191548,254669.014780041
68,254669045116583,0.017224330,-0.261253177,0.061775413,-0.186016375,0.848756191,0.086677329,0.487337594,254669.048116583
69,254669078453041,0.022498425,-0.270006494,0.069793220,-0.187224379,0.849119698,0.090292069,0.485582296,254669.081453041
70,254669111789583,0.023441960,-0.273740119,0.068516641,-0.187516876,0.848755688,0.091637410,0.485853725,254669.114789583
