recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.003430871,-0.124116989,0.065868573,-0.158079123,0.843339522,0.078013122,0.507645001,254668.086357500
40,254668111694041,0.003201406,-0.130325403,0.064449683,-0.157415591,0.843715141,0.078230046,0.507193460,254668.119694041
41,254668145030541,0.002953979,-0.135026664,0.063317618,-0.156610101,0.844060522,0.077561185,0.506970835,254668.153030541
42,254668178367083,0.002769389,-0.139715286,0.062090116,-0.156808954,0.844412820,0.077395881,0.506347581,254668.186367083
43,254668211703541,0.002818801,-0.146021375,0.060286331,-0.157307113,0.845255284,0.077833814,0.504717671,254668.219703541
44,254668245040125,0.003042956,-0.150760684,0.058961470,-0.157983247,0.846005135,0.078325259,0.503171752,254668.253040125
45,254668278376708,0.002134795,-0.160580063,0.062887455,-0.158864196,0.846269872,0.078967914,0.502348078,254668.286376708
46,254668311713250,0.002130056,-0.167026346,0.062058834,-0.158521200,0.846172841,0.080220729,0.502421377,254668.319713250
47,254668345049666,0.002159364,-0.171610176,0.061870506,-0.159574152,0.845249962,0.081549853,0.503426525,254668.353049666
48,254668378386291,0.002306531,-0.175978091,0.061951757,-0.161537754,0.844208330,0.083125984,0.504289574,254668.386386291
49,254668411722791,0.002554852,-0.181561139,0.062061545,-0.163794195,0.843836984,0.083380153,0.504141260,254668.419722791
50,254668445059375,0.002713893,-0.185433154,0.062124403,-0.165738797,0.843662587,0.082592721,0.503927163,254668.453059375
51,254668478395833,0.003018954,-0.189072442,0.062157992,-0.167737398,0.843856142,0.082244516,0.502997883,254668.486395833
52,254668511732416,0.003514174,-0.193891473,0.061655120,-0.170468738,0.844086661,0.081385740,0.501831179,254668.519732416
53,254668545068916,0.003818799,-0.197364275,0.060900747,-0.171835834,0.844597988,0.081088066,0.500551160,254668.553068916
54,254668578405500,0.004475816,-0.200809378,0.060045776,-0.172436946,0.845840742,0.080423481,0.498348327,254668.586405500
55,254668611741875,0.005579105,-0.205443914,0.058125561,-0.173957701,0.847624818,0.080191333,0.494813389,254668.619741875
56,254668645078458,0.006464706,-0.208865080,0.056433756,-0.175323134,0.849480495,0.080100020,0.491150412,254668.653078458
57,254668678414916,0.007386615,-0.212381374,0.055405015,-0.175681455,0.851062901,0.077878849,0.488633710,254668.686414916
58,254668711751458,0.007770302,-0.217135022,0.054419806,-0.175895625,0.851130588,0.076601615,0.488640662,254668.719751458
59,254668745088000,0.008040991,-0.220825225,0.054039486,-0.177279904,0.850296492,0.077424158,0.489462220,254668.753088000
60,254668778424458,0.008757825,-0.224419653,0.054313898,-0.178897331,0.849685503,0.078186087,0.489813516,254668.786424458
61,254668811761083,0.009046479,-0.229380706,0.054246766,-0.179628863,0.849822860,0.077430158,0.489427424,254668.819761083
62,254668845097625,0.009137566,-0.232964642,0.054298248,-0.181000122,0.849314383,0.076942319,0.489881585,254668.853097625
63,254668878434083,0.012466412,-0.241681715,0.064785486,-0.184146350,0.848713687,0.079614481,0.489322784,254668.886434083
64,254668911770625,0.012754086,-0.246788918,0.064657354,-0.185127211,0.848277123,0.081712828,0.489363777,254668.919770625
65,254668945107041,0.012983194,-0.250699728,0.064370312,-0.185736914,0.847836989,0.082149931,0.489822091,254668.953107041
66,254668978443541,0.013210985,-0.254573187,0.063853237,-0.186077353,0.847610283,0.083065148,0.489930874,254668.986443541
67,254669011780041,0.013796104,-0.259905927,0.062542597,-0.185781844,0.848231998,0.084752341,0.488676456,254669.019780041
68,254669045116583,0.014471023,-0.263810784,0.061191747,-0.186287484,0.848200801,0.086844849,0.488170462,254669.053116583
69,254669078453041,0.021239134,-0.272004130,0.068337366,-0.187543852,0.848677197,0.090534241,0.486187128,254669.086453041
70,254669111789583,0.022451219,-0.277160073,0.066568364,-0.187931201,0.848166635,0.092230295,0.486609544,254669.119789583
71,254669145126208,0.023543317,-0.280908050,0.064921667,-0.188391876,0.847592392,0.094347194,0.487025973,254669.153126208
72,254669178462708,0.025771791,-0.286351998,0.062223658,-0.189618293,0.846447898,0.099516837,0.487511345,254669.186462708
73,254669211799166,0.027914007,-0.290596038,0.059926240,-0.191505370,0.845611243,0.102565712,0.487593731,254669.219799166
74,254669245135625,0.030506584,-0.294981418,0.057147305,-0.192965055,0.845730438,0.105246481,0.486238363,254669.253135625
75,254669278472083,0.040682209,-0.300842969,0.053715460,-0.193712717,0.847453996,0.108419404,0.482226497,254669.286472083
76,254669311808625,0.044646825,-0.306099988,0.050104482,-0.195544510,0.848355789,0.110147781,0.479502159,254669.319808625
77,254669345145041,0.048930566,-0.311246741,0.046168319,-0.198369268,0.849353264,0.112035073,0.476126940,254669.353145041
78,254669378481666,0.058971512,-0.315576262,0.041402639,-0.201819430,0.851645226,0.113569700,0.470182201,254669.386481666
79,254669411818083,0.063709874,-0.320274703,0.037144378,-0.204016886,0.852771623,0.114529773,0.466948235,254669.419818083
80,254669445154666,0.068343992,-0.324955609,0.032921978,-0.205596103,0.852845312,0.116929251,0.465524134,254669.453154666
81,254669478491041,0.075644403,-0.328257434,0.027629486,-0.208813357,0.852313926,0.121394262,0.463919647,254669.486491041
82,254669511827666,0.080402279,-0.332737643,0.023399564,-0.210606277,0.852712573,0.123974492,0.461688903,254669.519827666
83,254669545163958,0.085284051,-0.337376642,0.018964948,-0.211561678,0.853636537,0.126498743,0.458851217,254669.553163958
84,254669578500666,0.090999028,-0.343110912,0.013037349,-0.212795664,0.855144967,0.128625127,0.454863408,254669.586500666
85,254669611837125,0.095852211,-0.347893310,0.008555897,-0.213876484,0.856526843,0.129954053,0.451365278,254669.619837125
86,254669645173666,0.100497920,-0.352728382,0.004225793,-0.214598785,0.857762991,0.130407945,0.448535209,254669.653173666
87,254669678510000,0.105454158,-0.358304914,-0.000856112,-0.215439531,0.858268943,0.131271495,0.446909474,254669.686510000
88,254669711846666,0.109282230,-0.362854954,-0.004575111,-0.215611073,0.857573784,0.133501916,0.447500125,254669.719846666
89,254669745183041,0.112838229,-0.367142255,-0.008090488,-0.216427626,0.856984466,0.135954715,0.447496454,254669.753183041
90,254669778519583,0.115828656,-0.371477678,-0.013367267,-0.217643300,0.856300465,0.138761212,0.447354766,254669.786519583
91,254669811855958,0.119283272,-0.375243559,-0.016906762,-0.218330586,0.855487855,0.142078552,0.447533266,254669.819855958
92,254669845192583,0.122735449,-0.378774921,-0.020271541,-0.220432194,0.854676906,0.145116299,0.447077563,254669.853192583
93,254669878529083,0.124326515,-0.382541522,-0.025389922,-0.223394952,0.854152737,0.147194027,0.445927986,254669.886529083
94,254669911865625,0.127225220,-0.385689461,-0.028242778,-0.224984683,0.853707881,0.148395459,0.445582301,254669.919865625
95,254669945201958,0.129883322,-0.388688421,-0.030835413,-0.227458100,0.853292517,0.149330400,0.444809148,254669.953201958
96,254669978538583,0.133205789,-0.392379589,-0.033965167,-0.230912120,0.852483022,0.150644163,0.444138131,254669.986538583
97,254670011874916,0.135533480,-0.395299705,-0.036130393,-0.232645281,0.851757204,0.151518246,0.444328833,254670.019874916
98,254670045211500,0.137890118,-0.398260463,-0.038058257,-0.234980052,0.850755609,0.151863391,0.444900925,254670.053211500
99,254670078548083,0.138995233,-0.392637513,-0.035430491,-0.239055972,0.848819943,0.151669752,0.446489962,254670.086548083
100,254670111884541,0.142020940,-0.395479605,-0.036880739,-0.241990649,0.847344236,0.151843391,0.447651548,254670.119884541
101,254670145220916,0.146790050,-0.399436538,-0.039414653,-0.246789339,0.845160719,0.153206874,0.448693759,254670.153220916
102,254670178557583,0.150797098,-0.402397547,-0.041865406,-0.250695205,0.843913284,0.155171866,0.448200879,254670.186557583
103,254670211893916,0.155102181,-0.405293656,-0.044573525,-0.254757831,0.843410513,0.155490569,0.446743652,254670.219893916
104,254670245230500,0.161126461,-0.408843575,-0.048496609,-0.259504357,0.844148629,0.155106556,0.442733092,254670.253230500
105,254670278567083,0.165526397,-0.406907960,-0.046814987,-0.262874609,0.844767668,0.155542672,0.439398518,254670.286567083
106,254670311903375,0.170498835,-0.409041459,-0.049311099,-0.266844966,0.843952764,0.157415835,0.437901593,254670.319903375
107,254670345240000,0.176856713,-0.411805126,-0.051932763,-0.272062431,0.842448623,0.158335174,0.437255506,254670.353240000
108,254670378576458,0.184726443,-0.411091571,-0.051189027,-0.275024132,0.842875756,0.156744012,0.435147738,254670.386576458
109,254670411913000,0.189800562,-0.413139090,-0.053046837,-0.277947187,0.843052658,0.155764953,0.433295408,254670.419913000
110,254670445249416,0.196725572,-0.415693966,-0.055547096,-0.282699692,0.843480423,0.154554854,0.429807527,254670.453249416
111,254670478585916,0.202454872,-0.418656107,-0.058679279,-0.286910932,0.843125500,0.155605714,0.427327067,254670.486585916
112,254670511922416,0.207693608,-0.420611859,-0.060738761,-0.290743253,0.842019923,0.157682896,0.426153690,254670.519922416
113,254670545258916,0.214378212,-0.423349251,-0.063462996,-0.295726465,0.839917528,0.161047397,0.425615076,254670.553258916
114,254670578595416,0.218906144,-0.424900929,-0.066542965,-0.300037056,0.837307555,0.164726352,0.426332154,254670.586595416
115,254670611931875,0.223482830,-0.427022190,-0.068722516,-0.303326118,0.835380808,0.167470723,0.426715106,254670.619931875
116,254670645268375,0.229575903,-0.430089292,-0.071814997,-0.307524720,0.833023482,0.170548846,0.427099015,254670.653268375
117,254670678604958,0.233617139,-0.431895313,-0.075255557,-0.312079419,0.830718775,0.173396893,0.427137360,254670.686604958
118,254670711941458,0.237990491,-0.433919177,-0.077685260,-0.317100819,0.828855942,0.174812106,0.426480572,254670.719941458
119,254670745277833,0.243835507,-0.436494318,-0.080959145,-0.324198629,0.824896672,0.177333310,0.427777605,254670.753277833
120,254670778614375,0.248015650,-0.438897261,-0.083281566,-0.332488786,0.820806524,0.179103414,0.428543904,254670.786614375
121,254670811950875,0.252067169,-0.440213299,-0.085205256,-0.340985637,0.817704524,0.180179237,0.427344829,254670.819950875
122,254670845287416,0.257734573,-0.442110269,-0.087742954,-0.348586247,0.813934041,0.181844971,0.427704881,254670.853287416
123,254670878623958,0.262127195,-0.443502992,-0.088542014,-0.353760510,0.810393233,0.183248723,0.429576847,254670.886623958
124,254670911960333,0.266073940,-0.445041066,-0.090242906,-0.358484491,0.807899167,0.183651441,0.430186015,254670.919960333
125,254670945296791,0.271656510,-0.447512869,-0.093426111,-0.360201380,0.807535570,0.184586096,0.429032978,254670.953296791
126,254670978633291,0.276040023,-0.447915457,-0.094471174,-0.361521097,0.808261982,0.185062114,0.426341567,254670.986633291
127,254671011969833,0.280849124,-0.449698120,-0.097714725,-0.363055243,0.809692739,0.183955165,0.422787311,254671.019969833
128,254671045306250,0.288008529,-0.451975120,-0.102473485,-0.364795062,0.810680831,0.183753022,0.419471135,254671.053306250
129,254671078642791,0.294836673,-0.452466953,-0.105213286,-0.366199056,0.810348132,0.187600669,0.417181254,254671.086642791
130,254671111979208,0.300781862,-0.454263921,-0.108967044,-0.366142529,0.811758191,0.189456731,0.413635695,254671.119979208
131,254671145315833,0.308820421,-0.456366340,-0.114045775,-0.365902858,0.815719955,0.186437600,0.407378361,254671.153315833
132,254671178652166,0.315340852,-0.456357066,-0.117429309,-0.365438301,0.817699503,0.186823261,0.403632870,254671.186652166
133,254671211988666,0.323484035,-0.458130328,-0.122461050,-0.365484327,0.818296335,0.189718734,0.401022655,254671.219988666
134,254671245325208,0.329635116,-0.459080075,-0.125946971,-0.367052226,0.818575665,0.190119823,0.398824587,254671.253325208
135,254671278661833,0.335489235,-0.459226045,-0.129551213,-0.368384284,0.818834701,0.191280059,0.396503145,254671.286661833
136,254671311998208,0.344499743,-0.459873917,-0.134298056,-0.370702949,0.818828775,0.193609132,0.393210273,254671.319998208
137,254671345334541,0.351513127,-0.460058258,-0.137643129,-0.374267841,0.817896884,0.194976695,0.391091309,254671.353334541
138,254671378671041,0.355943033,-0.460912642,-0.142178935,-0.378304762,0.816196418,0.196143479,0.390175221,254671.386671041
139,254671412007708,0.365089879,-0.460952498,-0.146487941,-0.383416860,0.814575101,0.198161612,0.387544766,254671.420007708
140,254671445344083,0.371808636,-0.460854934,-0.149554610,-0.387080193,0.811996415,0.201276172,0.387709558,254671.453344083
141,254671478680541,0.373033418,-0.461827643,-0.153056295,-0.389452620,0.810189517,0.204905231,0.387212478,254671.486680541
142,254671512017125,0.381318039,-0.462072678,-0.156719105,-0.393459045,0.808549205,0.208679363,0.384566172,254671.520017125
143,254671545353625,0.387440027,-0.462270265,-0.159069529,-0.396566821,0.805757371,0.211861680,0.385492538,254671.553353625
144,254671578690083,0.390113287,-0.462038873,-0.160406878,-0.398363027,0.803724591,0.214179317,0.386601803,254671.586690083
145,254671612026500,0.397483877,-0.462471296,-0.163303552,-0.401722591,0.801166504,0.218656916,0.385927971,254671.620026500
146,254671645363041,0.402952962,-0.463045854,-0.165487027,-0.404327142,0.800483864,0.218596150,0.384656890,254671.653363041
147,254671678699458,0.404341279,-0.463078108,-0.165793549,-0.405086069,0.800207852,0.219669865,0.383820107,254671.686699458
148,254671712036000,0.410254734,-0.464218870,-0.168864260,-0.405784781,0.798090995,0.224704605,0.384574271,254671.720036000
149,254671745372500,0.414083177,-0.465124988,-0.170916917,-0.406769872,0.797189552,0.226582325,0.384301435,254671.753372500
150,254671778709041,0.413470146,-0.463719233,-0.170091977,-0.406871218,0.797735003,0.227042163,0.382787913,254671.786709041
151,254671812045458,0.417804267,-0.464448125,-0.173042479,-0.407406148,0.798662200,0.227356811,0.380089272,254671.820045458
152,254671845382000,0.420915470,-0.464956218,-0.175312629,-0.408394976,0.799610828,0.226804986,0.377353440,254671.853382000
153,254671878718458,0.424428237,-0.463743431,-0.177170836,-0.410091568,0.801018173,0.225379865,0.373361437,254671.886718458
154,254671912054875,0.428632241,-0.464174068,-0.180875834,-0.413330998,0.804018433,0.220698793,0.366065487,254671.920054875
155,254671945391375,0.432062912,-0.464598188,-0.184025881,-0.415927050,0.807393380,0.214537620,0.359296927,254671.953391375
156,254671978727833,0.439450357,-0.464140725,-0.188585508,-0.420092171,0.806442625,0.213274962,0.357332765,254671.986727833
157,254672012064208,0.444168756,-0.464765045,-0.191785410,-0.428475693,0.798056538,0.218006359,0.363301010,254672.020064208
158,254672045400833,0.447411843,-0.465922627,-0.193688944,-0.433611599,0.791017298,0.221798480,0.370240602,254672.053400833
159,254672078737375,0.451915824,-0.466292264,-0.196268809,-0.437418761,0.789531816,0.219757816,0.370149828,254672.086737375
160,254672112073875,0.456363941,-0.467969414,-0.199130876,-0.441586105,0.789932904,0.215337148,0.366930082,254672.120073875
161,254672145410291,0.459862774,-0.469207608,-0.201176899,-0.444972970,0.788561017,0.215274430,0.365824482,254672.153410291
162,254672178746750,0.464733488,-0.471222542,-0.203221930,-0.449418890,0.784233501,0.216790094,0.368785282,254672.186746750
