recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.005243065,-0.134959420,0.074148134,-0.158810227,0.843301438,0.078429877,0.507415810,254668.081357500
40,254668111694041,0.005161071,-0.140051920,0.073057265,-0.158279572,0.843616394,0.079068993,0.506958681,254668.114694041
41,254668145030541,0.004935993,-0.145106685,0.071979141,-0.157528901,0.843855554,0.078948859,0.506813161,254668.148030541
42,254668178367083,0.004884516,-0.151714891,0.070485637,-0.157764270,0.844588521,0.078421049,0.505599504,254668.181367083
43,254668211703541,0.004815496,-0.156792585,0.069165086,-0.157795271,0.845115266,0.078582350,0.504683769,254668.214703541
44,254668245040125,0.005005448,-0.161868582,0.067825871,-0.158466015,0.845828963,0.078919551,0.503223256,254668.248040125
45,254668278376708,0.002789209,-0.167005556,0.066255129,-0.159184105,0.846288484,0.079623718,0.502111880,254668.281376708
46,254668311713250,0.002907251,-0.172010421,0.065436316,-0.159151755,0.846383099,0.080537871,0.501816773,254668.314713250
47,254668345049666,0.002935564,-0.176933071,0.065054308,-0.159915585,0.845781852,0.081727696,0.502394965,254668.348049666
48,254668378386291,0.002872489,-0.182994803,0.065210665,-0.161847018,0.844513574,0.083691812,0.503585246,254668.381386291
49,254668411722791,0.002997396,-0.187401236,0.065381240,-0.163486600,0.844064477,0.084032692,0.503751775,254668.414722791
50,254668445059375,0.003171789,-0.191604947,0.065471199,-0.165430367,0.843740072,0.083799086,0.503699564,254668.448059375
51,254668478395833,0.003601809,-0.196659955,0.065273273,-0.168360060,0.843969623,0.083028669,0.502470356,254668.481395833
52,254668511732416,0.003868313,-0.200441407,0.064975619,-0.170412433,0.843987152,0.082281296,0.501871628,254668.514732416
53,254668545068916,0.004231781,-0.204123946,0.064290884,-0.172021634,0.844430901,0.082001391,0.500620452,254668.548068916
54,254668578405500,0.004889947,-0.208975841,0.063039863,-0.173380469,0.845808798,0.081053486,0.497972967,254668.581405500
55,254668611741875,0.005560776,-0.212653570,0.061572350,-0.174496279,0.846988257,0.081018917,0.495578378,254668.614741875
56,254668645078458,0.006655603,-0.217463688,0.059326708,-0.176119006,0.849360748,0.080386324,0.491025975,254668.648078458
57,254668678414916,0.007722484,-0.221129220,0.058059544,-0.176256878,0.850889612,0.078693762,0.488597713,254668.681414916
58,254668711751458,0.008186609,-0.224780324,0.056906768,-0.176797376,0.851256128,0.078084893,0.487861144,254668.714751458
59,254668745088000,0.008523413,-0.229826511,0.056158586,-0.178358347,0.850613183,0.078196457,0.488396233,254668.748088000
60,254668778424458,0.008921571,-0.233868005,0.056728961,-0.179328346,0.849946334,0.078885129,0.489090751,254668.781424458
61,254668811761083,0.009106864,-0.237721879,0.056651612,-0.180101180,0.849822327,0.078361319,0.489106465,254668.814761083
62,254668845097625,0.009271002,-0.242883128,0.056572971,-0.181900184,0.849158554,0.078266249,0.489608537,254668.848097625
63,254668878434083,0.014305758,-0.239746095,0.065562482,-0.183677118,0.849335298,0.079371467,0.488459304,254668.881434083
64,254668911770625,0.014543675,-0.243292389,0.065660170,-0.184520208,0.848974597,0.080496812,0.488584427,254668.914770625
65,254668945107041,0.014984853,-0.248216807,0.065428893,-0.185561286,0.848278748,0.081561794,0.489221731,254668.948107041
66,254668978443541,0.015523173,-0.252187051,0.064656924,-0.185616994,0.848282702,0.082976659,0.488955740,254668.981443541
67,254669011780041,0.015968339,-0.255935269,0.063852106,-0.185617613,0.848510466,0.084011625,0.488383241,254669.014780041
68,254669045116583,0.016997356,-0.260996440,0.062195636,-0.186193060,0.848459371,0.086733393,0.487776805,254669.048116583
69,254669078453041,0.022697062,-0.269730281,0.069521302,-0.186972057,0.849226671,0.089735517,0.485595615,254669.081453041
70,254669111789583,0.023720864,-0.273429391,0.068158499,-0.187369195,0.848867144,0.091273239,0.485784527,254669.114789583
71,254669145126208,0.025308791,-0.278291196,0.066050599,-0.188006969,0.848134496,0.094361687,0.486227500,254669.148126208
72,254669178462708,0.026708199,-0.281970906,0.064210554,-0.188800590,0.847218243,0.097455571,0.486906614,254669.181462708
73,254669211799166,0.028745372,-0.285973789,0.062019120,-0.190364024,0.846405183,0.100578489,0.487076817,254669.214799166
74,254669245135625,0.032132033,-0.291563879,0.058515003,-0.192048975,0.846385848,0.104410720,0.485640446,254669.248135625
75,254669278472083,0.040357992,-0.297262971,0.056301921,-0.193329129,0.847377921,0.107286598,0.482767176,254669.281472083
76,254669311808625,0.044339564,-0.302297666,0.052756852,-0.194843216,0.848214815,0.109215467,0.480249711,254669.314808625
77,254669345145041,0.050054955,-0.309039423,0.047594919,-0.197991115,0.849569264,0.111664433,0.475986020,254669.348145041
78,254669378481666,0.057566811,-0.310877335,0.043160421,-0.200629761,0.851451674,0.112885259,0.471205599,254669.381481666
79,254669411818083,0.062390849,-0.315494960,0.038882499,-0.203017217,0.852638386,0.113993261,0.467757823,254669.414818083
80,254669445154666,0.068689997,-0.321423218,0.033053518,-0.205441551,0.852977427,0.117157990,0.465292744,254669.448154666
81,254669478491041,0.073315102,-0.322629368,0.028262060,-0.207788543,0.852859835,0.119697051,0.463817521,254669.481491041
82,254669511827666,0.077878700,-0.327033667,0.024092652,-0.209595838,0.853003132,0.122532825,0.461996756,254669.514827666
83,254669545163958,0.084196715,-0.332900928,0.018205420,-0.211278129,0.853914044,0.126156758,0.458559575,254669.548163958
84,254669578500666,0.088878879,-0.337166138,0.013730969,-0.212334643,0.854970601,0.127898430,0.455610926,254669.581500666
85,254669611837125,0.093779139,-0.341858745,0.009138003,-0.213339003,0.856252898,0.129600526,0.452240204,254669.614837125
86,254669645173666,0.100014101,-0.348099459,0.003165388,-0.214391088,0.857875751,0.130432590,0.448411697,254669.648173666
87,254669678510000,0.103696885,-0.353492749,-0.000277384,-0.215187396,0.858462998,0.131112073,0.446704984,254669.681510000
88,254669711846666,0.108843325,-0.359396444,-0.005445379,-0.215577612,0.857974928,0.133532786,0.446737467,254669.714846666
89,254669745183041,0.112480518,-0.363705029,-0.009003742,-0.216437395,0.857683928,0.135712231,0.446223462,254669.748183041
90,254669778519583,0.114145701,-0.367767260,-0.012148431,-0.217143770,0.856617227,0.138154495,0.447178822,254669.781519583
91,254669811855958,0.118691340,-0.372662860,-0.016811929,-0.218210326,0.855662847,0.142402725,0.447154182,254669.814855958
92,254669845192583,0.122044050,-0.376093433,-0.020103503,-0.220409661,0.855027675,0.144788202,0.446524004,254669.848192583
93,254669878529083,0.123969840,-0.378567910,-0.022433083,-0.222206527,0.854559788,0.147013000,0.445801591,254669.881529083
94,254669911865625,0.128017806,-0.382447477,-0.026102737,-0.224724101,0.853950012,0.148787427,0.445118873,254669.914865625
95,254669945201958,0.130870516,-0.385336377,-0.028513979,-0.227276283,0.853572651,0.149716842,0.444234331,254669.948201958
