recording_frame,t_ns,tx,ty,tz,qx,qy,qz,qw,engine_t
39,254668078357500,0.004102664,-0.127069427,0.068170689,-0.158370901,0.843298703,0.077928544,0.507634860,254668.087357500
40,254668111694041,0.003945205,-0.133473097,0.066662677,-0.157527263,0.843771335,0.078473199,0.507027717,254668.120694041
41,254668145030541,0.003693339,-0.138249787,0.065532875,-0.157013495,0.843946078,0.078373083,0.506911720,254668.154030541
42,254668178367083,0.003609495,-0.142923243,0.064385757,-0.157139627,0.844572117,0.077817141,0.505914640,254668.187367083
43,254668211703541,0.003562789,-0.149323535,0.062592429,-0.157396533,0.845346523,0.078065102,0.504501220,254668.220703541
44,254668245040125,0.003816832,-0.154123118,0.061228792,-0.158202549,0.846006274,0.078677987,0.503045887,254668.254040125
45,254668278376708,0.002345744,-0.160984246,0.063406023,-0.158712678,0.846278932,0.078921291,0.502388035,254668.287376708
46,254668311713250,0.002498014,-0.167393087,0.062508979,-0.158804976,0.846167793,0.080201845,0.502343271,254668.320713250
47,254668345049666,0.002583758,-0.172064411,0.062296239,-0.159933256,0.845389459,0.081600537,0.503069996,254668.354049666
48,254668378386291,0.002551772,-0.176365473,0.062571091,-0.161326283,0.844435918,0.083022492,0.503993183,254668.387386291
49,254668411722791,0.002779552,-0.181930960,0.062859534,-0.163661661,0.843859960,0.083226329,0.504171261,254668.420722791
50,254668445059375,0.003021583,-0.185870517,0.062970952,-0.165572108,0.843652084,0.083013780,0.503930356,254668.454059375
51,254668478395833,0.003357061,-0.189424259,0.062865336,-0.167820746,0.843880852,0.082290537,0.502921092,254668.487395833
52,254668511732416,0.003803697,-0.194203698,0.062469978,-0.170523066,0.843998191,0.081475194,0.501946993,254668.520732416
53,254668545068916,0.004183431,-0.197682240,0.061753706,-0.171710629,0.844696285,0.081139677,0.500419876,254668.554068916
54,254668578405500,0.004867703,-0.201165654,0.060864907,-0.172800248,0.845729270,0.080450883,0.498407248,254668.587405500
55,254668611741875,0.005910813,-0.205808386,0.058952850,-0.174288505,0.847517828,0.080528018,0.494825565,254668.620741875
56,254668645078458,0.006800219,-0.209219985,0.057349480,-0.175472407,0.849290830,0.079746568,0.491482512,254668.654078458
57,254668678414916,0.008046144,-0.212888031,0.056163469,-0.175719253,0.850916984,0.078228801,0.488818308,254668.687414916
58,254668711751458,0.008672221,-0.217577193,0.054915798,-0.176395320,0.851168850,0.077567773,0.488241307,254668.720751458
59,254668745088000,0.008955491,-0.221239283,0.054570845,-0.177625486,0.850652182,0.077472494,0.488710668,254668.754088000
60,254668778424458,0.009430578,-0.225059722,0.055288189,-0.178695999,0.849867583,0.078279724,0.489556094,254668.787424458
61,254668811761083,0.009781079,-0.229985427,0.055353201,-0.179883203,0.849678732,0.077486007,0.489575385,254668.820761083
62,254668845097625,0.010002695,-0.233702959,0.055399612,-0.181181348,0.849164586,0.077657357,0.489961440,254668.854097625
63,254668878434083,0.011701656,-0.242986562,0.064753209,-0.184233793,0.848593242,0.079869301,0.489457216,254668.887434083
64,254668911770625,0.011773256,-0.246754907,0.064768334,-0.184938138,0.848226740,0.080616971,0.489704238,254668.920770625
65,254668945107041,0.011980464,-0.250661024,0.064515574,-0.185770108,0.847667810,0.081560843,0.490200605,254668.954107041
66,254668978443541,0.012458177,-0.256137669,0.063493307,-0.185730581,0.847768429,0.083215916,0.489763215,254668.987443541
67,254669011780041,0.012794064,-0.260077374,0.062545793,-0.185875271,0.847961898,0.084372310,0.489175193,254669.020780041
68,254669045116583,0.013432877,-0.264092992,0.061214107,-0.186332679,0.847863521,0.086585692,0.488784773,254669.054116583
69,254669078453041,0.020751163,-0.272618111,0.067357263,-0.187330567,0.848567547,0.090198294,0.486523069,254669.087453041
70,254669111789583,0.021686997,-0.276438782,0.065905818,-0.187766997,0.848137898,0.091761892,0.486811534,254669.120789583
71,254669145126208,0.022795045,-0.280233594,0.064275838,-0.188265407,0.847572379,0.094325429,0.487113913,254669.154126208
72,254669178462708,0.024765423,-0.285520910,0.061694987,-0.189564232,0.846303188,0.098551758,0.487979426,254669.187462708
73,254669211799166,0.026876089,-0.289800497,0.059354764,-0.191230533,0.845678080,0.101651785,0.487777036,254669.220799166
74,254669245135625,0.029356161,-0.294201755,0.056638662,-0.192381542,0.845712924,0.104500461,0.486660764,254669.254135625
75,254669278472083,0.039832041,-0.299734515,0.053191789,-0.193916775,0.847153215,0.107952330,0.482777446,254669.287472083
76,254669311808625,0.043930768,-0.305051817,0.049537068,-0.195794770,0.848036266,0.109929965,0.480014953,254669.320808625
77,254669345145041,0.048204790,-0.310317928,0.045588192,-0.198111086,0.849075256,0.111730608,0.476801354,254669.354145041
78,254669378481666,0.058233162,-0.315048379,0.041037817,-0.201673030,0.851481864,0.113132486,0.470646065,254669.387481666
79,254669411818083,0.063073069,-0.319844591,0.036801647,-0.203802144,0.852480167,0.114268722,0.467637641,254669.420818083
80,254669445154666,0.067823903,-0.324464171,0.032460568,-0.205713184,0.852650276,0.116890842,0.465839219,254669.454154666
81,254669478491041,0.075017240,-0.327968950,0.027562874,-0.208614581,0.852537803,0.120405067,0.463855500,254669.487491041
82,254669511827666,0.079689014,-0.332556092,0.023466781,-0.210190991,0.852841204,0.123145183,0.461862474,254669.520827666
83,254669545163958,0.084547038,-0.337124143,0.019116837,-0.211459112,0.853528854,0.125871111,0.459271222,254669.554163958
84,254669578500666,0.090285710,-0.342842003,0.012971381,-0.212788489,0.855079033,0.128071264,0.455146911,254669.587500666
85,254669611837125,0.095195345,-0.347715962,0.008496323,-0.213689922,0.856344460,0.129520751,0.451923900,254669.620837125
86,254669645173666,0.099909770,-0.352557948,0.004111204,-0.214496626,0.857547315,0.130110679,0.449082470,254669.654173666
87,254669678510000,0.104787387,-0.357941771,-0.000908361,-0.215213812,0.858083047,0.131135059,0.447414963,254669.687510000
88,254669711846666,0.108618555,-0.362408402,-0.004692359,-0.215604315,0.857723087,0.132871827,0.447404757,254669.720846666
89,254669745183041,0.112235069,-0.366802137,-0.008182714,-0.216344952,0.857335180,0.135115375,0.447118708,254669.754183041
90,254669778519583,0.114902970,-0.370984664,-0.013375763,-0.217373380,0.856050464,0.138440171,0.448063375,254669.787519583
91,254669811855958,0.118365629,-0.374663409,-0.016925794,-0.218254536,0.855352133,0.141637494,0.447969374,254669.820855958
92,254669845192583,0.122847060,-0.379257447,-0.021330160,-0.221183381,0.854594733,0.144680148,0.447004992,254669.854192583
93,254669878529083,0.123281630,-0.382277565,-0.025932629,-0.222871817,0.853926544,0.147023079,0.446678719,254669.887529083
94,254669911865625,0.126197040,-0.385268814,-0.028871037,-0.224881653,0.853498474,0.148249197,0.446083878,254669.920865625
95,254669945201958,0.129727096,-0.389271145,-0.032337433,-0.228254839,0.852908012,0.149430408,0.445104772,254669.954201958
96,254669978538583,0.132043759,-0.392056145,-0.034621400,-0.230505053,0.852368295,0.150282345,0.444692006,254669.987538583
97,254670011874916,0.134295991,-0.394839442,-0.036804586,-0.232480319,0.851693367,0.150897228,0.444748681,254670.020874916
98,254670045211500,0.137426534,-0.398743593,-0.039350729,-0.236235642,0.850119973,0.151438356,0.445595367,254670.054211500
99,254670078548083,0.137962484,-0.392014458,-0.036217781,-0.238565967,0.848854617,0.151236444,0.446832978,254670.087548083
100,254670111884541,0.140919761,-0.394735560,-0.037623786,-0.241699707,0.847411435,0.151411051,0.447827935,254670.120884541
101,254670145220916,0.145540414,-0.398646766,-0.040071485,-0.246506295,0.845183320,0.152912771,0.448907050,254670.154220916
102,254670178557583,0.149801317,-0.401732110,-0.042719542,-0.250478217,0.843954316,0.154344770,0.448530402,254670.187557583
103,254670211893916,0.154019502,-0.404661517,-0.045481601,-0.254435940,0.843361151,0.154616280,0.447323352,254670.220893916
104,254670245230500,0.160101148,-0.408299345,-0.049533747,-0.259399589,0.843785307,0.154766180,0.443605332,254670.254230500
105,254670278567083,0.163920114,-0.405262964,-0.047158691,-0.262663200,0.844547413,0.155127370,0.440094606,254670.287567083
106,254670311903375,0.168859642,-0.407325960,-0.049819566,-0.266571982,0.843833713,0.156751554,0.438535115,254670.320903375
107,254670345240000,0.175267964,-0.409972426,-0.052593814,-0.271751633,0.842885708,0.156747474,0.437178472,254670.354240000
108,254670378576458,0.182830965,-0.408541287,-0.050843250,-0.274813434,0.842712562,0.156945384,0.435524183,254670.387576458
109,254670411913000,0.187775716,-0.410497249,-0.052544140,-0.277958416,0.842722533,0.155916939,0.433875343,254670.420913000
110,254670445249416,0.194603937,-0.413052195,-0.054934199,-0.282823547,0.843094667,0.154645441,0.430449841,254670.454249416
111,254670478585916,0.200480294,-0.416349654,-0.058388522,-0.286520020,0.842963162,0.155385001,0.427989416,254670.487585916
112,254670511922416,0.205715026,-0.418141131,-0.060436196,-0.290295128,0.842186616,0.156708203,0.426489197,254670.520922416
113,254670545258916,0.212424814,-0.420756681,-0.063108323,-0.295603765,0.839919152,0.160331075,0.425967407,254670.554258916
114,254670578595416,0.216602466,-0.422375621,-0.066458704,-0.299645755,0.837481537,0.164029567,0.426534231,254670.587595416
115,254670611931875,0.221088692,-0.424421365,-0.068606332,-0.302907727,0.835649828,0.166565902,0.426839698,254670.620931875
116,254670645268375,0.227071890,-0.427350865,-0.071664701,-0.307634282,0.832911674,0.170279298,0.427345652,254670.654268375
117,254670678604958,0.231270205,-0.429574378,-0.075025823,-0.311811753,0.830832813,0.172561331,0.427449305,254670.687604958
118,254670711941458,0.235573760,-0.431654915,-0.077492579,-0.316518819,0.828880389,0.174430545,0.427021283,254670.720941458
119,254670745277833,0.241310116,-0.434217402,-0.080721754,-0.323839359,0.824717639,0.177013619,0.428526683,254670.754277833
120,254670778614375,0.245670584,-0.436637763,-0.083168926,-0.332390588,0.821120413,0.178423478,0.428302324,254670.787614375
121,254670811950875,0.250975621,-0.438652541,-0.085797566,-0.341862043,0.817165070,0.180275827,0.427635677,254670.820950875
122,254670845287416,0.255027781,-0.439936313,-0.087627986,-0.348027265,0.813735284,0.181491345,0.428687363,254670.854287416
123,254670878623958,0.259863071,-0.441157957,-0.088288608,-0.353797860,0.810602429,0.182707658,0.429381814,254670.887623958
124,254670911960333,0.265130747,-0.443395398,-0.090633905,-0.358638163,0.808033214,0.183005665,0.430081356,254670.920960333
125,254670945296791,0.269336362,-0.445157060,-0.092908828,-0.360542979,0.807384438,0.184514680,0.429061203,254670.954296791
126,254670978633291,0.273291318,-0.445341060,-0.093975538,-0.361621175,0.808136521,0.184105205,0.426908440,254670.987633291
127,254671011969833,0.279815205,-0.447890416,-0.098359886,-0.362922051,0.810203870,0.182716222,0.422459594,254671.020969833
128,254671045306250,0.285151135,-0.449537159,-0.102052174,-0.365153348,0.809793355,0.184574446,0.420511691,254671.054306250
129,254671078642791,0.291909688,-0.449589992,-0.104585960,-0.365324974,0.810989228,0.185974642,0.417429780,254671.087642791
130,254671111979208,0.299932219,-0.452028206,-0.109536288,-0.365964563,0.813350612,0.186832670,0.411854741,254671.120979208
131,254671145315833,0.305926052,-0.453540566,-0.113316934,-0.365654853,0.815495387,0.186017195,0.408241912,254671.154315833
132,254671178652166,0.312483182,-0.453244885,-0.116550009,-0.365193541,0.817641224,0.186510500,0.404116805,254671.187652166
133,254671211988666,0.320562337,-0.454748028,-0.121567536,-0.365765625,0.818550142,0.188196628,0.400965405,254671.220988666
134,254671245325208,0.326739023,-0.455762732,-0.125095298,-0.366520360,0.819188173,0.188881424,0.398644483,254671.254325208
135,254671278661833,0.332218142,-0.455935696,-0.128230360,-0.368147446,0.818761521,0.191043720,0.396987885,254671.287661833
136,254671311998208,0.341067315,-0.456361157,-0.132812251,-0.370924969,0.818696632,0.192813046,0.393666958,254671.320998208
137,254671345334541,0.348030030,-0.456513864,-0.136134264,-0.373815963,0.817896115,0.194432404,0.391795437,254671.354334541
138,254671378671041,0.352405132,-0.457718904,-0.140888162,-0.378034137,0.816407114,0.195677108,0.390230879,254671.387671041
139,254671412007708,0.361570789,-0.457722536,-0.145088675,-0.383331379,0.814384264,0.198175629,0.388022935,254671.421007708
140,254671445344083,0.368274451,-0.457614244,-0.148117343,-0.386480999,0.812249385,0.200756688,0.388046620,254671.454344083
141,254671478680541,0.369190374,-0.458728510,-0.151809728,-0.389597380,0.810364171,0.204212235,0.387067447,254671.487680541
142,254671512017125,0.377286733,-0.459082258,-0.155291851,-0.393788836,0.807924473,0.208489652,0.385642992,254671.521017125
143,254671545353625,0.383288908,-0.459243700,-0.157746254,-0.396392569,0.805762903,0.211328545,0.385952554,254671.554353625
144,254671578690083,0.386587621,-0.459499907,-0.159504115,-0.398434052,0.803732627,0.214097817,0.386557044,254671.587690083
145,254671612026500,0.393764833,-0.460021264,-0.162231618,-0.402034719,0.801091168,0.218051566,0.386101791,254671.621026500
146,254671645363041,0.399083824,-0.460620220,-0.164379104,-0.404122771,0.800433988,0.218317646,0.385133322,254671.654363041
147,254671678699458,0.400196361,-0.460504321,-0.164672581,-0.404981551,0.799787267,0.220101657,0.384558949,254671.687699458
148,254671712036000,0.406147355,-0.461557178,-0.167813411,-0.406161830,0.798037563,0.223968948,0.384716232,254671.721036000
149,254671745372500,0.409991106,-0.462593988,-0.169930845,-0.407014254,0.797342230,0.225655478,0.384271290,254671.754372500
150,254671778709041,0.408415782,-0.460759075,-0.168402728,-0.406626532,0.797592441,0.227075198,0.383325016,254671.787709041
151,254671812045458,0.412512636,-0.461527822,-0.171226322,-0.407394020,0.798226477,0.227382259,0.381001267,254671.821045458
152,254671845382000,0.415482165,-0.462046613,-0.173493355,-0.408281669,0.799373181,0.226757423,0.378007568,254671.854382000
153,254671878718458,0.420508568,-0.460618205,-0.176182417,-0.410804101,0.801402962,0.224464352,0.372302418,254671.887718458
154,254671912054875,0.423560632,-0.460970162,-0.178921655,-0.412816070,0.804289334,0.219983276,0.366481883,254671.921054875
155,254671945391375,0.426801270,-0.461357680,-0.181987381,-0.415622856,0.806581105,0.215553158,0.360862095,254671.954391375
